[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1748114392.049000 5/24/2025, 9:19:52 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, CSB_IP_EASY
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, b axis IP
INFO, SEQUENCE FILE: Hyst_30000Oe.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1748114392.049,,1.005354e+004,1.000269e+001,1.108983e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.870763e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,8.248329e-003,0,,0,
1748114420.753,,9.547071e+003,1.000414e+001,1.110092e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.868396e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,8.667946e-003,0,,0,
1748114448.724,,9.045814e+003,1.000269e+001,1.111050e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.867763e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,2.480507e-003,0,,0,
1748114478.462,,8.546734e+003,1.000351e+001,1.111623e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.867238e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,9.074211e-003,0,,0,
1748114507.061,,8.046132e+003,1.000248e+001,1.111945e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.868193e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,6.182671e-003,0,,0,
1748114535.110,,7.547701e+003,1.000330e+001,1.112339e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.866853e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,7.832527e-003,0,,0,
1748114564.034,,7.051875e+003,1.000207e+001,1.112718e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.866424e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,8.663177e-003,0,,0,
1748114592.767,,6.552358e+003,1.000269e+001,1.112732e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.866568e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,7.424355e-003,0,,0,
1748114622.006,,6.052081e+003,1.000103e+001,1.112419e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.866092e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,9.073257e-003,0,,0,
1748114698.296,,6.060876e+003,1.000310e+001,1.112715e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.865627e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,6.598473e-003,0,,0,
1748114726.135,,5.960973e+003,1.000290e+001,1.112626e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.865044e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,4.529953e-003,0,,0,
1748114754.084,,5.860527e+003,1.000248e+001,1.112340e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.864838e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,8.660316e-003,0,,0,
1748114782.413,,5.760407e+003,1.000289e+001,1.111664e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.864820e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,7.834435e-003,0,,0,
1748114810.677,,5.660395e+003,1.000227e+001,1.111330e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.864160e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,9.073257e-003,0,,0,
1748114838.677,,5.561686e+003,1.000083e+001,1.110680e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.865570e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,1.196384e-002,0,,0,
1748114866.130,,5.462651e+003,1.000207e+001,1.109654e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.865236e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,5.362511e-003,0,,0,
1748114894.003,,5.363291e+003,1.000186e+001,1.108597e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.864035e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,7.420540e-003,0,,0,
1748114922.461,,5.262411e+003,1.000227e+001,1.106800e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.864249e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,1.154327e-002,0,,0,
