[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1745009132.644000 4/18/2025, 10:45:32 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, CrSBr_Bulk_IP_easy_axis
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, OOP_easy axis
INFO, SEQUENCE FILE: Hyst_30000Oe.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1745009132.634,,3.011326e+004,1.000249e+001,1.087028e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.756104e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,2.070427e-003,0,,0,
1745009162.412,,2.911152e+004,1.000104e+001,1.089157e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.757299e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,8.249283e-003,0,,0,
1745009192.584,,2.810760e+004,1.000063e+001,1.091583e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.760147e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,4.128456e-003,0,,0,
1745009224.169,,2.710639e+004,1.000145e+001,1.093546e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.761683e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,4.954338e-003,0,,0,
1745009254.701,,2.610030e+004,1.000124e+001,1.095505e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.763524e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,7.837296e-003,0,,0,
1745009284.364,,2.509366e+004,1.000104e+001,1.097776e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.766178e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,4.124641e-003,0,,0,
1745009314.496,,2.409028e+004,1.000145e+001,1.099792e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.768351e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,2.480507e-003,0,,0,
1745009344.518,,2.308528e+004,1.000063e+001,1.101851e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.771428e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,7.429123e-003,0,,0,
1745009374.636,,2.208353e+004,1.000001e+001,1.103900e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.773605e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,4.543304e-003,0,,0,
1745009404.571,,2.107798e+004,1.000166e+001,1.106003e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.775882e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,2.059937e-003,0,,0,
1745009434.475,,2.007298e+004,1.000207e+001,1.107452e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.777430e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,4.538536e-003,0,,0,
1745009464.093,,1.906960e+004,1.000207e+001,1.109762e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.779614e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,6.184578e-003,0,,0,
1745009494.011,,1.806677e+004,1.000042e+001,1.111669e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.784202e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,2.061844e-003,0,,0,
1745009523.648,,1.706176e+004,1.000166e+001,1.114017e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.789421e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,1.239777e-003,0,,0,
1745009553.140,,1.605838e+004,1.000125e+001,1.115028e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.788112e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,2.888680e-003,0,,0,
