[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1745136786.664000 4/20/2025, 10:13:06 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, CrSBr_Bulk_IP_hard_axis
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, IP_hard axis
INFO, SEQUENCE FILE: Hyst_30000Oe.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1745136786.664,,3.011598e+004,1.000393e+001,1.331893e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.859655e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,1.649857e-003,0,,0,
1745136817.710,,2.911369e+004,1.000145e+001,1.333206e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.860782e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,6.600380e-003,0,,0,
1745136847.397,,2.810923e+004,1.000248e+001,1.335110e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.861966e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,7.003784e-003,0,,0,
1745136878.099,,2.710748e+004,1.000186e+001,1.336747e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.863420e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,5.774498e-003,0,,0,
1745136908.993,,2.610193e+004,1.000228e+001,1.338180e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.864118e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,6.604195e-003,0,,0,
1745136939.947,,2.509584e+004,1.000166e+001,1.339829e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.865893e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,2.890587e-003,0,,0,
1745136968.695,,2.409137e+004,1.000207e+001,1.341430e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.867464e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,6.184578e-003,0,,0,
1745136998.941,,2.308745e+004,1.000187e+001,1.342785e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.869922e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,7.430077e-003,0,,0,
1745137028.180,,2.208462e+004,1.000227e+001,1.344468e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.871794e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,5.772591e-003,0,,0,
1745137058.170,,2.107961e+004,1.000228e+001,1.345651e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.872546e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,6.604195e-003,0,,0,
