[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1744868228.085000 4/17/2025, 7:37:08 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, CrSBr_Bulk_OOP
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, OOP
INFO, SEQUENCE FILE: Hyst_30000Oe.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1744868228.075,,3.012195e+004,1.000589e+001,1.689274e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.815192e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,6.103516e-004,0,,0,
1744868258.633,,2.912074e+004,1.000042e+001,1.689547e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.815664e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,4.124641e-003,0,,0,
1744868288.356,,2.811628e+004,1.000279e+001,1.689293e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.818018e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,8.041382e-003,0,,0,
1744868319.072,,2.711454e+004,1.000320e+001,1.689031e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.822177e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,8.038521e-003,0,,0,
1744868349.821,,2.610844e+004,1.000217e+001,1.688663e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.826220e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,7.635117e-003,0,,0,
1744868380.021,,2.510235e+004,1.000228e+001,1.687633e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.829568e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,6.604195e-003,0,,0,
1744868409.889,,2.409735e+004,1.000217e+001,1.686849e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.830217e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,5.572319e-003,0,,0,
1744868439.582,,2.309397e+004,1.000227e+001,1.685355e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.832391e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,5.772591e-003,0,,0,
1744868469.193,,2.209114e+004,1.000011e+001,1.683421e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.834938e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,2.274513e-003,0,,0,
1744868499.296,,2.108558e+004,1.000197e+001,1.680907e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.837527e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,4.328728e-003,0,,0,
1744868529.290,,2.008058e+004,1.000258e+001,1.677676e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.842043e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,4,1,6.392479e-003,0,,0,
