[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1745065757.844000 4/19/2025, 2:29:17 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, CrSBr_Bulk_IP_easy_axis
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, OOP_easy axis
INFO, SEQUENCE FILE: MvsT_specific.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1745065757.844,,1.000000e+003,1.000228e+001,2.425033e-005,0.000000e+000,2.139726e-001,0.000000e+000,3,8.319478e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,4.139900e-003,0,,0,
1745065839.003,,1.000000e+003,1.110748e+001,2.487881e-005,0.000000e+000,2.039291e-001,0.000000e+000,3,8.406498e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.526699e-001,0,,0,
1745065903.381,,1.000000e+003,1.211656e+001,2.541507e-005,0.000000e+000,1.991081e-001,0.000000e+000,3,8.434613e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.140995e-001,0,,0,
1745065966.024,,1.000000e+003,1.308601e+001,2.602477e-005,0.000000e+000,1.885141e-001,0.000000e+000,3,8.545565e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.717300e-001,0,,0,
1745066024.756,,1.000000e+003,1.410127e+001,2.656452e-005,0.000000e+000,1.824217e-001,0.000000e+000,3,8.592556e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.679907e-001,0,,0,
1745066085.586,,1.000000e+003,1.512483e+001,2.715918e-005,0.000000e+000,1.885368e-001,0.000000e+000,3,8.519422e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.638603e-001,0,,0,
1745066143.352,,1.000000e+003,1.609400e+001,2.774043e-005,0.000000e+000,1.843484e-001,0.000000e+000,3,8.548723e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.601200e-001,0,,0,
1745066203.241,,1.000000e+003,1.709850e+001,2.824734e-005,0.000000e+000,1.849928e-001,0.000000e+000,3,8.545955e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.539707e-001,0,,0,
1745066265.389,,1.000000e+003,1.810742e+001,2.879658e-005,0.000000e+000,1.821752e-001,0.000000e+000,3,8.574336e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.595802e-001,0,,0,
1745066325.482,,1.000000e+003,1.908260e+001,2.937175e-005,0.000000e+000,1.789933e-001,0.000000e+000,3,8.602276e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.631794e-001,0,,0,
1745066389.041,,1.000000e+003,2.010873e+001,3.006285e-005,0.000000e+000,1.749900e-001,0.000000e+000,3,8.627359e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.481209e-001,0,,0,
1745066448.144,,1.000000e+003,2.108279e+001,3.084593e-005,0.000000e+000,1.696696e-001,0.000000e+000,3,8.659871e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.615696e-001,0,,0,
1745066513.280,,1.000000e+003,2.211112e+001,3.174947e-005,0.000000e+000,1.598046e-001,0.000000e+000,3,8.731310e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.588001e-001,0,,0,
1745066575.847,,1.000000e+003,2.310039e+001,3.246107e-005,0.000000e+000,1.562821e-001,0.000000e+000,3,8.764619e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.547699e-001,0,,0,
1745066637.352,,1.000000e+003,2.412016e+001,3.322550e-005,0.000000e+000,1.492527e-001,0.000000e+000,3,8.816903e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.422596e-001,0,,0,
1745066695.829,,1.000000e+003,2.508457e+001,3.392504e-005,0.000000e+000,1.484816e-001,0.000000e+000,3,8.822736e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.577988e-001,0,,0,
1745066757.289,,1.000000e+003,2.610176e+001,3.467465e-005,0.000000e+000,1.458581e-001,0.000000e+000,3,8.835443e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.555290e-001,0,,0,
1745066815.313,,1.000000e+003,2.707790e+001,3.536089e-005,0.000000e+000,1.458591e-001,0.000000e+000,3,8.833586e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.541309e-001,0,,0,
1745066876.341,,1.000000e+003,2.808488e+001,3.617234e-005,0.000000e+000,1.415563e-001,0.000000e+000,3,8.871983e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.649284e-001,0,,0,
1745066938.344,,1.000000e+003,2.911047e+001,3.664836e-005,0.000000e+000,1.437909e-001,0.000000e+000,3,8.866768e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.609097e-001,0,,0,
1745066997.290,,1.000000e+003,3.008544e+001,3.741322e-005,0.000000e+000,1.409519e-001,0.000000e+000,3,8.890597e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.680603e-001,0,,0,
