[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1745216460.304000 4/21/2025, 8:21:00 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, CrSBr_Bulk_IP_hard_axis
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, IP_hard axis
INFO, SEQUENCE FILE: MvsT_specific.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1745216460.304,,1.000000e+003,1.000712e+001,1.337798e-003,0.000000e+000,2.918456e-003,0.000000e+000,3,9.256097e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,5.140305e-003,0,,0,
1745216539.260,,1.000000e+003,1.109529e+001,1.337177e-003,0.000000e+000,4.371324e-003,0.000000e+000,3,9.285968e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.514997e-001,0,,0,
1745216602.376,,1.000000e+003,1.210466e+001,1.339131e-003,0.000000e+000,3.723252e-003,0.000000e+000,3,9.277067e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.218300e-001,0,,0,
1745216665.960,,1.000000e+003,1.308004e+001,1.340195e-003,0.000000e+000,4.355298e-003,0.000000e+000,3,9.284969e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.381207e-001,0,,0,
1745216726.350,,1.000000e+003,1.411777e+001,1.340103e-003,0.000000e+000,4.682780e-003,0.000000e+000,3,9.300337e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.660099e-001,0,,0,
1745216784.312,,1.000000e+003,1.510019e+001,1.343698e-003,0.000000e+000,2.405923e-003,0.000000e+000,3,9.262466e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.409101e-001,0,,0,
1745216843.986,,1.000000e+003,1.609827e+001,1.344422e-003,0.000000e+000,3.258308e-003,0.000000e+000,3,9.277902e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.573315e-001,0,,0,
1745216904.451,,1.000000e+003,1.710614e+001,1.347195e-003,0.000000e+000,3.325489e-003,0.000000e+000,3,9.274037e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.540890e-001,0,,0,
1745216963.430,,1.000000e+003,1.807754e+001,1.345179e-003,0.000000e+000,5.474609e-003,0.000000e+000,3,9.320332e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.486206e-001,0,,0,
1745217025.731,,1.000000e+003,1.908493e+001,1.348413e-003,0.000000e+000,3.914901e-003,0.000000e+000,3,9.302160e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.678391e-001,0,,0,
