[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1744917397.821000 4/17/2025, 9:16:37 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, CrSBr_Bulk_OOP
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, OOP
INFO, SEQUENCE FILE: MvsT.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1744917397.811,,1.000000e+003,1.000753e+001,9.133028e-004,0.000000e+000,7.873720e-003,0.000000e+000,3,9.527075e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,5.149841e-003,0,,0,
1744917472.852,,1.000000e+003,1.108206e+001,9.142066e-004,0.000000e+000,7.701641e-003,0.000000e+000,3,9.527147e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.514301e-001,0,,0,
1744917538.080,,1.000000e+003,1.210471e+001,9.165368e-004,0.000000e+000,6.591242e-003,0.000000e+000,3,9.515393e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.285400e-001,0,,0,
1744917604.765,,1.000000e+003,1.310036e+001,9.152543e-004,0.000000e+000,7.942683e-003,0.000000e+000,3,9.534496e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.419096e-001,0,,0,
1744917666.380,,1.000000e+003,1.409564e+001,9.163236e-004,0.000000e+000,7.751475e-003,0.000000e+000,3,9.533476e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.665201e-001,0,,0,
1744917725.979,,1.000000e+003,1.509714e+001,9.195409e-004,0.000000e+000,6.650708e-003,0.000000e+000,3,9.515886e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.439295e-001,0,,0,
1744917787.950,,1.000000e+003,1.611404e+001,9.188123e-004,0.000000e+000,7.610873e-003,0.000000e+000,3,9.534441e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.627712e-001,0,,0,
1744917848.531,,1.000000e+003,1.709239e+001,9.200264e-004,0.000000e+000,7.241691e-003,0.000000e+000,3,9.528480e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.379814e-001,0,,0,
1744917909.258,,1.000000e+003,1.809475e+001,9.223052e-004,0.000000e+000,6.601770e-003,0.000000e+000,3,9.519966e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.523705e-001,0,,0,
1744917970.089,,1.000000e+003,1.910176e+001,9.219796e-004,0.000000e+000,7.414722e-003,0.000000e+000,3,9.535594e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.310787e-001,0,,0,
1744918029.449,,1.000000e+003,2.009444e+001,9.236605e-004,0.000000e+000,7.141023e-003,0.000000e+000,3,9.530227e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.513004e-001,0,,0,
1744918090.906,,1.000000e+003,2.112663e+001,9.266947e-004,0.000000e+000,5.750934e-003,0.000000e+000,3,9.507052e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.511402e-001,0,,0,
1744918150.084,,1.000000e+003,2.210566e+001,9.259309e-004,0.000000e+000,7.275315e-003,0.000000e+000,3,9.534468e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.478901e-001,0,,0,
1744918210.452,,1.000000e+003,2.308661e+001,9.274296e-004,0.000000e+000,7.264315e-003,0.000000e+000,3,9.531829e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.546097e-001,0,,0,
1744918274.146,,1.000000e+003,2.411562e+001,9.282732e-004,0.000000e+000,7.791277e-003,0.000000e+000,3,9.540914e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.467800e-001,0,,0,
1744918337.356,,1.000000e+003,2.509912e+001,9.313810e-004,0.000000e+000,6.558911e-003,0.000000e+000,3,9.524596e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.482201e-001,0,,0,
1744918401.141,,1.000000e+003,2.610884e+001,9.312144e-004,0.000000e+000,7.438441e-003,0.000000e+000,3,9.542794e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.387501e-001,0,,0,
