[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1745285610.490000 4/22/2025, 3:33:30 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, CrSBr_Bulk_OOP_axis
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, OOP_hard axis
INFO, SEQUENCE FILE: MvsT_specific.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1745285610.490,,2.500000e+004,1.000279e+001,1.700146e-002,0.000000e+000,8.249449e-003,0.000000e+000,3,9.416538e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.860619e-003,0,,0,
1745285685.722,,2.500000e+004,1.107902e+001,1.697863e-002,0.000000e+000,8.086447e-003,0.000000e+000,3,9.410776e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.482801e-001,0,,0,
1745285750.323,,2.500000e+004,1.210565e+001,1.691192e-002,0.000000e+000,1.156871e-002,0.000000e+000,3,9.460353e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.140594e-001,0,,0,
1745285818.305,,2.500000e+004,1.309026e+001,1.689591e-002,0.000000e+000,1.055018e-002,0.000000e+000,3,9.447340e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.478205e-001,0,,0,
1745285877.093,,2.500000e+004,1.408225e+001,1.688877e-002,0.000000e+000,9.669654e-003,0.000000e+000,3,9.431516e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.460199e-001,0,,0,
1745285939.610,,2.500000e+004,1.511549e+001,1.685118e-002,0.000000e+000,9.462340e-003,0.000000e+000,3,9.436392e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.340103e-001,0,,0,
1745286001.936,,2.500000e+004,1.607822e+001,1.685049e-002,0.000000e+000,7.863771e-003,0.000000e+000,3,9.403726e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.444302e-001,0,,0,
1745286066.589,,2.500000e+004,1.709657e+001,1.680117e-002,0.000000e+000,9.488374e-003,0.000000e+000,3,9.432926e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.501217e-001,0,,0,
1745286128.288,,2.500000e+004,1.810949e+001,1.676956e-002,0.000000e+000,9.695712e-003,0.000000e+000,3,9.433485e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.483707e-001,0,,0,
1745286187.878,,2.500000e+004,1.909752e+001,1.674102e-002,0.000000e+000,9.164413e-003,0.000000e+000,3,9.431860e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,5,1,1.302490e-001,0,,0,
