Voltage (V)	Current (A)
9.999578E-1	1.488093E-7
9.959411E-1	1.462809E-7
9.919569E-1	1.436448E-7
9.879642E-1	1.411528E-7
9.839111E-1	1.387750E-7
9.799186E-1	1.359674E-7
9.758989E-1	1.338889E-7
9.719061E-1	1.314111E-7
9.678866E-1	1.291375E-7
9.638942E-1	1.265123E-7
9.598448E-1	1.243101E-7
9.558506E-1	1.222638E-7
9.518617E-1	1.200007E-7
9.478322E-1	1.179429E-7
9.438530E-1	1.158943E-7
9.398615E-1	1.137066E-7
9.358082E-1	1.116539E-7
9.318132E-1	1.098279E-7
9.277948E-1	1.076157E-7
9.238049E-1	1.058697E-7
9.198216E-1	1.039598E-7
9.157979E-1	1.019537E-7
9.117394E-1	1.001239E-7
9.077542E-1	9.816156E-8
9.037663E-1	9.627863E-8
8.997425E-1	9.467837E-8
8.957513E-1	9.286889E-8
8.917596E-1	9.119688E-8
8.877427E-1	8.946409E-8
8.837236E-1	8.777700E-8
8.796982E-1	8.614172E-8
8.757084E-1	8.459702E-8
8.717234E-1	8.284011E-8
8.676988E-1	8.123758E-8
8.637100E-1	7.971691E-8
8.596537E-1	7.809889E-8
8.556640E-1	7.653497E-8
8.516431E-1	7.511671E-8
8.476560E-1	7.359858E-8
8.436642E-1	7.223250E-8
8.396434E-1	7.077703E-8
8.356211E-1	6.926703E-8
8.315958E-1	6.789517E-8
8.276105E-1	6.640649E-8
8.236184E-1	6.517757E-8
8.195967E-1	6.389674E-8
8.156104E-1	6.266814E-8
8.115544E-1	6.144277E-8
8.075634E-1	6.020106E-8
8.035441E-1	5.900509E-8
7.995529E-1	5.767163E-8
7.955695E-1	5.650778E-8
7.915428E-1	5.532963E-8
7.875565E-1	5.423661E-8
7.835001E-1	5.306040E-8
7.795115E-1	5.193749E-8
7.755239E-1	5.085366E-8
7.715026E-1	4.983118E-8
7.675093E-1	4.882105E-8
7.635219E-1	4.785475E-8
7.594656E-1	4.682795E-8
7.554448E-1	4.577021E-8
7.514563E-1	4.480924E-8
7.474670E-1	4.387333E-8
7.434478E-1	4.298208E-8
7.394537E-1	4.208469E-8
7.354025E-1	4.113867E-8
7.314131E-1	4.027583E-8
7.274266E-1	3.942097E-8
7.234020E-1	3.856110E-8
7.194150E-1	3.769529E-8
7.154254E-1	3.685713E-8
7.113673E-1	3.607666E-8
7.073466E-1	3.531495E-8
7.033582E-1	3.456908E-8
6.993666E-1	3.377543E-8
6.953475E-1	3.311734E-8
6.913602E-1	3.238642E-8
6.873677E-1	3.171874E-8
6.833112E-1	3.102415E-8
6.793245E-1	3.028560E-8
6.753027E-1	2.960128E-8
6.713138E-1	2.900489E-8
6.673254E-1	2.838488E-8
6.632994E-1	2.779096E-8
6.592472E-1	2.713599E-8
6.552576E-1	2.654063E-8
6.512693E-1	2.589438E-8
6.472471E-1	2.530810E-8
6.432571E-1	2.480449E-8
6.392703E-1	2.421539E-8
6.352082E-1	2.370471E-8
6.312279E-1	2.313375E-8
6.272022E-1	2.262689E-8
6.232141E-1	2.208392E-8
6.192194E-1	2.158355E-8
6.152012E-1	2.103312E-8
6.111470E-1	2.059861E-8
6.071609E-1	2.011728E-8
6.031717E-1	1.962726E-8
5.991500E-1	1.915739E-8
5.951604E-1	1.871021E-8
5.911760E-1	1.826458E-8
5.871500E-1	1.784802E-8
5.831271E-1	1.738104E-8
5.791064E-1	1.697099E-8
5.751172E-1	1.656778E-8
5.711288E-1	1.615072E-8
5.671017E-1	1.577922E-8
5.631199E-1	1.537881E-8
5.590580E-1	1.500513E-8
5.550732E-1	1.462817E-8
5.510459E-1	1.426867E-8
5.470610E-1	1.388951E-8
5.430719E-1	1.356539E-8
5.390522E-1	1.319401E-8
5.350238E-1	1.285462E-8
5.310059E-1	1.253110E-8
5.270208E-1	1.220278E-8
5.230317E-1	1.185945E-8
5.190083E-1	1.156607E-8
5.150151E-1	1.125799E-8
5.109642E-1	1.095970E-8
5.069707E-1	1.065182E-8
5.029526E-1	1.036135E-8
4.989637E-1	1.007253E-8
4.949791E-1	9.806070E-9
4.909526E-1	9.540335E-9
4.869607E-1	9.269028E-9
4.829051E-1	8.996199E-9
4.789164E-1	8.760352E-9
4.749322E-1	8.506529E-9
4.709055E-1	8.282192E-9
4.669233E-1	8.039613E-9
4.629312E-1	7.808035E-9
4.588800E-1	7.587329E-9
4.548497E-1	7.360310E-9
4.508672E-1	7.145556E-9
4.468729E-1	6.964381E-9
4.428541E-1	6.745434E-9
