Voltage (V)	Current (A)
-1.000057E+0	-3.722817E-8
-9.960703E-1	-3.658621E-8
-9.920462E-1	-3.589680E-8
-9.880568E-1	-3.525838E-8
-9.840006E-1	-3.459315E-8
-9.800114E-1	-3.402247E-8
-9.760200E-1	-3.336939E-8
-9.719995E-1	-3.279828E-8
-9.680094E-1	-3.219264E-8
-9.640215E-1	-3.157520E-8
-9.599643E-1	-3.099078E-8
-9.559760E-1	-3.044146E-8
-9.519523E-1	-2.985476E-8
-9.479609E-1	-2.931164E-8
-9.439741E-1	-2.877759E-8
-9.399512E-1	-2.823101E-8
-9.359290E-1	-2.774543E-8
-9.319042E-1	-2.718352E-8
-9.279186E-1	-2.667487E-8
-9.239246E-1	-2.621412E-8
-9.199046E-1	-2.574110E-8
-9.159138E-1	-2.527520E-8
-9.118593E-1	-2.478665E-8
-9.078681E-1	-2.429915E-8
-9.038489E-1	-2.382184E-8
-8.998593E-1	-2.338961E-8
-8.958679E-1	-2.292789E-8
-8.918449E-1	-2.249189E-8
-8.878558E-1	-2.203866E-8
-8.838021E-1	-2.156830E-8
-8.798113E-1	-2.115899E-8
-8.758255E-1	-2.072529E-8
-8.718005E-1	-2.031581E-8
-8.678131E-1	-1.990347E-8
-8.638220E-1	-1.950463E-8
-8.597666E-1	-1.906833E-8
-8.557774E-1	-1.869112E-8
-8.517558E-1	-1.829190E-8
-8.477641E-1	-1.792002E-8
-8.437757E-1	-1.757840E-8
-8.397524E-1	-1.719990E-8
-8.357267E-1	-1.683556E-8
-8.317087E-1	-1.645913E-8
-8.277150E-1	-1.614421E-8
-8.237290E-1	-1.580799E-8
-8.197055E-1	-1.544482E-8
-8.157176E-1	-1.512316E-8
-8.116588E-1	-1.481466E-8
-8.076705E-1	-1.446674E-8
-8.036505E-1	-1.417398E-8
-7.996615E-1	-1.386250E-8
-7.956713E-1	-1.356119E-8
-7.916844E-1	-1.328813E-8
-7.876605E-1	-1.299443E-8
-7.836028E-1	-1.270322E-8
-7.796113E-1	-1.242488E-8
-7.756213E-1	-1.213923E-8
-7.716019E-1	-1.189061E-8
-7.676113E-1	-1.163271E-8
-7.636266E-1	-1.138602E-8
-7.595648E-1	-1.114070E-8
-7.555768E-1	-1.090459E-8
-7.515550E-1	-1.066205E-8
-7.475674E-1	-1.042854E-8
-7.435763E-1	-1.020115E-8
-7.395589E-1	-9.994868E-9
-7.355319E-1	-9.771091E-9
-7.315103E-1	-9.556804E-9
-7.275202E-1	-9.333847E-9
-7.235315E-1	-9.145311E-9
-7.195088E-1	-8.946517E-9
-7.155177E-1	-8.750852E-9
-7.114648E-1	-8.558209E-9
-7.074726E-1	-8.382864E-9
-7.034829E-1	-8.186027E-9
