Voltage (V)	Current (A)
9.999585E-1	3.870792E-8
9.959391E-1	3.795955E-8
9.919489E-1	3.721432E-8
9.879609E-1	3.652210E-8
9.838980E-1	3.569167E-8
9.799159E-1	3.492786E-8
9.758899E-1	3.421955E-8
9.719045E-1	3.353584E-8
9.678802E-1	3.273639E-8
9.638907E-1	3.210292E-8
9.598389E-1	3.136658E-8
9.558447E-1	3.075827E-8
9.518604E-1	3.004019E-8
9.478335E-1	2.943599E-8
9.438519E-1	2.886181E-8
9.398584E-1	2.822766E-8
9.358041E-1	2.762282E-8
9.318116E-1	2.697773E-8
9.277934E-1	2.642847E-8
9.238046E-1	2.585743E-8
9.198146E-1	2.538889E-8
9.157925E-1	2.481468E-8
9.117343E-1	2.420455E-8
9.077525E-1	2.368208E-8
9.037576E-1	2.317381E-8
8.997380E-1	2.262145E-8
8.957438E-1	2.214009E-8
8.917640E-1	2.167010E-8
8.877381E-1	2.122879E-8
8.837174E-1	2.072809E-8
8.796921E-1	2.027435E-8
8.757055E-1	1.981859E-8
8.717207E-1	1.936606E-8
8.676970E-1	1.892906E-8
8.637070E-1	1.854482E-8
8.596525E-1	1.806949E-8
8.556640E-1	1.772996E-8
8.516453E-1	1.729634E-8
8.476478E-1	1.690044E-8
8.436619E-1	1.653415E-8
8.396438E-1	1.615961E-8
8.356166E-1	1.577254E-8
8.315951E-1	1.540516E-8
8.276038E-1	1.505542E-8
8.236184E-1	1.468865E-8
8.195953E-1	1.436994E-8
8.156100E-1	1.403076E-8
8.115518E-1	1.371279E-8
8.075638E-1	1.337718E-8
8.035457E-1	1.305648E-8
7.995524E-1	1.272530E-8
7.955701E-1	1.243953E-8
7.915406E-1	1.213751E-8
7.875540E-1	1.183619E-8
7.834953E-1	1.155459E-8
7.795116E-1	1.129925E-8
7.755194E-1	1.100544E-8
7.714980E-1	1.072142E-8
7.675118E-1	1.046255E-8
7.635221E-1	1.019028E-8
7.594658E-1	9.910590E-9
7.554455E-1	9.677474E-9
7.514544E-1	9.426489E-9
7.474659E-1	9.183157E-9
7.434453E-1	8.951673E-9
7.394559E-1	8.691493E-9
7.354012E-1	8.465704E-9
7.314129E-1	8.235189E-9
7.274247E-1	8.012246E-9
7.233998E-1	7.800115E-9
7.194123E-1	7.586691E-9
7.154241E-1	7.405913E-9
7.113669E-1	7.184221E-9
7.073475E-1	7.004116E-9
7.033551E-1	6.800561E-9
6.993717E-1	6.615565E-9
6.953454E-1	6.438572E-9
6.913578E-1	6.278571E-9
6.873687E-1	6.075998E-9
6.833172E-1	5.926519E-9
6.793253E-1	5.745389E-9
6.752991E-1	5.577402E-9
6.713144E-1	5.437649E-9
6.673223E-1	5.276078E-9
6.633013E-1	5.127099E-9
6.592473E-1	4.964701E-9
6.552566E-1	4.795770E-9
6.512700E-1	4.670500E-9
6.472453E-1	4.519878E-9
6.432620E-1	4.412668E-9
6.392711E-1	4.301928E-9
6.352105E-1	4.163073E-9
6.312271E-1	4.046270E-9
6.271988E-1	3.924298E-9
6.232175E-1	3.810178E-9
6.192265E-1	3.709079E-9
6.152052E-1	3.577308E-9
6.111475E-1	3.485723E-9
6.071624E-1	3.378005E-9
6.031719E-1	3.285157E-9
5.991487E-1	3.189082E-9
5.951633E-1	3.112123E-9
5.911753E-1	3.006119E-9
5.871499E-1	2.934600E-9
5.831238E-1	2.839069E-9
5.791062E-1	2.768896E-9
5.751145E-1	2.678815E-9
5.711257E-1	2.606957E-9
5.671059E-1	2.547635E-9
5.631196E-1	2.485418E-9
5.590593E-1	2.403672E-9
5.550749E-1	2.345689E-9
5.510473E-1	2.307099E-9
5.470593E-1	2.226824E-9
5.430681E-1	2.169715E-9
5.390493E-1	2.110431E-9
5.350282E-1	2.056301E-9
5.310057E-1	1.978369E-9
5.270184E-1	1.931279E-9
5.230290E-1	1.876436E-9
5.190081E-1	1.841912E-9
5.150173E-1	1.782710E-9
5.109628E-1	1.730965E-9
5.069730E-1	1.687644E-9
5.029541E-1	1.641976E-9
4.989594E-1	1.596809E-9
4.949760E-1	1.563503E-9
4.909502E-1	1.506018E-9
4.869629E-1	1.457080E-9
