Voltage (V)	Current (A)
-1.000062E+0	-1.200644E-7
-9.960780E-1	-1.181527E-7
-9.920491E-1	-1.159175E-7
-9.880619E-1	-1.140993E-7
-9.840027E-1	-1.119578E-7
-9.800163E-1	-1.100776E-7
-9.760255E-1	-1.080719E-7
-9.720038E-1	-1.061236E-7
-9.680133E-1	-1.042540E-7
-9.640257E-1	-1.024958E-7
-9.599687E-1	-1.006801E-7
-9.559795E-1	-9.875085E-8
-9.519572E-1	-9.710106E-8
-9.479651E-1	-9.541345E-8
-9.439787E-1	-9.372162E-8
-9.399558E-1	-9.209830E-8
-9.359333E-1	-9.035957E-8
-9.319097E-1	-8.862389E-8
-9.279227E-1	-8.701503E-8
-9.239300E-1	-8.544717E-8
-9.199073E-1	-8.379482E-8
-9.159170E-1	-8.219911E-8
-9.118632E-1	-8.064205E-8
-9.078721E-1	-7.922453E-8
-9.038528E-1	-7.767103E-8
-8.998628E-1	-7.627413E-8
-8.958719E-1	-7.474114E-8
-8.918499E-1	-7.333283E-8
-8.878604E-1	-7.202426E-8
-8.838043E-1	-7.061054E-8
-8.798149E-1	-6.942933E-8
-8.758280E-1	-6.817676E-8
-8.718038E-1	-6.684417E-8
-8.678160E-1	-6.573691E-8
-8.638245E-1	-6.441338E-8
-8.597698E-1	-6.312974E-8
-8.557780E-1	-6.199644E-8
-8.517566E-1	-6.069985E-8
-8.477661E-1	-5.962059E-8
-8.437761E-1	-5.846260E-8
-8.397574E-1	-5.732235E-8
-8.357302E-1	-5.633250E-8
-8.317099E-1	-5.529880E-8
-8.277186E-1	-5.419460E-8
-8.237310E-1	-5.313753E-8
-8.197078E-1	-5.211895E-8
-8.157191E-1	-5.112505E-8
-8.116604E-1	-5.013334E-8
-8.076741E-1	-4.917266E-8
-8.036515E-1	-4.820901E-8
-7.996622E-1	-4.737921E-8
-7.956736E-1	-4.644316E-8
-7.916867E-1	-4.555142E-8
-7.876617E-1	-4.474718E-8
-7.836038E-1	-4.384393E-8
-7.796137E-1	-4.306061E-8
-7.756246E-1	-4.223053E-8
-7.716030E-1	-4.140217E-8
-7.676122E-1	-4.060404E-8
-7.636259E-1	-3.977593E-8
-7.595658E-1	-3.900956E-8
-7.555788E-1	-3.827984E-8
-7.515557E-1	-3.758323E-8
-7.475676E-1	-3.679183E-8
