Voltage (V)	Current (A)
9.999632E-1	1.491088E-7
9.959426E-1	1.462697E-7
9.919493E-1	1.436805E-7
9.879656E-1	1.412788E-7
9.839048E-1	1.386261E-7
9.799177E-1	1.364496E-7
9.758946E-1	1.338828E-7
9.719079E-1	1.312354E-7
9.678822E-1	1.289047E-7
9.638929E-1	1.268225E-7
9.598393E-1	1.244428E-7
9.558472E-1	1.222587E-7
9.518622E-1	1.198757E-7
9.478368E-1	1.175228E-7
9.438503E-1	1.153605E-7
9.398640E-1	1.134464E-7
9.358048E-1	1.112891E-7
9.318168E-1	1.091335E-7
9.277958E-1	1.070208E-7
9.238056E-1	1.050811E-7
9.198185E-1	1.032669E-7
9.157919E-1	1.012384E-7
9.117404E-1	9.933902E-8
9.077507E-1	9.752957E-8
9.037617E-1	9.581874E-8
8.997400E-1	9.405746E-8
8.957502E-1	9.235918E-8
8.917623E-1	9.066446E-8
8.877379E-1	8.888370E-8
8.837202E-1	8.742700E-8
8.796942E-1	8.567666E-8
8.757085E-1	8.404547E-8
8.717204E-1	8.252331E-8
8.676984E-1	8.110577E-8
8.637088E-1	7.951678E-8
8.596559E-1	7.798251E-8
8.556660E-1	7.647022E-8
8.516408E-1	7.506031E-8
8.476527E-1	7.370794E-8
8.436652E-1	7.220365E-8
8.396415E-1	7.086755E-8
8.356199E-1	6.958171E-8
8.315985E-1	6.820215E-8
8.276053E-1	6.685489E-8
8.236201E-1	6.554994E-8
8.195959E-1	6.422691E-8
8.156115E-1	6.300381E-8
8.115523E-1	6.180410E-8
8.075652E-1	6.053451E-8
8.035445E-1	5.927338E-8
7.995535E-1	5.819691E-8
7.955663E-1	5.711395E-8
7.915407E-1	5.590169E-8
7.875559E-1	5.476366E-8
7.834961E-1	5.362961E-8
7.795089E-1	5.252201E-8
7.755217E-1	5.142602E-8
7.715017E-1	5.041043E-8
7.675099E-1	4.934789E-8
7.635231E-1	4.825119E-8
7.594653E-1	4.727800E-8
7.554458E-1	4.632212E-8
7.514548E-1	4.539773E-8
7.474661E-1	4.435276E-8
7.434471E-1	4.340654E-8
7.394556E-1	4.245564E-8
7.354029E-1	4.154126E-8
7.314114E-1	4.061322E-8
7.274259E-1	3.970980E-8
7.234015E-1	3.886297E-8
7.194124E-1	3.794916E-8
7.154216E-1	3.712996E-8
7.113681E-1	3.630090E-8
7.073439E-1	3.552106E-8
7.033571E-1	3.471065E-8
6.993679E-1	3.390413E-8
6.953467E-1	3.314424E-8
6.913579E-1	3.240507E-8
6.873664E-1	3.166035E-8
6.833127E-1	3.088448E-8
6.793209E-1	3.024186E-8
6.753023E-1	2.953748E-8
6.713123E-1	2.884737E-8
6.673261E-1	2.820923E-8
6.633008E-1	2.757042E-8
6.592456E-1	2.697117E-8
6.552548E-1	2.629546E-8
6.512690E-1	2.569604E-8
6.472446E-1	2.507805E-8
6.432576E-1	2.447038E-8
6.392721E-1	2.393245E-8
6.352120E-1	2.335880E-8
6.312258E-1	2.285379E-8
6.272009E-1	2.230970E-8
6.232136E-1	2.176453E-8
6.192232E-1	2.129627E-8
6.152030E-1	2.076741E-8
6.111457E-1	2.027269E-8
6.071610E-1	1.979989E-8
6.031692E-1	1.936104E-8
5.991501E-1	1.889221E-8
5.951607E-1	1.840942E-8
5.911754E-1	1.800872E-8
5.871502E-1	1.759435E-8
5.831249E-1	1.714792E-8
5.791044E-1	1.675715E-8
5.751148E-1	1.634097E-8
5.711257E-1	1.597381E-8
5.671031E-1	1.554952E-8
5.631158E-1	1.518263E-8
5.590590E-1	1.482448E-8
5.550714E-1	1.445256E-8
5.510477E-1	1.409321E-8
5.470580E-1	1.373455E-8
5.430686E-1	1.343809E-8
5.390499E-1	1.307417E-8
5.350255E-1	1.276350E-8
5.310075E-1	1.244073E-8
5.270160E-1	1.214014E-8
5.230272E-1	1.183747E-8
5.190063E-1	1.154494E-8
5.150179E-1	1.120609E-8
5.109623E-1	1.092230E-8
5.069717E-1	1.063330E-8
5.029536E-1	1.037055E-8
4.989605E-1	1.011449E-8
4.949749E-1	9.838466E-9
4.909498E-1	9.572277E-9
4.869645E-1	9.306321E-9
4.829042E-1	9.058993E-9
4.789173E-1	8.821179E-9
4.749265E-1	8.593470E-9
4.709050E-1	8.357245E-9
4.669209E-1	8.118985E-9
4.629284E-1	7.883381E-9
4.588756E-1	7.673901E-9
4.548539E-1	7.473965E-9
4.508658E-1	7.238378E-9
4.468729E-1	7.029682E-9
4.428529E-1	6.847049E-9
4.388614E-1	6.639027E-9
4.348085E-1	6.437547E-9
4.308181E-1	6.257847E-9
4.268309E-1	6.076010E-9
4.228065E-1	5.886967E-9
4.188173E-1	5.711083E-9
4.148304E-1	5.535992E-9
4.107714E-1	5.358508E-9
4.067495E-1	5.190125E-9
4.027603E-1	5.020565E-9
3.987754E-1	4.871075E-9
3.947519E-1	4.708594E-9
3.907636E-1	4.558643E-9
3.867753E-1	4.425912E-9
3.827218E-1	4.281865E-9
3.787307E-1	4.134765E-9
3.747097E-1	4.001947E-9
3.707196E-1	3.885472E-9
3.667286E-1	3.762043E-9
3.627092E-1	3.641589E-9
3.586504E-1	3.536170E-9
3.546647E-1	3.419361E-9
3.506745E-1	3.321447E-9
3.466563E-1	3.205224E-9
3.426621E-1	3.122810E-9
3.386739E-1	3.018445E-9
3.346175E-1	2.917762E-9
3.306309E-1	2.826131E-9
3.266071E-1	2.733917E-9
3.226214E-1	2.636797E-9
3.186310E-1	2.544832E-9
3.146132E-1	2.480688E-9
3.105544E-1	2.392492E-9
3.065647E-1	2.329059E-9
3.025751E-1	2.233366E-9
2.985508E-1	2.169681E-9
2.945662E-1	2.095941E-9
2.905740E-1	2.024377E-9
2.865550E-1	1.937444E-9
2.825291E-1	1.862027E-9
2.785102E-1	1.813006E-9
2.745183E-1	1.758960E-9
2.705300E-1	1.692258E-9
2.665063E-1	1.624969E-9
2.625207E-1	1.557975E-9
2.584628E-1	1.496931E-9
2.544745E-1	1.434419E-9
2.504524E-1	1.382926E-9
2.464667E-1	1.318112E-9
2.424804E-1	1.266409E-9
2.384537E-1	1.207668E-9
2.344345E-1	1.163635E-9
2.304050E-1	1.108078E-9
2.264216E-1	1.048793E-9
2.224316E-1	1.014773E-9
2.184111E-1	9.560326E-10
2.144202E-1	9.081008E-10
2.103670E-1	8.560219E-10
2.063730E-1	7.918760E-10
2.023488E-1	7.471718E-10
1.983612E-1	7.154551E-10
1.943763E-1	6.725105E-10
1.903552E-1	6.187137E-10
1.863305E-1	5.843153E-10
1.823108E-1	5.630313E-10
1.783227E-1	5.102821E-10
1.743364E-1	4.684274E-10
1.703099E-1	4.324788E-10
1.663214E-1	3.811962E-10
1.623300E-1	3.668667E-10
1.582775E-1	3.197742E-10
1.542522E-1	2.957248E-10
