! Date:	04-Nov-25
!Time:	19:12
! User Name:	Aditya Kumar
! Sample Name:	Gr-CrSBr-Gr
! Sample ID:	SHCBS2
! Current Source:	Keithley 2400
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Tcryo (K)	Tsample (K)	Hx (T)	Hy (T)	Hz (T)	|H|	phi	theta	L1_Ch1	L1_Ch2	L2_Ch1	L2_Ch2	L3_Ch1	L3_Ch2	L4_Ch1	L4_Ch2	L5_ Ch1	L5_Ch2
04-Nov-25	19:14:48	290.0002	0.0000	0.083620	-0.000190	0.795600	0.799982	84.0000	0.0000	1.999548E-1	8.434562E-7	7.370556E-10	5.053838E-12	-2.000225E-1	9.594724E-7	-7.341186E-10	6.014080E-12	2.718763E+8	7.527694E-3	
04-Nov-25	19:16:34	290.0002	0.0000	0.083630	-0.000180	0.795600	0.799983	84.0000	0.0000	1.999538E-1	1.189707E-6	7.510109E-10	4.987958E-12	-2.000231E-1	1.102121E-6	-7.349627E-10	5.732894E-12	2.691682E+8	7.220429E-3	
04-Nov-25	19:18:35	290.0002	0.0000	0.079450	-0.000170	0.755900	0.760064	84.0000	0.0000	1.999535E-1	8.330611E-7	7.454935E-10	5.906939E-12	-2.000227E-1	6.870039E-7	-7.236046E-10	3.424670E-12	2.722597E+8	6.355731E-3	
04-Nov-25	19:20:37	290.0002	0.0000	0.075270	-0.000170	0.716000	0.719946	84.0000	0.0000	1.999526E-1	1.621804E-6	7.366866E-10	3.535947E-12	-2.000238E-1	1.017060E-6	-7.261084E-10	5.338180E-12	2.734330E+8	6.073153E-3	
04-Nov-25	19:22:38	290.0002	0.0000	0.071090	-0.000160	0.676200	0.679927	84.0000	0.0000	1.999540E-1	8.242138E-7	7.402039E-10	6.737635E-12	-2.000229E-1	8.122263E-7	-7.295642E-10	3.194177E-12	2.721361E+8	6.761492E-3	
04-Nov-25	19:24:40	290.0002	0.0000	0.066910	-0.000160	0.636500	0.640007	84.0000	0.0000	1.999523E-1	1.443323E-6	7.492303E-10	5.348139E-12	-2.000231E-1	1.007443E-6	-7.260292E-10	3.635437E-12	2.711221E+8	6.095616E-3	
04-Nov-25	19:26:42	290.0002	0.0000	0.062730	-0.000150	0.596600	0.599889	84.0000	0.0000	1.999541E-1	1.776833E-6	7.538657E-10	6.580865E-12	-2.000226E-1	1.316508E-6	-7.158042E-10	5.864212E-12	2.721541E+8	8.475673E-3	
04-Nov-25	19:28:43	290.0002	0.0000	0.058550	-0.000160	0.557000	0.560069	84.0000	0.0000	1.999532E-1	8.097526E-7	7.506322E-10	5.972507E-12	-2.000232E-1	1.314260E-6	-7.143605E-10	4.927066E-12	2.730228E+8	7.445329E-3	
04-Nov-25	19:30:45	290.0002	0.0000	0.054370	-0.000160	0.517100	0.519951	84.0000	0.0000	1.999524E-1	1.281867E-6	7.390530E-10	4.927242E-12	-2.000224E-1	1.066231E-6	-7.200512E-10	6.401089E-12	2.741235E+8	7.769765E-3	
04-Nov-25	19:35:40	290.0002	0.0000	0.050180	-0.000160	0.477400	0.480030	84.0000	0.0000	1.999515E-1	1.751593E-6	7.458523E-10	7.254822E-12	-2.000237E-1	1.237541E-6	-6.896239E-10	6.210421E-12	2.786359E+8	9.387805E-3	
