! Date:	06-Nov-25
!Time:	10:45
! User Name:	Aditya Kumar
! Sample Name:	Gr-CrSBr-Gr
! Sample ID:	SHCBS2
! Current Source:	Keithley 2400
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Tcryo (K)	Tsample (K)	Hx (T)	Hy (T)	Hz (T)	|H|	phi	theta	L1_Ch1	L1_Ch2	L2_Ch1	L2_Ch2	L3_Ch1	L3_Ch2	L4_Ch1	L4_Ch2	L5_ Ch1	L5_Ch2
06-Nov-25	10:53:05	20.0001	0.0000	0.094070	-0.000220	0.895000	0.899930	84.0000	0.0000	1.999524E-1	7.404368E-7	8.360322E-9	1.496920E-11	-2.000253E-1	1.024178E-6	-7.136713E-9	1.524219E-11	2.580996E+7	1.953906E-3	
06-Nov-25	10:54:51	20.0001	0.0000	0.094080	-0.000220	0.895000	0.899931	84.0000	0.0000	1.999520E-1	7.540891E-7	8.337161E-9	1.162450E-11	-2.000265E-1	5.259040E-7	-7.130519E-9	1.649056E-11	2.585899E+7	1.820866E-3	
06-Nov-25	10:57:07	20.0002	0.0000	0.089900	-0.000190	0.855400	0.860111	84.0000	0.0000	1.999520E-1	6.627567E-7	8.326839E-9	1.630900E-11	-2.000258E-1	7.237435E-7	-7.115725E-9	1.617114E-11	2.590100E+7	2.106753E-3	
06-Nov-25	10:59:17	20.0005	0.0000	0.085720	-0.000190	0.815500	0.819993	84.0000	0.0000	1.999525E-1	7.694022E-7	8.309681E-9	1.702387E-11	-2.000262E-1	5.630865E-7	-7.098494E-9	1.277498E-11	2.595886E+7	1.937295E-3	
06-Nov-25	11:01:18	20.0001	0.0000	0.081540	-0.000190	0.775600	0.779874	84.0000	0.0000	1.999524E-1	7.372652E-7	8.317808E-9	1.450474E-11	-2.000260E-1	5.967960E-7	-7.093700E-9	2.332432E-11	2.595323E+7	2.457933E-3	
06-Nov-25	11:03:20	20.0001	0.0000	0.077360	-0.000170	0.736000	0.740054	84.0000	0.0000	1.999522E-1	6.106186E-7	8.303060E-9	1.235533E-11	-2.000269E-1	4.658315E-7	-7.068903E-9	1.615459E-11	2.602004E+7	1.857362E-3	
06-Nov-25	11:05:22	19.9994	0.0000	0.073180	-0.000170	0.696100	0.699936	84.0000	0.0000	1.999523E-1	5.666080E-7	8.286417E-9	1.431835E-11	-2.000254E-1	7.243415E-7	-7.047549E-9	1.308808E-11	2.608443E+7	1.790530E-3	
06-Nov-25	11:07:24	20.0001	0.0000	0.069000	-0.000170	0.656400	0.660017	84.0000	0.0000	1.999519E-1	6.080076E-7	8.280913E-9	1.663392E-11	-2.000262E-1	5.283528E-7	-6.999084E-9	1.011396E-11	2.617658E+7	1.753357E-3	
06-Nov-25	11:09:29	20.0006	0.0000	0.064820	-0.000160	0.616600	0.619998	84.0000	0.0000	1.999526E-1	8.369263E-7	8.311100E-9	1.250985E-11	-2.000248E-1	5.811790E-7	-6.957171E-9	1.456982E-11	2.619664E+7	1.777137E-3	
06-Nov-25	11:11:31	20.0000	0.0000	0.060640	-0.000160	0.576900	0.580078	84.0000	0.0000	1.999530E-1	6.853735E-7	8.294827E-9	1.437423E-11	-2.000248E-1	6.388017E-7	-6.870638E-9	1.298093E-11	2.637425E+7	1.807090E-3	
06-Nov-25	11:13:33	19.9993	0.0000	0.056460	-0.000160	0.537000	0.539960	84.0000	0.0000	1.999528E-1	8.226908E-7	8.280805E-9	1.502148E-11	-2.000251E-1	5.576997E-7	-6.786087E-9	1.331118E-11	2.654681E+7	1.883909E-3	
06-Nov-25	11:15:35	19.9994	0.0000	0.052270	-0.000160	0.497100	0.499841	84.0000	0.0000	1.999525E-1	8.007545E-7	8.212085E-9	1.670966E-11	-2.000257E-1	9.686874E-7	-6.605748E-9	1.501805E-11	2.699303E+7	2.145608E-3	
06-Nov-25	11:17:36	20.0003	0.0000	0.048090	-0.000160	0.457500	0.460021	84.0000	0.0000	1.999523E-1	1.039438E-6	8.153746E-9	1.204763E-11	-2.000261E-1	7.130674E-7	-6.289281E-9	1.059974E-11	2.769353E+7	1.572430E-3	
06-Nov-25	11:19:38	19.9999	0.0000	0.043910	-0.000160	0.417600	0.419902	84.0000	0.0000	1.999522E-1	6.649202E-7	7.878798E-9	1.350008E-11	-2.000265E-1	7.109317E-7	-5.904295E-9	9.906891E-12	2.901951E+7	1.701678E-3	
06-Nov-25	11:21:40	20.0005	0.0000	0.039740	-0.000170	0.377900	0.379984	84.0000	0.0000	1.999512E-1	6.892556E-7	6.137145E-9	1.015217E-11	-2.000251E-1	6.532892E-7	-5.179231E-9	8.959633E-12	3.534491E+7	1.692219E-3	
06-Nov-25	11:23:42	19.9996	0.0000	0.035560	-0.000160	0.338100	0.339965	84.0000	0.0000	1.999519E-1	6.538350E-7	4.125689E-9	1.009098E-11	-2.000258E-1	7.368987E-7	-4.627147E-9	1.359308E-11	4.569692E+7	2.709349E-3	
06-Nov-25	11:25:44	19.9999	0.0000	0.031370	-0.000170	0.298400	0.300044	84.0000	0.0000	1.999520E-1	8.739494E-7	4.101976E-9	1.103816E-11	-2.000260E-1	6.942912E-7	-4.400336E-9	1.250238E-11	4.704344E+7	2.772643E-3	
06-Nov-25	11:27:46	20.0002	0.0000	0.027190	-0.000170	0.258500	0.259926	84.0000	0.0000	1.999514E-1	7.970970E-7	2.157308E-9	6.777875E-12	-2.000250E-1	6.187195E-7	-2.783749E-9	7.682233E-12	8.094958E+7	2.930061E-3	
06-Nov-25	11:29:47	20.0000	0.0000	0.023010	-0.000180	0.218800	0.220007	84.0000	0.0000	1.999519E-1	6.890167E-7	2.105848E-9	6.473949E-12	-2.000249E-1	8.163869E-7	-2.713168E-9	9.324054E-12	8.299967E+7	3.282027E-3	
