! Date:	08-Nov-25
!Time:	02:18
! User Name:	Aditya Kumar
! Sample Name:	Gr-CrSBr-Gr
! Sample ID:	SHCBS2
! Current Source:	Keithley 2400
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Tcryo (K)	Tsample (K)	Hx (T)	Hy (T)	Hz (T)	|H|	phi	theta	L1_Ch1	L1_Ch2	L2_Ch1	L2_Ch2	L3_Ch1	L3_Ch2	L4_Ch1	L4_Ch2	L5_ Ch1	L5_Ch2
08-Nov-25	02:24:06	60.0005	0.0000	0.094080	-0.000160	0.895000	0.899931	84.0000	0.0000	9.997389E-2	9.276214E-7	1.575661E-8	8.204187E-12	-1.000471E-1	1.086441E-6	-1.601517E-8	2.121759E-11	6.295554E+6	9.361039E-4	
08-Nov-25	02:25:52	59.9999	0.0000	0.094080	-0.000170	0.895000	0.899931	84.0000	0.0000	9.997466E-2	9.566158E-7	1.578108E-8	1.028767E-11	-1.000464E-1	8.365275E-7	-1.605194E-8	2.717160E-11	6.283445E+6	1.185707E-3	
08-Nov-25	02:28:10	60.0000	0.0000	0.089900	-0.000170	0.855400	0.860111	84.0000	0.0000	9.997536E-2	7.294797E-7	1.580010E-8	1.086608E-11	-1.000458E-1	4.230369E-7	-1.606789E-8	1.972287E-11	6.276556E+6	9.656266E-4	
08-Nov-25	02:30:19	60.0006	0.0000	0.085720	-0.000160	0.815500	0.819993	84.0000	0.0000	9.997466E-2	1.075006E-6	1.578557E-8	1.022857E-11	-1.000461E-1	1.017327E-6	-1.607749E-8	2.336639E-11	6.277511E+6	1.064815E-3	
08-Nov-25	02:32:21	60.0001	0.0000	0.081540	-0.000160	0.775600	0.779874	84.0000	0.0000	9.997394E-2	1.168865E-6	1.578178E-8	1.210137E-11	-1.000468E-1	1.079118E-6	-1.607272E-8	1.870814E-11	6.279198E+6	9.784335E-4	
08-Nov-25	02:34:23	59.9995	0.0000	0.077360	-0.000170	0.736000	0.740054	84.0000	0.0000	9.997443E-2	9.856199E-7	1.577241E-8	1.401372E-11	-1.000465E-1	7.088240E-7	-1.604246E-8	2.344888E-11	6.287026E+6	1.185990E-3	
08-Nov-25	02:36:25	60.0009	0.0000	0.073180	-0.000160	0.696100	0.699936	84.0000	0.0000	9.997481E-2	5.930489E-7	1.575495E-8	1.038153E-11	-1.000466E-1	5.332211E-7	-1.602677E-8	1.616214E-11	6.293599E+6	8.408179E-4	
08-Nov-25	02:38:27	60.0010	0.0000	0.069000	-0.000170	0.656400	0.660017	84.0000	0.0000	9.997462E-2	8.549631E-7	1.575892E-8	1.213246E-11	-1.000472E-1	8.495853E-7	-1.603262E-8	1.834083E-11	6.291666E+6	9.670562E-4	
08-Nov-25	02:40:28	59.9992	0.0000	0.064820	-0.000170	0.616600	0.619998	84.0000	0.0000	9.997473E-2	7.872310E-7	1.570645E-8	1.075508E-11	-1.000466E-1	7.220585E-7	-1.596988E-8	1.907437E-11	6.314534E+6	9.492405E-4	
08-Nov-25	02:42:30	60.0009	0.0000	0.060640	-0.000170	0.576900	0.580078	84.0000	0.0000	9.997470E-2	7.705035E-7	1.569163E-8	1.026728E-11	-1.000459E-1	6.215912E-7	-1.595202E-8	1.802696E-11	6.321034E+6	9.011120E-4	
