! Date:	11-Nov-25
!Time:	00:21
! User Name:	Aditya Kumar
! Sample Name:	Gr-CrSBr-Gr
! Sample ID:	SHCBS2
! Current Source:	Keithley 2400
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Tcryo (K)	Tsample (K)	Hx (T)	Hy (T)	Hz (T)	|H|	phi	theta	L1_Ch1	L1_Ch2	L2_Ch1	L2_Ch2	L3_Ch1	L3_Ch2	L4_Ch1	L4_Ch2	L5_ Ch1	L5_Ch2
11-Nov-25	00:29:15	3.2751	0.0000	0.094080	-0.000200	0.895000	0.899931	84.0000	0.0000	9.999615E-1	1.270255E-6	7.052443E-8	1.154001E-10	-1.000058E+0	7.744629E-7	-4.820541E-8	3.119368E-10	1.684513E+7	3.600259E-3	
11-Nov-25	00:31:19	3.2755	0.0000	0.094080	-0.000200	0.895000	0.899931	84.0000	0.0000	9.999605E-1	1.125923E-6	7.108640E-8	1.845584E-10	-1.000059E+0	5.591411E-7	-4.913661E-8	2.113618E-10	1.663591E+7	3.294058E-3	
11-Nov-25	00:33:55	3.2757	0.0000	0.089900	-0.000180	0.855400	0.860111	84.0000	0.0000	9.999613E-1	8.245573E-7	6.999137E-8	1.654712E-10	-1.000059E+0	8.246721E-7	-4.862412E-8	2.605585E-10	1.686137E+7	3.592511E-3	
11-Nov-25	00:36:22	3.2758	0.0000	0.085720	-0.000180	0.815500	0.819993	84.0000	0.0000	9.999622E-1	1.250050E-6	7.046660E-8	1.502558E-10	-1.000059E+0	4.983557E-7	-4.882687E-8	2.072403E-10	1.676556E+7	2.997653E-3	
11-Nov-25	00:38:41	3.2759	0.0000	0.081540	-0.000160	0.775600	0.779874	84.0000	0.0000	9.999615E-1	1.152535E-6	7.038812E-8	2.824008E-10	-1.000059E+0	8.055820E-7	-4.867172E-8	1.339718E-10	1.679845E+7	3.498150E-3	
11-Nov-25	00:41:01	3.2758	0.0000	0.077360	-0.000170	0.736000	0.740054	84.0000	0.0000	9.999607E-1	1.195129E-6	7.067576E-8	1.296179E-10	-1.000059E+0	7.701695E-7	-4.897097E-8	2.040673E-10	1.671604E+7	2.789903E-3	
11-Nov-25	00:43:20	3.2754	0.0000	0.073180	-0.000160	0.696100	0.699936	84.0000	0.0000	9.999596E-1	1.128046E-6	7.049483E-8	1.427332E-10	-1.000060E+0	1.057474E-6	-4.860666E-8	1.939074E-10	1.679256E+7	2.827594E-3	
11-Nov-25	00:45:40	3.2747	0.0000	0.069000	-0.000150	0.656400	0.660017	84.0000	0.0000	9.999612E-1	1.480501E-6	7.050421E-8	1.253994E-10	-1.000059E+0	8.560965E-7	-4.907338E-8	1.612841E-10	1.672571E+7	2.398637E-3	
11-Nov-25	00:47:59	3.2736	0.0000	0.064820	-0.000150	0.616600	0.619998	84.0000	0.0000	9.999600E-1	1.442876E-6	7.072242E-8	1.766058E-10	-1.000059E+0	8.316219E-7	-4.927104E-8	1.833613E-10	1.666774E+7	3.001027E-3	
11-Nov-25	00:50:19	3.2725	0.0000	0.060640	-0.000150	0.576900	0.580078	84.0000	0.0000	9.999603E-1	1.100132E-6	7.007338E-8	1.615138E-10	-1.000059E+0	8.129572E-7	-4.937857E-8	1.218863E-10	1.674330E+7	2.373459E-3	
