! Date:	17-Nov-25
!Time:	11:34
! User Name:	Aditya Kumar
! Sample Name:	Gr-CrSBr-Gr
! Sample ID:	SHCBS2
! Current Source:	Keithley 2400
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Tcryo (K)	Tsample (K)	Hx (T)	Hy (T)	Hz (T)	|H|	phi	theta	L1_Ch1	L1_Ch2	L2_Ch1	L2_Ch2	L3_Ch1	L3_Ch2	L4_Ch1	L4_Ch2	L5_ Ch1	L5_Ch2
17-Nov-25	11:42:08	100.0014	0.0000	0.094080	-0.000210	0.895000	0.899931	84.0000	0.0000	1.999677E-1	6.346110E-7	3.447906E-7	2.511771E-11	-2.000387E-1	7.869629E-7	-3.032322E-7	2.683050E-11	6.172721E+5	8.371806E-5	
17-Nov-25	11:43:53	100.0000	0.0000	0.094080	-0.000190	0.895000	0.899931	84.0000	0.0000	1.999676E-1	6.239685E-7	3.446704E-7	2.261093E-11	-2.000393E-1	6.296265E-7	-3.031313E-7	2.701144E-11	6.174835E+5	7.973510E-5	
17-Nov-25	11:46:10	100.0012	0.0000	0.089900	-0.000180	0.855400	0.860111	84.0000	0.0000	1.999651E-1	7.423845E-7	3.438434E-7	2.484754E-11	-2.000404E-1	5.362852E-7	-3.023281E-7	2.512693E-11	6.190392E+5	8.053596E-5	
17-Nov-25	11:48:18	100.0006	0.0000	0.085720	-0.000190	0.815500	0.819993	84.0000	0.0000	1.999659E-1	7.780290E-7	3.429923E-7	3.447273E-11	-2.000384E-1	6.874078E-7	-3.015385E-7	3.335773E-11	6.206132E+5	1.089036E-4	
17-Nov-25	11:50:18	99.9977	0.0000	0.081540	-0.000180	0.775600	0.779874	84.0000	0.0000	1.999656E-1	9.734831E-7	3.419559E-7	3.055363E-11	-2.000402E-1	8.178788E-7	-3.005606E-7	3.238523E-11	6.225611E+5	1.024351E-4	
17-Nov-25	11:52:19	100.0015	0.0000	0.077360	-0.000170	0.736000	0.740054	84.0000	0.0000	1.999652E-1	5.813758E-7	3.409963E-7	1.813008E-11	-2.000398E-1	5.296540E-7	-2.996869E-7	3.142029E-11	6.243413E+5	8.011743E-5	
17-Nov-25	11:54:20	99.9995	0.0000	0.073180	-0.000170	0.696100	0.699936	84.0000	0.0000	1.999652E-1	7.015045E-7	3.399991E-7	3.068707E-11	-2.000409E-1	7.493956E-7	-2.987963E-7	3.546906E-11	6.261882E+5	1.071911E-4	
17-Nov-25	11:56:20	100.0001	0.0000	0.069000	-0.000160	0.656400	0.660017	84.0000	0.0000	1.999651E-1	8.667161E-7	3.389562E-7	3.045545E-11	-2.000405E-1	8.115991E-7	-2.977802E-7	2.338717E-11	6.282122E+5	8.875604E-5	
17-Nov-25	11:58:21	100.0010	0.0000	0.064820	-0.000160	0.616600	0.619998	84.0000	0.0000	1.999654E-1	7.534606E-7	3.378481E-7	2.362239E-11	-2.000398E-1	6.292502E-7	-2.967664E-7	2.035803E-11	6.303120E+5	7.275931E-5	
17-Nov-25	12:00:21	100.0006	0.0000	0.060640	-0.000140	0.576900	0.580078	84.0000	0.0000	1.999661E-1	6.564397E-7	3.366547E-7	1.970810E-11	-2.000386E-1	7.454553E-7	-2.957002E-7	2.704648E-11	6.325637E+5	7.744195E-5	
17-Nov-25	12:02:22	99.9977	0.0000	0.056460	-0.000170	0.537000	0.539960	84.0000	0.0000	1.999652E-1	6.464013E-7	3.353322E-7	2.954789E-11	-2.000398E-1	7.381827E-7	-2.943981E-7	3.542522E-11	6.352006E+5	1.066375E-4	
17-Nov-25	12:04:23	99.9979	0.0000	0.052270	-0.000160	0.497100	0.499841	84.0000	0.0000	1.999663E-1	7.460895E-7	3.339959E-7	2.794985E-11	-2.000391E-1	6.807901E-7	-2.930729E-7	3.643949E-11	6.378972E+5	1.062502E-4	
17-Nov-25	12:06:23	100.0002	0.0000	0.048090	-0.000160	0.457500	0.460021	84.0000	0.0000	1.999672E-1	9.218883E-7	3.324146E-7	1.723710E-11	-2.000381E-1	5.874775E-7	-2.917242E-7	3.267286E-11	6.408915E+5	8.373948E-5	
17-Nov-25	12:08:24	99.9977	0.0000	0.043910	-0.000160	0.417600	0.419902	84.0000	0.0000	1.999665E-1	9.495197E-7	3.307873E-7	2.954128E-11	-2.000377E-1	7.343380E-7	-2.900603E-7	3.612960E-11	6.442874E+5	1.099858E-4	
17-Nov-25	12:10:25	99.9990	0.0000	0.039740	-0.000170	0.377900	0.379984	84.0000	0.0000	1.999648E-1	7.481570E-7	3.288107E-7	2.942906E-11	-2.000391E-1	7.508017E-7	-2.881900E-7	3.081796E-11	6.483039E+5	1.013923E-4	
17-Nov-25	12:12:25	100.0011	0.0000	0.035560	-0.000170	0.338100	0.339965	84.0000	0.0000	1.999645E-1	7.480734E-7	3.263007E-7	2.904167E-11	-2.000397E-1	7.825229E-7	-2.857552E-7	2.884176E-11	6.535419E+5	9.839857E-5	
17-Nov-25	12:14:26	99.9999	0.0000	0.031370	-0.000150	0.298400	0.300044	84.0000	0.0000	1.999655E-1	7.610629E-7	3.225464E-7	3.019994E-11	-2.000386E-1	5.682516E-7	-2.819027E-7	2.869764E-11	6.617665E+5	1.007633E-4	
17-Nov-25	12:16:27	100.0009	0.0000	0.027200	-0.000170	0.258500	0.259927	84.0000	0.0000	1.999647E-1	5.851858E-7	3.153023E-7	3.233577E-11	-2.000376E-1	6.550683E-7	-2.750070E-7	3.568709E-11	6.776148E+5	1.183332E-4	
17-Nov-25	12:18:27	99.9999	0.0000	0.023010	-0.000170	0.218800	0.220007	84.0000	0.0000	1.999598E-1	7.574716E-7	1.868622E-7	1.077272E-10	-2.000341E-1	7.639579E-7	-1.761945E-7	8.886299E-11	1.101740E+6	5.452897E-4	
17-Nov-25	12:20:28	99.9993	0.0000	0.018830	-0.000160	0.179000	0.179988	84.0000	0.0000	1.999580E-1	7.842613E-7	1.414319E-7	5.895027E-11	-2.000318E-1	7.593381E-7	-1.292326E-7	7.030771E-11	1.477807E+6	4.814170E-4	
17-Nov-25	12:22:29	99.9981	0.0000	0.014650	-0.000160	0.139100	0.139869	84.0000	0.0000	1.999579E-1	7.090182E-7	1.389609E-7	4.936422E-11	-2.000324E-1	5.659284E-7	-1.271508E-7	9.664366E-11	1.503092E+6	5.518589E-4	
17-Nov-25	12:24:30	99.9979	0.0000	0.010470	-0.000180	0.099400	0.099950	84.0000	0.0000	1.999582E-1	8.756986E-7	1.382194E-7	5.983876E-11	-2.000314E-1	6.562333E-7	-1.264098E-7	7.816494E-11	1.511510E+6	5.253283E-4	
17-Nov-25	12:26:31	99.9995	0.0000	0.006290	-0.000170	0.059600	0.059931	84.0000	0.0000	1.999576E-1	6.584403E-7	1.338960E-7	3.854450E-11	-2.000316E-1	4.051253E-7	-1.214842E-7	1.031384E-10	1.566250E+6	5.574511E-4	
17-Nov-25	12:28:31	99.9999	0.0000	0.002100	-0.000180	0.019900	0.020011	84.0000	0.0000	1.999586E-1	7.559311E-7	1.336814E-7	4.980594E-11	-2.000320E-1	6.015469E-7	-1.213759E-7	8.993182E-11	1.568238E+6	5.512619E-4	
17-Nov-25	12:30:32	99.9986	0.0000	-0.002080	-0.000190	-0.019900	0.020009	84.0000	0.0000	1.999586E-1	7.084678E-7	1.346566E-7	4.206515E-11	-2.000309E-1	5.969132E-7	-1.237214E-7	1.152750E-10	1.548078E+6	6.122169E-4	
17-Nov-25	12:32:33	99.9993	0.0000	-0.006260	-0.000180	-0.059600	0.059928	84.0000	0.0000	1.999596E-1	9.592267E-7	1.348654E-7	3.214402E-11	-2.000306E-1	6.817440E-7	-1.239970E-7	8.712960E-11	1.545185E+6	4.648632E-4	
17-Nov-25	12:34:53	99.9986	0.0000	-0.010440	-0.000180	-0.099400	0.099947	84.0000	0.0000	1.999585E-1	8.617450E-7	1.394632E-7	4.442240E-11	-2.000317E-1	5.956813E-7	-1.278741E-7	8.200692E-11	1.496200E+6	4.765643E-4	
17-Nov-25	12:36:54	99.9970	0.0000	-0.014620	-0.000180	-0.139100	0.139866	84.0000	0.0000	1.999583E-1	6.326223E-7	1.397827E-7	4.798837E-11	-2.000314E-1	7.389043E-7	-1.283711E-7	8.678291E-11	1.491643E+6	5.060184E-4	
17-Nov-25	12:38:54	100.0012	0.0000	-0.018800	-0.000170	-0.179000	0.179985	84.0000	0.0000	1.999591E-1	7.664568E-7	1.411158E-7	4.892338E-11	-2.000320E-1	6.070445E-7	-1.298598E-7	1.231469E-10	1.476115E+6	6.384367E-4	
17-Nov-25	12:40:55	100.0005	0.0000	-0.022970	-0.000190	-0.218800	0.220002	84.0000	0.0000	1.999592E-1	9.193135E-7	1.580963E-7	4.773839E-11	-2.000324E-1	5.800247E-7	-1.502124E-7	8.384280E-11	1.297374E+6	4.305324E-4	
17-Nov-25	12:42:56	99.9978	0.0000	-0.027150	-0.000190	-0.258500	0.259922	84.0000	0.0000	1.999661E-1	9.120140E-7	3.140119E-7	2.454439E-11	-2.000375E-1	7.538122E-7	-2.739197E-7	3.471109E-11	6.803575E+5	1.049509E-4	
17-Nov-25	12:44:56	99.9980	0.0000	-0.031330	-0.000190	-0.298400	0.300040	84.0000	0.0000	1.999676E-1	7.919436E-7	3.220709E-7	2.645732E-11	-2.000368E-1	7.607924E-7	-2.814679E-7	4.160337E-11	6.627650E+5	1.166512E-4	
17-Nov-25	12:46:57	100.0007	0.0000	-0.035510	-0.000190	-0.338100	0.339960	84.0000	0.0000	1.999680E-1	6.542453E-7	3.260443E-7	2.334791E-11	-2.000365E-1	4.778396E-7	-2.854263E-7	3.876577E-11	6.541681E+5	1.044110E-4	
17-Nov-25	12:48:58	100.0001	0.0000	-0.039690	-0.000180	-0.377900	0.379979	84.0000	0.0000	1.999678E-1	8.977637E-7	3.285928E-7	3.217139E-11	-2.000370E-1	7.614834E-7	-2.879542E-7	3.924665E-11	6.487822E+5	1.199836E-4	
17-Nov-25	12:50:58	99.9996	0.0000	-0.043870	-0.000190	-0.417600	0.419898	84.0000	0.0000	1.999681E-1	5.687860E-7	3.306032E-7	3.051849E-11	-2.000367E-1	9.397003E-7	-2.898761E-7	3.273268E-11	6.446705E+5	1.057104E-4	
17-Nov-25	12:52:59	100.0001	0.0000	-0.048050	-0.000170	-0.457500	0.460016	84.0000	0.0000	1.999668E-1	5.740223E-7	3.323358E-7	2.409729E-11	-2.000381E-1	3.939819E-7	-2.915642E-7	3.480239E-11	6.411363E+5	9.682562E-5	
17-Nov-25	12:55:00	99.9973	0.0000	-0.052230	-0.000180	-0.497100	0.499836	84.0000	0.0000	1.999669E-1	1.115773E-6	3.338100E-7	2.891810E-11	-2.000381E-1	1.025153E-6	-2.929946E-7	3.209289E-11	6.381654E+5	1.026888E-4	
17-Nov-25	12:57:19	99.9987	0.0000	-0.056400	-0.000180	-0.537000	0.539954	84.0000	0.0000	1.999667E-1	7.247006E-7	3.352486E-7	3.257363E-11	-2.000381E-1	6.606695E-7	-2.942644E-7	3.797366E-11	6.354195E+5	1.155298E-4	
17-Nov-25	12:59:20	99.9990	0.0000	-0.060580	-0.000170	-0.576900	0.580072	84.0000	0.0000	1.999658E-1	1.293400E-6	3.364705E-7	2.567521E-11	-2.000391E-1	1.182592E-6	-2.954625E-7	4.491470E-11	6.329863E+5	1.178946E-4	
17-Nov-25	13:01:21	99.9968	0.0000	-0.064780	-0.000170	-0.616600	0.619994	84.0000	0.0000	1.999668E-1	8.932365E-7	3.377040E-7	2.482121E-11	-2.000392E-1	6.065267E-7	-2.965919E-7	3.133367E-11	6.306298E+5	9.228039E-5	
17-Nov-25	13:03:21	99.9993	0.0000	-0.068960	-0.000170	-0.656400	0.660012	84.0000	0.0000	1.999665E-1	1.219694E-6	3.388400E-7	2.324328E-11	-2.000392E-1	7.878699E-7	-2.976718E-7	2.474455E-11	6.284341E+5	8.041073E-5	
17-Nov-25	13:05:22	99.9975	0.0000	-0.073140	-0.000160	-0.696100	0.699932	84.0000	0.0000	1.999670E-1	1.465228E-6	3.398189E-7	3.200551E-11	-2.000393E-1	1.213614E-6	-2.985322E-7	3.015251E-11	6.266243E+5	1.040698E-4	
17-Nov-25	13:07:23	99.9996	0.0000	-0.077310	-0.000160	-0.736000	0.740049	84.0000	0.0000	1.999668E-1	1.661336E-6	3.408008E-7	3.519825E-11	-2.000390E-1	9.901976E-7	-2.994888E-7	3.443480E-11	6.247263E+5	1.153812E-4	
17-Nov-25	13:09:23	100.0024	0.0000	-0.081490	-0.000150	-0.775600	0.779869	84.0000	0.0000	1.999673E-1	1.660042E-6	3.417361E-7	3.262245E-11	-2.000388E-1	1.316658E-6	-3.003388E-7	3.937408E-11	6.229897E+5	1.195727E-4	
17-Nov-25	13:12:09	100.0002	0.0000	-0.085660	-0.000150	-0.815500	0.819987	84.0000	0.0000	1.999687E-1	1.506719E-6	3.425849E-7	3.118906E-11	-2.000390E-1	1.194945E-6	-3.011728E-7	2.841484E-11	6.213636E+5	9.934149E-5	
17-Nov-25	13:14:18	100.0004	0.0000	-0.089840	-0.000160	-0.855100	0.859807	84.0000	0.0000	1.999683E-1	8.786729E-7	3.434962E-7	3.444585E-11	-2.000384E-1	9.396826E-7	-3.019438E-7	2.985525E-11	6.197426E+5	1.041695E-4	
17-Nov-25	13:28:08	100.0015	0.0000	-0.094020	-0.000120	-0.895000	0.899925	84.0000	0.0000	1.999708E-1	1.399858E-6	3.443080E-7	3.903946E-11	-2.000365E-1	9.212815E-7	-3.027312E-7	3.318942E-11	6.182118E+5	1.174326E-4	
17-Nov-25	13:29:53	100.0000	0.0000	-0.094020	-0.000110	-0.895000	0.899925	84.0000	0.0000	1.999691E-1	1.403702E-6	3.443496E-7	2.850575E-11	-2.000371E-1	7.160976E-7	-3.027272E-7	3.332192E-11	6.181743E+5	1.008486E-4	
17-Nov-25	13:32:29	100.0013	0.0000	-0.089840	-0.000120	-0.855400	0.860105	84.0000	0.0000	1.999701E-1	1.041195E-6	3.434832E-7	3.430922E-11	-2.000367E-1	9.516395E-7	-3.019499E-7	2.721571E-11	6.197494E+5	1.003055E-4	
17-Nov-25	13:34:37	99.9994	0.0000	-0.085660	-0.000120	-0.815500	0.819987	84.0000	0.0000	1.999706E-1	9.540340E-7	3.426204E-7	2.562403E-11	-2.000358E-1	6.281407E-7	-3.011607E-7	3.309583E-11	6.213390E+5	9.516629E-5	
17-Nov-25	13:36:37	99.9993	0.0000	-0.081490	-0.000130	-0.775600	0.779869	84.0000	0.0000	1.999686E-1	6.693243E-7	3.417628E-7	2.869384E-11	-2.000382E-1	5.775631E-7	-3.003462E-7	2.891826E-11	6.229578E+5	9.284041E-5	
17-Nov-25	13:38:38	99.9974	0.0000	-0.077310	-0.000130	-0.736000	0.740049	84.0000	0.0000	1.999696E-1	5.400289E-7	3.408047E-7	2.642642E-11	-2.000368E-1	7.245612E-7	-2.994495E-7	3.098988E-11	6.247619E+5	9.283877E-5	
17-Nov-25	13:40:39	99.9991	0.0000	-0.073130	-0.000130	-0.696100	0.699931	84.0000	0.0000	1.999691E-1	7.875147E-7	3.396895E-7	2.942483E-11	-2.000363E-1	6.684091E-7	-2.984999E-7	2.288999E-11	6.267816E+5	8.561359E-5	
17-Nov-25	13:42:39	100.0012	0.0000	-0.068950	-0.000110	-0.656400	0.660011	84.0000	0.0000	1.999701E-1	6.766434E-7	3.387261E-7	1.955237E-11	-2.000361E-1	7.338132E-7	-2.974888E-7	4.726821E-11	6.287281E+5	1.085544E-4	
17-Nov-25	13:44:40	100.0013	0.0000	-0.064770	-0.000120	-0.616600	0.619993	84.0000	0.0000	1.999702E-1	7.101942E-7	3.376771E-7	1.664585E-11	-2.000354E-1	5.156713E-7	-2.965166E-7	2.562667E-11	6.307309E+5	6.972016E-5	
17-Nov-25	13:46:41	100.0000	0.0000	-0.060580	-0.000120	-0.576900	0.580072	84.0000	0.0000	1.999699E-1	6.156200E-7	3.364975E-7	2.862467E-11	-2.000358E-1	5.380764E-7	-2.954173E-7	2.555578E-11	6.330058E+5	8.862430E-5	
17-Nov-25	13:48:41	99.9992	0.0000	-0.056400	-0.000130	-0.537000	0.539954	84.0000	0.0000	1.999704E-1	6.736869E-7	3.352120E-7	3.120135E-11	-2.000353E-1	6.669009E-7	-2.942034E-7	3.965879E-11	6.355195E+5	1.159323E-4	
