! Date:	24-Nov-25
!Time:	08:45
! User Name:	Aditya Kumar
! Sample Name:	Gr-CrSBr-Gr
! Sample ID:	SHCBS2
! Current Source:	Keithley 2400
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Tcryo (K)	Tsample (K)	Hx (T)	Hy (T)	Hz (T)	|H|	phi	theta	L1_Ch1	L1_Ch2	L2_Ch1	L2_Ch2	L3_Ch1	L3_Ch2	L4_Ch1	L4_Ch2	L5_ Ch1	L5_Ch2
24-Nov-25	08:52:59	139.9151	0.0000	0.094070	-0.000230	0.895000	0.899930	84.0000	0.0000	9.998600E-2	7.708661E-7	2.973253E-7	3.430728E-11	-1.000586E-1	6.210779E-7	-2.833656E-7	2.478746E-11	3.444942E+5	1.087244E-4	
24-Nov-25	08:54:44	139.9619	0.0000	0.094080	-0.000230	0.895000	0.899931	84.0000	0.0000	9.998576E-2	5.738539E-7	2.975954E-7	3.199191E-11	-1.000582E-1	7.677230E-7	-2.835982E-7	2.573804E-11	3.441951E+5	1.060364E-4	
24-Nov-25	08:57:12	139.9954	0.0000	0.087810	-0.000210	0.000700	0.087813	84.0000	0.0000	9.998530E-2	7.035550E-7	2.963772E-7	3.025950E-11	-1.000589E-1	6.563897E-7	-2.823673E-7	3.062469E-11	3.456520E+5	1.119987E-4	
24-Nov-25	08:59:21	140.0471	0.0000	0.081540	-0.000190	0.775600	0.779874	84.0000	0.0000	9.998404E-2	7.644716E-7	2.947594E-7	2.722771E-11	-1.000605E-1	5.647024E-7	-2.808002E-7	3.616488E-11	3.475653E+5	1.167852E-4	
24-Nov-25	09:01:30	139.8990	0.0000	0.075260	-0.000210	0.716000	0.719945	84.0000	0.0000	9.998426E-2	5.461049E-7	2.930935E-7	2.860188E-11	-1.000599E-1	5.861623E-7	-2.791822E-7	1.937524E-11	3.495591E+5	8.949576E-5	
24-Nov-25	09:03:38	139.9711	0.0000	0.069000	-0.000190	0.000700	0.069004	84.0000	0.0000	9.998417E-2	6.451496E-7	2.911363E-7	3.131387E-11	-1.000599E-1	6.442201E-7	-2.772545E-7	2.457171E-11	3.519482E+5	1.047679E-4	
24-Nov-25	09:05:47	140.0641	0.0000	0.062730	-0.000190	0.000700	0.062734	84.0000	0.0000	9.998372E-2	6.464673E-7	2.889694E-7	3.430471E-11	-1.000600E-1	5.976449E-7	-2.751075E-7	2.560546E-11	3.546391E+5	1.124284E-4	
24-Nov-25	09:07:56	139.9394	0.0000	0.056460	-0.000170	0.537000	0.539960	84.0000	0.0000	9.998383E-2	6.965047E-7	2.865097E-7	2.216151E-11	-1.000596E-1	5.511244E-7	-2.727162E-7	1.862480E-11	3.577149E+5	7.917033E-5	
24-Nov-25	09:10:04	139.9256	0.0000	0.050170	-0.000170	0.477400	0.480029	84.0000	0.0000	9.998324E-2	5.389493E-7	2.837062E-7	2.840262E-11	-1.000602E-1	6.136157E-7	-2.699531E-7	4.298528E-11	3.613115E+5	1.346999E-4	
24-Nov-25	09:12:13	140.0545	0.0000	0.043910	-0.000180	0.417600	0.419902	84.0000	0.0000	9.998374E-2	4.401011E-7	2.804110E-7	2.510966E-11	-1.000603E-1	6.721993E-7	-2.666373E-7	2.657342E-11	3.656789E+5	1.000365E-4	
