! Date:	06-Dec-25
!Time:	13:21
! User Name:	Aditya Kumar
! Sample Name:	Gr-CrSBr-Gr
! Sample ID:	SHCBS2
! Current Source:	Keithley 2400
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Tcryo (K)	Tsample (K)	Hx (T)	Hy (T)	Hz (T)	|H|	phi	theta	L1_Ch1	L1_Ch2	L2_Ch1	L2_Ch2	L3_Ch1	L3_Ch2	L4_Ch1	L4_Ch2	L5_ Ch1	L5_Ch2
06-Dec-25	13:23:15	90.0020	90.0020	0.094050	-0.000200	0.895000	0.899928	84.0000	0.0000	9.997791E-2	8.636707E-6	6.886190E-8	1.927537E-11	-1.000451E-1	9.727122E-6	-7.810109E-8	2.014106E-11	1.361043E+6	3.600151E-4	
06-Dec-25	13:24:55	90.0000	90.0000	0.094060	-0.000190	0.895000	0.899929	84.0000	0.0000	9.997309E-2	7.636169E-6	6.882081E-8	1.242399E-11	-1.000514E-1	8.829928E-6	-7.799170E-8	1.397341E-11	1.362448E+6	2.621239E-4	
06-Dec-25	13:27:17	90.0000	90.0000	0.087790	-0.000200	0.835700	0.840299	84.0000	0.0000	9.997672E-2	6.687308E-6	6.849065E-8	1.801564E-11	-1.000530E-1	5.499710E-6	-7.763114E-8	1.769718E-11	1.368925E+6	3.053305E-4	
06-Dec-25	13:29:20	90.0000	90.0000	0.081510	-0.000200	0.775600	0.779871	84.0000	0.0000	9.997427E-2	5.506838E-6	6.811997E-8	2.925755E-11	-1.000477E-1	6.549210E-6	-7.726821E-8	2.245225E-11	1.375779E+6	4.159408E-4	
06-Dec-25	13:31:23	90.0010	90.0000	0.075240	-0.000200	0.716000	0.719942	84.0000	0.0000	9.997567E-2	5.455867E-6	6.777398E-8	1.781770E-11	-1.000468E-1	4.547779E-6	-7.684164E-8	1.516877E-11	1.383132E+6	2.781102E-4	
06-Dec-25	13:33:54	90.0040	90.0040	0.068970	-0.000210	0.656400	0.660014	84.0000	0.0000	9.997560E-2	6.700071E-6	6.738391E-8	2.382567E-11	-1.000510E-1	8.928614E-6	-7.650477E-8	2.214491E-11	1.390148E+6	3.976201E-4	
06-Dec-25	13:35:57	90.0070	90.0070	0.062710	-0.000200	0.596600	0.599887	84.0000	0.0000	9.997685E-2	4.005423E-6	6.699946E-8	1.801090E-11	-1.000488E-1	5.412063E-6	-7.599541E-8	2.116054E-11	1.398831E+6	3.210174E-4	
06-Dec-25	13:38:00	90.0080	90.0080	0.056430	-0.000190	0.537000	0.539957	84.0000	0.0000	9.997483E-2	7.112105E-6	6.654204E-8	2.012956E-11	-1.000469E-1	8.191837E-6	-7.557122E-8	1.989822E-11	1.407481E+6	3.581725E-4	
06-Dec-25	13:40:03	90.0090	90.0090	0.050150	-0.000210	0.477400	0.480027	84.0000	0.0000	9.997634E-2	7.762666E-6	6.595697E-8	1.794021E-11	-1.000486E-1	8.122983E-6	-7.484990E-8	2.280065E-11	1.420562E+6	3.687569E-4	
06-Dec-25	13:42:06	90.0080	90.0080	0.043890	-0.000210	0.417600	0.419900	84.0000	0.0000	9.997910E-2	4.877499E-6	6.513174E-8	1.789689E-11	-1.000523E-1	9.370438E-6	-7.416940E-8	1.344160E-11	1.435964E+6	2.961978E-4	
06-Dec-25	13:44:09	90.0080	90.0080	0.037620	-0.000210	0.358000	0.359971	84.0000	0.0000	9.998159E-2	4.726393E-6	6.404820E-8	1.062154E-11	-1.000532E-1	6.321790E-6	-7.319301E-8	2.509796E-11	1.457542E+6	3.154993E-4	
06-Dec-25	13:46:13	90.0090	90.0090	0.031350	-0.000210	0.298400	0.300042	84.0000	0.0000	9.997333E-2	7.898834E-6	6.194254E-8	2.270366E-11	-1.000440E-1	7.748509E-6	-7.124083E-8	2.621316E-11	1.501819E+6	4.455192E-4	
06-Dec-25	13:48:16	90.0090	90.0090	0.025070	-0.000200	0.238600	0.239914	84.0000	0.0000	9.997345E-2	9.104838E-6	3.580453E-8	2.411479E-11	-1.000461E-1	6.981290E-6	-3.529845E-8	1.196420E-11	2.813097E+6	5.878416E-4	
06-Dec-25	13:50:19	90.0070	90.0070	0.018800	-0.000210	0.179000	0.179985	84.0000	0.0000	9.997337E-2	6.628866E-6	2.387854E-8	4.649414E-11	-1.000464E-1	6.056280E-6	-2.391130E-8	1.164144E-11	4.185405E+6	1.279904E-3	
06-Dec-25	13:52:27	90.0060	90.0060	0.012530	-0.000210	0.119400	0.120056	84.0000	0.0000	9.997843E-2	6.033840E-6	2.357153E-8	1.333169E-11	-1.000463E-1	3.642194E-6	-2.366603E-8	2.499575E-11	4.234443E+6	8.597507E-4	
06-Dec-25	13:54:30	90.0050	90.0050	0.006260	-0.000210	0.059600	0.059928	84.0000	0.0000	9.997836E-2	5.242410E-6	2.598378E-8	2.530546E-11	-1.000457E-1	6.190417E-6	-2.444626E-8	2.045885E-11	3.966368E+6	9.646385E-4	
06-Dec-25	13:56:34	90.0050	90.0050	-0.000030	-0.000210	0.000000	0.000212	84.0000	0.0000	9.997801E-2	1.128673E-5	2.596678E-8	1.004677E-11	-1.000458E-1	6.334089E-6	-2.447232E-8	1.651584E-11	3.965650E+6	6.147210E-4	
06-Dec-25	13:58:37	90.0030	90.0030	-0.006290	-0.000200	-0.059600	0.059931	84.0000	0.0000	9.997925E-2	5.225817E-6	2.619309E-8	3.771121E-11	-1.000464E-1	6.116858E-6	-2.464506E-8	1.899094E-11	3.934559E+6	1.172053E-3	
06-Dec-25	14:00:40	90.0040	90.0040	-0.012560	-0.000210	-0.119400	0.120059	84.0000	0.0000	9.997751E-2	7.587542E-6	3.019715E-8	1.465529E-11	-1.000532E-1	7.948035E-6	-2.936594E-8	2.265486E-11	3.358300E+6	7.040631E-4	
06-Dec-25	14:04:23	90.0040	90.0040	-0.018830	-0.000210	-0.179000	0.179988	84.0000	0.0000	9.997804E-2	4.150178E-6	3.046930E-8	1.757701E-11	-1.000437E-1	8.176006E-6	-2.962000E-8	2.172411E-11	3.328742E+6	7.156694E-4	
06-Dec-25	14:06:26	90.0040	90.0040	-0.025100	-0.000220	-0.238600	0.239917	84.0000	0.0000	9.997909E-2	5.896372E-6	3.230977E-8	2.723940E-11	-1.000434E-1	4.228593E-6	-3.140188E-8	3.984280E-11	3.139497E+6	1.103522E-3	
06-Dec-25	14:08:29	90.0030	90.0030	-0.031360	-0.000220	-0.298400	0.300043	84.0000	0.0000	9.997780E-2	6.576461E-6	6.180374E-8	2.609126E-11	-1.000486E-1	4.434988E-6	-7.109792E-8	1.834655E-11	1.505071E+6	3.894161E-4	
06-Dec-25	14:10:32	90.0020	90.0020	-0.037640	-0.000210	-0.358000	0.359973	84.0000	0.0000	9.997835E-2	5.401490E-6	6.401383E-8	1.196626E-11	-1.000452E-1	5.812348E-6	-7.325673E-8	2.395060E-11	1.457148E+6	3.177127E-4	
06-Dec-25	14:12:35	90.0010	90.0010	-0.043900	-0.000220	-0.417600	0.419901	84.0000	0.0000	9.997976E-2	6.693201E-6	6.520182E-8	2.149112E-11	-1.000491E-1	4.939232E-6	-7.425538E-8	1.969384E-11	1.434339E+6	3.534770E-4	
06-Dec-25	14:14:38	90.0010	90.0010	-0.050180	-0.000210	-0.477400	0.480030	84.0000	0.0000	9.997736E-2	6.879745E-6	6.602593E-8	1.941793E-11	-1.000429E-1	4.270668E-6	-7.494478E-8	2.033967E-11	1.418878E+6	3.377738E-4	
06-Dec-25	14:16:41	89.9990	89.9990	-0.056440	-0.000210	-0.537000	0.539958	84.0000	0.0000	9.998030E-2	5.380761E-6	6.661410E-8	2.271362E-11	-1.000481E-1	9.178936E-6	-7.564573E-8	1.391441E-11	1.406078E+6	3.302610E-4	
06-Dec-25	14:18:45	89.9980	89.9980	-0.062720	-0.000230	-0.596600	0.599888	84.0000	0.0000	9.997831E-2	5.970986E-6	6.713702E-8	1.776780E-11	-1.000513E-1	4.145229E-6	-7.616544E-8	9.608927E-12	1.395856E+6	2.416152E-4	
06-Dec-25	14:20:48	89.9960	89.9960	-0.068990	-0.000210	-0.656400	0.660016	84.0000	0.0000	9.997707E-2	5.527646E-6	6.763172E-8	1.887592E-11	-1.000477E-1	3.944105E-6	-7.667433E-8	1.689401E-11	1.386115E+6	2.952283E-4	
06-Dec-25	14:22:51	89.9950	89.9950	-0.075260	-0.000220	-0.716000	0.719945	84.0000	0.0000	9.997955E-2	5.652577E-6	6.807612E-8	2.387542E-11	-1.000476E-1	2.659622E-6	-7.709793E-8	1.829542E-11	1.377844E+6	3.320400E-4	
06-Dec-25	14:24:54	89.9940	89.9940	-0.081530	-0.000210	-0.775600	0.779873	84.0000	0.0000	9.997533E-2	9.948281E-6	6.836597E-8	1.509167E-11	-1.000499E-1	7.381033E-6	-7.759023E-8	1.629240E-11	1.370447E+6	3.016596E-4	
06-Dec-25	14:26:57	89.9930	89.9930	-0.087790	-0.000220	-0.835400	0.840000	84.0000	0.0000	9.998004E-2	5.158307E-6	6.869188E-8	2.888097E-11	-1.000493E-1	1.042867E-5	-7.796134E-8	1.857730E-11	1.363962E+6	4.015322E-4	
06-Dec-25	14:29:27	89.9920	89.9920	-0.094060	-0.000210	-0.894900	0.899830	84.0000	0.0000	9.997479E-2	6.134029E-6	6.902379E-8	1.521103E-11	-1.000487E-1	5.125838E-6	-7.835431E-8	2.340236E-11	1.357213E+6	3.182950E-4	
06-Dec-25	14:31:06	89.9920	89.9920	-0.094060	-0.000220	-0.895000	0.899929	84.0000	0.0000	9.998066E-2	4.084053E-6	6.897411E-8	1.642814E-11	-1.000448E-1	4.440823E-6	-7.826088E-8	1.768819E-11	1.358546E+6	2.743325E-4	
06-Dec-25	14:38:54	89.9980	89.9970	-0.087790	-0.000210	-0.835400	0.840000	84.0000	0.0000	9.997892E-2	7.207200E-6	6.871281E-8	1.380765E-11	-1.000474E-1	5.644761E-6	-7.788517E-8	1.772916E-11	1.364455E+6	2.793758E-4	
06-Dec-25	14:40:58	89.9980	89.9980	-0.081530	-0.000210	-0.775600	0.779873	84.0000	0.0000	9.997703E-2	8.405158E-6	6.831408E-8	1.754073E-11	-1.000518E-1	7.199949E-6	-7.746149E-8	2.108743E-11	1.372170E+6	3.429981E-4	
06-Dec-25	14:43:01	89.9990	90.0000	-0.075260	-0.000210	-0.716000	0.719945	84.0000	0.0000	9.998050E-2	5.338261E-6	6.800099E-8	2.229636E-11	-1.000477E-1	5.614224E-6	-7.712698E-8	1.982864E-11	1.378289E+6	3.450158E-4	
06-Dec-25	14:45:04	90.0010	90.0010	-0.068990	-0.000210	-0.656400	0.660016	84.0000	0.0000	9.997958E-2	4.765506E-6	6.762866E-8	1.018259E-11	-1.000443E-1	4.800108E-6	-7.666444E-8	7.948008E-12	1.386233E+6	1.734735E-4	
06-Dec-25	14:47:07	90.0040	90.0040	-0.062710	-0.000200	-0.596600	0.599887	84.0000	0.0000	9.997768E-2	7.906745E-6	6.710512E-8	2.388532E-11	-1.000468E-1	6.284242E-6	-7.608362E-8	1.925704E-11	1.396929E+6	3.722434E-4	
06-Dec-25	14:49:10	90.0060	90.0060	-0.056430	-0.000200	-0.537000	0.539957	84.0000	0.0000	9.997905E-2	8.112187E-6	6.660884E-8	1.243157E-11	-1.000486E-1	4.833935E-6	-7.559879E-8	1.882088E-11	1.406589E+6	2.844879E-4	
06-Dec-25	14:51:18	90.0080	90.0080	-0.050170	-0.000210	-0.477400	0.480029	84.0000	0.0000	9.997469E-2	6.345963E-6	6.602736E-8	3.569709E-11	-1.000486E-1	5.943787E-6	-7.501087E-8	1.381450E-11	1.418220E+6	4.124924E-4	
06-Dec-25	14:53:34	90.0100	90.0100	-0.043900	-0.000200	-0.417600	0.419901	84.0000	0.0000	9.997332E-2	5.960820E-6	6.528364E-8	1.406123E-11	-1.000470E-1	8.000613E-6	-7.437543E-8	2.240364E-11	1.432205E+6	3.308992E-4	
