Voltage (V)	Current (A)
-1.000061E+0	-1.165179E-7
-9.960763E-1	-1.145213E-7
-9.920486E-1	-1.126283E-7
-9.880612E-1	-1.105276E-7
-9.840014E-1	-1.086728E-7
-9.800143E-1	-1.067227E-7
-9.760239E-1	-1.047348E-7
-9.720032E-1	-1.027895E-7
-9.680133E-1	-1.008795E-7
-9.640235E-1	-9.920258E-8
-9.599689E-1	-9.725307E-8
-9.559787E-1	-9.538849E-8
-9.519553E-1	-9.365758E-8
-9.479640E-1	-9.203470E-8
-9.439765E-1	-9.027330E-8
-9.399557E-1	-8.861139E-8
-9.359317E-1	-8.693849E-8
-9.319066E-1	-8.528421E-8
-9.279214E-1	-8.380204E-8
-9.239290E-1	-8.225890E-8
-9.199100E-1	-8.065274E-8
-9.159160E-1	-7.913032E-8
-9.118618E-1	-7.748594E-8
-9.078705E-1	-7.611715E-8
-9.038517E-1	-7.456003E-8
-8.998614E-1	-7.324578E-8
-8.958716E-1	-7.185607E-8
-8.918485E-1	-7.032325E-8
-8.878589E-1	-6.906711E-8
-8.838038E-1	-6.783006E-8
-8.798122E-1	-6.651914E-8
-8.758276E-1	-6.522946E-8
-8.718035E-1	-6.403661E-8
-8.678154E-1	-6.283369E-8
-8.638248E-1	-6.158914E-8
-8.597693E-1	-6.044500E-8
-8.557789E-1	-5.921624E-8
-8.517566E-1	-5.811346E-8
-8.477653E-1	-5.695486E-8
-8.437785E-1	-5.591869E-8
-8.397560E-1	-5.481616E-8
-8.357304E-1	-5.378044E-8
-8.317114E-1	-5.266077E-8
-8.277206E-1	-5.168486E-8
-8.237321E-1	-5.071610E-8
-8.197079E-1	-4.971056E-8
-8.157178E-1	-4.871157E-8
-8.116605E-1	-4.781676E-8
-8.076737E-1	-4.679324E-8
-8.036516E-1	-4.591114E-8
-7.996634E-1	-4.507315E-8
-7.956750E-1	-4.412523E-8
-7.916867E-1	-4.330032E-8
-7.876630E-1	-4.242604E-8
-7.836033E-1	-4.156591E-8
-7.796137E-1	-4.076842E-8
-7.756241E-1	-4.000477E-8
-7.716044E-1	-3.919150E-8
-7.676127E-1	-3.838891E-8
-7.636259E-1	-3.766716E-8
-7.595683E-1	-3.688262E-8
-7.555782E-1	-3.609741E-8
-7.515567E-1	-3.538973E-8
-7.475658E-1	-3.462931E-8
-7.435787E-1	-3.396245E-8
-7.395585E-1	-3.326937E-8
-7.355354E-1	-3.254768E-8
