Voltage (V)	Current (A)
9.999619E-1	4.126242E-8
9.959385E-1	4.053822E-8
9.919502E-1	3.980426E-8
9.879595E-1	3.900372E-8
9.839004E-1	3.822863E-8
9.799179E-1	3.749733E-8
9.758912E-1	3.675902E-8
9.719110E-1	3.600008E-8
9.678822E-1	3.522485E-8
9.638933E-1	3.457876E-8
9.598362E-1	3.385220E-8
9.558446E-1	3.322046E-8
9.518547E-1	3.251991E-8
9.478328E-1	3.182480E-8
9.438515E-1	3.117544E-8
9.398646E-1	3.048885E-8
9.358032E-1	2.985855E-8
9.318141E-1	2.931200E-8
9.277954E-1	2.866438E-8
9.238012E-1	2.802927E-8
9.198129E-1	2.744735E-8
9.157951E-1	2.684392E-8
9.117367E-1	2.627161E-8
9.077501E-1	2.563656E-8
9.037601E-1	2.514021E-8
8.997359E-1	2.454304E-8
8.957511E-1	2.397788E-8
8.917654E-1	2.341647E-8
8.877390E-1	2.293377E-8
8.837166E-1	2.247414E-8
8.796937E-1	2.195963E-8
8.757060E-1	2.146305E-8
8.717160E-1	2.099051E-8
8.676962E-1	2.048671E-8
8.637094E-1	2.000686E-8
8.596517E-1	1.956931E-8
8.556648E-1	1.912039E-8
8.516399E-1	1.867109E-8
8.476523E-1	1.828174E-8
8.436595E-1	1.788925E-8
8.396448E-1	1.741912E-8
8.356176E-1	1.699530E-8
8.315976E-1	1.661467E-8
8.276044E-1	1.620914E-8
8.236178E-1	1.581472E-8
8.195937E-1	1.545096E-8
8.156089E-1	1.507770E-8
8.115494E-1	1.470556E-8
8.075644E-1	1.436883E-8
8.035418E-1	1.402493E-8
7.995521E-1	1.367259E-8
7.955653E-1	1.335240E-8
7.915401E-1	1.303352E-8
7.875535E-1	1.268363E-8
7.834963E-1	1.238326E-8
7.795093E-1	1.208227E-8
7.755217E-1	1.178042E-8
7.714992E-1	1.148881E-8
7.675079E-1	1.123452E-8
7.635233E-1	1.095595E-8
7.594650E-1	1.065530E-8
7.554415E-1	1.039858E-8
7.514555E-1	1.011826E-8
7.474679E-1	9.888247E-9
7.434456E-1	9.617956E-9
7.394560E-1	9.415007E-9
7.354031E-1	9.149304E-9
7.314116E-1	8.940265E-9
7.274258E-1	8.698059E-9
7.233993E-1	8.499788E-9
7.194121E-1	8.262695E-9
7.154199E-1	8.055886E-9
7.113657E-1	7.833535E-9
7.073429E-1	7.651450E-9
7.033601E-1	7.450732E-9
6.993690E-1	7.248074E-9
6.953466E-1	7.094675E-9
6.913548E-1	6.887613E-9
6.873683E-1	6.719369E-9
6.833106E-1	6.525292E-9
