Voltage (V)	Current (A)
-1.000059E+0	-3.153129E-8
-9.960693E-1	-3.094700E-8
-9.920430E-1	-3.033110E-8
-9.880579E-1	-2.980324E-8
-9.839983E-1	-2.927962E-8
-9.800103E-1	-2.873518E-8
-9.760192E-1	-2.819637E-8
-9.719989E-1	-2.770921E-8
-9.680096E-1	-2.717484E-8
-9.640212E-1	-2.669005E-8
-9.599626E-1	-2.613674E-8
-9.559733E-1	-2.568780E-8
-9.519513E-1	-2.520954E-8
-9.479594E-1	-2.473548E-8
-9.439737E-1	-2.423934E-8
-9.399529E-1	-2.375952E-8
-9.359288E-1	-2.331189E-8
-9.319044E-1	-2.287208E-8
-9.279186E-1	-2.245849E-8
-9.239264E-1	-2.201077E-8
-9.199048E-1	-2.162007E-8
-9.159132E-1	-2.115663E-8
-9.118580E-1	-2.076099E-8
-9.078673E-1	-2.034143E-8
-9.038482E-1	-1.990367E-8
-8.998590E-1	-1.953297E-8
-8.958688E-1	-1.916588E-8
-8.918456E-1	-1.876733E-8
-8.878566E-1	-1.838088E-8
-8.838012E-1	-1.802477E-8
-8.798108E-1	-1.764390E-8
-8.758241E-1	-1.729257E-8
-8.718012E-1	-1.691912E-8
-8.678125E-1	-1.657882E-8
-8.638211E-1	-1.621064E-8
-8.597683E-1	-1.591941E-8
-8.557748E-1	-1.557939E-8
-8.517534E-1	-1.525374E-8
-8.477634E-1	-1.495351E-8
-8.437744E-1	-1.463406E-8
-8.397539E-1	-1.432787E-8
-8.357273E-1	-1.400295E-8
-8.317080E-1	-1.371603E-8
-8.277163E-1	-1.342101E-8
-8.237281E-1	-1.311633E-8
-8.197042E-1	-1.285937E-8
-8.157164E-1	-1.258355E-8
-8.116576E-1	-1.230769E-8
-8.076707E-1	-1.204746E-8
-8.036498E-1	-1.177500E-8
-7.996606E-1	-1.153880E-8
-7.956703E-1	-1.128509E-8
-7.916839E-1	-1.104137E-8
-7.876596E-1	-1.078229E-8
-7.836000E-1	-1.053810E-8
-7.796131E-1	-1.032722E-8
-7.756208E-1	-1.010126E-8
-7.716030E-1	-9.893950E-9
-7.676126E-1	-9.674476E-9
-7.636253E-1	-9.473291E-9
