Voltage (V)	Current (A)
-1.000059E+0	-1.197615E-7
-9.960752E-1	-1.176632E-7
-9.920469E-1	-1.156132E-7
-9.880611E-1	-1.135720E-7
-9.840025E-1	-1.114176E-7
-9.800141E-1	-1.096100E-7
-9.760225E-1	-1.077759E-7
-9.720032E-1	-1.060072E-7
-9.680123E-1	-1.040704E-7
-9.640251E-1	-1.023770E-7
-9.599677E-1	-1.005779E-7
-9.559777E-1	-9.894089E-8
-9.519552E-1	-9.721616E-8
-9.479641E-1	-9.537975E-8
-9.439769E-1	-9.373390E-8
-9.399548E-1	-9.217052E-8
-9.359325E-1	-9.031534E-8
-9.319081E-1	-8.864596E-8
-9.279225E-1	-8.711806E-8
-9.239289E-1	-8.539020E-8
-9.199087E-1	-8.410111E-8
-9.159175E-1	-8.242593E-8
-9.118619E-1	-8.106163E-8
-9.078724E-1	-7.952872E-8
-9.038515E-1	-7.808489E-8
-8.998628E-1	-7.663728E-8
-8.958712E-1	-7.520685E-8
-8.918475E-1	-7.381212E-8
-8.878595E-1	-7.243838E-8
-8.838045E-1	-7.110422E-8
-8.798131E-1	-6.978102E-8
-8.758274E-1	-6.841547E-8
-8.718035E-1	-6.717948E-8
-8.678162E-1	-6.593501E-8
-8.638248E-1	-6.475259E-8
-8.597691E-1	-6.342729E-8
-8.557780E-1	-6.226049E-8
-8.517570E-1	-6.117493E-8
-8.477676E-1	-5.988572E-8
-8.437755E-1	-5.873585E-8
-8.397555E-1	-5.767996E-8
-8.357297E-1	-5.655945E-8
-8.317106E-1	-5.542790E-8
-8.277179E-1	-5.444450E-8
-8.237302E-1	-5.340031E-8
-8.197073E-1	-5.238776E-8
-8.157193E-1	-5.130379E-8
-8.116611E-1	-5.025236E-8
-8.076738E-1	-4.924961E-8
-8.036519E-1	-4.832186E-8
-7.996626E-1	-4.735329E-8
-7.956723E-1	-4.640262E-8
-7.916857E-1	-4.548033E-8
-7.876626E-1	-4.460738E-8
-7.836027E-1	-4.377916E-8
-7.796147E-1	-4.291824E-8
-7.756244E-1	-4.201700E-8
-7.716048E-1	-4.121824E-8
-7.676136E-1	-4.046460E-8
-7.636273E-1	-3.964237E-8
-7.595665E-1	-3.885824E-8
-7.555773E-1	-3.809343E-8
-7.515558E-1	-3.734711E-8
-7.475682E-1	-3.657374E-8
-7.435787E-1	-3.586429E-8
-7.395583E-1	-3.515733E-8
-7.355343E-1	-3.444196E-8
-7.315114E-1	-3.373096E-8
-7.275237E-1	-3.308201E-8
-7.235326E-1	-3.247017E-8
-7.195110E-1	-3.179200E-8
-7.155193E-1	-3.117731E-8
-7.114645E-1	-3.053178E-8
-7.074715E-1	-2.995578E-8
-7.034841E-1	-2.936045E-8
-6.994609E-1	-2.875233E-8
-6.954741E-1	-2.818312E-8
-6.914816E-1	-2.759979E-8
-6.874601E-1	-2.702513E-8
-6.834014E-1	-2.647728E-8
-6.794125E-1	-2.592867E-8
-6.754261E-1	-2.540810E-8
-6.714005E-1	-2.486896E-8
-6.674128E-1	-2.436050E-8
-6.634231E-1	-2.385697E-8
-6.593698E-1	-2.335829E-8
-6.553789E-1	-2.284918E-8
-6.513564E-1	-2.236534E-8
-6.473654E-1	-2.189260E-8
-6.433775E-1	-2.144958E-8
-6.393526E-1	-2.102187E-8
-6.353317E-1	-2.054310E-8
-6.313080E-1	-2.010572E-8
-6.273184E-1	-1.966660E-8
-6.233304E-1	-1.922495E-8
-6.193033E-1	-1.881347E-8
-6.153177E-1	-1.836897E-8
-6.112602E-1	-1.799464E-8
-6.072732E-1	-1.758782E-8
-6.032822E-1	-1.721821E-8
-5.992606E-1	-1.679931E-8
-5.952723E-1	-1.643393E-8
-5.912837E-1	-1.609233E-8
-5.872574E-1	-1.570176E-8
-5.832044E-1	-1.534949E-8
-5.792121E-1	-1.499824E-8
-5.752269E-1	-1.465571E-8
-5.712011E-1	-1.433765E-8
-5.672117E-1	-1.400547E-8
-5.632221E-1	-1.366055E-8
-5.591646E-1	-1.333023E-8
-5.551760E-1	-1.301427E-8
-5.511526E-1	-1.268997E-8
-5.471638E-1	-1.239613E-8
-5.431727E-1	-1.210809E-8
-5.391511E-1	-1.183624E-8
-5.351281E-1	-1.155808E-8
-5.311065E-1	-1.123643E-8
-5.271174E-1	-1.096983E-8
-5.231305E-1	-1.071153E-8
