Voltage (V)	Current (A)
9.999589E-1	4.101843E-8
9.959391E-1	4.027468E-8
9.919457E-1	3.929234E-8
9.879611E-1	3.865647E-8
9.839014E-1	3.778933E-8
9.799155E-1	3.708784E-8
9.758921E-1	3.627570E-8
9.719031E-1	3.551445E-8
9.678827E-1	3.482747E-8
9.638906E-1	3.408311E-8
9.598378E-1	3.338558E-8
9.558461E-1	3.268352E-8
9.518598E-1	3.195602E-8
9.478330E-1	3.130447E-8
9.438488E-1	3.061503E-8
9.398589E-1	2.995935E-8
9.358042E-1	2.930876E-8
9.318125E-1	2.866633E-8
9.277937E-1	2.817404E-8
9.238021E-1	2.751088E-8
9.198151E-1	2.686581E-8
9.157902E-1	2.635656E-8
9.117376E-1	2.574151E-8
9.077478E-1	2.518196E-8
9.037573E-1	2.459648E-8
8.997388E-1	2.404795E-8
8.957499E-1	2.349541E-8
8.917608E-1	2.298914E-8
8.877382E-1	2.244325E-8
8.837195E-1	2.192260E-8
8.796924E-1	2.145183E-8
8.757055E-1	2.097336E-8
8.717169E-1	2.053766E-8
8.676984E-1	2.006762E-8
8.637083E-1	1.962518E-8
8.596536E-1	1.916800E-8
8.556625E-1	1.868301E-8
8.516385E-1	1.823937E-8
8.476525E-1	1.788970E-8
8.436614E-1	1.746874E-8
8.396424E-1	1.707394E-8
8.356166E-1	1.663972E-8
8.315967E-1	1.628115E-8
8.276058E-1	1.590509E-8
8.236176E-1	1.558545E-8
8.195940E-1	1.518448E-8
8.156077E-1	1.489120E-8
8.115498E-1	1.450251E-8
8.075639E-1	1.416758E-8
8.035424E-1	1.383174E-8
7.995526E-1	1.351859E-8
7.955651E-1	1.319186E-8
7.915412E-1	1.288916E-8
7.875533E-1	1.263069E-8
7.834976E-1	1.231060E-8
7.795089E-1	1.204537E-8
7.755210E-1	1.175817E-8
7.714999E-1	1.149795E-8
7.675096E-1	1.122201E-8
7.635229E-1	1.095302E-8
7.594633E-1	1.069242E-8
7.554439E-1	1.042059E-8
7.514543E-1	1.018609E-8
7.474651E-1	9.913206E-9
7.434446E-1	9.660314E-9
7.394546E-1	9.437165E-9
7.354010E-1	9.194615E-9
7.314115E-1	8.967367E-9
7.274267E-1	8.744310E-9
7.234007E-1	8.543784E-9
7.194122E-1	8.334423E-9
7.154204E-1	8.102136E-9
7.113675E-1	7.894829E-9
7.073448E-1	7.704491E-9
7.033579E-1	7.499732E-9
6.993665E-1	7.288442E-9
6.953477E-1	7.098820E-9
6.913592E-1	6.924524E-9
6.873654E-1	6.725086E-9
6.833116E-1	6.551506E-9
6.793218E-1	6.381569E-9
6.753010E-1	6.196593E-9
6.713093E-1	6.016391E-9
6.673254E-1	5.837527E-9
6.633016E-1	5.663153E-9
6.592479E-1	5.529918E-9
6.552572E-1	5.375691E-9
6.512688E-1	5.226826E-9
6.472445E-1	5.072391E-9
6.432582E-1	4.940292E-9
6.392693E-1	4.783888E-9
6.352111E-1	4.631504E-9
6.312249E-1	4.498479E-9
6.272003E-1	4.386567E-9
6.232138E-1	4.263221E-9
6.192244E-1	4.125297E-9
6.152039E-1	3.985487E-9
6.111445E-1	3.904661E-9
6.071575E-1	3.772724E-9
6.031696E-1	3.643561E-9
5.991492E-1	3.526413E-9
5.951592E-1	3.450827E-9
5.911732E-1	3.333559E-9
5.871477E-1	3.269997E-9
5.831251E-1	3.137140E-9
5.791054E-1	3.065537E-9
5.751131E-1	2.973320E-9
5.711287E-1	2.891915E-9
5.671038E-1	2.811260E-9
5.631151E-1	2.715272E-9
5.590599E-1	2.646350E-9
5.550715E-1	2.570893E-9
5.510452E-1	2.501509E-9
5.470588E-1	2.426723E-9
5.430688E-1	2.371375E-9
