Voltage (V)	Current (A)
9.999607E-1	3.867342E-8
9.959372E-1	3.785603E-8
9.919477E-1	3.706752E-8
9.879568E-1	3.630494E-8
9.839011E-1	3.552816E-8
9.799169E-1	3.484001E-8
9.758906E-1	3.406048E-8
9.719067E-1	3.333100E-8
9.678820E-1	3.264701E-8
9.638913E-1	3.205596E-8
9.598362E-1	3.136863E-8
9.558460E-1	3.063365E-8
9.518600E-1	3.007138E-8
9.478331E-1	2.931072E-8
9.438505E-1	2.876596E-8
9.398600E-1	2.816224E-8
9.358039E-1	2.747156E-8
9.318138E-1	2.695955E-8
9.277929E-1	2.632214E-8
9.238036E-1	2.577678E-8
9.198156E-1	2.523584E-8
9.157924E-1	2.462899E-8
9.117378E-1	2.410251E-8
9.077502E-1	2.361122E-8
9.037564E-1	2.308077E-8
8.997380E-1	2.255636E-8
8.957469E-1	2.203153E-8
8.917594E-1	2.161440E-8
8.877376E-1	2.114030E-8
8.837196E-1	2.064612E-8
8.796921E-1	2.022181E-8
8.757076E-1	1.980515E-8
8.717175E-1	1.929751E-8
8.676959E-1	1.893355E-8
8.637072E-1	1.845651E-8
8.596529E-1	1.805660E-8
8.556643E-1	1.765568E-8
8.516387E-1	1.720783E-8
8.476518E-1	1.682838E-8
8.436624E-1	1.646805E-8
8.396429E-1	1.608247E-8
8.356156E-1	1.569192E-8
8.315979E-1	1.533188E-8
8.276041E-1	1.500268E-8
8.236164E-1	1.459768E-8
8.195967E-1	1.426880E-8
8.156089E-1	1.395361E-8
8.115504E-1	1.359751E-8
8.075647E-1	1.326431E-8
8.035412E-1	1.299464E-8
7.995508E-1	1.265845E-8
7.955663E-1	1.235483E-8
7.915397E-1	1.205614E-8
7.875528E-1	1.176557E-8
7.834967E-1	1.147967E-8
7.795088E-1	1.119842E-8
7.755204E-1	1.094540E-8
7.714992E-1	1.066942E-8
7.675089E-1	1.041200E-8
7.635206E-1	1.016663E-8
7.594628E-1	9.900043E-9
7.554422E-1	9.619253E-9
7.514530E-1	9.367528E-9
7.474657E-1	9.153392E-9
7.434431E-1	8.889010E-9
7.394531E-1	8.681493E-9
7.354001E-1	8.445530E-9
7.314099E-1	8.227704E-9
7.274218E-1	8.008025E-9
7.233989E-1	7.803447E-9
7.194112E-1	7.588048E-9
7.154202E-1	7.355935E-9
7.113650E-1	7.168273E-9
7.073444E-1	6.996713E-9
7.033573E-1	6.786964E-9
6.993671E-1	6.593402E-9
6.953474E-1	6.411439E-9
6.913575E-1	6.221101E-9
6.873641E-1	6.042653E-9
6.833100E-1	5.875781E-9
6.793194E-1	5.714929E-9
6.752992E-1	5.558109E-9
6.713113E-1	5.395590E-9
6.673254E-1	5.226744E-9
6.632997E-1	5.077794E-9
6.592467E-1	4.940285E-9
6.552566E-1	4.784930E-9
6.512682E-1	4.655340E-9
6.472446E-1	4.513220E-9
6.432588E-1	4.382295E-9
6.392704E-1	4.243781E-9
6.352117E-1	4.131998E-9
6.312248E-1	4.010119E-9
6.272015E-1	3.894690E-9
6.232145E-1	3.788184E-9
6.192243E-1	3.671334E-9
6.152037E-1	3.576228E-9
6.111434E-1	3.464482E-9
6.071594E-1	3.370004E-9
6.031685E-1	3.265260E-9
5.991483E-1	3.175264E-9
5.951592E-1	3.070604E-9
5.911742E-1	2.986642E-9
5.871483E-1	2.904354E-9
5.831244E-1	2.818003E-9
5.791042E-1	2.745982E-9
5.751137E-1	2.666417E-9
5.711282E-1	2.603446E-9
5.671029E-1	2.531509E-9
5.631168E-1	2.458103E-9
5.590597E-1	2.388719E-9
5.550730E-1	2.324325E-9
5.510474E-1	2.256491E-9
5.470582E-1	2.203113E-9
5.430682E-1	2.145085E-9
5.390499E-1	2.091331E-9
5.350269E-1	2.037158E-9
5.310060E-1	1.985751E-9
5.270172E-1	1.917371E-9
5.230262E-1	1.874929E-9
5.190071E-1	1.814554E-9
