Voltage (V)	Current (A)
-1.000058E+0	-3.135226E-8
-9.960707E-1	-3.072646E-8
-9.920436E-1	-3.018859E-8
-9.880580E-1	-2.962206E-8
-9.839980E-1	-2.907588E-8
-9.800104E-1	-2.861009E-8
-9.760190E-1	-2.807148E-8
-9.719983E-1	-2.752579E-8
-9.680101E-1	-2.705387E-8
-9.640217E-1	-2.651557E-8
-9.599625E-1	-2.607284E-8
-9.559754E-1	-2.557220E-8
-9.519510E-1	-2.505511E-8
-9.479585E-1	-2.458138E-8
-9.439729E-1	-2.415911E-8
-9.399498E-1	-2.371661E-8
-9.359286E-1	-2.323596E-8
-9.319045E-1	-2.281515E-8
-9.279184E-1	-2.236984E-8
-9.239262E-1	-2.194936E-8
-9.199051E-1	-2.154637E-8
-9.159124E-1	-2.105932E-8
-9.118580E-1	-2.068152E-8
-9.078688E-1	-2.026767E-8
-9.038484E-1	-1.987227E-8
-8.998588E-1	-1.950402E-8
-8.958686E-1	-1.909545E-8
-8.918465E-1	-1.873937E-8
-8.878568E-1	-1.833021E-8
-8.838027E-1	-1.796633E-8
-8.798117E-1	-1.758183E-8
-8.758258E-1	-1.723341E-8
-8.718011E-1	-1.693262E-8
-8.678135E-1	-1.656949E-8
-8.638222E-1	-1.622343E-8
-8.597681E-1	-1.587418E-8
-8.557767E-1	-1.554871E-8
-8.517548E-1	-1.523128E-8
-8.477638E-1	-1.491687E-8
-8.437744E-1	-1.458745E-8
-8.397535E-1	-1.426362E-8
-8.357272E-1	-1.394610E-8
-8.317085E-1	-1.367008E-8
-8.277167E-1	-1.337440E-8
-8.237287E-1	-1.308919E-8
-8.197046E-1	-1.281220E-8
-8.157175E-1	-1.252466E-8
-8.116590E-1	-1.227042E-8
-8.076712E-1	-1.201276E-8
-8.036499E-1	-1.173626E-8
-7.996607E-1	-1.146995E-8
-7.956709E-1	-1.123919E-8
-7.916850E-1	-1.099275E-8
-7.876596E-1	-1.074895E-8
-7.836025E-1	-1.049995E-8
-7.796125E-1	-1.029436E-8
-7.756227E-1	-1.005467E-8
-7.716030E-1	-9.826879E-9
-7.676135E-1	-9.634825E-9
-7.636250E-1	-9.414067E-9
-7.595643E-1	-9.213305E-9
-7.555771E-1	-8.998590E-9
-7.515557E-1	-8.800169E-9
-7.475677E-1	-8.609834E-9
-7.435775E-1	-8.442637E-9
-7.395574E-1	-8.245563E-9
-7.355339E-1	-8.067757E-9
-7.315103E-1	-7.887276E-9
-7.275239E-1	-7.718527E-9
-7.235312E-1	-7.554550E-9
-7.195096E-1	-7.352951E-9
-7.155170E-1	-7.216169E-9
-7.114648E-1	-7.044989E-9
-7.074727E-1	-6.891204E-9
-7.034850E-1	-6.736568E-9
-6.994599E-1	-6.598283E-9
-6.954731E-1	-6.453968E-9
-6.914816E-1	-6.312462E-9
-6.874601E-1	-6.173331E-9
-6.834016E-1	-6.036179E-9
-6.794099E-1	-5.904011E-9
-6.754231E-1	-5.767027E-9
-6.713997E-1	-5.644823E-9
-6.674130E-1	-5.496070E-9
-6.634234E-1	-5.378777E-9
-6.593696E-1	-5.244520E-9
-6.553788E-1	-5.130368E-9
-6.513560E-1	-5.009520E-9
-6.473646E-1	-4.894107E-9
-6.433775E-1	-4.796890E-9
-6.393509E-1	-4.685127E-9
-6.353325E-1	-4.582255E-9
-6.313081E-1	-4.477073E-9
-6.273179E-1	-4.367785E-9
-6.233304E-1	-4.253010E-9
-6.193053E-1	-4.158934E-9
-6.153173E-1	-4.074030E-9
-6.112608E-1	-3.964581E-9
-6.072747E-1	-3.893172E-9
-6.032834E-1	-3.797045E-9
-5.992615E-1	-3.701330E-9
-5.952712E-1	-3.618194E-9
-5.912840E-1	-3.526507E-9
-5.872603E-1	-3.438045E-9
-5.832039E-1	-3.369150E-9
-5.792114E-1	-3.285052E-9
-5.752258E-1	-3.200821E-9
-5.712022E-1	-3.123256E-9
-5.672107E-1	-3.054700E-9
-5.632230E-1	-2.974581E-9
-5.591648E-1	-2.892195E-9
-5.551767E-1	-2.827662E-9
-5.511526E-1	-2.754118E-9
-5.471643E-1	-2.686694E-9
-5.431736E-1	-2.622370E-9
-5.391532E-1	-2.570198E-9
-5.351296E-1	-2.502943E-9
-5.311069E-1	-2.437401E-9
-5.271170E-1	-2.385274E-9
-5.231323E-1	-2.317056E-9
-5.191064E-1	-2.253777E-9
-5.151156E-1	-2.200686E-9
-5.110588E-1	-2.147340E-9
-5.070705E-1	-2.078029E-9
-5.030820E-1	-2.030634E-9
-4.990583E-1	-1.964426E-9
-4.950709E-1	-1.935386E-9
-4.910786E-1	-1.892056E-9
-4.870588E-1	-1.830708E-9
-4.829980E-1	-1.787838E-9
-4.790097E-1	-1.741241E-9
-4.750205E-1	-1.706168E-9
-4.710332E-1	-1.662923E-9
-4.670092E-1	-1.620515E-9
-4.630194E-1	-1.574837E-9
-4.589640E-1	-1.534526E-9
-4.549767E-1	-1.500163E-9
-4.509550E-1	-1.468986E-9
-4.469624E-1	-1.423059E-9
-4.429748E-1	-1.387441E-9
-4.389494E-1	-1.358903E-9
-4.349276E-1	-1.319219E-9
-4.309023E-1	-1.284816E-9
-4.269129E-1	-1.249616E-9
-4.229230E-1	-1.214667E-9
-4.189036E-1	-1.180891E-9
-4.149116E-1	-1.164508E-9
-4.108574E-1	-1.127967E-9
-4.068652E-1	-1.100351E-9
-4.028758E-1	-1.071772E-9
-3.988551E-1	-1.048221E-9
-3.948644E-1	-1.007030E-9
-3.908775E-1	-9.919440E-10
-3.868544E-1	-9.614364E-10
-3.827985E-1	-9.278714E-10
-3.788070E-1	-9.155516E-10
-3.748192E-1	-8.891095E-10
-3.708280E-1	-8.620809E-10
-3.668064E-1	-8.305688E-10
-3.628147E-1	-8.166976E-10
-3.587600E-1	-7.841805E-10
-3.547688E-1	-7.653652E-10
-3.507465E-1	-7.526673E-10
-3.467584E-1	-7.301658E-10
-3.427679E-1	-7.114334E-10
-3.387445E-1	-7.009576E-10
-3.347208E-1	-6.698641E-10
-3.307027E-1	-6.555332E-10
-3.267083E-1	-6.311027E-10
-3.227227E-1	-6.282113E-10
-3.186979E-1	-6.099403E-10
-3.147109E-1	-5.988359E-10
-3.106514E-1	-5.670302E-10
-3.066656E-1	-5.585654E-10
-3.026706E-1	-5.418040E-10
-2.986482E-1	-5.226115E-10
-2.946606E-1	-5.045089E-10
-2.906716E-1	-5.030000E-10
-2.866495E-1	-4.982645E-10
-2.826257E-1	-4.745888E-10
-2.786026E-1	-4.594192E-10
-2.746108E-1	-4.353657E-10
-2.706221E-1	-4.186039E-10
-2.665983E-1	-4.112288E-10
-2.626107E-1	-4.056556E-10
-2.585531E-1	-3.877622E-10
-2.545671E-1	-3.815601E-10
-2.505418E-1	-3.697431E-10
-2.465520E-1	-3.539449E-10
-2.425656E-1	-3.495869E-10
-2.385750E-1	-3.324062E-10
-2.345175E-1	-3.150575E-10
-2.304935E-1	-3.132137E-10
-2.265068E-1	-2.991757E-10
-2.225151E-1	-2.838804E-10
-2.184929E-1	-2.840899E-10
-2.145039E-1	-2.662383E-10
-2.104488E-1	-2.594500E-10
-2.064532E-1	-2.525776E-10
-2.024672E-1	-2.439872E-10
-1.984398E-1	-2.391681E-10
-1.944557E-1	-2.282308E-10
-1.904662E-1	-2.196824E-10
-1.864083E-1	-2.040101E-10
-1.824184E-1	-2.003224E-10
-1.783957E-1	-1.930312E-10
-1.744103E-1	-1.852788E-10
-1.704185E-1	-1.759339E-10
-1.663943E-1	-1.675530E-10
-1.624020E-1	-1.645778E-10
-1.583470E-1	-1.567416E-10
-1.543575E-1	-1.485283E-10
-1.503361E-1	-1.446312E-10
-1.463447E-1	-1.430388E-10
-1.423564E-1	-1.286655E-10
-1.383631E-1	-1.307607E-10
-1.343064E-1	-1.215417E-10
-1.302811E-1	-1.145855E-10
-1.262910E-1	-1.122388E-10
-1.223041E-1	-1.041513E-10
-1.182808E-1	-1.056598E-10
-1.142944E-1	-1.026846E-10
-1.102336E-1	-9.937411E-11
-1.062484E-1	-8.697032E-11
-1.022559E-1	-9.032270E-11
-9.823276E-2	-7.716463E-11
-9.423924E-2	-7.523701E-11
-9.025552E-2	-7.783510E-11
-8.619598E-2	-7.703892E-11
-8.220442E-2	-7.494368E-11
-7.818457E-2	-6.911987E-11
-7.419653E-2	-6.643842E-11
-7.020494E-2	-6.061465E-11
-6.618126E-2	-5.914823E-11
-6.219005E-2	-5.177425E-11
-5.813459E-2	-5.512608E-11
-5.414746E-2	-4.741689E-11
-5.015550E-2	-5.139718E-11
-4.613681E-2	-4.783590E-11
-4.214355E-2	-5.064302E-11
-3.815973E-2	-4.754259E-11
-3.409742E-2	-4.481928E-11
-3.007610E-2	-4.414890E-11
-2.607998E-2	-3.434484E-11
-2.209313E-2	-4.653707E-11
-1.807299E-2	-3.560174E-11
-1.408263E-2	-4.410698E-11
-1.002653E-2	-4.046193E-11
-6.035758E-3	-3.744528E-11
-2.043143E-3	-4.289197E-11
1.968389E-3	-7.237135E-12
5.953837E-3	-4.427460E-11
9.946651E-3	-3.409350E-11
1.400295E-2	-3.945633E-11
1.803025E-2	-4.360421E-11
2.201740E-2	-4.037807E-11
2.600459E-2	-4.511252E-11
3.002504E-2	-5.034973E-11
3.401771E-2	-4.678842E-11
3.800170E-2	-4.427459E-11
4.205751E-2	-4.511252E-11
4.604987E-2	-3.798995E-11
5.007201E-2	-3.849271E-11
5.406309E-2	-3.991722E-11
5.804814E-2	-3.597883E-11
6.206903E-2	-3.396778E-11
6.612378E-2	-2.508551E-11
7.011893E-2	-2.873054E-11
