Voltage (V)	Current (A)
-1.000075E+0	-4.155455E-7
-9.960896E-1	-4.104926E-7
-9.920615E-1	-4.060247E-7
-9.880732E-1	-4.016377E-7
-9.840142E-1	-3.972792E-7
-9.800308E-1	-3.924809E-7
-9.760353E-1	-3.882086E-7
-9.720150E-1	-3.835929E-7
-9.680245E-1	-3.793237E-7
-9.640381E-1	-3.750474E-7
-9.599810E-1	-3.709055E-7
-9.559904E-1	-3.664865E-7
-9.519687E-1	-3.622530E-7
-9.479753E-1	-3.587033E-7
-9.439888E-1	-3.536601E-7
-9.399671E-1	-3.497157E-7
-9.359431E-1	-3.456170E-7
-9.319196E-1	-3.417773E-7
-9.279332E-1	-3.374346E-7
-9.239398E-1	-3.338356E-7
-9.199195E-1	-3.302575E-7
-9.159269E-1	-3.257331E-7
-9.118723E-1	-3.215205E-7
-9.078823E-1	-3.177658E-7
-9.038622E-1	-3.135750E-7
-8.998721E-1	-3.101185E-7
-8.958818E-1	-3.060746E-7
-8.918591E-1	-3.024394E-7
-8.878706E-1	-2.987399E-7
-8.838152E-1	-2.954403E-7
-8.798231E-1	-2.914760E-7
-8.758371E-1	-2.875272E-7
-8.718150E-1	-2.841957E-7
-8.678250E-1	-2.805205E-7
-8.638342E-1	-2.774201E-7
-8.597797E-1	-2.736259E-7
-8.557887E-1	-2.702037E-7
-8.517674E-1	-2.670079E-7
-8.477756E-1	-2.636544E-7
-8.437864E-1	-2.604462E-7
-8.397663E-1	-2.566865E-7
-8.357400E-1	-2.532628E-7
-8.317199E-1	-2.500810E-7
-8.277280E-1	-2.466066E-7
-8.237398E-1	-2.437424E-7
-8.197169E-1	-2.403089E-7
-8.157271E-1	-2.369637E-7
-8.116686E-1	-2.336665E-7
-8.076831E-1	-2.307695E-7
-8.036597E-1	-2.275645E-7
-7.996715E-1	-2.246494E-7
-7.956815E-1	-2.217830E-7
-7.916952E-1	-2.186878E-7
-7.876699E-1	-2.159070E-7
-7.836117E-1	-2.128929E-7
-7.796235E-1	-2.099432E-7
-7.756316E-1	-2.070709E-7
