Voltage (V)	Current (A)
9.999663E-1	1.802167E-7
9.959449E-1	1.775718E-7
9.919546E-1	1.749483E-7
9.879670E-1	1.723231E-7
9.839079E-1	1.697937E-7
9.799221E-1	1.673696E-7
9.758980E-1	1.648169E-7
9.719077E-1	1.623586E-7
9.678884E-1	1.599424E-7
9.638994E-1	1.574985E-7
9.598402E-1	1.550182E-7
9.558485E-1	1.526178E-7
9.518657E-1	1.503508E-7
9.478384E-1	1.479536E-7
9.438531E-1	1.457325E-7
9.398646E-1	1.433617E-7
9.358069E-1	1.410796E-7
9.318185E-1	1.387631E-7
9.277977E-1	1.365534E-7
9.238064E-1	1.343637E-7
9.198192E-1	1.321457E-7
9.157968E-1	1.300532E-7
9.117439E-1	1.278668E-7
9.077519E-1	1.257580E-7
9.037619E-1	1.236102E-7
8.997431E-1	1.215551E-7
8.957511E-1	1.195024E-7
8.917632E-1	1.174033E-7
8.877414E-1	1.154261E-7
8.837236E-1	1.133786E-7
8.796961E-1	1.114201E-7
8.757094E-1	1.094834E-7
8.717195E-1	1.075111E-7
8.676991E-1	1.055939E-7
8.637104E-1	1.037635E-7
8.596576E-1	1.018861E-7
8.556674E-1	1.000219E-7
8.516427E-1	9.818448E-8
8.476546E-1	9.638915E-8
8.436658E-1	9.459603E-8
8.396453E-1	9.285245E-8
8.356189E-1	9.102056E-8
8.316002E-1	8.934255E-8
8.276076E-1	8.763043E-8
8.236209E-1	8.597859E-8
8.195956E-1	8.430119E-8
8.156120E-1	8.266615E-8
8.115545E-1	8.104561E-8
8.075648E-1	7.947346E-8
8.035434E-1	7.790274E-8
7.995554E-1	7.628540E-8
7.955702E-1	7.484747E-8
7.915432E-1	7.334910E-8
7.875561E-1	7.184975E-8
7.834989E-1	7.038204E-8
7.795114E-1	6.897527E-8
7.755224E-1	6.759028E-8
7.715004E-1	6.616278E-8
7.675108E-1	6.482711E-8
7.635244E-1	6.348536E-8
7.594667E-1	6.214739E-8
7.554452E-1	6.084480E-8
7.514577E-1	5.958178E-8
7.474683E-1	5.831583E-8
7.434484E-1	5.709365E-8
7.394587E-1	5.592126E-8
7.354023E-1	5.466765E-8
7.314134E-1	5.355736E-8
7.274273E-1	5.239239E-8
7.234020E-1	5.126751E-8
7.194135E-1	5.016861E-8
7.154229E-1	4.911352E-8
7.113705E-1	4.804462E-8
7.073463E-1	4.702165E-8
7.033593E-1	4.597640E-8
6.993685E-1	4.500187E-8
6.953493E-1	4.399879E-8
6.913593E-1	4.302570E-8
6.873677E-1	4.209590E-8
6.833121E-1	4.113198E-8
6.793221E-1	4.024923E-8
6.753044E-1	3.932526E-8
6.713127E-1	3.845933E-8
6.673267E-1	3.762000E-8
6.633038E-1	3.678808E-8
6.592498E-1	3.596366E-8
6.552567E-1	3.513665E-8
6.512709E-1	3.436308E-8
6.472467E-1	3.360226E-8
6.432603E-1	3.284973E-8
6.392730E-1	3.208384E-8
6.352119E-1	3.136855E-8
6.312253E-1	3.067951E-8
6.272027E-1	2.993414E-8
