Voltage (V)	Current (A)
9.999671E-1	2.264611E-7
9.959484E-1	2.232111E-7
9.919555E-1	2.201154E-7
9.879696E-1	2.171131E-7
9.839088E-1	2.139258E-7
9.799252E-1	2.111040E-7
9.758996E-1	2.082422E-7
9.719134E-1	2.052735E-7
9.678890E-1	2.024771E-7
9.639008E-1	1.996723E-7
9.598422E-1	1.968491E-7
9.558533E-1	1.939687E-7
9.518690E-1	1.911063E-7
9.478424E-1	1.884409E-7
9.438546E-1	1.857016E-7
9.398671E-1	1.830422E-7
9.358104E-1	1.803101E-7
9.318208E-1	1.776957E-7
9.278003E-1	1.749792E-7
9.238095E-1	1.723041E-7
9.198240E-1	1.698049E-7
9.157976E-1	1.672179E-7
9.117442E-1	1.647489E-7
9.077541E-1	1.622670E-7
9.037652E-1	1.598253E-7
8.997444E-1	1.573343E-7
8.957542E-1	1.548915E-7
8.917685E-1	1.525813E-7
8.877433E-1	1.501544E-7
8.837250E-1	1.478569E-7
8.796979E-1	1.454752E-7
8.757119E-1	1.431565E-7
8.717229E-1	1.409436E-7
8.677011E-1	1.386729E-7
8.637106E-1	1.364521E-7
8.596588E-1	1.341734E-7
8.556683E-1	1.320318E-7
8.516440E-1	1.299094E-7
8.476556E-1	1.277863E-7
8.436657E-1	1.256583E-7
8.396465E-1	1.235905E-7
8.356214E-1	1.215820E-7
8.316008E-1	1.195548E-7
8.276086E-1	1.175783E-7
8.236229E-1	1.157161E-7
8.195998E-1	1.137636E-7
8.156134E-1	1.117687E-7
8.115550E-1	1.098791E-7
8.075672E-1	1.079782E-7
8.035483E-1	1.061611E-7
7.995580E-1	1.043888E-7
7.955703E-1	1.025485E-7
7.915444E-1	1.008020E-7
7.875578E-1	9.904353E-8
7.834998E-1	9.735106E-8
7.795146E-1	9.563190E-8
7.755233E-1	9.400912E-8
7.715024E-1	9.235760E-8
7.675114E-1	9.073807E-8
7.635255E-1	8.919349E-8
7.594686E-1	8.757304E-8
7.554455E-1	8.601829E-8
7.514588E-1	8.449840E-8
7.474692E-1	8.298611E-8
7.434483E-1	8.155439E-8
7.394577E-1	8.010306E-8
7.354049E-1	7.867076E-8
7.314145E-1	7.730877E-8
7.274290E-1	7.593310E-8
7.234027E-1	7.456420E-8
7.194148E-1	7.324827E-8
7.154248E-1	7.196567E-8
7.113687E-1	7.065519E-8
7.073480E-1	6.939273E-8
7.033596E-1	6.819344E-8
6.993706E-1	6.697531E-8
6.953478E-1	6.579807E-8
6.913583E-1	6.456670E-8
6.873686E-1	6.338818E-8
6.833129E-1	6.227814E-8
6.793242E-1	6.117377E-8
6.753026E-1	6.005970E-8
6.713135E-1	5.895365E-8
6.673257E-1	5.792544E-8
6.633027E-1	5.683771E-8
6.592476E-1	5.578019E-8
6.552586E-1	5.479848E-8
6.512696E-1	5.380519E-8
6.472462E-1	5.281127E-8
6.432591E-1	5.185646E-8
6.392722E-1	5.090803E-8
6.352148E-1	4.997670E-8
6.312265E-1	4.905443E-8
6.272046E-1	4.816648E-8
6.232171E-1	4.727748E-8
6.192256E-1	4.640939E-8
6.152039E-1	4.557532E-8
6.111482E-1	4.466966E-8
6.071607E-1	4.385060E-8
6.031715E-1	4.304744E-8
5.991521E-1	4.229422E-8
5.951619E-1	4.148320E-8
5.911745E-1	4.071306E-8
5.871492E-1	3.995403E-8
5.831261E-1	3.924071E-8
5.791065E-1	3.847635E-8
5.751144E-1	3.776147E-8
5.711280E-1	3.703475E-8
5.671037E-1	3.634383E-8
5.631162E-1	3.564886E-8
5.590591E-1	3.497694E-8
5.550714E-1	3.431716E-8
5.510477E-1	3.364741E-8
5.470595E-1	3.306556E-8
5.430694E-1	3.239900E-8
5.390525E-1	3.178508E-8
5.350270E-1	3.117583E-8
5.310065E-1	3.056690E-8
5.270177E-1	2.998213E-8
5.230287E-1	2.940702E-8
5.190072E-1	2.881717E-8
5.150187E-1	2.827702E-8
5.109644E-1	2.767718E-8
5.069733E-1	2.715265E-8
5.029548E-1	2.663304E-8
4.989611E-1	2.607530E-8
4.949749E-1	2.553931E-8
4.909520E-1	2.505560E-8
4.869640E-1	2.453308E-8
4.829068E-1	2.403715E-8
4.789196E-1	2.351926E-8
4.749288E-1	2.303664E-8
4.709082E-1	2.254393E-8
4.669220E-1	2.212516E-8
4.629315E-1	2.163514E-8
4.588764E-1	2.114679E-8
4.548531E-1	2.069161E-8
4.508675E-1	2.026291E-8
4.468749E-1	1.981215E-8
4.428550E-1	1.941801E-8
4.388618E-1	1.896252E-8
4.348104E-1	1.851989E-8
4.308193E-1	1.813753E-8
4.268310E-1	1.772948E-8
4.228084E-1	1.737111E-8
4.188200E-1	1.692230E-8
4.148315E-1	1.657798E-8
4.107732E-1	1.614697E-8
4.067505E-1	1.575288E-8
4.027616E-1	1.542996E-8
3.987756E-1	1.506345E-8
3.947523E-1	1.468340E-8
3.907646E-1	1.433100E-8
3.867758E-1	1.399292E-8
3.827233E-1	1.367535E-8
3.787313E-1	1.331599E-8
3.747115E-1	1.295568E-8
3.707199E-1	1.268861E-8
3.667299E-1	1.236373E-8
3.627086E-1	1.209306E-8
3.586529E-1	1.180361E-8
3.546653E-1	1.153157E-8
3.506749E-1	1.122923E-8
3.466564E-1	1.094772E-8
