Voltage (V)	Current (A)
-1.000064E+0	-1.756585E-7
-9.960778E-1	-1.734537E-7
-9.920520E-1	-1.711154E-7
-9.880637E-1	-1.689383E-7
-9.840043E-1	-1.666736E-7
-9.800150E-1	-1.644868E-7
-9.760276E-1	-1.621903E-7
-9.720091E-1	-1.600053E-7
-9.680170E-1	-1.579091E-7
-9.640288E-1	-1.556618E-7
-9.599715E-1	-1.535421E-7
-9.559838E-1	-1.514776E-7
-9.519588E-1	-1.494223E-7
-9.479662E-1	-1.473671E-7
-9.439802E-1	-1.453450E-7
-9.399586E-1	-1.432720E-7
-9.359353E-1	-1.412157E-7
-9.319115E-1	-1.392669E-7
-9.279234E-1	-1.373147E-7
-9.239317E-1	-1.352963E-7
-9.199114E-1	-1.334080E-7
-9.159189E-1	-1.315315E-7
-9.118646E-1	-1.295748E-7
-9.078739E-1	-1.277540E-7
-9.038539E-1	-1.258701E-7
-8.998650E-1	-1.239573E-7
-8.958746E-1	-1.221546E-7
-8.918526E-1	-1.204255E-7
-8.878628E-1	-1.186135E-7
-8.838068E-1	-1.169051E-7
-8.798175E-1	-1.151424E-7
-8.758301E-1	-1.135181E-7
-8.718063E-1	-1.117013E-7
-8.678177E-1	-1.100572E-7
-8.638276E-1	-1.083750E-7
-8.597723E-1	-1.067824E-7
-8.557817E-1	-1.051874E-7
-8.517607E-1	-1.035134E-7
-8.477694E-1	-1.018927E-7
-8.437787E-1	-1.003644E-7
-8.397592E-1	-9.881786E-8
-8.357325E-1	-9.729221E-8
-8.317142E-1	-9.575044E-8
-8.277211E-1	-9.428081E-8
-8.237336E-1	-9.281106E-8
-8.197106E-1	-9.137710E-8
-8.157214E-1	-8.987310E-8
-8.116630E-1	-8.846108E-8
-8.076767E-1	-8.707570E-8
-8.036542E-1	-8.571084E-8
-7.996663E-1	-8.429161E-8
-7.956765E-1	-8.298360E-8
-7.916885E-1	-8.164957E-8
-7.876642E-1	-8.036969E-8
-7.836064E-1	-7.902270E-8
-7.796181E-1	-7.769835E-8
-7.756273E-1	-7.652912E-8
-7.716071E-1	-7.520875E-8
-7.676172E-1	-7.402701E-8
-7.636282E-1	-7.279404E-8
-7.595701E-1	-7.163078E-8
-7.555811E-1	-7.044595E-8
-7.515596E-1	-6.928023E-8
-7.475700E-1	-6.818474E-8
-7.435819E-1	-6.704551E-8
-7.395603E-1	-6.588322E-8
-7.355369E-1	-6.477507E-8
-7.315134E-1	-6.371555E-8
-7.275267E-1	-6.265642E-8
-7.235339E-1	-6.160757E-8
-7.195131E-1	-6.054293E-8
-7.155210E-1	-5.956701E-8
-7.114659E-1	-5.857200E-8
-7.074747E-1	-5.755935E-8
-7.034872E-1	-5.660893E-8
-6.994625E-1	-5.564773E-8
-6.954759E-1	-5.465713E-8
-6.914845E-1	-5.374316E-8
-6.874620E-1	-5.283966E-8
-6.834056E-1	-5.188654E-8
-6.794153E-1	-5.100606E-8
-6.754269E-1	-5.014940E-8
-6.714038E-1	-4.926661E-8
-6.674147E-1	-4.839544E-8
-6.634265E-1	-4.753858E-8
-6.593720E-1	-4.673806E-8
-6.553802E-1	-4.589168E-8
-6.513563E-1	-4.513811E-8
-6.473657E-1	-4.433588E-8
-6.433790E-1	-4.356978E-8
-6.393538E-1	-4.277960E-8
-6.353336E-1	-4.204894E-8
-6.313092E-1	-4.132007E-8
-6.273193E-1	-4.056476E-8
-6.233324E-1	-3.983319E-8
-6.193068E-1	-3.913314E-8
-6.153175E-1	-3.846505E-8
-6.112615E-1	-3.777370E-8
-6.072752E-1	-3.713160E-8
-6.032845E-1	-3.650350E-8
-5.992623E-1	-3.584453E-8
-5.952733E-1	-3.521145E-8
-5.912850E-1	-3.456004E-8
-5.872607E-1	-3.400301E-8
-5.832055E-1	-3.335255E-8
-5.792137E-1	-3.278968E-8
-5.752265E-1	-3.219877E-8
-5.712035E-1	-3.165636E-8
-5.672126E-1	-3.110974E-8
-5.632247E-1	-3.049576E-8
-5.591677E-1	-2.994775E-8
-5.551783E-1	-2.945661E-8
-5.511528E-1	-2.894936E-8
-5.471651E-1	-2.840403E-8
-5.431750E-1	-2.791595E-8
-5.391549E-1	-2.742036E-8
-5.351295E-1	-2.694089E-8
-5.311087E-1	-2.642840E-8
-5.271187E-1	-2.597286E-8
-5.231313E-1	-2.551218E-8
-5.191082E-1	-2.507048E-8
-5.151171E-1	-2.462518E-8
-5.110602E-1	-2.415109E-8
-5.070713E-1	-2.376113E-8
-5.030833E-1	-2.333188E-8
-4.990591E-1	-2.292555E-8
