Voltage (V)	Current (A)
-1.000075E+0	-3.758063E-7
-9.960876E-1	-3.714970E-7
-9.920613E-1	-3.670625E-7
-9.880751E-1	-3.626760E-7
-9.840146E-1	-3.581580E-7
-9.800283E-1	-3.539775E-7
-9.760374E-1	-3.496974E-7
-9.720172E-1	-3.454364E-7
-9.680262E-1	-3.413454E-7
-9.640383E-1	-3.371983E-7
-9.599802E-1	-3.329195E-7
-9.559918E-1	-3.288560E-7
-9.519684E-1	-3.247222E-7
-9.479781E-1	-3.205951E-7
-9.439901E-1	-3.167173E-7
-9.399689E-1	-3.127313E-7
-9.359444E-1	-3.087475E-7
-9.319212E-1	-3.047817E-7
-9.279312E-1	-3.009016E-7
-9.239417E-1	-2.971289E-7
-9.199194E-1	-2.933183E-7
-9.159288E-1	-2.895219E-7
-9.118739E-1	-2.856988E-7
-9.078821E-1	-2.819970E-7
-9.038614E-1	-2.782665E-7
-8.998738E-1	-2.746215E-7
-8.958822E-1	-2.709544E-7
-8.918591E-1	-2.673431E-7
-8.878703E-1	-2.638120E-7
-8.838156E-1	-2.603029E-7
-8.798242E-1	-2.567716E-7
-8.758373E-1	-2.532897E-7
-8.718156E-1	-2.498866E-7
-8.678274E-1	-2.464832E-7
-8.638346E-1	-2.431044E-7
-8.597807E-1	-2.397403E-7
-8.557895E-1	-2.363899E-7
-8.517675E-1	-2.331114E-7
-8.477767E-1	-2.298999E-7
-8.437857E-1	-2.267745E-7
-8.397655E-1	-2.234838E-7
-8.357406E-1	-2.203453E-7
-8.317202E-1	-2.172105E-7
-8.277275E-1	-2.141876E-7
-8.237395E-1	-2.111252E-7
-8.197162E-1	-2.080840E-7
-8.157263E-1	-2.051030E-7
-8.116695E-1	-2.021518E-7
-8.076829E-1	-1.992026E-7
-8.036608E-1	-1.963236E-7
-7.996721E-1	-1.934755E-7
-7.956808E-1	-1.905705E-7
-7.916952E-1	-1.878186E-7
-7.876702E-1	-1.849795E-7
-7.836125E-1	-1.821709E-7
-7.796229E-1	-1.795301E-7
-7.756326E-1	-1.768648E-7
-7.716137E-1	-1.742355E-7
-7.676213E-1	-1.715574E-7
-7.636352E-1	-1.690133E-7
-7.595741E-1	-1.664627E-7
-7.555861E-1	-1.638220E-7
-7.515638E-1	-1.613393E-7
-7.475766E-1	-1.588849E-7
-7.435868E-1	-1.564134E-7
-7.395658E-1	-1.539771E-7
-7.355424E-1	-1.516291E-7
-7.315180E-1	-1.492118E-7
-7.275318E-1	-1.469334E-7
-7.235398E-1	-1.446462E-7
-7.195183E-1	-1.423656E-7
-7.155263E-1	-1.401050E-7
-7.114716E-1	-1.379004E-7
-7.074798E-1	-1.357393E-7
-7.034925E-1	-1.336016E-7
-6.994665E-1	-1.314435E-7
-6.954802E-1	-1.293663E-7
-6.914871E-1	-1.273207E-7
-6.874669E-1	-1.252904E-7
-6.834072E-1	-1.231911E-7
-6.794184E-1	-1.212375E-7
-6.754313E-1	-1.193331E-7
-6.714064E-1	-1.173406E-7
-6.674196E-1	-1.154653E-7
-6.634301E-1	-1.135522E-7
-6.593748E-1	-1.117588E-7
-6.553845E-1	-1.099561E-7
-6.513615E-1	-1.081499E-7
-6.473702E-1	-1.063612E-7
-6.433829E-1	-1.046936E-7
-6.393589E-1	-1.029405E-7
-6.353381E-1	-1.012901E-7
-6.313141E-1	-9.960297E-8
-6.273230E-1	-9.799537E-8
-6.233363E-1	-9.633257E-8
-6.193095E-1	-9.479138E-8
-6.153224E-1	-9.323897E-8
-6.112657E-1	-9.172738E-8
-6.072800E-1	-9.023348E-8
-6.032898E-1	-8.875125E-8
-5.992669E-1	-8.737023E-8
-5.952780E-1	-8.593537E-8
-5.912902E-1	-8.457562E-8
-5.872652E-1	-8.318590E-8
-5.832099E-1	-8.178035E-8
-5.792173E-1	-8.049494E-8
-5.752299E-1	-7.915522E-8
-5.712065E-1	-7.793055E-8
-5.672145E-1	-7.667806E-8
-5.632281E-1	-7.544772E-8
-5.591692E-1	-7.423618E-8
-5.551818E-1	-7.305673E-8
-5.511553E-1	-7.187995E-8
-5.471692E-1	-7.073074E-8
-5.431771E-1	-6.958623E-8
-5.391567E-1	-6.847976E-8
-5.351325E-1	-6.740937E-8
-5.311115E-1	-6.629583E-8
-5.271217E-1	-6.525122E-8
-5.231355E-1	-6.420401E-8
-5.191095E-1	-6.317314E-8
-5.151207E-1	-6.219722E-8
-5.110648E-1	-6.119490E-8
-5.070742E-1	-6.021179E-8
-5.030867E-1	-5.925938E-8
-4.990633E-1	-5.831826E-8
-4.950745E-1	-5.738237E-8
-4.910829E-1	-5.647589E-8
-4.870626E-1	-5.557565E-8
-4.830026E-1	-5.470018E-8
-4.790153E-1	-5.381395E-8
-4.750247E-1	-5.289239E-8
-4.710382E-1	-5.208452E-8
-4.670140E-1	-5.119360E-8
-4.630240E-1	-5.037216E-8
-4.589692E-1	-4.950293E-8
-4.549790E-1	-4.872216E-8
-4.509586E-1	-4.790806E-8
-4.469668E-1	-4.712600E-8
-4.429788E-1	-4.638813E-8
-4.389544E-1	-4.557732E-8
-4.349312E-1	-4.475670E-8
-4.309076E-1	-4.400621E-8
-4.269182E-1	-4.328814E-8
-4.229281E-1	-4.255998E-8
-4.189075E-1	-4.179673E-8
-4.149154E-1	-4.104935E-8
-4.108585E-1	-4.036357E-8
-4.068677E-1	-3.962379E-8
-4.028787E-1	-3.889724E-8
-3.988583E-1	-3.818828E-8
-3.948678E-1	-3.749697E-8
-3.908800E-1	-3.681639E-8
-3.868573E-1	-3.611255E-8
-3.828016E-1	-3.545094E-8
-3.788107E-1	-3.477714E-8
-3.748222E-1	-3.410750E-8
-3.708309E-1	-3.344757E-8
-3.668083E-1	-3.278589E-8
-3.628180E-1	-3.216057E-8
-3.587630E-1	-3.149552E-8
-3.547711E-1	-3.086616E-8
-3.507499E-1	-3.023199E-8
-3.467618E-1	-2.961716E-8
-3.427696E-1	-2.895506E-8
-3.387465E-1	-2.837195E-8
-3.347239E-1	-2.775901E-8
-3.307050E-1	-2.716326E-8
-3.267111E-1	-2.659550E-8
-3.227252E-1	-2.601548E-8
-3.187014E-1	-2.538394E-8
-3.147135E-1	-2.483286E-8
-3.106540E-1	-2.422481E-8
-3.066678E-1	-2.369682E-8
-3.026739E-1	-2.312755E-8
-2.986498E-1	-2.259283E-8
-2.946621E-1	-2.201993E-8
-2.906719E-1	-2.149629E-8
-2.866516E-1	-2.094940E-8
-2.826260E-1	-2.039717E-8
-2.786061E-1	-1.986256E-8
-2.746125E-1	-1.935383E-8
-2.706237E-1	-1.885633E-8
-2.665986E-1	-1.829468E-8
-2.626139E-1	-1.777772E-8
-2.585557E-1	-1.727066E-8
-2.545682E-1	-1.676331E-8
-2.505445E-1	-1.625529E-8
-2.465545E-1	-1.574218E-8
-2.425679E-1	-1.532420E-8
-2.385764E-1	-1.482404E-8
-2.345197E-1	-1.432982E-8
-2.304956E-1	-1.385000E-8
-2.265068E-1	-1.337350E-8
-2.225177E-1	-1.293684E-8
-2.184948E-1	-1.246458E-8
-2.145048E-1	-1.201675E-8
-2.104497E-1	-1.154386E-8
-2.064571E-1	-1.111214E-8
-2.024704E-1	-1.070117E-8
-1.984431E-1	-1.026432E-8
-1.944569E-1	-9.828639E-9
-1.904675E-1	-9.408121E-9
-1.864108E-1	-8.984379E-9
-1.824210E-1	-8.583146E-9
-1.783981E-1	-8.164340E-9
-1.744130E-1	-7.758368E-9
-1.704191E-1	-7.339450E-9
-1.663970E-1	-6.970688E-9
-1.624029E-1	-6.600207E-9
-1.583482E-1	-6.217742E-9
-1.543589E-1	-5.835858E-9
-1.503368E-1	-5.485787E-9
-1.463462E-1	-5.132148E-9
-1.423577E-1	-4.794859E-9
-1.383624E-1	-4.485014E-9
-1.343063E-1	-4.160291E-9
-1.302826E-1	-3.856901E-9
-1.262910E-1	-3.557911E-9
-1.223056E-1	-3.253595E-9
-1.182824E-1	-2.998395E-9
-1.142944E-1	-2.757861E-9
-1.102355E-1	-2.513346E-9
-1.062505E-1	-2.309983E-9
-1.022585E-1	-2.109216E-9
-9.823507E-2	-1.928187E-9
-9.423984E-2	-1.753862E-9
-9.025492E-2	-1.602923E-9
-8.619648E-2	-1.460780E-9
-8.220656E-2	-1.323708E-9
-7.818605E-2	-1.207675E-9
-7.419794E-2	-1.099769E-9
-7.020795E-2	-1.009715E-9
-6.618293E-2	-9.073847E-10
-6.219142E-2	-8.208505E-10
-5.813539E-2	-7.359930E-10
-5.414854E-2	-6.661796E-10
-5.015432E-2	-5.910023E-10
-4.613756E-2	-5.210630E-10
-4.214569E-2	-4.600496E-10
-3.815917E-2	-4.094285E-10
-3.409978E-2	-3.483729E-10
-3.007378E-2	-3.029484E-10
-2.608086E-2	-2.648147E-10
-2.209384E-2	-2.185937E-10
-1.807540E-2	-1.812563E-10
-1.408463E-2	-1.471878E-10
-1.002725E-2	-1.188181E-10
-6.037042E-3	-7.837988E-11
-2.044745E-3	-5.185793E-11
1.969070E-3	3.740452E-12
5.953620E-3	-4.345808E-12
9.948050E-3	3.143493E-11
1.400200E-2	6.155948E-11
1.802824E-2	8.577637E-11
2.201464E-2	1.342103E-10
2.600281E-2	1.795858E-10
3.002418E-2	2.236622E-10
3.401685E-2	2.669845E-10
3.800232E-2	3.356970E-10
4.205662E-2	3.882369E-10
4.604991E-2	4.387242E-10
5.007073E-2	5.053410E-10
5.406133E-2	5.773218E-10
5.804709E-2	6.507262E-10
6.206911E-2	7.213245E-10
6.612427E-2	8.150504E-10
7.011751E-2	9.089002E-10
7.410325E-2	1.001789E-9
7.813026E-2	1.101632E-9
8.211718E-2	1.214378E-9
8.610561E-2	1.325993E-9
9.016082E-2	1.437317E-9
9.414742E-2	1.571307E-9
9.817203E-2	1.709066E-9
1.021601E-1	1.856127E-9
1.061510E-1	2.002100E-9
1.101717E-1	2.171535E-9
1.142286E-1	2.348721E-9
1.182165E-1	2.524104E-9
1.222048E-1	2.699697E-9
1.262254E-1	2.891005E-9
1.302159E-1	3.089432E-9
1.342032E-1	3.272943E-9
1.382311E-1	3.490269E-9
1.422508E-1	3.697244E-9
1.462754E-1	3.926342E-9
1.502659E-1	4.144880E-9
1.542520E-1	4.376453E-9
1.582774E-1	4.620422E-9
1.622583E-1	4.873650E-9
1.663214E-1	5.101324E-9
1.703102E-1	5.356693E-9
1.743344E-1	5.607455E-9
1.783223E-1	5.851294E-9
1.823114E-1	6.123931E-9
1.863308E-1	6.403218E-9
1.903550E-1	6.679282E-9
1.943757E-1	6.959370E-9
1.983607E-1	7.260319E-9
2.023492E-1	7.544436E-9
2.063745E-1	7.829209E-9
2.103671E-1	8.153752E-9
2.144213E-1	8.461702E-9
2.184104E-1	8.776514E-9
2.224300E-1	9.107009E-9
2.264213E-1	9.435779E-9
2.304045E-1	9.738286E-9
2.344326E-1	1.008302E-8
2.384225E-1	1.041210E-8
2.424785E-1	1.075213E-8
2.464660E-1	1.111694E-8
2.504533E-1	1.145836E-8
2.544723E-1	1.180514E-8
2.584615E-1	1.213995E-8
2.624519E-1	1.254062E-8
2.665062E-1	1.287007E-8
2.705296E-1	1.326403E-8
2.745182E-1	1.364159E-8
2.785102E-1	1.400144E-8
2.825295E-1	1.438894E-8
2.865203E-1	1.476951E-8
2.905756E-1	1.515065E-8
2.945648E-1	1.554741E-8
2.985505E-1	1.591961E-8
3.025760E-1	1.631931E-8
3.065646E-1	1.669659E-8
3.105540E-1	1.710519E-8
3.146124E-1	1.749503E-8
3.186317E-1	1.788865E-8
3.226218E-1	1.831327E-8
3.266095E-1	1.869387E-8
3.306328E-1	1.910313E-8
3.346172E-1	1.951003E-8
