Voltage (V)	Current (A)
9.999734E-1	4.409015E-7
9.959539E-1	4.354937E-7
9.919617E-1	4.301674E-7
9.879752E-1	4.246276E-7
9.839180E-1	4.192418E-7
9.799305E-1	4.140655E-7
9.759055E-1	4.086801E-7
9.719209E-1	4.036157E-7
9.678951E-1	3.983506E-7
9.639063E-1	3.933400E-7
9.598523E-1	3.881159E-7
9.558606E-1	3.831299E-7
9.518749E-1	3.779604E-7
9.478478E-1	3.730248E-7
9.438598E-1	3.680788E-7
9.398722E-1	3.630095E-7
9.358187E-1	3.582166E-7
9.318244E-1	3.533711E-7
9.278044E-1	3.484998E-7
9.238124E-1	3.435992E-7
9.198292E-1	3.390261E-7
9.158005E-1	3.341744E-7
9.117508E-1	3.295532E-7
9.077607E-1	3.248654E-7
9.037681E-1	3.204044E-7
8.997493E-1	3.158680E-7
8.957581E-1	3.113999E-7
8.917710E-1	3.067472E-7
8.877480E-1	3.023860E-7
8.837298E-1	2.980202E-7
8.797033E-1	2.936290E-7
8.757164E-1	2.894196E-7
8.717286E-1	2.850772E-7
8.677060E-1	2.807459E-7
8.637183E-1	2.767129E-7
8.596624E-1	2.723071E-7
8.556735E-1	2.681382E-7
8.516480E-1	2.641425E-7
8.476617E-1	2.601053E-7
8.436716E-1	2.560925E-7
8.396502E-1	2.521390E-7
8.356260E-1	2.481600E-7
8.316049E-1	2.443001E-7
8.276143E-1	2.405773E-7
8.236272E-1	2.367061E-7
8.196041E-1	2.329364E-7
8.156160E-1	2.293151E-7
8.115576E-1	2.255462E-7
8.075706E-1	2.220703E-7
8.035513E-1	2.184547E-7
7.995608E-1	2.148569E-7
7.955723E-1	2.114407E-7
7.915477E-1	2.079774E-7
7.875616E-1	2.046177E-7
7.835025E-1	2.011718E-7
7.795166E-1	1.978872E-7
7.755270E-1	1.947303E-7
7.715069E-1	1.914216E-7
7.675155E-1	1.883503E-7
7.635296E-1	1.852612E-7
7.594696E-1	1.821408E-7
7.554496E-1	1.790789E-7
7.514606E-1	1.762021E-7
7.474707E-1	1.732701E-7
7.434518E-1	1.703245E-7
7.394592E-1	1.674683E-7
7.354078E-1	1.646303E-7
7.314174E-1	1.618759E-7
7.274297E-1	1.592065E-7
7.234060E-1	1.564896E-7
7.194161E-1	1.539554E-7
7.154264E-1	1.513311E-7
7.113706E-1	1.487231E-7
7.073498E-1	1.462301E-7
7.033616E-1	1.437773E-7
6.993722E-1	1.413580E-7
6.953519E-1	1.388894E-7
6.913615E-1	1.366615E-7
6.873711E-1	1.343122E-7
6.833149E-1	1.319390E-7
6.793269E-1	1.296692E-7
6.753051E-1	1.275315E-7
6.713154E-1	1.252830E-7
6.673292E-1	1.231480E-7
6.633059E-1	1.210306E-7
6.592511E-1	1.189672E-7
6.552608E-1	1.168294E-7
