Voltage (V)	Current (A)
-1.000078E+0	-4.565302E-7
-9.960919E-1	-4.519682E-7
-9.920645E-1	-4.471714E-7
-9.880794E-1	-4.426701E-7
-9.840193E-1	-4.379662E-7
-9.800321E-1	-4.333389E-7
-9.760410E-1	-4.287907E-7
-9.720203E-1	-4.241788E-7
-9.680296E-1	-4.197696E-7
-9.640436E-1	-4.153412E-7
-9.599835E-1	-4.109659E-7
-9.559962E-1	-4.065218E-7
-9.519702E-1	-4.022493E-7
-9.479794E-1	-3.978786E-7
-9.439919E-1	-3.935404E-7
-9.399728E-1	-3.893417E-7
-9.359469E-1	-3.851667E-7
-9.319228E-1	-3.809490E-7
-9.279374E-1	-3.767972E-7
-9.239433E-1	-3.726511E-7
-9.199234E-1	-3.685667E-7
-9.159320E-1	-3.644487E-7
-9.118761E-1	-3.605208E-7
-9.078868E-1	-3.564271E-7
-9.038661E-1	-3.525707E-7
-8.998768E-1	-3.486810E-7
-8.958870E-1	-3.448371E-7
-8.918640E-1	-3.408416E-7
-8.878731E-1	-3.370713E-7
-8.838194E-1	-3.332785E-7
-8.798278E-1	-3.295850E-7
-8.758415E-1	-3.258928E-7
-8.718172E-1	-3.221581E-7
-8.678290E-1	-3.184716E-7
-8.638380E-1	-3.148333E-7
-8.597823E-1	-3.113588E-7
-8.557916E-1	-3.078077E-7
-8.517707E-1	-3.042200E-7
-8.477808E-1	-3.007593E-7
-8.437907E-1	-2.973119E-7
-8.397699E-1	-2.938668E-7
-8.357435E-1	-2.905239E-7
-8.317247E-1	-2.870642E-7
-8.277315E-1	-2.837401E-7
-8.237432E-1	-2.804707E-7
-8.197194E-1	-2.770899E-7
-8.157318E-1	-2.740362E-7
-8.116734E-1	-2.707496E-7
-8.076867E-1	-2.675550E-7
-8.036645E-1	-2.643949E-7
-7.996766E-1	-2.612082E-7
-7.956849E-1	-2.582124E-7
-7.916979E-1	-2.549982E-7
-7.876722E-1	-2.520330E-7
-7.836155E-1	-2.489310E-7
-7.796263E-1	-2.459750E-7
-7.756369E-1	-2.430180E-7
-7.716158E-1	-2.401584E-7
-7.676259E-1	-2.372488E-7
-7.636372E-1	-2.342730E-7
-7.595791E-1	-2.313983E-7
-7.555887E-1	-2.284626E-7
-7.515678E-1	-2.257976E-7
-7.475787E-1	-2.230100E-7
-7.435898E-1	-2.202105E-7
-7.395682E-1	-2.175549E-7
-7.355448E-1	-2.148176E-7
-7.315202E-1	-2.121515E-7
-7.275341E-1	-2.095504E-7
-7.235433E-1	-2.068908E-7
-7.195222E-1	-2.042464E-7
-7.155294E-1	-2.020349E-7
-7.114734E-1	-1.992700E-7
-7.074830E-1	-1.968521E-7
-7.034951E-1	-1.941516E-7
-6.994709E-1	-1.915827E-7
-6.954833E-1	-1.892433E-7
-6.914918E-1	-1.867528E-7
-6.874692E-1	-1.843138E-7
-6.834113E-1	-1.819848E-7
-6.794209E-1	-1.796154E-7
-6.754345E-1	-1.772138E-7
-6.714091E-1	-1.748819E-7
-6.674227E-1	-1.726079E-7
-6.634330E-1	-1.703267E-7
-6.593780E-1	-1.679999E-7
-6.553886E-1	-1.657803E-7
-6.513650E-1	-1.636113E-7
-6.473723E-1	-1.613619E-7
-6.433858E-1	-1.592125E-7
-6.393615E-1	-1.570925E-7
-6.353404E-1	-1.548765E-7
-6.313165E-1	-1.527400E-7
-6.273267E-1	-1.506860E-7
-6.233401E-1	-1.486156E-7
-6.193130E-1	-1.464811E-7
-6.153265E-1	-1.444890E-7
-6.112689E-1	-1.424352E-7
-6.072834E-1	-1.404294E-7
-6.032911E-1	-1.383815E-7
-5.992691E-1	-1.363904E-7
-5.952794E-1	-1.344451E-7
-5.912929E-1	-1.324804E-7
-5.872669E-1	-1.305378E-7
-5.832124E-1	-1.285765E-7
-5.792193E-1	-1.266511E-7
-5.752329E-1	-1.248346E-7
-5.712095E-1	-1.228270E-7
-5.672188E-1	-1.209478E-7
-5.632298E-1	-1.191383E-7
