Voltage (V)	Current (A)
9.999737E-1	3.960251E-7
9.959554E-1	3.907305E-7
9.919613E-1	3.855691E-7
9.879754E-1	3.804107E-7
9.839152E-1	3.752089E-7
9.799282E-1	3.701427E-7
9.759057E-1	3.650987E-7
9.719192E-1	3.602146E-7
9.678936E-1	3.551334E-7
9.639075E-1	3.501548E-7
9.598522E-1	3.451366E-7
9.558597E-1	3.403854E-7
9.518731E-1	3.356337E-7
9.478452E-1	3.307754E-7
9.438600E-1	3.260643E-7
9.398701E-1	3.214188E-7
9.358141E-1	3.165120E-7
9.318264E-1	3.119930E-7
9.278063E-1	3.073439E-7
9.238143E-1	3.028721E-7
9.198259E-1	2.982626E-7
9.158006E-1	2.937136E-7
9.117486E-1	2.892615E-7
9.077590E-1	2.847923E-7
9.037690E-1	2.804500E-7
8.997477E-1	2.760941E-7
8.957573E-1	2.717806E-7
8.917691E-1	2.674884E-7
8.877456E-1	2.631907E-7
8.837277E-1	2.589927E-7
8.796982E-1	2.548113E-7
8.757144E-1	2.506789E-7
8.717277E-1	2.465214E-7
8.677049E-1	2.425533E-7
8.637124E-1	2.385730E-7
8.596607E-1	2.345190E-7
8.556708E-1	2.306511E-7
8.516445E-1	2.266788E-7
8.476594E-1	2.228311E-7
8.436686E-1	2.189831E-7
8.396474E-1	2.152191E-7
8.356240E-1	2.114660E-7
8.316029E-1	2.077317E-7
8.276117E-1	2.040715E-7
8.236250E-1	2.004487E-7
8.196014E-1	1.968411E-7
8.156156E-1	1.932726E-7
8.115566E-1	1.897825E-7
8.075690E-1	1.863442E-7
8.035488E-1	1.829420E-7
7.995576E-1	1.795277E-7
7.955716E-1	1.762569E-7
7.915459E-1	1.729486E-7
7.875595E-1	1.697450E-7
7.835012E-1	1.664503E-7
7.795152E-1	1.633151E-7
7.755257E-1	1.602351E-7
7.715049E-1	1.571244E-7
7.675145E-1	1.541458E-7
7.635266E-1	1.511748E-7
7.594692E-1	1.481884E-7
7.554479E-1	1.452995E-7
7.514594E-1	1.424540E-7
7.474712E-1	1.396474E-7
7.434497E-1	1.368937E-7
7.394589E-1	1.342072E-7
7.354056E-1	1.315756E-7
7.314157E-1	1.289451E-7
7.274296E-1	1.263979E-7
7.234052E-1	1.238652E-7
7.194151E-1	1.214014E-7
7.154238E-1	1.189442E-7
7.113711E-1	1.165255E-7
7.073481E-1	1.141956E-7
7.033607E-1	1.118804E-7
6.993698E-1	1.096285E-7
6.953503E-1	1.073666E-7
6.913611E-1	1.051818E-7
6.873686E-1	1.030609E-7
6.833119E-1	1.009495E-7
6.793242E-1	9.885174E-8
6.753035E-1	9.678752E-8
6.713144E-1	9.479350E-8
6.673282E-1	9.282503E-8
6.633034E-1	9.088209E-8
6.592483E-1	8.895469E-8
6.552566E-1	8.707968E-8
6.512713E-1	8.524201E-8
6.472472E-1	8.347585E-8
6.432607E-1	8.170902E-8
6.392730E-1	7.992922E-8
6.352135E-1	7.819438E-8
6.312267E-1	7.652116E-8
6.272015E-1	7.488806E-8
6.232178E-1	7.325345E-8
6.192280E-1	7.167531E-8
6.152055E-1	7.014885E-8
6.111469E-1	6.859532E-8
6.071602E-1	6.713109E-8
6.031701E-1	6.564944E-8
5.991503E-1	6.419398E-8
5.951622E-1	6.283452E-8
5.911749E-1	6.144242E-8
5.871488E-1	6.008700E-8
5.831262E-1	5.875239E-8
5.791062E-1	5.748461E-8
5.751172E-1	5.623286E-8
5.711299E-1	5.501893E-8
5.671057E-1	5.380254E-8
5.631170E-1	5.266356E-8
5.590596E-1	5.146496E-8
5.550724E-1	5.034035E-8
5.510488E-1	4.924471E-8
5.470593E-1	4.822404E-8
5.430706E-1	4.712463E-8
5.390497E-1	4.608910E-8
5.350274E-1	4.506851E-8
5.310075E-1	4.413796E-8
5.270175E-1	4.314391E-8
5.230293E-1	4.222533E-8
5.190080E-1	4.128778E-8
5.150185E-1	4.043430E-8
5.109630E-1	3.956881E-8
5.069742E-1	3.871568E-8
5.029542E-1	3.795468E-8
4.989612E-1	3.711834E-8
4.949732E-1	3.634752E-8
4.909516E-1	3.563071E-8
4.869646E-1	3.488385E-8
4.829047E-1	3.417079E-8
4.789184E-1	3.351405E-8
4.749259E-1	3.284227E-8
4.709076E-1	3.219287E-8
4.669196E-1	3.155574E-8
4.629303E-1	3.089221E-8
4.588753E-1	3.030542E-8
4.548543E-1	2.970904E-8
4.508671E-1	2.915280E-8
4.468736E-1	2.861461E-8
4.428540E-1	2.808720E-8
4.388636E-1	2.753796E-8
4.348092E-1	2.700394E-8
4.308188E-1	2.652158E-8
4.268328E-1	2.601893E-8
4.228089E-1	2.553015E-8
4.188177E-1	2.509076E-8
4.148293E-1	2.461328E-8
4.107725E-1	2.414605E-8
4.067506E-1	2.370406E-8
4.027626E-1	2.327698E-8
3.987762E-1	2.287264E-8
3.947517E-1	2.239723E-8
3.907636E-1	2.196275E-8
3.867742E-1	2.154055E-8
3.827215E-1	2.111952E-8
3.787296E-1	2.068519E-8
3.747114E-1	2.031183E-8
3.707197E-1	1.989106E-8
3.667285E-1	1.952459E-8
3.627103E-1	1.910694E-8
3.586516E-1	1.871132E-8
3.546649E-1	1.833633E-8
3.506755E-1	1.792261E-8
3.466550E-1	1.757383E-8
3.426643E-1	1.718303E-8
3.386748E-1	1.679308E-8
3.346193E-1	1.641566E-8
3.306328E-1	1.604592E-8
3.266087E-1	1.569426E-8
3.226221E-1	1.532538E-8
3.186321E-1	1.496329E-8
3.146126E-1	1.458222E-8
3.105541E-1	1.423199E-8
3.065652E-1	1.386766E-8
3.025775E-1	1.353017E-8
2.985521E-1	1.319231E-8
2.945666E-1	1.280240E-8
2.905754E-1	1.247422E-8
2.865567E-1	1.214121E-8
2.825302E-1	1.180436E-8
2.785108E-1	1.150597E-8
2.745182E-1	1.116114E-8
2.705310E-1	1.084607E-8
2.665052E-1	1.050155E-8
2.625214E-1	1.019435E-8
2.584614E-1	9.880701E-9
2.544749E-1	9.563203E-9
2.504552E-1	9.266152E-9
2.464669E-1	8.980362E-9
2.424801E-1	8.696425E-9
2.384552E-1	8.384204E-9
2.344331E-1	8.093760E-9
2.304055E-1	7.805975E-9
2.264224E-1	7.531709E-9
2.224317E-1	7.239308E-9
2.184124E-1	6.980000E-9
2.144233E-1	6.733813E-9
2.103684E-1	6.480833E-9
2.063753E-1	6.199238E-9
2.023504E-1	5.952212E-9
1.983608E-1	5.740208E-9
1.943753E-1	5.472946E-9
1.903560E-1	5.236894E-9
1.863302E-1	5.011980E-9
1.823110E-1	4.801493E-9
1.783224E-1	4.577587E-9
1.743344E-1	4.377735E-9
1.703093E-1	4.166696E-9
1.663207E-1	3.985742E-9
1.623296E-1	3.789240E-9
1.582783E-1	3.617837E-9
1.542523E-1	3.427748E-9
1.502660E-1	3.252741E-9
1.462738E-1	3.085526E-9
1.422499E-1	2.926486E-9
1.382649E-1	2.765011E-9
1.342052E-1	2.615058E-9
1.302163E-1	2.489404E-9
1.262254E-1	2.346911E-9
1.222058E-1	2.215353E-9
1.182159E-1	2.074912E-9
1.142316E-1	1.955923E-9
1.101741E-1	1.840075E-9
1.061521E-1	1.725987E-9
1.021629E-1	1.607668E-9
9.817295E-2	1.510214E-9
9.414800E-2	1.414645E-9
9.016341E-2	1.310865E-9
8.610928E-2	1.219947E-9
8.211900E-2	1.132800E-9
7.813015E-2	1.051979E-9
7.410263E-2	9.675964E-10
7.012092E-2	8.971675E-10
6.612521E-2	8.243917E-10
6.210507E-2	7.508598E-10
