Voltage (V)	Current (A)
9.999833E-1	6.675566E-7
9.959626E-1	6.593428E-7
9.919725E-1	6.511033E-7
9.879841E-1	6.430344E-7
9.839268E-1	6.348563E-7
9.799410E-1	6.269243E-7
9.759133E-1	6.187964E-7
9.719277E-1	6.110608E-7
9.679040E-1	6.030904E-7
9.639161E-1	5.956220E-7
9.598628E-1	5.874689E-7
9.558668E-1	5.796691E-7
9.518825E-1	5.719993E-7
9.478561E-1	5.642773E-7
9.438685E-1	5.568204E-7
9.398802E-1	5.491121E-7
9.358240E-1	5.416705E-7
9.318337E-1	5.345042E-7
9.278131E-1	5.269760E-7
9.238223E-1	5.195822E-7
9.198356E-1	5.124663E-7
9.158112E-1	5.051552E-7
9.117572E-1	4.978079E-7
9.077680E-1	4.905698E-7
9.037749E-1	4.836803E-7
8.997548E-1	4.766477E-7
8.957658E-1	4.695922E-7
8.917792E-1	4.627010E-7
8.877538E-1	4.558489E-7
8.837360E-1	4.489445E-7
8.797110E-1	4.421437E-7
8.757235E-1	4.353998E-7
8.717344E-1	4.287790E-7
8.677140E-1	4.221202E-7
8.637224E-1	4.155492E-7
8.596680E-1	4.091771E-7
8.556800E-1	4.026434E-7
8.516523E-1	3.963044E-7
8.476663E-1	3.899875E-7
8.436767E-1	3.837546E-7
8.396554E-1	3.776036E-7
8.356314E-1	3.713780E-7
8.316132E-1	3.652977E-7
8.276185E-1	3.593103E-7
8.236321E-1	3.533798E-7
8.196083E-1	3.474837E-7
8.156221E-1	3.417184E-7
8.115630E-1	3.357659E-7
8.075767E-1	3.301645E-7
8.035555E-1	3.245179E-7
7.995639E-1	3.189122E-7
7.955781E-1	3.133920E-7
7.915522E-1	3.079722E-7
7.875665E-1	3.026495E-7
7.835076E-1	2.972488E-7
7.795203E-1	2.919211E-7
7.755323E-1	2.867831E-7
7.715103E-1	2.816367E-7
7.675198E-1	2.765736E-7
7.635326E-1	2.715861E-7
7.594743E-1	2.665668E-7
7.554529E-1	2.616396E-7
7.514649E-1	2.568757E-7
7.474745E-1	2.521049E-7
7.434547E-1	2.474337E-7
7.394645E-1	2.427919E-7
7.354115E-1	2.381855E-7
7.314203E-1	2.337102E-7
7.274351E-1	2.293239E-7
7.234092E-1	2.249748E-7
7.194216E-1	2.206497E-7
7.154308E-1	2.164401E-7
7.113757E-1	2.122829E-7
7.073520E-1	2.081038E-7
7.033663E-1	2.041100E-7
6.993746E-1	2.001936E-7
6.953549E-1	1.962425E-7
6.913663E-1	1.924318E-7
6.873726E-1	1.886219E-7
6.833189E-1	1.848169E-7
6.793295E-1	1.811563E-7
6.753087E-1	1.775688E-7
6.713188E-1	1.739730E-7
6.673338E-1	1.705480E-7
6.633079E-1	1.670245E-7
6.592540E-1	1.635872E-7
6.552630E-1	1.603202E-7
6.512755E-1	1.570787E-7
6.472517E-1	1.538510E-7
6.432651E-1	1.506710E-7
6.392745E-1	1.475678E-7
6.352182E-1	1.444964E-7
6.312301E-1	1.414817E-7
6.272064E-1	1.384765E-7
6.232211E-1	1.355851E-7
6.192291E-1	1.327408E-7
6.152071E-1	1.299001E-7
6.111521E-1	1.271119E-7
6.071678E-1	1.244266E-7
6.031741E-1	1.217955E-7
5.991545E-1	1.191680E-7
5.951660E-1	1.166227E-7
5.911783E-1	1.141487E-7
5.871542E-1	1.117160E-7
5.831324E-1	1.093053E-7
5.791096E-1	1.069071E-7
5.751201E-1	1.046925E-7
5.711330E-1	1.024482E-7
5.671093E-1	1.002323E-7
5.631200E-1	9.808477E-8
5.590638E-1	9.594813E-8
5.550765E-1	9.387799E-8
5.510526E-1	9.185938E-8
5.470631E-1	8.991587E-8
5.430739E-1	8.792244E-8
5.390545E-1	8.607159E-8
5.350302E-1	8.420641E-8
5.310101E-1	8.241265E-8
5.270205E-1	8.060828E-8
5.230325E-1	7.898012E-8
5.190105E-1	7.723980E-8
5.150197E-1	7.564072E-8
5.109649E-1	7.406318E-8
5.069767E-1	7.251497E-8
5.029544E-1	7.097933E-8
4.989648E-1	6.955342E-8
4.949761E-1	6.811023E-8
4.909523E-1	6.672602E-8
4.869669E-1	6.538550E-8
4.829072E-1	6.403467E-8
4.789208E-1	6.273125E-8
4.749285E-1	6.152698E-8
4.709092E-1	6.028893E-8
4.669230E-1	5.908076E-8
4.629324E-1	5.797222E-8
4.588780E-1	5.677765E-8
4.548539E-1	5.566319E-8
4.508684E-1	5.456522E-8
4.468767E-1	5.354448E-8
4.428546E-1	5.249660E-8
4.388649E-1	5.145883E-8
4.348108E-1	5.049953E-8
4.308198E-1	4.950454E-8
4.268323E-1	4.855204E-8
4.228071E-1	4.763806E-8
4.188195E-1	4.668233E-8
4.148318E-1	4.583428E-8
4.107740E-1	4.492653E-8
4.067506E-1	4.408045E-8
4.027632E-1	4.325918E-8
3.987775E-1	4.241949E-8
3.947541E-1	4.158082E-8
3.907667E-1	4.075277E-8
3.867770E-1	3.996783E-8
3.827236E-1	3.921206E-8
3.787320E-1	3.840866E-8
3.747119E-1	3.765093E-8
3.707204E-1	3.692820E-8
3.667318E-1	3.618342E-8
3.627107E-1	3.541021E-8
3.586535E-1	3.467516E-8
3.546664E-1	3.396413E-8
3.506778E-1	3.327680E-8
3.466567E-1	3.257967E-8
3.426654E-1	3.185413E-8
