Voltage (V)	Current (A)
-1.000098E+0	-9.093208E-7
-9.961103E-1	-9.009457E-7
-9.920849E-1	-8.923139E-7
-9.880980E-1	-8.836328E-7
-9.840395E-1	-8.749136E-7
-9.800511E-1	-8.663179E-7
-9.760588E-1	-8.579779E-7
-9.720375E-1	-8.494085E-7
-9.680481E-1	-8.410339E-7
-9.640604E-1	-8.328360E-7
-9.600003E-1	-8.243893E-7
-9.560100E-1	-8.163015E-7
-9.519867E-1	-8.080959E-7
-9.479958E-1	-7.997925E-7
-9.440102E-1	-7.918612E-7
-9.399875E-1	-7.840138E-7
-9.359636E-1	-7.758474E-7
-9.319387E-1	-7.679106E-7
-9.279529E-1	-7.599849E-7
-9.239599E-1	-7.522110E-7
-9.199387E-1	-7.444906E-7
-9.159469E-1	-7.366794E-7
-9.118920E-1	-7.288331E-7
-9.079014E-1	-7.213501E-7
-9.038811E-1	-7.135134E-7
-8.998915E-1	-7.061062E-7
-8.958994E-1	-6.987636E-7
-8.918781E-1	-6.911393E-7
-8.878872E-1	-6.839606E-7
-8.838317E-1	-6.763555E-7
-8.798411E-1	-6.690524E-7
-8.758536E-1	-6.619557E-7
-8.718312E-1	-6.546571E-7
-8.678419E-1	-6.476121E-7
-8.638507E-1	-6.403604E-7
-8.597972E-1	-6.332445E-7
-8.558050E-1	-6.262724E-7
-8.517824E-1	-6.192352E-7
-8.477923E-1	-6.123394E-7
-8.438016E-1	-6.055747E-7
-8.397816E-1	-5.987994E-7
-8.357554E-1	-5.918214E-7
-8.317350E-1	-5.851898E-7
-8.277445E-1	-5.784880E-7
-8.237556E-1	-5.719077E-7
-8.197316E-1	-5.651883E-7
-8.157421E-1	-5.587825E-7
-8.116847E-1	-5.519481E-7
-8.076970E-1	-5.456151E-7
-8.036753E-1	-5.393146E-7
-7.996871E-1	-5.330916E-7
-7.956955E-1	-5.266845E-7
-7.917086E-1	-5.204312E-7
-7.876839E-1	-5.143385E-7
-7.836258E-1	-5.081126E-7
-7.796362E-1	-5.019747E-7
-7.756469E-1	-4.957994E-7
-7.716250E-1	-4.898774E-7
-7.676349E-1	-4.839209E-7
-7.636473E-1	-4.779062E-7
-7.595874E-1	-4.720374E-7
-7.555984E-1	-4.661091E-7
-7.515742E-1	-4.603411E-7
-7.475880E-1	-4.546515E-7
-7.435995E-1	-4.489278E-7
-7.395779E-1	-4.433483E-7
-7.355535E-1	-4.375365E-7
-7.315298E-1	-4.320826E-7
-7.275433E-1	-4.264300E-7
-7.235517E-1	-4.209366E-7
-7.195279E-1	-4.155671E-7
-7.155370E-1	-4.101345E-7
-7.114829E-1	-4.047594E-7
-7.074898E-1	-3.993003E-7
-7.035027E-1	-3.940002E-7
-6.994781E-1	-3.889531E-7
-6.954898E-1	-3.836529E-7
-6.914980E-1	-3.785524E-7
-6.874768E-1	-3.734602E-7
-6.834180E-1	-3.683436E-7
-6.794270E-1	-3.632521E-7
-6.754411E-1	-3.583090E-7
-6.714168E-1	-3.532732E-7
-6.674286E-1	-3.481867E-7
-6.634407E-1	-3.435694E-7
-6.593850E-1	-3.385764E-7
-6.553936E-1	-3.338893E-7
-6.513712E-1	-3.291189E-7
-6.473782E-1	-3.244024E-7
-6.433936E-1	-3.195754E-7
-6.393679E-1	-3.150154E-7
-6.353459E-1	-3.102963E-7
-6.313218E-1	-3.057576E-7
-6.273323E-1	-3.014081E-7
-6.233437E-1	-2.969433E-7
-6.193194E-1	-2.923458E-7
-6.153305E-1	-2.879019E-7
-6.112735E-1	-2.836019E-7
-6.072878E-1	-2.792519E-7
-6.032962E-1	-2.748203E-7
-5.992740E-1	-2.706190E-7
-5.952840E-1	-2.664778E-7
-5.912966E-1	-2.622251E-7
-5.872729E-1	-2.581370E-7
-5.832155E-1	-2.538997E-7
-5.792234E-1	-2.498387E-7
-5.752363E-1	-2.459079E-7
-5.712122E-1	-2.419310E-7
-5.672218E-1	-2.379644E-7
-5.632342E-1	-2.339983E-7
-5.591754E-1	-2.300728E-7
-5.551883E-1	-2.261999E-7
-5.511619E-1	-2.224149E-7
-5.471740E-1	-2.186399E-7
-5.431833E-1	-2.149289E-7
-5.391622E-1	-2.111687E-7
-5.351387E-1	-2.074737E-7
-5.311173E-1	-2.037985E-7
-5.271276E-1	-2.001645E-7
-5.231403E-1	-1.965727E-7
-5.191152E-1	-1.931037E-7
-5.151244E-1	-1.896098E-7
-5.110677E-1	-1.861032E-7
