Voltage (V)	Current (A)
-1.500048E+0	-5.617381E-7
-1.495044E+0	-5.531649E-7
-1.490074E+0	-5.432855E-7
-1.485068E+0	-5.352638E-7
-1.480001E+0	-5.249306E-7
-1.474995E+0	-5.161273E-7
-1.469993E+0	-5.058051E-7
-1.465026E+0	-4.983445E-7
-1.460021E+0	-4.896377E-7
-1.455016E+0	-4.810418E-7
-1.449944E+0	-4.717722E-7
-1.444980E+0	-4.631931E-7
-1.439973E+0	-4.540996E-7
-1.434967E+0	-4.453319E-7
-1.429969E+0	-4.378332E-7
-1.424893E+0	-4.294947E-7
-1.419928E+0	-4.222419E-7
-1.414922E+0	-4.146367E-7
-1.409920E+0	-4.055178E-7
-1.404916E+0	-3.995174E-7
-1.399910E+0	-3.913300E-7
-1.394876E+0	-3.841340E-7
-1.389870E+0	-3.764444E-7
-1.384870E+0	-3.696859E-7
-1.379863E+0	-3.625020E-7
-1.374864E+0	-3.557073E-7
-1.369858E+0	-3.484211E-7
-1.364824E+0	-3.414162E-7
-1.359819E+0	-3.361896E-7
-1.354818E+0	-3.293461E-7
-1.349815E+0	-3.224486E-7
-1.344812E+0	-3.164233E-7
-1.339807E+0	-3.082768E-7
-1.334771E+0	-3.027792E-7
-1.329762E+0	-2.968523E-7
-1.324762E+0	-2.897451E-7
-1.319758E+0	-2.846380E-7
-1.314755E+0	-2.784278E-7
-1.309751E+0	-2.714854E-7
-1.304715E+0	-2.658588E-7
-1.299714E+0	-2.594807E-7
-1.294710E+0	-2.540595E-7
-1.289709E+0	-2.487674E-7
-1.284704E+0	-2.431240E-7
-1.279699E+0	-2.375264E-7
-1.274662E+0	-2.319447E-7
-1.269660E+0	-2.275207E-7
-1.264656E+0	-2.221507E-7
-1.259651E+0	-2.183766E-7
-1.254652E+0	-2.133802E-7
-1.249646E+0	-2.086954E-7
-1.244608E+0	-2.037723E-7
-1.239610E+0	-1.987768E-7
-1.234606E+0	-1.940281E-7
-1.229604E+0	-1.899860E-7
-1.224600E+0	-1.848474E-7
-1.219631E+0	-1.802922E-7
-1.214558E+0	-1.757719E-7
-1.209553E+0	-1.716267E-7
-1.204552E+0	-1.677776E-7
-1.199550E+0	-1.627864E-7
-1.194582E+0	-1.581247E-7
-1.189578E+0	-1.549464E-7
-1.184506E+0	-1.506013E-7
-1.179503E+0	-1.470882E-7
-1.174499E+0	-1.441143E-7
-1.169526E+0	-1.400811E-7
-1.164526E+0	-1.362420E-7
-1.159528E+0	-1.329553E-7
-1.154453E+0	-1.292693E-7
-1.149447E+0	-1.260326E-7
-1.144482E+0	-1.225658E-7
-1.139477E+0	-1.191426E-7
-1.134475E+0	-1.161893E-7
-1.129471E+0	-1.130280E-7
-1.124400E+0	-1.092099E-7
-1.119430E+0	-1.061967E-7
-1.114425E+0	-1.035793E-7
-1.109424E+0	-1.007331E-7
-1.104419E+0	-9.750924E-8
-1.099418E+0	-9.485634E-8
-1.094381E+0	-9.248117E-8
-1.089375E+0	-8.962937E-8
-1.084374E+0	-8.714070E-8
-1.079372E+0	-8.432138E-8
-1.074368E+0	-8.152551E-8
-1.069362E+0	-7.918604E-8
-1.064328E+0	-7.632925E-8
-1.059324E+0	-7.436417E-8
-1.054317E+0	-7.216835E-8
-1.049316E+0	-7.018496E-8
-1.044313E+0	-6.759087E-8
-1.039310E+0	-6.562473E-8
-1.034272E+0	-6.339033E-8
-1.029271E+0	-6.131557E-8
-1.024270E+0	-5.953719E-8
-1.019264E+0	-5.763485E-8
-1.014261E+0	-5.615653E-8
-1.009259E+0	-5.416510E-8
-1.004224E+0	-5.261239E-8
-9.992196E-1	-5.133776E-8
-9.942126E-1	-4.969891E-8
-9.892111E-1	-4.787765E-8
-9.842088E-1	-4.633660E-8
-9.792047E-1	-4.472449E-8
-9.741676E-1	-4.336777E-8
-9.691685E-1	-4.191351E-8
-9.641619E-1	-4.059132E-8
-9.591563E-1	-3.950706E-8
-9.541563E-1	-3.767732E-8
-9.491526E-1	-3.645363E-8
-9.441168E-1	-3.519477E-8
-9.391100E-1	-3.401281E-8
-9.341038E-1	-3.291269E-8
-9.291055E-1	-3.169238E-8
-9.240999E-1	-3.066810E-8
-9.191353E-1	-2.951784E-8
-9.140593E-1	-2.845747E-8
-9.090592E-1	-2.751287E-8
-9.040568E-1	-2.651413E-8
-8.990507E-1	-2.553205E-8
-8.940811E-1	-2.462821E-8
-8.890811E-1	-2.370273E-8
-8.840102E-1	-2.283602E-8
-8.790044E-1	-2.196146E-8
-8.740041E-1	-2.102942E-8
-8.690345E-1	-2.032864E-8
-8.640287E-1	-1.959769E-8
-8.590284E-1	-1.882476E-8
-8.539563E-1	-1.799794E-8
-8.489535E-1	-1.729657E-8
-8.439804E-1	-1.664148E-8
-8.389797E-1	-1.602418E-8
-8.339768E-1	-1.534243E-8
-8.289710E-1	-1.471800E-8
-8.239018E-1	-1.412840E-8
-8.189324E-1	-1.352568E-8
-8.139315E-1	-1.297058E-8
-8.089294E-1	-1.245272E-8
-8.039248E-1	-1.190220E-8
-7.989234E-1	-1.140459E-8
-7.938858E-1	-1.095738E-8
-7.888824E-1	-1.046428E-8
-7.838773E-1	-9.986747E-9
-7.788774E-1	-9.650631E-9
-7.738734E-1	-9.191583E-9
-7.688673E-1	-8.842819E-9
-7.638319E-1	-8.425358E-9
-7.588286E-1	-8.058117E-9
-7.538242E-1	-7.706406E-9
-7.488213E-1	-7.365885E-9
-7.438183E-1	-7.011706E-9
-7.388178E-1	-6.711752E-9
-7.337795E-1	-6.428940E-9
-7.287774E-1	-6.166188E-9
-7.237710E-1	-5.852324E-9
-7.187693E-1	-5.594019E-9
-7.137661E-1	-5.319498E-9
-7.087605E-1	-5.093926E-9
-7.037250E-1	-4.854862E-9
-6.987186E-1	-4.607078E-9
-6.937202E-1	-4.402289E-9
-6.887142E-1	-4.205674E-9
-6.837090E-1	-4.002853E-9
-6.787075E-1	-3.805606E-9
-6.736684E-1	-3.643853E-9
-6.686665E-1	-3.464920E-9
-6.636636E-1	-3.289337E-9
-6.586626E-1	-3.137729E-9
-6.536566E-1	-2.972497E-9
-6.486524E-1	-2.827380E-9
-6.436182E-1	-2.670027E-9
-6.386119E-1	-2.539074E-9
-6.336126E-1	-2.435945E-9
-6.286067E-1	-2.300172E-9
-6.236398E-1	-2.194282E-9
-6.186368E-1	-2.076571E-9
-6.135625E-1	-1.971137E-9
-6.085621E-1	-1.865286E-9
-6.035567E-1	-1.765427E-9
-5.985898E-1	-1.694104E-9
-5.935851E-1	-1.591438E-9
-5.885823E-1	-1.520242E-9
-5.835119E-1	-1.440412E-9
-5.785054E-1	-1.379232E-9
-5.735383E-1	-1.302461E-9
-5.685337E-1	-1.233739E-9
-5.635315E-1	-1.169959E-9
-5.585255E-1	-1.110664E-9
-5.534552E-1	-1.051200E-9
-5.484859E-1	-9.994898E-10
-5.434813E-1	-9.512160E-10
-5.384811E-1	-9.061265E-10
-5.334760E-1	-8.488839E-10
-5.284752E-1	-8.063097E-10
-5.234391E-1	-7.700612E-10
-5.184333E-1	-7.344838E-10
-5.134313E-1	-6.922437E-10
-5.084245E-1	-6.554514E-10
-5.034260E-1	-6.233102E-10
-4.984192E-1	-5.885710E-10
-4.933822E-1	-5.471276E-10
-4.883820E-1	-5.256722E-10
-4.833742E-1	-4.991884E-10
-4.783717E-1	-4.704415E-10
-4.733688E-1	-4.474359E-10
-4.683672E-1	-4.200301E-10
-4.633280E-1	-4.020108E-10
-4.583275E-1	-3.789634E-10
-4.533237E-1	-3.578433E-10
-4.483172E-1	-3.337899E-10
-4.433170E-1	-3.191651E-10
-4.383121E-1	-2.983384E-10
-4.332764E-1	-2.840068E-10
-4.282691E-1	-2.688794E-10
-4.232677E-1	-2.532488E-10
-4.182646E-1	-2.435268E-10
