Voltage (V)	Current (A)
-1.500049E+0	-5.678101E-7
-1.495045E+0	-5.567471E-7
-1.490073E+0	-5.470242E-7
-1.485068E+0	-5.396968E-7
-1.480001E+0	-5.312230E-7
-1.474996E+0	-5.218660E-7
-1.469992E+0	-5.131195E-7
-1.465023E+0	-5.037579E-7
-1.460021E+0	-4.938580E-7
-1.455018E+0	-4.849587E-7
-1.449944E+0	-4.758771E-7
-1.444978E+0	-4.677016E-7
-1.439972E+0	-4.599101E-7
-1.434964E+0	-4.517896E-7
-1.429969E+0	-4.448299E-7
-1.424893E+0	-4.356263E-7
-1.419928E+0	-4.257868E-7
-1.414924E+0	-4.184097E-7
-1.409920E+0	-4.094530E-7
-1.404916E+0	-4.030590E-7
-1.399912E+0	-3.971311E-7
-1.394876E+0	-3.877200E-7
-1.389871E+0	-3.813718E-7
-1.384870E+0	-3.739868E-7
-1.379866E+0	-3.676748E-7
-1.374864E+0	-3.597214E-7
-1.369857E+0	-3.523865E-7
-1.364823E+0	-3.453935E-7
-1.359822E+0	-3.391686E-7
-1.354818E+0	-3.315716E-7
-1.349814E+0	-3.247278E-7
-1.344812E+0	-3.189259E-7
-1.339807E+0	-3.115966E-7
-1.334772E+0	-3.056105E-7
-1.329763E+0	-3.002742E-7
-1.324763E+0	-2.936123E-7
-1.319758E+0	-2.867358E-7
-1.314755E+0	-2.803988E-7
-1.309753E+0	-2.759803E-7
-1.304718E+0	-2.700825E-7
-1.299714E+0	-2.627781E-7
-1.294710E+0	-2.575640E-7
-1.289708E+0	-2.524640E-7
-1.284706E+0	-2.473832E-7
-1.279700E+0	-2.425768E-7
-1.274663E+0	-2.375717E-7
-1.269659E+0	-2.323646E-7
-1.264658E+0	-2.269590E-7
-1.259651E+0	-2.217556E-7
-1.254653E+0	-2.160792E-7
-1.249646E+0	-2.109066E-7
-1.244609E+0	-2.058142E-7
-1.239609E+0	-2.012777E-7
-1.234605E+0	-1.963655E-7
-1.229605E+0	-1.928076E-7
-1.224599E+0	-1.874034E-7
-1.219630E+0	-1.834855E-7
-1.214559E+0	-1.786577E-7
-1.209553E+0	-1.741164E-7
-1.204553E+0	-1.697705E-7
-1.199549E+0	-1.653122E-7
-1.194581E+0	-1.597827E-7
-1.189579E+0	-1.582420E-7
-1.184507E+0	-1.524176E-7
-1.179504E+0	-1.488287E-7
-1.174500E+0	-1.447675E-7
-1.169528E+0	-1.415431E-7
-1.164526E+0	-1.373457E-7
-1.159526E+0	-1.341043E-7
