Voltage (V)	Current (A)
1.499962E+0	7.314796E-7
1.494958E+0	7.208277E-7
1.489955E+0	7.073245E-7
1.484951E+0	6.961675E-7
1.479917E+0	6.839175E-7
1.474911E+0	6.724054E-7
1.469914E+0	6.608193E-7
1.464906E+0	6.502543E-7
1.459904E+0	6.383441E-7
1.454902E+0	6.274711E-7
1.449861E+0	6.162047E-7
1.444861E+0	6.059756E-7
1.439859E+0	5.950977E-7
1.434855E+0	5.850248E-7
1.429852E+0	5.743591E-7
1.424782E+0	5.647644E-7
1.419815E+0	5.541088E-7
1.414814E+0	5.435521E-7
1.409810E+0	5.342967E-7
1.404807E+0	5.246779E-7
1.399799E+0	5.156087E-7
1.394732E+0	5.062985E-7
1.389762E+0	4.968972E-7
1.384760E+0	4.873789E-7
1.379753E+0	4.783941E-7
1.374758E+0	4.689754E-7
1.369752E+0	4.603788E-7
1.364678E+0	4.517002E-7
1.359713E+0	4.432942E-7
1.354709E+0	4.340114E-7
1.349707E+0	4.246129E-7
1.344702E+0	4.172380E-7
1.339700E+0	4.092817E-7
1.334631E+0	4.013531E-7
1.329655E+0	3.934161E-7
1.324655E+0	3.852316E-7
1.319653E+0	3.777356E-7
1.314653E+0	3.705698E-7
1.309649E+0	3.625552E-7
1.304578E+0	3.557183E-7
1.299612E+0	3.475019E-7
1.294612E+0	3.406463E-7
1.289608E+0	3.337618E-7
1.284603E+0	3.269864E-7
1.279605E+0	3.200197E-7
1.274526E+0	3.129480E-7
1.269557E+0	3.068081E-7
1.264557E+0	2.993268E-7
1.259553E+0	2.933430E-7
1.254551E+0	2.876893E-7
1.249548E+0	2.812268E-7
1.244477E+0	2.745372E-7
1.239510E+0	2.687252E-7
1.234508E+0	2.627877E-7
1.229506E+0	2.573392E-7
1.224502E+0	2.511231E-7
1.219501E+0	2.452318E-7
1.214434E+0	2.397220E-7
1.209458E+0	2.344184E-7
1.204456E+0	2.288125E-7
1.199454E+0	2.236739E-7
1.194452E+0	2.184664E-7
1.189448E+0	2.128930E-7
1.184383E+0	2.066449E-7
1.179411E+0	2.024528E-7
1.174408E+0	1.976885E-7
1.169407E+0	1.929617E-7
1.164405E+0	1.883560E-7
1.159402E+0	1.832253E-7
1.154332E+0	1.775386E-7
1.149362E+0	1.728797E-7
1.144362E+0	1.696281E-7
1.139355E+0	1.637957E-7
1.134356E+0	1.615704E-7
1.129349E+0	1.573052E-7
1.124281E+0	1.534261E-7
1.119314E+0	1.492596E-7
1.114309E+0	1.455037E-7
1.109306E+0	1.419433E-7
1.104303E+0	1.382896E-7
1.099302E+0	1.345120E-7
1.094230E+0	1.308689E-7
1.089263E+0	1.269698E-7
1.084258E+0	1.236717E-7
1.079255E+0	1.203601E-7
1.074254E+0	1.171900E-7
1.069250E+0	1.139105E-7
1.064180E+0	1.109510E-7
1.059211E+0	1.077668E-7
1.054209E+0	1.046055E-7
1.049208E+0	1.016894E-7
1.044202E+0	9.878248E-8
1.039202E+0	9.567891E-8
1.034130E+0	9.317083E-8
1.029161E+0	9.038461E-8
1.024161E+0	8.772833E-8
1.019157E+0	8.514365E-8
1.014153E+0	8.238536E-8
1.009154E+0	7.996860E-8
1.004084E+0	7.760649E-8
9.991114E-1	7.510613E-8
9.941128E-1	7.273820E-8
9.891104E-1	7.061222E-8
9.841038E-1	6.838866E-8
9.791030E-1	6.629273E-8
9.740307E-1	6.438429E-8
9.690652E-1	6.240072E-8
9.640580E-1	6.026624E-8
9.590562E-1	5.833738E-8
9.540516E-1	5.644754E-8
9.490496E-1	5.457397E-8
9.439835E-1	5.265398E-8
9.390119E-1	5.095464E-8
9.340132E-1	4.913981E-8
9.290127E-1	4.758467E-8
9.240074E-1	4.599002E-8
9.190012E-1	4.422178E-8
9.139348E-1	4.303318E-8
9.089635E-1	4.136686E-8
9.039612E-1	3.986540E-8
8.989598E-1	3.877637E-8
8.939577E-1	3.697200E-8
8.889505E-1	3.580581E-8
8.838853E-1	3.439865E-8
8.789146E-1	3.328789E-8
8.739150E-1	3.214415E-8
8.689095E-1	3.101814E-8
8.639095E-1	2.982128E-8
8.589072E-1	2.876778E-8
8.538355E-1	2.753710E-8
8.488675E-1	2.654034E-8
8.438631E-1	2.548487E-8
8.388622E-1	2.448326E-8
8.338606E-1	2.358953E-8
8.288544E-1	2.273683E-8
8.237850E-1	2.179378E-8
8.188161E-1	2.095800E-8
8.138145E-1	2.013080E-8
8.088129E-1	1.940392E-8
8.038119E-1	1.864293E-8
7.988101E-1	1.784344E-8
7.937365E-1	1.710109E-8
7.887692E-1	1.654719E-8
7.837642E-1	1.582337E-8
7.787659E-1	1.521703E-8
7.737593E-1	1.456895E-8
7.687573E-1	1.376338E-8
7.636888E-1	1.326191E-8
7.587178E-1	1.270257E-8
7.537163E-1	1.213488E-8
7.487129E-1	1.161489E-8
7.437130E-1	1.113508E-8
7.387123E-1	1.073035E-8
7.336420E-1	1.022314E-8
7.286738E-1	9.743152E-9
7.236665E-1	9.325215E-9
7.186679E-1	8.854750E-9
7.136625E-1	8.413237E-9
7.086610E-1	7.986844E-9
7.035934E-1	7.631422E-9
6.986215E-1	7.287682E-9
6.936200E-1	6.954054E-9
6.886147E-1	6.586268E-9
6.836150E-1	6.240954E-9
6.786098E-1	5.960615E-9
6.735395E-1	5.679603E-9
6.685724E-1	5.407313E-9
6.635702E-1	5.183284E-9
6.585695E-1	4.910234E-9
6.535643E-1	4.635593E-9
6.485635E-1	4.433980E-9
6.434926E-1	4.211751E-9
6.385220E-1	3.985084E-9
6.335209E-1	3.809743E-9
6.285174E-1	3.593130E-9
6.235181E-1	3.421437E-9
6.185116E-1	3.233645E-9
6.134407E-1	3.075271E-9
6.084752E-1	2.926452E-9
6.034710E-1	2.766277E-9
5.984700E-1	2.611045E-9
5.934696E-1	2.464028E-9
5.884646E-1	2.317422E-9
5.833945E-1	2.195880E-9
5.784262E-1	2.078776E-9
5.734246E-1	1.955052E-9
5.684187E-1	1.856925E-9
5.634183E-1	1.722893E-9
5.584159E-1	1.626362E-9
5.533438E-1	1.533264E-9
5.483767E-1	1.457723E-9
5.433719E-1	1.364249E-9
5.383717E-1	1.270733E-9
5.333655E-1	1.200092E-9
5.283678E-1	1.113028E-9
5.232967E-1	1.041090E-9
5.183287E-1	9.831453E-10
5.133276E-1	9.116685E-10
5.083219E-1	8.499934E-10
5.033208E-1	8.064200E-10
4.983172E-1	7.446204E-10
4.932472E-1	6.958514E-10
4.882773E-1	6.502662E-10
4.832759E-1	6.027543E-10
4.782740E-1	5.668900E-10
4.732701E-1	5.266680E-10
4.682696E-1	4.829682E-10
4.631990E-1	4.589613E-10
4.582295E-1	4.245206E-10
4.532260E-1	3.911282E-10
4.482233E-1	3.699279E-10
4.432221E-1	3.340216E-10
4.382155E-1	3.122347E-10
4.331499E-1	2.899868E-10
4.281785E-1	2.639261E-10
4.231766E-1	2.488013E-10
4.181739E-1	2.237881E-10
4.131705E-1	2.141096E-10
4.081666E-1	1.911497E-10
4.030973E-1	1.785805E-10
3.981288E-1	1.591398E-10
3.931279E-1	1.457745E-10
3.881238E-1	1.301885E-10
3.831256E-1	1.149376E-10
3.781191E-1	1.032060E-10
3.730507E-1	8.778775E-11
3.680794E-1	7.945007E-11
3.630780E-1	7.270434E-11
3.580725E-1	6.164341E-11
3.530700E-1	5.540059E-11
3.480706E-1	5.804016E-11
3.429973E-1	4.002404E-11
3.380280E-1	3.709126E-11
3.330270E-1	2.862782E-11
3.280256E-1	2.129574E-11
3.230238E-1	1.677079E-11
3.180186E-1	9.354850E-12
3.129537E-1	7.218073E-12
3.079825E-1	2.609274E-12
3.029802E-1	1.561869E-12
2.979749E-1	-8.828799E-12
2.929724E-1	-8.367931E-12
2.879724E-1	-1.092365E-11
2.828991E-1	-1.423360E-11
2.779323E-1	-1.787877E-11
2.729267E-1	-2.236183E-11
2.679232E-1	-2.416341E-11
2.629196E-1	-2.684487E-11
2.579198E-1	-2.554605E-11
2.528507E-1	-2.952635E-11
2.478821E-1	-2.525279E-11
2.428834E-1	-3.509873E-11
2.378787E-1	-3.656517E-11
2.328744E-1	-3.467977E-11
2.278734E-1	-3.757077E-11
2.228038E-1	-4.025218E-11
2.178330E-1	-4.041981E-11
2.128292E-1	-4.046168E-11
2.078282E-1	-4.364595E-11
2.028215E-1	-4.213761E-11
1.978185E-1	-4.523803E-11
1.927537E-1	-4.113204E-11
1.877851E-1	-4.527995E-11
1.827835E-1	-4.666256E-11
1.777816E-1	-4.771005E-11
1.727783E-1	-5.332434E-11
1.677714E-1	-4.465147E-11
1.627008E-1	-4.687206E-11
1.577341E-1	-5.106187E-11
1.527289E-1	-4.934404E-11
1.477285E-1	-4.322695E-11
1.427234E-1	-5.340814E-11
1.377205E-1	-4.741675E-11
1.326497E-1	-4.993059E-11
1.276751E-1	-5.659237E-11
1.226786E-1	-4.636930E-11
1.176755E-1	-5.428800E-11
1.126741E-1	-5.634099E-11
1.076698E-1	-4.159294E-11
1.025981E-1	-5.311487E-11
9.763180E-2	-5.286346E-11
9.262538E-2	-4.460957E-11
8.762190E-2	-5.470698E-11
8.262315E-2	-5.202552E-11
7.761682E-2	-5.005631E-11
7.254662E-2	-5.378521E-11
6.757887E-2	-4.884126E-11
6.257922E-2	-5.730463E-11
5.757285E-2	-4.946973E-11
5.257515E-2	-5.453939E-11
4.757078E-2	-4.791950E-11
4.249978E-2	-5.189981E-11
3.753352E-2	-5.244449E-11
3.252590E-2	-4.766814E-11
2.752464E-2	-5.403663E-11
2.251906E-2	-5.504216E-11
1.751933E-2	-5.474887E-11
1.244526E-2	-5.420418E-11
7.476322E-3	-5.215119E-11
2.477085E-3	-5.043337E-11
-2.524116E-3	-8.663515E-11
-7.525568E-3	-4.858989E-11
-1.253180E-2	-5.068478E-11
-1.760416E-2	-5.315677E-11
-2.260488E-2	-5.139704E-11
-2.757645E-2	-6.220668E-11
-3.257873E-2	-5.055908E-11
-3.758687E-2	-5.248639E-11
-4.258459E-2	-4.988870E-11
-4.765884E-2	-5.705326E-11
-5.263061E-2	-4.511236E-11
-5.763245E-2	-4.821281E-11
-6.263298E-2	-5.483267E-11
-6.764037E-2	-5.236070E-11
-7.264660E-2	-4.993063E-11
-7.767902E-2	-5.483266E-11
-8.268418E-2	-5.361764E-11
-8.769080E-2	-4.858990E-11
-9.269138E-2	-5.709515E-11
-9.769685E-2	-4.548945E-11
-1.026998E-1	-5.709517E-11
-1.077415E-1	-5.282159E-11
-1.127409E-1	-5.114565E-11
-1.177430E-1	-5.575441E-11
-1.227499E-1	-5.357573E-11
-1.277480E-1	-5.730465E-11
-1.327568E-1	-5.365954E-11
-1.377901E-1	-6.203909E-11
-1.427955E-1	-5.319865E-11
-1.478009E-1	-5.403663E-11
-1.528070E-1	-5.525165E-11
-1.578078E-1	-5.189983E-11
-1.628111E-1	-5.558684E-11
-1.678522E-1	-5.533543E-11
-1.728565E-1	-5.495837E-11
-1.778596E-1	-6.023749E-11
-1.828658E-1	-6.417589E-11
-1.878663E-1	-5.504217E-11
-1.928718E-1	-6.258377E-11
-1.979039E-1	-5.814259E-11
-2.029100E-1	-6.103355E-11
-2.079157E-1	-5.776551E-11
-2.129171E-1	-6.086595E-11
-2.179222E-1	-6.296086E-11
-2.229239E-1	-6.476247E-11
-2.279656E-1	-7.159182E-11
-2.329644E-1	-6.539092E-11
-2.379684E-1	-6.995780E-11
-2.429751E-1	-7.439897E-11
-2.479783E-1	-6.689925E-11
-2.529465E-1	-7.092145E-11
-2.580154E-1	-7.465036E-11
-2.630196E-1	-7.553035E-11
-2.680199E-1	-8.349229E-11
-2.730233E-1	-8.152275E-11
-2.779981E-1	-8.533610E-11
-2.830024E-1	-9.392660E-11
-2.880741E-1	-8.935896E-11
-2.930737E-1	-9.237612E-11
-2.980811E-1	-9.535138E-11
-3.030481E-1	-1.020561E-10
-3.080519E-1	-1.015114E-10
-3.130575E-1	-1.091381E-10
-3.181269E-1	-1.134543E-10
-3.231322E-1	-1.179800E-10
-3.281001E-1	-1.284144E-10
-3.331011E-1	-1.297134E-10
-3.381051E-1	-1.388067E-10
-3.431094E-1	-1.429554E-10
-3.481826E-1	-1.494925E-10
-3.531511E-1	-1.585859E-10
-3.581555E-1	-1.660030E-10
-3.631586E-1	-1.708640E-10
-3.681610E-1	-1.837708E-10
-3.731654E-1	-1.925708E-10
-3.782026E-1	-2.008680E-10
-3.832074E-1	-2.200604E-10
-3.882100E-1	-2.276452E-10
-3.932135E-1	-2.374091E-10
-3.982154E-1	-2.490166E-10
-4.032179E-1	-2.644795E-10
-4.082542E-1	-2.699692E-10
-4.132580E-1	-2.915083E-10
-4.182641E-1	-3.139693E-10
-4.232654E-1	-3.282170E-10
-4.282666E-1	-3.491694E-10
-4.332741E-1	-3.666439E-10
-4.383109E-1	-3.877219E-10
-4.433164E-1	-4.119012E-10
-4.483182E-1	-4.358289E-10
-4.533242E-1	-4.673830E-10
-4.583254E-1	-4.958783E-10
-4.633284E-1	-5.256731E-10
-4.683682E-1	-5.551741E-10
-4.733700E-1	-5.852199E-10
-4.783726E-1	-6.155594E-10
-4.833752E-1	-6.500464E-10
-4.883806E-1	-6.854982E-10
-4.933828E-1	-7.256432E-10
-4.984199E-1	-7.538448E-10
-5.034255E-1	-7.961692E-10
