Voltage (V)	Current (A)
9.999608E-1	1.077502E-7
9.959403E-1	1.051283E-7
9.919480E-1	1.028559E-7
9.879619E-1	1.007969E-7
9.839031E-1	9.842742E-8
9.799171E-1	9.646917E-8
9.758955E-1	9.431871E-8
9.719054E-1	9.249218E-8
9.678823E-1	9.053802E-8
9.638913E-1	8.869532E-8
9.598392E-1	8.662416E-8
9.558449E-1	8.482985E-8
9.518622E-1	8.309063E-8
9.478343E-1	8.137530E-8
9.438491E-1	7.954105E-8
9.398622E-1	7.784968E-8
9.358020E-1	7.606053E-8
9.318125E-1	7.473840E-8
9.277952E-1	7.299358E-8
9.238047E-1	7.138807E-8
9.198167E-1	6.993202E-8
9.157937E-1	6.838519E-8
9.117391E-1	6.694667E-8
9.077497E-1	6.546598E-8
9.037605E-1	6.394080E-8
8.997374E-1	6.258240E-8
8.957471E-1	6.120339E-8
8.917605E-1	5.993662E-8
8.877375E-1	5.865818E-8
8.837199E-1	5.736952E-8
8.796934E-1	5.602833E-8
8.757074E-1	5.468441E-8
8.717182E-1	5.357102E-8
8.676963E-1	5.234078E-8
8.637084E-1	5.116735E-8
8.596528E-1	4.983502E-8
8.556641E-1	4.874060E-8
8.516390E-1	4.762718E-8
8.476512E-1	4.660050E-8
8.436621E-1	4.551356E-8
8.396428E-1	4.447766E-8
8.356177E-1	4.333055E-8
8.315975E-1	4.232291E-8
8.276063E-1	4.150757E-8
8.236194E-1	4.042072E-8
8.195967E-1	3.939455E-8
8.156091E-1	3.853728E-8
8.115501E-1	3.766863E-8
8.075647E-1	3.685152E-8
8.035428E-1	3.584001E-8
7.995502E-1	3.498361E-8
7.955672E-1	3.414294E-8
7.915409E-1	3.333158E-8
7.875535E-1	3.263957E-8
7.834960E-1	3.177704E-8
7.795104E-1	3.101293E-8
7.755204E-1	3.022533E-8
7.714990E-1	2.954605E-8
7.675081E-1	2.880855E-8
7.635217E-1	2.809749E-8
7.594624E-1	2.740772E-8
7.554429E-1	2.678778E-8
7.514536E-1	2.618410E-8
7.474641E-1	2.545051E-8
7.434438E-1	2.479064E-8
7.394537E-1	2.415767E-8
7.354000E-1	2.354033E-8
7.314101E-1	2.293825E-8
7.274243E-1	2.236299E-8
7.233989E-1	2.178651E-8
7.194121E-1	2.122149E-8
7.154224E-1	2.065775E-8
7.113674E-1	2.011970E-8
7.073430E-1	1.964328E-8
7.033571E-1	1.910247E-8
6.993674E-1	1.862374E-8
6.953458E-1	1.813371E-8
6.913584E-1	1.761066E-8
6.873679E-1	1.714359E-8
6.833100E-1	1.665966E-8
6.793196E-1	1.626095E-8
6.753014E-1	1.580759E-8
6.713130E-1	1.541484E-8
6.673257E-1	1.499578E-8
6.633017E-1	1.457672E-8
6.592468E-1	1.414953E-8
6.552553E-1	1.377655E-8
6.512697E-1	1.340187E-8
6.472449E-1	1.305926E-8
6.432568E-1	1.270425E-8
6.392699E-1	1.235521E-8
6.352100E-1	1.199358E-8
6.312240E-1	1.167956E-8
6.272007E-1	1.133218E-8
6.232135E-1	1.102088E-8
6.192237E-1	1.072769E-8
6.152030E-1	1.042058E-8
6.111470E-1	1.013073E-8
6.071593E-1	9.829775E-9
6.031680E-1	9.554505E-9
5.991502E-1	9.320551E-9
5.951599E-1	9.051574E-9
5.911726E-1	8.808854E-9
5.871481E-1	8.530519E-9
5.831245E-1	8.275786E-9
5.791051E-1	8.030187E-9
5.751150E-1	7.826184E-9
5.711262E-1	7.554304E-9
5.671025E-1	7.349843E-9
5.631156E-1	7.132687E-9
5.590594E-1	6.929989E-9
5.550702E-1	6.685177E-9
5.510459E-1	6.490100E-9
5.470584E-1	6.313796E-9
5.430687E-1	6.119140E-9
5.390486E-1	5.929886E-9
5.350257E-1	5.760709E-9
5.310072E-1	5.577996E-9
5.270142E-1	5.406789E-9
5.230289E-1	5.232292E-9
5.190099E-1	5.059216E-9
5.150151E-1	4.892793E-9
5.109625E-1	4.743009E-9
5.069706E-1	4.584715E-9
5.029510E-1	4.440506E-9
4.989597E-1	4.301445E-9
4.949719E-1	4.156478E-9
4.909500E-1	4.025974E-9
4.869649E-1	3.893493E-9
4.829049E-1	3.766330E-9
4.789159E-1	3.637827E-9
4.749262E-1	3.516200E-9
4.709062E-1	3.396206E-9
4.669209E-1	3.294940E-9
4.629285E-1	3.163587E-9
4.588735E-1	3.065755E-9
4.548512E-1	2.949952E-9
4.508663E-1	2.862303E-9
4.468721E-1	2.757932E-9
4.428522E-1	2.674514E-9
4.388611E-1	2.577856E-9
4.348093E-1	2.477303E-9
4.308158E-1	2.409173E-9
4.268299E-1	2.319220E-9
4.228054E-1	2.242213E-9
4.188171E-1	2.156910E-9
4.148277E-1	2.080570E-9
4.107711E-1	1.997864E-9
4.067491E-1	1.934308E-9
4.027598E-1	1.864630E-9
3.987734E-1	1.790974E-9
3.947511E-1	1.723812E-9
3.907625E-1	1.665489E-9
3.867720E-1	1.599542E-9
3.827187E-1	1.539796E-9
3.787287E-1	1.491531E-9
3.747105E-1	1.429690E-9
3.707166E-1	1.374720E-9
3.667274E-1	1.315978E-9
3.627088E-1	1.267587E-9
3.586521E-1	1.221667E-9
3.546645E-1	1.170888E-9
3.506757E-1	1.117343E-9
3.466549E-1	1.074271E-9
3.426615E-1	1.041003E-9
3.386739E-1	9.908525E-10
3.346177E-1	9.472786E-10
3.306314E-1	9.083969E-10
3.266071E-1	8.733290E-10
3.226185E-1	8.349089E-10
3.186312E-1	7.930116E-10
3.146113E-1	7.665318E-10
3.105546E-1	7.286148E-10
3.065632E-1	7.008784E-10
3.025759E-1	6.716331E-10
2.985492E-1	6.407543E-10
2.945656E-1	6.116357E-10
2.905745E-1	5.940383E-10
2.865547E-1	5.638722E-10
2.825274E-1	5.363027E-10
2.785091E-1	5.129243E-10
2.745164E-1	4.814590E-10
2.705301E-1	4.620186E-10
2.665051E-1	4.341567E-10
2.625204E-1	4.182353E-10
2.584614E-1	3.953172E-10
2.544732E-1	3.784746E-10
2.504522E-1	3.506123E-10
2.464661E-1	3.382525E-10
2.424786E-1	3.135749E-10
2.384538E-1	2.979466E-10
2.344333E-1	2.801821E-10
2.304041E-1	2.635486E-10
2.264217E-1	2.513983E-10
2.224294E-1	2.353932E-10
2.184102E-1	2.211899E-10
2.144209E-1	2.069032E-10
2.103677E-1	1.912752E-10
2.063733E-1	1.774070E-10
2.023477E-1	1.620303E-10
1.983608E-1	1.474080E-10
1.943754E-1	1.352577E-10
1.903541E-1	1.262917E-10
1.863302E-1	1.052587E-10
1.823105E-1	1.086944E-10
1.783213E-1	9.139053E-11
1.743350E-1	8.359770E-11
1.703079E-1	7.119581E-11
1.663200E-1	6.972939E-11
1.623283E-1	5.468813E-11
1.582765E-1	4.463262E-11
1.542511E-1	3.738430E-11
1.502665E-1	2.892103E-11
1.462729E-1	2.435405E-11
1.422491E-1	1.739910E-11
1.382632E-1	1.287414E-11
1.342053E-1	5.583929E-12
1.302165E-1	1.980659E-12
1.262256E-1	-4.639136E-12
1.222058E-1	-1.033718E-11
1.182168E-1	-1.343762E-11
1.142297E-1	-2.248760E-11
1.101732E-1	-2.412157E-11
1.061509E-1	-3.308776E-11
1.021608E-1	-2.927504E-11
9.817087E-2	-3.392573E-11
9.414539E-2	-3.430277E-11
9.015982E-2	-3.539215E-11
8.610735E-2	-3.618815E-11
8.211659E-2	-3.815739E-11
7.812975E-2	-3.870204E-11
7.410233E-2	-4.272423E-11
7.011880E-2	-4.452583E-11
6.612426E-2	-4.071310E-11
6.210573E-2	-4.766817E-11
5.804719E-2	-4.037795E-11
5.406138E-2	-4.314321E-11
5.007142E-2	-4.519618E-11
4.605047E-2	-4.649501E-11
4.205809E-2	-4.280802E-11
3.807186E-2	-4.590847E-11
3.401676E-2	-4.603415E-11
3.002559E-2	-4.942787E-11
2.600244E-2	-5.554496E-11
2.201554E-2	-5.089431E-11
1.802957E-2	-4.838044E-11
1.400301E-2	-5.370144E-11
9.947793E-3	-4.812905E-11
5.953952E-3	-4.456774E-11
1.970829E-3	-5.043341E-11
-2.047171E-3	-8.005607E-11
-6.038711E-3	-5.340819E-11
-1.002976E-2	-5.541927E-11
-1.408628E-2	-4.879941E-11
-1.807700E-2	-5.370145E-11
-2.209731E-2	-5.252834E-11
-2.608294E-2	-5.009824E-11
-3.007742E-2	-5.055912E-11
-3.410111E-2	-4.967927E-11
-3.809435E-2	-5.177415E-11
-4.214733E-2	-5.361766E-11
-4.614071E-2	-5.554496E-11
-5.015766E-2	-5.194174E-11
-5.415124E-2	-5.516789E-11
-5.813579E-2	-5.617343E-11
-6.212580E-2	-5.516786E-11
-6.618402E-2	-5.676000E-11
-7.020941E-2	-5.826831E-11
-7.419873E-2	-5.927387E-11
-7.818817E-2	-5.860349E-11
-8.220690E-2	-6.162014E-11
-8.619815E-2	-6.325416E-11
-9.025765E-2	-6.522335E-11
-9.424008E-2	-6.296086E-11
-9.823687E-2	-6.706685E-11
-1.022596E-1	-6.740204E-11
-1.062517E-1	-7.427328E-11
-1.102360E-1	-7.079576E-11
-1.142963E-1	-7.804464E-11
-1.182841E-1	-7.770940E-11
-1.223072E-1	-8.261227E-11
-1.262930E-1	-8.864657E-11
-1.302849E-1	-9.388468E-11
-1.343070E-1	-1.043609E-10
-1.382975E-1	-1.033552E-10
-1.423609E-1	-1.116523E-10
-1.463469E-1	-1.168066E-10
-1.503396E-1	-1.229247E-10
-1.543603E-1	-1.213324E-10
-1.583488E-1	-1.363343E-10
-1.623369E-1	-1.436676E-10
-1.663980E-1	-1.544372E-10
-1.704211E-1	-1.641172E-10
-1.744138E-1	-1.710734E-10
-1.783993E-1	-1.837705E-10
-1.824219E-1	-1.889249E-10
-1.864111E-1	-2.021249E-10
-1.904679E-1	-2.033821E-10
-1.944573E-1	-2.191382E-10
-1.984431E-1	-2.284830E-10
-2.024711E-1	-2.423953E-10
-2.064572E-1	-2.523688E-10
-2.104521E-1	-2.646888E-10
-2.145056E-1	-2.859346E-10
-2.184948E-1	-2.936451E-10
-2.225179E-1	-3.101556E-10
-2.265080E-1	-3.240261E-10
-2.304959E-1	-3.424642E-10
-2.345195E-1	-3.524795E-10
-2.385099E-1	-3.716718E-10
-2.425690E-1	-3.910739E-10
-2.465532E-1	-4.146662E-10
-2.505453E-1	-4.348225E-10
-2.545687E-1	-4.535541E-10
-2.585549E-1	-4.820914E-10
-2.625466E-1	-4.983923E-10
-2.666003E-1	-5.191352E-10
-2.706253E-1	-5.420570E-10
-2.746147E-1	-5.702588E-10
-2.786069E-1	-5.845061E-10
-2.826277E-1	-6.176114E-10
-2.866185E-1	-6.457711E-10
-2.906746E-1	-6.728420E-10
-2.946633E-1	-7.080003E-10
-2.986515E-1	-7.214095E-10
-3.026744E-1	-7.569033E-10
-3.066673E-1	-7.852732E-10
-3.106560E-1	-8.185036E-10
-3.147143E-1	-8.476266E-10
-3.187016E-1	-8.842937E-10
-3.227246E-1	-9.131659E-10
-3.267108E-1	-9.485346E-10
-3.307047E-1	-9.820585E-10
-3.347242E-1	-1.014660E-9
-3.387475E-1	-1.054721E-9
-3.427694E-1	-1.100188E-9
-3.467615E-1	-1.129856E-9
-3.507498E-1	-1.164932E-9
-3.547711E-1	-1.207380E-9
-3.587636E-1	-1.247734E-9
-3.627510E-1	-1.294626E-9
-3.668103E-1	-1.335442E-9
-3.708299E-1	-1.388493E-9
-3.748216E-1	-1.436767E-9
-3.788094E-1	-1.480097E-9
-3.828015E-1	-1.531849E-9
-3.868234E-1	-1.577442E-9
-3.908803E-1	-1.635522E-9
-3.948664E-1	-1.689034E-9
-3.988573E-1	-1.745356E-9
-4.028776E-1	-1.797359E-9
-4.068668E-1	-1.864908E-9
-4.108571E-1	-1.923366E-9
-4.149147E-1	-1.993264E-9
-4.189077E-1	-2.077072E-9
-4.229277E-1	-2.127987E-9
-4.269176E-1	-2.195749E-9
-4.309067E-1	-2.259693E-9
-4.349319E-1	-2.328501E-9
-4.389516E-1	-2.396807E-9
-4.429780E-1	-2.491722E-9
-4.469658E-1	-2.563796E-9
-4.509570E-1	-2.630008E-9
