Voltage (V)	Current (A)
-1.000073E+0	-3.458571E-6
-9.960863E-1	-3.437047E-6
-9.920596E-1	-3.415076E-6
-9.880731E-1	-3.393135E-6
-9.840140E-1	-3.370975E-6
-9.800274E-1	-3.349069E-6
-9.760364E-1	-3.326831E-6
-9.720155E-1	-3.304834E-6
-9.680260E-1	-3.283404E-6
-9.640363E-1	-3.261645E-6
-9.599819E-1	-3.240011E-6
-9.559907E-1	-3.218542E-6
-9.519679E-1	-3.196738E-6
-9.479761E-1	-3.175238E-6
-9.439895E-1	-3.153975E-6
-9.399663E-1	-3.132533E-6
-9.359422E-1	-3.110964E-6
-9.319181E-1	-3.089323E-6
-9.279330E-1	-3.068203E-6
-9.239402E-1	-3.047161E-6
-9.199189E-1	-3.025968E-6
-9.159289E-1	-3.005274E-6
-9.118742E-1	-2.983609E-6
-9.078828E-1	-2.962061E-6
-9.038627E-1	-2.940947E-6
-8.998731E-1	-2.920787E-6
-8.958828E-1	-2.899530E-6
-8.918602E-1	-2.878587E-6
-8.878707E-1	-2.857988E-6
-8.838159E-1	-2.836971E-6
-8.798245E-1	-2.816810E-6
-8.758392E-1	-2.796045E-6
-8.718157E-1	-2.774987E-6
-8.678268E-1	-2.754581E-6
-8.638356E-1	-2.734404E-6
-8.597817E-1	-2.714075E-6
-8.557884E-1	-2.694291E-6
-8.517686E-1	-2.673644E-6
-8.477767E-1	-2.653480E-6
-8.437873E-1	-2.633210E-6
-8.397673E-1	-2.613081E-6
-8.357406E-1	-2.592686E-6
-8.317212E-1	-2.572764E-6
-8.277304E-1	-2.552671E-6
-8.237404E-1	-2.532727E-6
-8.197176E-1	-2.512824E-6
-8.157285E-1	-2.493582E-6
-8.116712E-1	-2.473583E-6
-8.076847E-1	-2.454360E-6
-8.036634E-1	-2.434468E-6
-7.996731E-1	-2.414920E-6
-7.956820E-1	-2.395559E-6
-7.916973E-1	-2.376702E-6
-7.876714E-1	-2.357052E-6
-7.836125E-1	-2.337801E-6
-7.796237E-1	-2.318486E-6
-7.756344E-1	-2.299511E-6
-7.716153E-1	-2.280365E-6
-7.676241E-1	-2.261222E-6
-7.636368E-1	-2.242132E-6
-7.595762E-1	-2.223340E-6
-7.555881E-1	-2.204319E-6
-7.515656E-1	-2.185127E-6
-7.475790E-1	-2.166753E-6
-7.435879E-1	-2.148593E-6
-7.395673E-1	-2.129697E-6
-7.355444E-1	-2.111215E-6
-7.315207E-1	-2.092765E-6
-7.275345E-1	-2.074386E-6
-7.235420E-1	-2.056319E-6
-7.195203E-1	-2.037891E-6
-7.155296E-1	-2.019333E-6
-7.114750E-1	-2.001167E-6
