Voltage (V)	Current (A)
-1.000070E+0	-3.478865E-6
-9.960834E-1	-3.456516E-6
-9.920604E-1	-3.433768E-6
-9.880706E-1	-3.411922E-6
-9.840143E-1	-3.389980E-6
-9.800270E-1	-3.368016E-6
-9.760340E-1	-3.346422E-6
-9.720141E-1	-3.324178E-6
-9.680232E-1	-3.302609E-6
-9.640343E-1	-3.280943E-6
-9.599778E-1	-3.258956E-6
-9.559883E-1	-3.237218E-6
-9.519640E-1	-3.215526E-6
-9.479738E-1	-3.193829E-6
-9.439870E-1	-3.172441E-6
-9.399638E-1	-3.151318E-6
-9.359414E-1	-3.129706E-6
-9.319168E-1	-3.108505E-6
-9.279308E-1	-3.087098E-6
-9.239380E-1	-3.065439E-6
-9.199163E-1	-3.044542E-6
-9.159259E-1	-3.023067E-6
-9.118699E-1	-3.001932E-6
-9.078806E-1	-2.981400E-6
-9.038600E-1	-2.959832E-6
-8.998701E-1	-2.938838E-6
-8.958802E-1	-2.918321E-6
-8.918571E-1	-2.896889E-6
-8.878679E-1	-2.876395E-6
-8.838142E-1	-2.855456E-6
-8.798227E-1	-2.834569E-6
-8.758355E-1	-2.814011E-6
-8.718128E-1	-2.793755E-6
-8.678245E-1	-2.773150E-6
-8.638319E-1	-2.752950E-6
-8.597786E-1	-2.732123E-6
-8.557869E-1	-2.711852E-6
-8.517659E-1	-2.691351E-6
-8.477752E-1	-2.671115E-6
-8.437852E-1	-2.650960E-6
-8.397653E-1	-2.630529E-6
-8.357388E-1	-2.610550E-6
-8.317183E-1	-2.590663E-6
-8.277272E-1	-2.570468E-6
-8.237394E-1	-2.550767E-6
-8.197151E-1	-2.531011E-6
-8.157274E-1	-2.511189E-6
-8.116680E-1	-2.490950E-6
-8.076806E-1	-2.471235E-6
-8.036599E-1	-2.451430E-6
-7.996717E-1	-2.432230E-6
-7.956802E-1	-2.413177E-6
-7.916944E-1	-2.393649E-6
-7.876697E-1	-2.373765E-6
-7.836114E-1	-2.354296E-6
-7.796218E-1	-2.334632E-6
-7.756327E-1	-2.315577E-6
-7.716124E-1	-2.296131E-6
-7.676214E-1	-2.277035E-6
-7.636335E-1	-2.258221E-6
-7.595741E-1	-2.238978E-6
-7.555854E-1	-2.220109E-6
-7.515626E-1	-2.201374E-6
-7.475760E-1	-2.182684E-6
-7.435864E-1	-2.163988E-6
-7.395650E-1	-2.145081E-6
-7.355413E-1	-2.126358E-6
-7.315170E-1	-2.107884E-6
-7.275297E-1	-2.089696E-6
-7.235382E-1	-2.071406E-6
-7.195164E-1	-2.053180E-6
-7.155257E-1	-2.034815E-6
-7.114700E-1	-2.016437E-6
-7.074801E-1	-1.998334E-6
-7.034923E-1	-1.980284E-6
-6.994666E-1	-1.962130E-6
-6.954811E-1	-1.944211E-6
-6.914873E-1	-1.926399E-6
-6.874662E-1	-1.908514E-6
-6.834096E-1	-1.890532E-6
-6.794185E-1	-1.872594E-6
-6.754327E-1	-1.855348E-6
-6.714070E-1	-1.837652E-6
-6.674196E-1	-1.820181E-6
-6.634302E-1	-1.802909E-6
-6.593747E-1	-1.785355E-6
-6.553856E-1	-1.768200E-6
-6.513616E-1	-1.750906E-6
-6.473700E-1	-1.734031E-6
-6.433836E-1	-1.716838E-6
-6.393577E-1	-1.699995E-6
-6.353370E-1	-1.682711E-6
-6.313130E-1	-1.666063E-6
-6.273237E-1	-1.649033E-6
-6.233359E-1	-1.632705E-6
-6.193099E-1	-1.615736E-6
-6.153226E-1	-1.599244E-6
-6.112648E-1	-1.582390E-6
-6.072792E-1	-1.566254E-6
-6.032882E-1	-1.550013E-6
-5.992660E-1	-1.533448E-6
-5.952757E-1	-1.517413E-6
-5.912877E-1	-1.501107E-6
-5.872647E-1	-1.485096E-6
-5.832072E-1	-1.469132E-6
-5.792170E-1	-1.453184E-6
-5.752309E-1	-1.437311E-6
-5.712063E-1	-1.421413E-6
-5.672157E-1	-1.405817E-6
-5.632269E-1	-1.390300E-6
-5.591701E-1	-1.374552E-6
-5.551810E-1	-1.359155E-6
-5.511560E-1	-1.343606E-6
-5.471672E-1	-1.328397E-6
-5.431764E-1	-1.313446E-6
-5.391571E-1	-1.298128E-6
-5.351306E-1	-1.282891E-6
-5.311106E-1	-1.267942E-6
-5.271214E-1	-1.252986E-6
-5.231334E-1	-1.238187E-6
-5.191088E-1	-1.223080E-6
-5.151187E-1	-1.208474E-6
-5.110620E-1	-1.193496E-6
-5.070727E-1	-1.179075E-6
-5.030847E-1	-1.164749E-6
-4.990599E-1	-1.150267E-6
-4.950732E-1	-1.135996E-6
-4.910808E-1	-1.121719E-6
-4.870605E-1	-1.107404E-6
-4.830015E-1	-1.092973E-6
-4.790128E-1	-1.079057E-6
-4.750234E-1	-1.065147E-6
-4.710370E-1	-1.051317E-6
-4.670116E-1	-1.037429E-6
-4.630216E-1	-1.023713E-6
-4.589655E-1	-1.009808E-6
-4.550189E-1	-9.962681E-7
-4.509969E-1	-9.828298E-7
