Voltage (V)	Current (A)
9.999721E-1	2.545763E-6
9.959525E-1	2.527012E-6
9.919608E-1	2.508053E-6
9.879735E-1	2.489138E-6
9.839143E-1	2.470257E-6
9.799287E-1	2.451549E-6
9.759021E-1	2.432633E-6
9.719180E-1	2.413689E-6
9.678942E-1	2.395186E-6
9.639055E-1	2.376787E-6
9.598500E-1	2.357976E-6
9.558582E-1	2.339835E-6
9.518742E-1	2.321097E-6
9.478434E-1	2.302531E-6
9.438597E-1	2.284139E-6
9.398725E-1	2.265973E-6
9.358164E-1	2.247654E-6
9.318243E-1	2.229519E-6
9.278040E-1	2.211606E-6
9.238142E-1	2.193749E-6
9.198281E-1	2.176154E-6
9.158025E-1	2.158055E-6
9.117494E-1	2.139877E-6
9.077600E-1	2.122148E-6
9.037716E-1	2.104494E-6
8.997505E-1	2.086554E-6
8.957595E-1	2.069146E-6
8.917747E-1	2.051462E-6
8.877481E-1	2.033953E-6
8.837308E-1	2.016460E-6
8.797047E-1	1.999251E-6
8.757181E-1	1.981897E-6
8.717291E-1	1.964785E-6
8.677095E-1	1.947733E-6
8.637186E-1	1.930409E-6
8.596650E-1	1.912821E-6
8.556758E-1	1.896098E-6
8.516495E-1	1.879100E-6
8.476631E-1	1.862220E-6
8.436726E-1	1.845625E-6
8.396555E-1	1.828394E-6
8.356290E-1	1.811457E-6
8.316078E-1	1.795056E-6
8.276146E-1	1.778695E-6
8.236283E-1	1.762286E-6
8.196049E-1	1.746029E-6
8.156190E-1	1.729642E-6
8.115605E-1	1.713142E-6
8.075743E-1	1.697012E-6
8.035533E-1	1.680822E-6
7.995659E-1	1.664660E-6
7.955762E-1	1.649141E-6
7.915511E-1	1.632814E-6
7.875631E-1	1.616964E-6
7.835052E-1	1.600852E-6
7.795197E-1	1.585144E-6
7.755290E-1	1.569610E-6
7.715098E-1	1.554023E-6
7.675176E-1	1.538656E-6
7.635317E-1	1.523008E-6
7.594737E-1	1.507404E-6
7.554514E-1	1.491903E-6
7.514638E-1	1.476721E-6
7.474747E-1	1.461740E-6
7.434543E-1	1.446667E-6
7.394643E-1	1.431706E-6
7.354110E-1	1.416650E-6
7.314218E-1	1.401550E-6
7.274337E-1	1.386938E-6
7.234098E-1	1.372428E-6
7.194217E-1	1.357616E-6
7.154307E-1	1.342961E-6
7.113779E-1	1.328189E-6
7.073541E-1	1.313829E-6
7.033674E-1	1.299597E-6
6.993752E-1	1.285452E-6
6.953561E-1	1.271278E-6
6.913655E-1	1.257288E-6
6.873763E-1	1.243376E-6
6.833194E-1	1.229186E-6
6.793286E-1	1.215301E-6
6.753080E-1	1.201694E-6
6.713191E-1	1.187904E-6
6.673331E-1	1.174400E-6
6.633071E-1	1.160629E-6
6.592556E-1	1.147101E-6
6.552631E-1	1.133688E-6
6.512758E-1	1.120446E-6
6.472526E-1	1.107155E-6
6.432673E-1	1.094108E-6
6.392776E-1	1.081215E-6
6.352198E-1	1.068015E-6
6.312320E-1	1.055007E-6
6.272082E-1	1.042231E-6
6.232219E-1	1.029435E-6
6.192322E-1	1.016819E-6
6.152111E-1	1.004241E-6
6.111866E-1	9.916682E-7
6.072013E-1	9.793730E-7
6.032113E-1	9.671945E-7
5.991909E-1	9.548089E-7
5.952012E-1	9.426938E-7
5.912136E-1	9.307568E-7
5.871882E-1	9.185767E-7
5.831649E-1	9.065306E-7
5.791415E-1	8.946449E-7
5.751510E-1	8.829267E-7
5.711655E-1	8.713735E-7
5.671409E-1	8.597297E-7
5.631523E-1	8.483038E-7
5.590948E-1	8.366060E-7
5.551082E-1	8.253494E-7
5.510810E-1	8.140002E-7
5.470931E-1	8.029074E-7
5.431038E-1	7.918421E-7
5.390849E-1	7.808951E-7
5.350612E-1	7.698392E-7
5.310410E-1	7.589344E-7
5.270489E-1	7.482603E-7
5.230604E-1	7.375961E-7
5.190398E-1	7.269203E-7
5.150478E-1	7.164604E-7
5.109926E-1	7.059142E-7
5.070021E-1	6.956660E-7
