Voltage (V)	Current (A)
9.999743E-1	2.599836E-6
9.959565E-1	2.580157E-6
9.919602E-1	2.561043E-6
9.879735E-1	2.541845E-6
9.839135E-1	2.522669E-6
9.799291E-1	2.503370E-6
9.759043E-1	2.484197E-6
9.719197E-1	2.465463E-6
9.678953E-1	2.446577E-6
9.639053E-1	2.427433E-6
9.598500E-1	2.408677E-6
9.558591E-1	2.390030E-6
9.518733E-1	2.371382E-6
9.478469E-1	2.352710E-6
9.438594E-1	2.334118E-6
9.398732E-1	2.315854E-6
9.358165E-1	2.297350E-6
9.318253E-1	2.278751E-6
9.278074E-1	2.260073E-6
9.238178E-1	2.241971E-6
9.198286E-1	2.223656E-6
9.158034E-1	2.205452E-6
9.117500E-1	2.186679E-6
9.077616E-1	2.168738E-6
9.037704E-1	2.151055E-6
8.997507E-1	2.132820E-6
8.957612E-1	2.115344E-6
8.917720E-1	2.097334E-6
8.877492E-1	2.079611E-6
8.837308E-1	2.061861E-6
8.797044E-1	2.043782E-6
8.757169E-1	2.026384E-6
8.717275E-1	2.008722E-6
8.677098E-1	1.991348E-6
8.637182E-1	1.973876E-6
8.596646E-1	1.956462E-6
8.556750E-1	1.938992E-6
8.516492E-1	1.921941E-6
8.476614E-1	1.904571E-6
8.436730E-1	1.887390E-6
8.396531E-1	1.870073E-6
8.356287E-1	1.853160E-6
8.316087E-1	1.836167E-6
8.276156E-1	1.819464E-6
8.236283E-1	1.802871E-6
8.196071E-1	1.786000E-6
8.156199E-1	1.769477E-6
8.115602E-1	1.752677E-6
8.075742E-1	1.736192E-6
8.035502E-1	1.719503E-6
7.995625E-1	1.703206E-6
7.955770E-1	1.687076E-6
7.915508E-1	1.670629E-6
7.875643E-1	1.654553E-6
7.835034E-1	1.638269E-6
7.795200E-1	1.622226E-6
7.755309E-1	1.606403E-6
7.715096E-1	1.590442E-6
7.675188E-1	1.574710E-6
7.635313E-1	1.559001E-6
7.594751E-1	1.543097E-6
7.554541E-1	1.527568E-6
7.514666E-1	1.512045E-6
7.474750E-1	1.496685E-6
7.434549E-1	1.481378E-6
7.394640E-1	1.466251E-6
7.354103E-1	1.450662E-6
7.314205E-1	1.435549E-6
7.274343E-1	1.420437E-6
7.234095E-1	1.405323E-6
7.194204E-1	1.390383E-6
7.154298E-1	1.375816E-6
7.113773E-1	1.361018E-6
7.073541E-1	1.346371E-6
7.033655E-1	1.331749E-6
6.993769E-1	1.317178E-6
6.953564E-1	1.302726E-6
6.913669E-1	1.288419E-6
6.873764E-1	1.274190E-6
6.833197E-1	1.259734E-6
6.793300E-1	1.245756E-6
6.753101E-1	1.231568E-6
6.713216E-1	1.217741E-6
6.673360E-1	1.203808E-6
6.633098E-1	1.190080E-6
6.592564E-1	1.176089E-6
6.552659E-1	1.162503E-6
6.512779E-1	1.148758E-6
6.472545E-1	1.135308E-6
6.432669E-1	1.122031E-6
6.392795E-1	1.108672E-6
6.352207E-1	1.095367E-6
6.312331E-1	1.082147E-6
6.272113E-1	1.069248E-6
6.232228E-1	1.056348E-6
6.192324E-1	1.043391E-6
6.152112E-1	1.030527E-6
6.111542E-1	1.017767E-6
6.071686E-1	1.005012E-6
6.032131E-1	9.927556E-7
5.991921E-1	9.802752E-7
5.952018E-1	9.678482E-7
5.912141E-1	9.556796E-7
5.871902E-1	9.433343E-7
5.831662E-1	9.310408E-7
5.791437E-1	9.190307E-7
5.751550E-1	9.070873E-7
5.711669E-1	8.952247E-7
5.671428E-1	8.834338E-7
5.631552E-1	8.717159E-7
5.590987E-1	8.598714E-7
5.551085E-1	8.484400E-7
5.510813E-1	8.367999E-7
5.470937E-1	8.256100E-7
5.431052E-1	8.142565E-7
5.390841E-1	8.028099E-7
5.350594E-1	7.917284E-7
5.310410E-1	7.806350E-7
5.270500E-1	7.697674E-7
5.230610E-1	7.589323E-7
5.190408E-1	7.480440E-7
5.150489E-1	7.374396E-7
5.109946E-1	7.266164E-7
5.070056E-1	7.161864E-7
5.029833E-1	7.056588E-7
4.989908E-1	6.952181E-7
4.950041E-1	6.849961E-7
4.909793E-1	6.747326E-7
4.869949E-1	6.646467E-7
4.829343E-1	6.544118E-7
4.789453E-1	6.444843E-7
4.749555E-1	6.347058E-7
4.709354E-1	6.249223E-7
4.669473E-1	6.152200E-7
4.629569E-1	6.055266E-7
4.589013E-1	5.958748E-7
4.548781E-1	5.862829E-7
4.508929E-1	5.770488E-7
4.468996E-1	5.677978E-7
4.428793E-1	5.584885E-7
4.388869E-1	5.493425E-7
4.348334E-1	5.401300E-7
4.308412E-1	5.311987E-7
4.268549E-1	5.223228E-7
4.228297E-1	5.134655E-7
4.188404E-1	5.047189E-7
4.148499E-1	4.960126E-7
4.107938E-1	4.874051E-7
4.067694E-1	4.786999E-7
4.027827E-1	4.703400E-7
3.987951E-1	4.619847E-7
3.947724E-1	4.536336E-7
3.907846E-1	4.454335E-7
3.867944E-1	4.373630E-7
3.827410E-1	4.292016E-7
3.787476E-1	4.213397E-7
3.747307E-1	4.134228E-7
3.707375E-1	4.055924E-7
3.667470E-1	3.979156E-7
3.627272E-1	3.901079E-7
3.586701E-1	3.824646E-7
3.546819E-1	3.749217E-7
3.506922E-1	3.674433E-7
3.466716E-1	3.600813E-7
3.426798E-1	3.528002E-7
3.386915E-1	3.456102E-7
3.346318E-1	3.383792E-7
3.306481E-1	3.313558E-7
3.266239E-1	3.242458E-7
3.226362E-1	3.174170E-7
3.186476E-1	3.104855E-7
3.146288E-1	3.037379E-7
3.105696E-1	2.969397E-7
3.065796E-1	2.903926E-7
3.025911E-1	2.838763E-7
2.985661E-1	2.773506E-7
2.945804E-1	2.709057E-7
2.905905E-1	2.645847E-7
2.865677E-1	2.582414E-7
2.825416E-1	2.521078E-7
2.785224E-1	2.459975E-7
2.745313E-1	2.399875E-7
2.705429E-1	2.340389E-7
2.665179E-1	2.280378E-7
2.625333E-1	2.222530E-7
2.584753E-1	2.165306E-7
2.544857E-1	2.107641E-7
2.504646E-1	2.052865E-7
2.464772E-1	1.996656E-7
2.424908E-1	1.942687E-7
2.384674E-1	1.887394E-7
2.344445E-1	1.833652E-7
2.304174E-1	1.781034E-7
2.264339E-1	1.729678E-7
2.224440E-1	1.678810E-7
2.184227E-1	1.628344E-7
2.144313E-1	1.578950E-7
2.103793E-1	1.528918E-7
2.063847E-1	1.481153E-7
2.023598E-1	1.433269E-7
1.983711E-1	1.387267E-7
1.943850E-1	1.341500E-7
1.903657E-1	1.295307E-7
1.863406E-1	1.250521E-7
1.823203E-1	1.206501E-7
1.783309E-1	1.163974E-7
1.743438E-1	1.121049E-7
1.703193E-1	1.079761E-7
1.663285E-1	1.038501E-7
1.623362E-1	9.982367E-8
1.582863E-1	9.582777E-8
1.542604E-1	9.189375E-8
1.502740E-1	8.812208E-8
1.462829E-1	8.447847E-8
1.422571E-1	8.077541E-8
1.382737E-1	7.724923E-8
1.342120E-1	7.374878E-8
1.302242E-1	7.029394E-8
1.262337E-1	6.692555E-8
1.222141E-1	6.369665E-8
1.182235E-1	6.042077E-8
1.142385E-1	5.731651E-8
1.101800E-1	5.422865E-8
1.061581E-1	5.123394E-8
1.021680E-1	4.825442E-8
9.818008E-2	4.546112E-8
9.415208E-2	4.283435E-8
9.016807E-2	4.015157E-8
8.611419E-2	3.753538E-8
8.212363E-2	3.500109E-8
7.813574E-2	3.267908E-8
7.411058E-2	3.032366E-8
7.012489E-2	2.820625E-8
6.613029E-2	2.604776E-8
6.211087E-2	2.379972E-8
5.805311E-2	2.177787E-8
5.406631E-2	1.986361E-8
5.007699E-2	1.808379E-8
4.605418E-2	1.634972E-8
4.206128E-2	1.469590E-8
3.807781E-2	1.297049E-8
3.402154E-2	1.135706E-8
3.003192E-2	9.857301E-9
2.600756E-2	8.427050E-9
2.202122E-2	7.016409E-9
1.803502E-2	5.679667E-9
1.400848E-2	4.374688E-9
9.951632E-3	3.072850E-9
5.959341E-3	1.835202E-9
1.975581E-3	5.815892E-10
-2.044141E-3	-6.957590E-10
-6.033471E-3	-1.906002E-9
-1.002414E-2	-3.140464E-9
-1.408038E-2	-4.407282E-9
-1.807122E-2	-5.744202E-9
-2.209113E-2	-7.071362E-9
