Voltage (V)	Current (A)
4.999772E-1	1.126279E-6
4.979487E-1	1.119640E-6
4.959573E-1	1.113035E-6
4.939626E-1	1.106371E-6
4.919666E-1	1.099869E-6
4.899715E-1	1.093366E-6
4.879770E-1	1.086640E-6
4.859175E-1	1.080015E-6
4.839232E-1	1.073414E-6
4.819260E-1	1.066769E-6
4.798989E-1	1.060220E-6
4.779048E-1	1.053786E-6
4.759113E-1	1.047301E-6
4.739157E-1	1.040921E-6
4.719234E-1	1.034615E-6
4.699307E-1	1.028303E-6
4.679023E-1	1.021781E-6
4.659055E-1	1.015405E-6
4.639119E-1	1.009027E-6
4.618829E-1	1.002637E-6
4.598908E-1	9.962324E-7
4.578972E-1	9.901868E-7
4.559020E-1	9.836506E-7
4.539078E-1	9.775327E-7
4.519159E-1	9.711961E-7
4.498870E-1	9.648711E-7
4.478890E-1	9.586432E-7
4.458964E-1	9.523753E-7
4.439037E-1	9.460824E-7
4.419059E-1	9.400220E-7
4.399094E-1	9.337930E-7
4.378828E-1	9.275026E-7
4.358564E-1	9.211090E-7
4.338613E-1	9.148499E-7
4.318668E-1	9.089280E-7
4.298373E-1	9.027233E-7
4.278438E-1	8.966518E-7
4.258499E-1	8.905355E-7
4.238552E-1	8.844058E-7
4.218595E-1	8.783578E-7
4.198285E-1	8.723224E-7
4.178364E-1	8.663105E-7
4.158435E-1	8.602747E-7
4.138459E-1	8.542573E-7
4.117832E-1	8.481716E-7
4.097901E-1	8.421667E-7
4.077953E-1	8.362833E-7
4.057973E-1	8.301973E-7
4.038026E-1	8.243679E-7
4.018097E-1	8.184884E-7
3.997839E-1	8.124653E-7
3.977889E-1	8.065381E-7
3.957919E-1	8.007114E-7
3.937978E-1	7.948732E-7
3.918058E-1	7.890394E-7
3.897792E-1	7.831310E-7
3.877830E-1	7.772831E-7
3.857544E-1	7.714704E-7
3.837610E-1	7.656839E-7
3.817343E-1	7.598562E-7
3.797374E-1	7.541194E-7
3.777422E-1	7.483565E-7
3.757489E-1	7.426340E-7
3.737538E-1	7.368513E-7
3.717609E-1	7.312619E-7
3.697294E-1	7.255242E-7
3.677364E-1	7.197746E-7
3.657439E-1	7.141413E-7
3.637485E-1	7.085051E-7
3.616844E-1	7.027922E-7
3.596899E-1	6.971429E-7
3.576977E-1	6.915090E-7
3.557038E-1	6.860203E-7
3.537064E-1	6.804424E-7
3.516781E-1	6.747909E-7
3.496832E-1	6.692320E-7
3.476908E-1	6.638085E-7
3.456950E-1	6.583276E-7
3.437006E-1	6.527972E-7
3.417045E-1	6.472878E-7
3.396760E-1	6.418306E-7
3.376831E-1	6.363906E-7
3.356549E-1	6.309165E-7
3.336263E-1	6.254545E-7
3.316350E-1	6.200104E-7
3.296393E-1	6.147380E-7
3.276431E-1	6.093098E-7
3.256477E-1	6.039996E-7
3.236536E-1	5.985581E-7
3.216277E-1	5.932141E-7
3.196334E-1	5.879135E-7
3.176360E-1	5.826755E-7
3.156439E-1	5.774450E-7
3.136515E-1	5.721423E-7
3.115880E-1	5.666588E-7
3.095926E-1	5.615184E-7
3.075990E-1	5.562431E-7
3.056037E-1	5.510998E-7
3.035756E-1	5.458047E-7
3.015787E-1	5.406613E-7
2.995840E-1	5.355748E-7
2.975900E-1	5.303709E-7
2.955965E-1	5.253129E-7
2.936036E-1	5.202531E-7
2.915725E-1	5.150823E-7
2.895785E-1	5.100511E-7
2.875862E-1	5.050865E-7
2.855233E-1	4.998730E-7
2.835261E-1	4.948446E-7
2.815321E-1	4.898313E-7
2.795407E-1	4.848818E-7
2.775448E-1	4.799413E-7
2.755468E-1	4.750339E-7
2.735198E-1	4.700413E-7
2.715207E-1	4.650955E-7
2.695301E-1	4.602601E-7
2.675339E-1	4.553595E-7
2.655410E-1	4.505301E-7
2.635464E-1	4.456629E-7
2.614888E-1	4.406753E-7
2.594925E-1	4.358072E-7
2.574975E-1	4.310616E-7
2.554691E-1	4.262116E-7
2.534764E-1	4.214851E-7
2.514832E-1	4.167708E-7
2.494851E-1	4.120035E-7
2.474942E-1	4.072891E-7
2.455003E-1	4.026426E-7
2.434720E-1	3.978388E-7
2.414761E-1	3.931943E-7
2.394799E-1	3.885649E-7
2.374843E-1	3.839137E-7
2.354249E-1	3.791479E-7
2.334287E-1	3.745458E-7
2.314337E-1	3.699935E-7
2.294391E-1	3.655038E-7
2.274485E-1	3.609543E-7
2.254201E-1	3.564147E-7
2.234223E-1	3.518919E-7
2.214293E-1	3.473944E-7
2.194368E-1	3.429440E-7
2.174366E-1	3.385186E-7
2.154451E-1	3.340916E-7
2.134172E-1	3.296078E-7
2.113889E-1	3.251475E-7
2.093950E-1	3.207640E-7
2.073673E-1	3.163017E-7
2.053712E-1	3.119821E-7
2.033713E-1	3.076544E-7
2.013822E-1	3.034068E-7
1.993868E-1	2.991028E-7
1.973901E-1	2.948808E-7
1.953659E-1	2.905968E-7
1.933701E-1	2.863702E-7
1.913784E-1	2.821787E-7
1.893800E-1	2.779519E-7
1.873882E-1	2.738301E-7
1.853249E-1	2.695585E-7
1.833327E-1	2.654423E-7
1.813357E-1	2.613552E-7
1.793431E-1	2.572721E-7
1.773168E-1	2.531597E-7
1.753204E-1	2.491315E-7
1.733275E-1	2.451026E-7
1.713298E-1	2.411041E-7
1.693365E-1	2.371694E-7
1.673426E-1	2.332209E-7
1.653151E-1	2.292463E-7
1.633147E-1	2.253148E-7
1.612871E-1	2.213640E-7
1.592606E-1	2.174702E-7
1.572677E-1	2.136551E-7
1.552728E-1	2.098385E-7
