Voltage (V)	Current (A)
-5.000783E-1	-1.067131E-6
-4.980827E-1	-1.061078E-6
-4.960572E-1	-1.054583E-6
-4.940618E-1	-1.048341E-6
-4.920661E-1	-1.042075E-6
-4.900720E-1	-1.035909E-6
-4.880792E-1	-1.029861E-6
-4.860165E-1	-1.023477E-6
-4.840204E-1	-1.017209E-6
-4.820254E-1	-1.011076E-6
-4.800315E-1	-1.004839E-6
-4.780756E-1	-9.988631E-7
-4.760453E-1	-9.926590E-7
-4.740536E-1	-9.866794E-7
-4.720589E-1	-9.805328E-7
-4.700659E-1	-9.745150E-7
-4.680725E-1	-9.683794E-7
-4.660762E-1	-9.623618E-7
-4.640461E-1	-9.562398E-7
-4.620202E-1	-9.502253E-7
-4.600246E-1	-9.442283E-7
-4.579968E-1	-9.382990E-7
-4.559999E-1	-9.322205E-7
-4.540085E-1	-9.262128E-7
-4.520132E-1	-9.202717E-7
-4.500165E-1	-9.143982E-7
-4.480215E-1	-9.085496E-7
-4.460254E-1	-9.026269E-7
-4.439981E-1	-8.965869E-7
-4.420040E-1	-8.907637E-7
-4.400065E-1	-8.849519E-7
-4.380128E-1	-8.790860E-7
-4.359504E-1	-8.730709E-7
-4.339567E-1	-8.671745E-7
-4.319601E-1	-8.614832E-7
-4.299648E-1	-8.556967E-7
-4.279719E-1	-8.499472E-7
-4.259431E-1	-8.440507E-7
-4.239452E-1	-8.383408E-7
-4.219494E-1	-8.323965E-7
-4.199556E-1	-8.266996E-7
-4.179632E-1	-8.209868E-7
-4.159689E-1	-8.153816E-7
-4.139372E-1	-8.095638E-7
-4.119071E-1	-8.039105E-7
-4.099129E-1	-7.982697E-7
-4.078839E-1	-7.925424E-7
-4.058883E-1	-7.868942E-7
-4.038945E-1	-7.813796E-7
-4.019022E-1	-7.757278E-7
-3.999070E-1	-7.701811E-7
-3.979101E-1	-7.646180E-7
-3.959161E-1	-7.590377E-7
-3.938869E-1	-7.534054E-7
-3.918948E-1	-7.477886E-7
-3.898981E-1	-7.423235E-7
-3.879027E-1	-7.369273E-7
-3.858421E-1	-7.312035E-7
-3.838500E-1	-7.258024E-7
-3.818522E-1	-7.203603E-7
-3.798582E-1	-7.148998E-7
-3.778627E-1	-7.095427E-7
-3.758340E-1	-7.040254E-7
-3.738402E-1	-6.985765E-7
-3.718420E-1	-6.931923E-7
-3.698500E-1	-6.878987E-7
-3.678532E-1	-6.825005E-7
-3.658608E-1	-6.771960E-7
-3.638335E-1	-6.717296E-7
-3.618015E-1	-6.663820E-7
-3.598070E-1	-6.610614E-7
-3.578134E-1	-6.557812E-7
-3.557849E-1	-6.504609E-7
-3.537864E-1	-6.451723E-7
-3.517937E-1	-6.400123E-7
-3.498011E-1	-6.347437E-7
-3.478049E-1	-6.295498E-7
-3.458058E-1	-6.243199E-7
-3.437786E-1	-6.190661E-7
-3.417821E-1	-6.140004E-7
-3.397880E-1	-6.087745E-7
-3.377943E-1	-6.036285E-7
-3.357315E-1	-5.983385E-7
-3.337383E-1	-5.932435E-7
-3.317444E-1	-5.881681E-7
-3.297512E-1	-5.830938E-7
-3.277536E-1	-5.780464E-7
-3.257265E-1	-5.729181E-7
-3.237328E-1	-5.679161E-7
-3.217370E-1	-5.628837E-7
-3.197419E-1	-5.578737E-7
-3.177482E-1	-5.529219E-7
-3.157538E-1	-5.478751E-7
-3.137255E-1	-5.428941E-7
-3.116956E-1	-5.378591E-7
-3.096992E-1	-5.329495E-7
-3.077033E-1	-5.280820E-7
-3.056767E-1	-5.230626E-7
-3.036810E-1	-5.182596E-7
-3.016836E-1	-5.133941E-7
-2.996879E-1	-5.085213E-7
-2.976987E-1	-5.037181E-7
-2.957026E-1	-4.989105E-7
-2.936701E-1	-4.940520E-7
-2.916775E-1	-4.892473E-7
-2.896836E-1	-4.844846E-7
-2.876863E-1	-4.797388E-7
-2.856229E-1	-4.748540E-7
-2.836274E-1	-4.701355E-7
-2.816326E-1	-4.653804E-7
-2.796419E-1	-4.607710E-7
-2.776445E-1	-4.560218E-7
-2.756130E-1	-4.512845E-7
-2.736183E-1	-4.466625E-7
-2.716255E-1	-4.420135E-7
-2.696307E-1	-4.374393E-7
-2.676319E-1	-4.328706E-7
-2.656402E-1	-4.283150E-7
-2.636131E-1	-4.236315E-7
-2.615861E-1	-4.190358E-7
-2.595890E-1	-4.145120E-7
-2.575940E-1	-4.100010E-7
-2.555650E-1	-4.054305E-7
-2.535712E-1	-4.009777E-7
-2.515776E-1	-3.965412E-7
-2.495824E-1	-3.920817E-7
-2.475888E-1	-3.876811E-7
-2.455947E-1	-3.832376E-7
-2.435647E-1	-3.787452E-7
-2.415674E-1	-3.743615E-7
-2.395729E-1	-3.700885E-7
-2.375807E-1	-3.657333E-7
-2.355180E-1	-3.612504E-7
-2.335190E-1	-3.569536E-7
-2.315254E-1	-3.526454E-7
-2.295309E-1	-3.484118E-7
-2.275385E-1	-3.441652E-7
-2.255115E-1	-3.398468E-7
-2.235143E-1	-3.355964E-7
-2.215169E-1	-3.314140E-7
-2.195246E-1	-3.272440E-7
-2.175310E-1	-3.230786E-7
-2.155335E-1	-3.189620E-7
-2.135384E-1	-3.148202E-7
-2.114798E-1	-3.105461E-7
-2.094827E-1	-3.064594E-7
-2.074873E-1	-3.024109E-7
-2.054558E-1	-2.983045E-7
-2.034608E-1	-2.942666E-7
-2.014704E-1	-2.902069E-7
-1.994702E-1	-2.862390E-7
-1.974775E-1	-2.822881E-7
-1.954833E-1	-2.782914E-7
-1.934576E-1	-2.742838E-7
-1.914636E-1	-2.703880E-7
-1.894654E-1	-2.664690E-7
-1.874737E-1	-2.626354E-7
-1.854108E-1	-2.586272E-7
-1.834175E-1	-2.547933E-7
-1.814197E-1	-2.509773E-7
-1.794245E-1	-2.471639E-7
-1.774295E-1	-2.433527E-7
-1.754018E-1	-2.395402E-7
-1.734087E-1	-2.357983E-7
-1.714107E-1	-2.320772E-7
-1.694176E-1	-2.284056E-7
-1.674227E-1	-2.247378E-7
-1.654261E-1	-2.210705E-7
-1.634301E-1	-2.174365E-7
-1.613688E-1	-2.136468E-7
-1.593750E-1	-2.100390E-7
-1.573819E-1	-2.065082E-7
-1.553497E-1	-2.028668E-7
-1.533548E-1	-1.993285E-7
-1.513578E-1	-1.957849E-7
-1.493658E-1	-1.923158E-7
-1.473706E-1	-1.888643E-7
-1.453722E-1	-1.854343E-7
-1.433462E-1	-1.819457E-7
-1.413544E-1	-1.785711E-7
-1.393584E-1	-1.751845E-7
-1.373600E-1	-1.718122E-7
-1.352988E-1	-1.683655E-7
-1.333056E-1	-1.650379E-7
-1.313058E-1	-1.617579E-7
-1.293098E-1	-1.584747E-7
-1.273148E-1	-1.552382E-7
-1.253215E-1	-1.520237E-7
-1.232935E-1	-1.487667E-7
-1.212976E-1	-1.455939E-7
-1.193059E-1	-1.424667E-7
-1.173092E-1	-1.393394E-7
-1.153168E-1	-1.362640E-7
-1.133203E-1	-1.331907E-7
-1.112581E-1	-1.300213E-7
-1.092642E-1	-1.269987E-7
-1.072718E-1	-1.239934E-7
-1.052443E-1	-1.209858E-7
-1.032443E-1	-1.180368E-7
-1.012518E-1	-1.151143E-7
-9.925669E-2	-1.122266E-7
-9.725924E-2	-1.093489E-7
-9.526438E-2	-1.065061E-7
-9.323581E-2	-1.036274E-7
-9.124219E-2	-1.008362E-7
-8.924962E-2	-9.807994E-8
-8.725552E-2	-9.533541E-8
-8.518881E-2	-9.255528E-8
-8.319532E-2	-8.984133E-8
-8.120250E-2	-8.721646E-8
-7.920817E-2	-8.459121E-8
-7.720675E-2	-8.197061E-8
-7.521784E-2	-7.941476E-8
-7.318935E-2	-7.680486E-8
-7.119372E-2	-7.427249E-8
-6.919634E-2	-7.176865E-8
-6.719852E-2	-6.932699E-8
-6.520724E-2	-6.689793E-8
-6.321069E-2	-6.449278E-8
-6.114851E-2	-6.204089E-8
-5.915370E-2	-5.968310E-8
-5.715961E-2	-5.734385E-8
-5.513410E-2	-5.500149E-8
-5.313832E-2	-5.274076E-8
-5.114301E-2	-5.050702E-8
-4.914924E-2	-4.828772E-8
