Voltage (V)	Current (A)
4.999809E-1	1.467335E-6
4.979515E-1	1.459743E-6
4.959597E-1	1.452121E-6
4.939658E-1	1.444337E-6
4.919703E-1	1.436663E-6
4.899777E-1	1.429300E-6
4.879798E-1	1.421250E-6
4.859220E-1	1.413506E-6
4.839258E-1	1.405935E-6
4.819290E-1	1.398535E-6
4.799021E-1	1.390672E-6
4.779083E-1	1.383242E-6
4.759158E-1	1.375802E-6
4.739204E-1	1.368335E-6
4.719244E-1	1.360773E-6
4.699338E-1	1.353079E-6
4.679060E-1	1.345533E-6
4.659101E-1	1.337937E-6
4.639165E-1	1.330636E-6
4.618859E-1	1.323227E-6
4.598588E-1	1.315639E-6
4.578667E-1	1.308069E-6
4.558724E-1	1.300671E-6
4.538781E-1	1.293306E-6
4.518842E-1	1.285928E-6
4.498558E-1	1.278367E-6
4.478575E-1	1.271241E-6
4.458655E-1	1.263832E-6
4.438713E-1	1.256322E-6
4.418755E-1	1.248889E-6
4.398825E-1	1.241552E-6
4.378552E-1	1.234071E-6
4.358256E-1	1.226603E-6
4.338312E-1	1.219307E-6
4.318368E-1	1.212071E-6
4.298072E-1	1.204766E-6
4.278134E-1	1.197177E-6
4.258209E-1	1.190072E-6
4.238263E-1	1.182854E-6
4.218293E-1	1.175481E-6
4.198014E-1	1.168209E-6
4.178097E-1	1.161056E-6
4.158162E-1	1.153759E-6
4.138165E-1	1.146589E-6
4.117571E-1	1.139224E-6
4.097634E-1	1.132080E-6
4.077683E-1	1.125021E-6
4.057725E-1	1.117618E-6
4.037782E-1	1.110612E-6
4.017844E-1	1.103437E-6
3.997587E-1	1.096366E-6
3.977654E-1	1.089022E-6
3.957677E-1	1.081802E-6
3.937738E-1	1.074948E-6
3.917815E-1	1.067937E-6
3.897541E-1	1.060762E-6
3.877594E-1	1.053772E-6
3.857318E-1	1.046502E-6
3.837374E-1	1.039474E-6
3.817116E-1	1.032502E-6
3.797152E-1	1.025418E-6
3.777190E-1	1.018360E-6
3.757252E-1	1.011487E-6
3.737310E-1	1.004659E-6
3.717725E-1	9.976773E-7
3.697424E-1	9.909713E-7
3.677500E-1	9.838916E-7
3.657549E-1	9.769421E-7
3.637604E-1	9.700416E-7
3.616966E-1	9.630171E-7
3.597026E-1	9.561340E-7
3.577096E-1	9.493962E-7
3.557152E-1	9.425540E-7
3.537184E-1	9.357529E-7
3.516891E-1	9.286701E-7
3.496949E-1	9.217832E-7
3.477035E-1	9.149925E-7
3.457075E-1	9.083016E-7
3.437113E-1	9.016232E-7
3.417147E-1	8.948150E-7
3.396881E-1	8.880540E-7
3.376943E-1	8.814292E-7
3.356656E-1	8.746381E-7
3.336395E-1	8.678271E-7
3.316448E-1	8.610742E-7
3.296515E-1	8.544778E-7
3.276542E-1	8.477049E-7
3.256591E-1	8.409803E-7
3.236628E-1	8.344230E-7
3.216390E-1	8.276522E-7
3.196434E-1	8.211439E-7
3.176469E-1	8.144766E-7
3.156547E-1	8.078620E-7
3.136621E-1	8.013146E-7
3.115990E-1	7.944348E-7
3.096026E-1	7.879461E-7
3.076086E-1	7.813786E-7
3.056131E-1	7.750282E-7
3.035838E-1	7.684175E-7
3.015882E-1	7.618342E-7
2.995918E-1	7.553562E-7
2.975997E-1	7.489306E-7
2.956044E-1	7.424219E-7
2.936121E-1	7.360297E-7
2.915818E-1	7.295686E-7
2.895860E-1	7.231719E-7
2.875962E-1	7.169251E-7
2.855334E-1	7.101490E-7
2.835357E-1	7.037812E-7
2.815422E-1	6.974862E-7
2.795476E-1	6.912117E-7
2.775528E-1	6.849050E-7
2.755556E-1	6.785455E-7
2.735298E-1	6.722345E-7
2.715296E-1	6.658672E-7
2.695396E-1	6.597189E-7
2.675432E-1	6.535195E-7
2.655498E-1	6.472262E-7
2.635540E-1	6.410563E-7
2.614973E-1	6.345381E-7
