Voltage (V)	Current (A)
4.999822E-1	1.821742E-6
4.979554E-1	1.812983E-6
4.959601E-1	1.803927E-6
4.939658E-1	1.795121E-6
4.919717E-1	1.786998E-6
4.899777E-1	1.777772E-6
4.879831E-1	1.768901E-6
4.859223E-1	1.759881E-6
4.839274E-1	1.751170E-6
4.819306E-1	1.742589E-6
4.799026E-1	1.733587E-6
4.779095E-1	1.724946E-6
4.759151E-1	1.716277E-6
4.739197E-1	1.707653E-6
4.719261E-1	1.699023E-6
4.699344E-1	1.690262E-6
4.679056E-1	1.681587E-6
4.659114E-1	1.672638E-6
4.639165E-1	1.664492E-6
4.618863E-1	1.655354E-6
4.598598E-1	1.646620E-6
4.578673E-1	1.638036E-6
4.558716E-1	1.629709E-6
4.538776E-1	1.621021E-6
4.518852E-1	1.612275E-6
4.498575E-1	1.603592E-6
4.478599E-1	1.595040E-6
4.458661E-1	1.586253E-6
4.438751E-1	1.577850E-6
4.418793E-1	1.569481E-6
4.398823E-1	1.561269E-6
4.378538E-1	1.552400E-6
4.358287E-1	1.543899E-6
4.338336E-1	1.535427E-6
4.318385E-1	1.527004E-6
4.298101E-1	1.518381E-6
4.278145E-1	1.509918E-6
4.258232E-1	1.501563E-6
4.238291E-1	1.493311E-6
4.218324E-1	1.485018E-6
4.198027E-1	1.476153E-6
4.178110E-1	1.468030E-6
4.158175E-1	1.459381E-6
4.138209E-1	1.451274E-6
4.117595E-1	1.442369E-6
4.097657E-1	1.434028E-6
4.077693E-1	1.425349E-6
4.057713E-1	1.416929E-6
4.037789E-1	1.408460E-6
4.017854E-1	1.400488E-6
3.997585E-1	1.392072E-6
3.977664E-1	1.383724E-6
3.957690E-1	1.375535E-6
3.937756E-1	1.367047E-6
3.917836E-1	1.359013E-6
3.897545E-1	1.350563E-6
3.877586E-1	1.342341E-6
3.857319E-1	1.333941E-6
3.837382E-1	1.325726E-6
3.817109E-1	1.317266E-6
3.797159E-1	1.309158E-6
3.777214E-1	1.301059E-6
3.757261E-1	1.292846E-6
3.737332E-1	1.284425E-6
3.717384E-1	1.276172E-6
3.697076E-1	1.267792E-6
3.677150E-1	1.259811E-6
3.657218E-1	1.251868E-6
3.637275E-1	1.243637E-6
3.616656E-1	1.235245E-6
3.596714E-1	1.227008E-6
3.576787E-1	1.218780E-6
3.556834E-1	1.210685E-6
3.536868E-1	1.202609E-6
3.516583E-1	1.194486E-6
3.496649E-1	1.186522E-6
3.476736E-1	1.178405E-6
3.456776E-1	1.170434E-6
3.436821E-1	1.162360E-6
3.416868E-1	1.154359E-6
3.396574E-1	1.146247E-6
3.376653E-1	1.138270E-6
3.356358E-1	1.130049E-6
3.336115E-1	1.121789E-6
3.316164E-1	1.113973E-6
3.296247E-1	1.106090E-6
3.276256E-1	1.098194E-6
3.256318E-1	1.089858E-6
3.236382E-1	1.081992E-6
3.216121E-1	1.073964E-6
3.196162E-1	1.066116E-6
3.176216E-1	1.058282E-6
3.156292E-1	1.050482E-6
3.136360E-1	1.042768E-6
3.115718E-1	1.034652E-6
3.095773E-1	1.026689E-6
3.075826E-1	1.018734E-6
3.055879E-1	1.011141E-6
3.035616E-1	1.003096E-6
3.015992E-1	9.956472E-7
2.996052E-1	9.877958E-7
2.976098E-1	9.801170E-7
2.956167E-1	9.723200E-7
2.936225E-1	9.645873E-7
2.915927E-1	9.567019E-7
2.895978E-1	9.490218E-7
2.876051E-1	9.411634E-7
2.855412E-1	9.333008E-7
2.835461E-1	9.256245E-7
2.815501E-1	9.178319E-7
2.795588E-1	9.102544E-7
2.775638E-1	9.025706E-7
2.755678E-1	8.948393E-7
2.735395E-1	8.871481E-7
2.715394E-1	8.796387E-7
2.695481E-1	8.721657E-7
2.675526E-1	8.644640E-7
2.655589E-1	8.569558E-7
2.635631E-1	8.493588E-7
2.615047E-1	8.417848E-7
2.595105E-1	8.342498E-7
2.575150E-1	8.268540E-7
2.554871E-1	8.191953E-7
2.534942E-1	8.116091E-7
2.514989E-1	8.042315E-7
2.495023E-1	7.968429E-7
2.475097E-1	7.895227E-7
2.455157E-1	7.819468E-7
2.434876E-1	7.744189E-7
2.414936E-1	7.669937E-7
2.394967E-1	7.594331E-7
2.375015E-1	7.520631E-7
2.354413E-1	7.445418E-7
2.334440E-1	7.373515E-7
2.314493E-1	7.298254E-7
2.294558E-1	7.224393E-7
2.274632E-1	7.151189E-7
2.254359E-1	7.077439E-7
2.234379E-1	7.004010E-7
2.214432E-1	6.930676E-7
2.194505E-1	6.857828E-7
2.174522E-1	6.785570E-7
2.154608E-1	6.714762E-7
2.134308E-1	6.641245E-7
2.114037E-1	6.568036E-7
2.094101E-1	6.496796E-7
2.073819E-1	6.424106E-7
2.053859E-1	6.351601E-7
2.033873E-1	6.280944E-7
2.013958E-1	6.210534E-7
1.994003E-1	6.139045E-7
1.974044E-1	6.068856E-7
1.953791E-1	5.996136E-7
1.933835E-1	5.925231E-7
1.913934E-1	5.855152E-7
1.893948E-1	5.785006E-7
1.874014E-1	5.715301E-7
1.853396E-1	5.643628E-7
1.833477E-1	5.574233E-7
1.813492E-1	5.503761E-7
1.793564E-1	5.434441E-7
1.773288E-1	5.363286E-7
1.753345E-1	5.295024E-7
1.733412E-1	5.225198E-7
1.713426E-1	5.157175E-7
1.693497E-1	5.088525E-7
1.673556E-1	5.020357E-7
1.653263E-1	4.951133E-7
1.633271E-1	4.883033E-7
1.613006E-1	4.815473E-7
1.592724E-1	4.745272E-7
1.572792E-1	4.678165E-7
1.552837E-1	4.610811E-7
1.532903E-1	4.543444E-7
1.512952E-1	4.476767E-7
1.492985E-1	4.410424E-7
1.472731E-1	4.342027E-7
1.452777E-1	4.276452E-7
1.432830E-1	4.210103E-7
1.412901E-1	4.145055E-7
1.392949E-1	4.079668E-7
1.372960E-1	4.013878E-7
1.352301E-1	3.945634E-7
1.332398E-1	3.881539E-7
1.312442E-1	3.816218E-7
1.292149E-1	3.750575E-7
1.272199E-1	3.685553E-7
1.252226E-1	3.621577E-7
1.232341E-1	3.557751E-7
1.212377E-1	3.493768E-7
1.192427E-1	3.429739E-7
1.172170E-1	3.365340E-7
1.152194E-1	3.301941E-7
1.132286E-1	3.238944E-7
1.111617E-1	3.174268E-7
1.091709E-1	3.110947E-7
1.071740E-1	3.049171E-7
1.051840E-1	2.986997E-7
1.031866E-1	2.925208E-7
1.011906E-1	2.863542E-7
9.916402E-2	2.800763E-7
9.717269E-2	2.739669E-7
9.517509E-2	2.678534E-7
9.317735E-2	2.617308E-7
9.118538E-2	2.556324E-7
8.919385E-2	2.496000E-7
8.716373E-2	2.434930E-7
8.513301E-2	2.374396E-7
8.314095E-2	2.314560E-7
8.111116E-2	2.253918E-7
7.911637E-2	2.194303E-7
7.712246E-2	2.134939E-7
7.512691E-2	2.075691E-7
7.313304E-2	2.017400E-7
7.113902E-2	1.959268E-7
6.911094E-2	1.900092E-7
6.711330E-2	1.842402E-7
6.511931E-2	1.784202E-7
6.312668E-2	1.726691E-7
6.106296E-2	1.667355E-7
5.906715E-2	1.610361E-7
5.707293E-2	1.553407E-7
5.508142E-2	1.496840E-7
5.308573E-2	1.440389E-7
5.105747E-2	1.383419E-7
4.906490E-2	1.327390E-7
4.706477E-2	1.271159E-7
4.507800E-2	1.215724E-7
4.308074E-2	1.160113E-7
4.108538E-2	1.105093E-7
3.905714E-2	1.049252E-7
3.706298E-2	9.943535E-8
3.503579E-2	9.389274E-8
3.300125E-2	8.833732E-8
3.101147E-2	8.291327E-8
2.901723E-2	7.748334E-8
2.702094E-2	7.208663E-8
2.502172E-2	6.669188E-8
2.302996E-2	6.134050E-8
2.100319E-2	5.588404E-8
1.900994E-2	5.056581E-8
1.701491E-2	4.523329E-8
1.501820E-2	3.991529E-8
1.302358E-2	3.461881E-8
1.096251E-2	2.915326E-8
8.970082E-3	2.387961E-8
6.972283E-3	1.859195E-8
4.978928E-3	1.334611E-8
2.951672E-3	7.992652E-9
9.537139E-4	2.756791E-9
-1.036009E-3	-2.508559E-9
-3.029513E-3	-7.701095E-9
-5.023856E-3	-1.293466E-8
-7.053445E-3	-1.823589E-8
-9.044436E-3	-2.345989E-8
-1.104506E-2	-2.868955E-8
-1.303746E-2	-3.389827E-8
-1.509989E-2	-3.928906E-8
-1.709246E-2	-4.449581E-8
-1.909242E-2	-4.974388E-8
-2.108693E-2	-5.494912E-8
-2.307985E-2	-6.015688E-8
-2.510792E-2	-6.548633E-8
-2.710618E-2	-7.071225E-8
-2.910055E-2	-7.593545E-8
-3.109363E-2	-8.117386E-8
-3.309076E-2	-8.642397E-8
-3.508691E-2	-9.167623E-8
-3.708361E-2	-9.692819E-8
-3.914399E-2	-1.023539E-7
-4.113753E-2	-1.076314E-7
-4.312599E-2	-1.129025E-7
-4.516134E-2	-1.182823E-7
-4.715946E-2	-1.236001E-7
-4.915123E-2	-1.289021E-7
-5.114590E-2	-1.342232E-7
-5.314195E-2	-1.395694E-7
-5.513787E-2	-1.448992E-7
-5.716356E-2	-1.503413E-7
-5.915660E-2	-1.557088E-7
-6.115207E-2	-1.611066E-7
-6.321623E-2	-1.666941E-7
-6.520985E-2	-1.721166E-7
-6.720344E-2	-1.775190E-7
-6.920151E-2	-1.829860E-7
-7.119875E-2	-1.884376E-7
-7.319356E-2	-1.939241E-7
-7.522180E-2	-1.994865E-7
-7.721086E-2	-2.050012E-7
-7.921319E-2	-2.105378E-7
-8.120753E-2	-2.160211E-7
-8.319996E-2	-2.215910E-7
-8.519405E-2	-2.271560E-7
-8.719337E-2	-2.327229E-7
-8.925334E-2	-2.384951E-7
-9.124707E-2	-2.441070E-7
-9.324119E-2	-2.497287E-7
-9.526937E-2	-2.554814E-7
-9.726390E-2	-2.611615E-7
-9.926116E-2	-2.668447E-7
-1.012580E-1	-2.725195E-7
-1.032495E-1	-2.782353E-7
-1.052506E-1	-2.839889E-7
-1.072788E-1	-2.898389E-7
-1.092710E-1	-2.955964E-7
-1.112653E-1	-3.013850E-7
-1.133265E-1	-3.073397E-7
-1.153248E-1	-3.131218E-7
-1.173162E-1	-3.189967E-7
-1.193125E-1	-3.248352E-7
-1.213041E-1	-3.307284E-7
-1.233027E-1	-3.366433E-7
-1.253300E-1	-3.425832E-7
-1.273258E-1	-3.485414E-7
-1.293159E-1	-3.544416E-7
-1.313143E-1	-3.603777E-7
-1.333136E-1	-3.663915E-7
-1.353079E-1	-3.724208E-7
-1.373001E-1	-3.784098E-7
-1.393659E-1	-3.846986E-7
-1.413633E-1	-3.906811E-7
-1.433541E-1	-3.968180E-7
-1.453813E-1	-4.029022E-7
-1.473787E-1	-4.089748E-7
-1.493751E-1	-4.150428E-7
-1.513662E-1	-4.211427E-7
-1.533635E-1	-4.272945E-7
-1.553586E-1	-4.335283E-7
-1.573913E-1	-4.397478E-7
-1.593854E-1	-4.459446E-7
-1.613801E-1	-4.521893E-7
-1.634400E-1	-4.585463E-7
-1.654367E-1	-4.647453E-7
-1.674309E-1	-4.709865E-7
-1.694283E-1	-4.772583E-7
-1.714204E-1	-4.835645E-7
-1.734215E-1	-4.899100E-7
-1.754118E-1	-4.962027E-7
-1.774388E-1	-5.026052E-7
-1.794362E-1	-5.089055E-7
-1.814304E-1	-5.152903E-7
-1.834277E-1	-5.216322E-7
-1.854205E-1	-5.280637E-7
-1.874167E-1	-5.345580E-7
-1.894763E-1	-5.411248E-7
-1.914751E-1	-5.476514E-7
-1.934689E-1	-5.541006E-7
-1.954957E-1	-5.606886E-7
-1.974905E-1	-5.672300E-7
-1.994815E-1	-5.736099E-7
-2.014811E-1	-5.801061E-7
-2.034743E-1	-5.865751E-7
-2.054677E-1	-5.931174E-7
-2.074986E-1	-5.997676E-7
-2.094947E-1	-6.063584E-7
-2.114916E-1	-6.129360E-7
-2.135506E-1	-6.197416E-7
-2.155484E-1	-6.264022E-7
-2.175439E-1	-6.329668E-7
-2.195380E-1	-6.396747E-7
-2.215323E-1	-6.462349E-7
-2.235264E-1	-6.528361E-7
-2.255228E-1	-6.595020E-7
-2.275523E-1	-6.663951E-7
-2.295457E-1	-6.731440E-7
-2.315388E-1	-6.798239E-7
-2.335324E-1	-6.865164E-7
-2.355325E-1	-6.933661E-7
-2.375274E-1	-7.000594E-7
-2.395892E-1	-7.069731E-7
-2.415846E-1	-7.137743E-7
-2.435804E-1	-7.205953E-7
-2.456100E-1	-7.275735E-7
-2.476031E-1	-7.345096E-7
-2.495967E-1	-7.411833E-7
-2.515933E-1	-7.482522E-7
-2.535865E-1	-7.550341E-7
-2.555817E-1	-7.619690E-7
-2.576093E-1	-7.689430E-7
-2.596034E-1	-7.758085E-7
-2.616017E-1	-7.826510E-7
-2.636293E-1	-7.897228E-7
-2.656569E-1	-7.967038E-7
-2.676479E-1	-8.037630E-7
-2.696463E-1	-8.107430E-7
-2.716424E-1	-8.178366E-7
-2.736347E-1	-8.249011E-7
-2.756289E-1	-8.319708E-7
-2.776612E-1	-8.392063E-7
-2.796582E-1	-8.461922E-7
-2.816509E-1	-8.532604E-7
-2.836445E-1	-8.601633E-7
-2.856402E-1	-8.672137E-7
-2.876372E-1	-8.744129E-7
-2.896999E-1	-8.817190E-7
-2.916944E-1	-8.888170E-7
-2.936891E-1	-8.959672E-7
-2.957191E-1	-9.030767E-7
-2.977149E-1	-9.103999E-7
-2.997058E-1	-9.175846E-7
-3.017020E-1	-9.246912E-7
-3.036990E-1	-9.319563E-7
-3.056951E-1	-9.392952E-7
-3.077222E-1	-9.465248E-7
-3.097159E-1	-9.536531E-7
-3.117144E-1	-9.610532E-7
-3.137429E-1	-9.684442E-7
-3.157726E-1	-9.758694E-7
-3.177667E-1	-9.831557E-7
-3.197610E-1	-9.905290E-7
-3.217560E-1	-9.975624E-7
-3.237523E-1	-1.005058E-6
-3.257452E-1	-1.012265E-6
-3.277720E-1	-1.019766E-6
-3.297701E-1	-1.027126E-6
-3.317637E-1	-1.034641E-6
-3.337579E-1	-1.041921E-6
-3.357716E-1	-1.049276E-6
-3.377021E-1	-1.056481E-6
-3.397650E-1	-1.064263E-6
-3.417571E-1	-1.071590E-6
-3.437546E-1	-1.079041E-6
-3.457820E-1	-1.086512E-6
-3.477791E-1	-1.093989E-6
-3.497766E-1	-1.101202E-6
-3.517686E-1	-1.108895E-6
-3.537610E-1	-1.116393E-6
-3.557575E-1	-1.123924E-6
-3.577861E-1	-1.131535E-6
-3.597802E-1	-1.138837E-6
-3.617734E-1	-1.146443E-6
-3.638051E-1	-1.154245E-6
-3.658333E-1	-1.161748E-6
-3.678248E-1	-1.169493E-6
-3.698199E-1	-1.176870E-6
-3.718143E-1	-1.184286E-6
-3.738124E-1	-1.191931E-6
-3.758054E-1	-1.199506E-6
-3.778338E-1	-1.207291E-6
-3.798288E-1	-1.214944E-6
-3.818260E-1	-1.222398E-6
-3.838196E-1	-1.230164E-6
-3.858122E-1	-1.237515E-6
-3.878064E-1	-1.245439E-6
-3.898679E-1	-1.253479E-6
-3.918644E-1	-1.260948E-6
-3.938560E-1	-1.268650E-6
-3.958850E-1	-1.276437E-6
-3.978794E-1	-1.284431E-6
-3.998769E-1	-1.292161E-6
-4.018704E-1	-1.299635E-6
-4.038624E-1	-1.307512E-6
-4.058557E-1	-1.315265E-6
-4.078519E-1	-1.322939E-6
-4.098787E-1	-1.330723E-6
-4.118758E-1	-1.338489E-6
-4.139034E-1	-1.346374E-6
-4.159341E-1	-1.354519E-6
-4.179293E-1	-1.362122E-6
-4.199230E-1	-1.370155E-6
-4.219159E-1	-1.378047E-6
-4.239120E-1	-1.385818E-6
-4.259090E-1	-1.393567E-6
-4.279362E-1	-1.401536E-6
-4.299302E-1	-1.409453E-6
-4.319234E-1	-1.417425E-6
-4.339215E-1	-1.425432E-6
-4.359152E-1	-1.433313E-6
-4.379082E-1	-1.441247E-6
-4.399709E-1	-1.449170E-6
-4.419681E-1	-1.457129E-6
-4.439627E-1	-1.465343E-6
-4.459907E-1	-1.473235E-6
-4.479850E-1	-1.481404E-6
-4.499820E-1	-1.489269E-6
-4.519775E-1	-1.497521E-6
-4.539704E-1	-1.505432E-6
-4.559638E-1	-1.513281E-6
-4.579591E-1	-1.521368E-6
-4.599883E-1	-1.529692E-6
-4.619825E-1	-1.537474E-6
-4.640079E-1	-1.545437E-6
-4.660381E-1	-1.553485E-6
-4.680322E-1	-1.561697E-6
-4.700286E-1	-1.569931E-6
-4.720201E-1	-1.577715E-6
-4.740144E-1	-1.585923E-6
-4.760083E-1	-1.594232E-6
-4.780372E-1	-1.602351E-6
-4.800346E-1	-1.610595E-6
-4.820257E-1	-1.618472E-6
-4.840208E-1	-1.626387E-6
-4.860188E-1	-1.634848E-6
-4.880135E-1	-1.642729E-6
-4.900731E-1	-1.651064E-6
-4.920682E-1	-1.659568E-6
-4.940645E-1	-1.667837E-6
-4.960580E-1	-1.676081E-6
-4.980842E-1	-1.684297E-6
-5.000805E-1	-1.692506E-6
