Voltage (V)	Current (A)
-5.000809E-1	-1.692202E-6
-4.980845E-1	-1.683612E-6
-4.960586E-1	-1.675466E-6
-4.940635E-1	-1.667273E-6
-4.920691E-1	-1.659157E-6
-4.900743E-1	-1.651112E-6
-4.880804E-1	-1.643040E-6
-4.860186E-1	-1.634413E-6
-4.840206E-1	-1.626377E-6
-4.820262E-1	-1.618275E-6
-4.800338E-1	-1.610505E-6
-4.780366E-1	-1.602008E-6
-4.760065E-1	-1.593595E-6
-4.740145E-1	-1.585587E-6
-4.720208E-1	-1.577746E-6
-4.700285E-1	-1.569786E-6
-4.680324E-1	-1.561698E-6
-4.660365E-1	-1.553229E-6
-4.640087E-1	-1.545508E-6
-4.619814E-1	-1.536862E-6
-4.599873E-1	-1.529144E-6
-4.579575E-1	-1.520899E-6
-4.559643E-1	-1.512877E-6
-4.539719E-1	-1.504681E-6
-4.519763E-1	-1.496982E-6
-4.499794E-1	-1.489104E-6
-4.479845E-1	-1.481415E-6
-4.459887E-1	-1.473339E-6
-4.439614E-1	-1.465432E-6
-4.419665E-1	-1.457343E-6
-4.399700E-1	-1.449208E-6
-4.379771E-1	-1.441420E-6
-4.359146E-1	-1.433264E-6
-4.339222E-1	-1.425273E-6
-4.319253E-1	-1.417358E-6
-4.299304E-1	-1.409295E-6
-4.279364E-1	-1.401296E-6
-4.259082E-1	-1.393297E-6
-4.239112E-1	-1.385189E-6
-4.219163E-1	-1.377456E-6
-4.199225E-1	-1.369950E-6
-4.179285E-1	-1.362008E-6
-4.159347E-1	-1.354336E-6
-4.139033E-1	-1.346353E-6
-4.118760E-1	-1.338670E-6
-4.098805E-1	-1.330759E-6
-4.078520E-1	-1.322913E-6
-4.058562E-1	-1.315175E-6
-4.038632E-1	-1.307331E-6
-4.018705E-1	-1.299511E-6
-3.998756E-1	-1.291850E-6
-3.978811E-1	-1.283921E-6
-3.958851E-1	-1.276371E-6
-3.938546E-1	-1.268415E-6
-3.918646E-1	-1.260743E-6
-3.898671E-1	-1.253099E-6
-3.878745E-1	-1.245437E-6
-3.858118E-1	-1.237546E-6
-3.838201E-1	-1.229855E-6
-3.818238E-1	-1.222301E-6
-3.798285E-1	-1.214555E-6
-3.778346E-1	-1.207000E-6
-3.758059E-1	-1.199371E-6
-3.738120E-1	-1.191551E-6
-3.718154E-1	-1.184080E-6
-3.698207E-1	-1.176569E-6
-3.678237E-1	-1.169206E-6
-3.658336E-1	-1.161429E-6
-3.638060E-1	-1.153881E-6
-3.617741E-1	-1.146208E-6
-3.597795E-1	-1.138623E-6
-3.577873E-1	-1.131198E-6
-3.557567E-1	-1.123493E-6
-3.537616E-1	-1.116020E-6
-3.517679E-1	-1.108713E-6
-3.497757E-1	-1.101337E-6
-3.477811E-1	-1.093848E-6
-3.457817E-1	-1.086343E-6
-3.437539E-1	-1.079046E-6
-3.417585E-1	-1.071729E-6
-3.397653E-1	-1.064249E-6
-3.377696E-1	-1.056588E-6
-3.357075E-1	-1.048871E-6
-3.337136E-1	-1.041536E-6
-3.317200E-1	-1.034093E-6
-3.297278E-1	-1.026742E-6
-3.277298E-1	-1.019541E-6
-3.257018E-1	-1.012212E-6
-3.237094E-1	-1.004844E-6
-3.217543E-1	-9.973403E-7
-3.197601E-1	-9.901446E-7
-3.177663E-1	-9.829040E-7
-3.157719E-1	-9.754272E-7
-3.137419E-1	-9.681838E-7
-3.117132E-1	-9.607212E-7
-3.097164E-1	-9.536138E-7
-3.077212E-1	-9.464099E-7
-3.056948E-1	-9.391216E-7
-3.036981E-1	-9.318398E-7
-3.017016E-1	-9.246182E-7
-2.997059E-1	-9.175777E-7
-2.977135E-1	-9.105109E-7
-2.957201E-1	-9.032332E-7
-2.936876E-1	-8.959237E-7
-2.916935E-1	-8.888333E-7
-2.896991E-1	-8.817684E-7
-2.877027E-1	-8.746609E-7
-2.856389E-1	-8.673219E-7
-2.836446E-1	-8.602423E-7
-2.816501E-1	-8.531227E-7
-2.796570E-1	-8.461009E-7
-2.776608E-1	-8.389799E-7
-2.756296E-1	-8.319121E-7
-2.736343E-1	-8.248845E-7
-2.716418E-1	-8.178341E-7
-2.696467E-1	-8.108718E-7
-2.676475E-1	-8.038088E-7
-2.656567E-1	-7.970190E-7
-2.636297E-1	-7.900966E-7
-2.616008E-1	-7.830929E-7
-2.596036E-1	-7.762043E-7
-2.576094E-1	-7.692337E-7
-2.555825E-1	-7.622494E-7
-2.535858E-1	-7.551948E-7
-2.515931E-1	-7.483012E-7
-2.495976E-1	-7.413482E-7
-2.476031E-1	-7.344472E-7
-2.456089E-1	-7.276573E-7
-2.435797E-1	-7.207832E-7
-2.415847E-1	-7.138516E-7
-2.395891E-1	-7.071862E-7
-2.375956E-1	-7.004766E-7
-2.355320E-1	-6.934114E-7
-2.335328E-1	-6.865805E-7
-2.315386E-1	-6.798242E-7
-2.295442E-1	-6.730834E-7
-2.275525E-1	-6.664401E-7
-2.255237E-1	-6.596518E-7
-2.235283E-1	-6.529320E-7
-2.215318E-1	-6.462145E-7
-2.195391E-1	-6.396333E-7
-2.175434E-1	-6.330093E-7
-2.155478E-1	-6.263726E-7
-2.135503E-1	-6.197739E-7
-2.114926E-1	-6.129794E-7
-2.094955E-1	-6.063403E-7
-2.074990E-1	-5.997844E-7
-2.054681E-1	-5.930603E-7
-2.034739E-1	-5.865263E-7
-2.014813E-1	-5.800247E-7
-1.994815E-1	-5.734440E-7
-1.974889E-1	-5.670507E-7
-1.954954E-1	-5.605621E-7
-1.934692E-1	-5.539860E-7
-1.914746E-1	-5.475337E-7
-1.894761E-1	-5.410573E-7
-1.874846E-1	-5.345840E-7
-1.854206E-1	-5.279629E-7
-1.834274E-1	-5.216756E-7
-1.814293E-1	-5.152821E-7
-1.794358E-1	-5.089209E-7
-1.774386E-1	-5.026360E-7
-1.754130E-1	-4.961092E-7
-1.734199E-1	-4.897914E-7
-1.714212E-1	-4.834947E-7
-1.694273E-1	-4.772352E-7
-1.674321E-1	-4.710279E-7
-1.654359E-1	-4.647812E-7
-1.634389E-1	-4.586130E-7
-1.613773E-1	-4.522275E-7
-1.593846E-1	-4.459723E-7
-1.573923E-1	-4.397932E-7
-1.553592E-1	-4.335280E-7
-1.533651E-1	-4.273959E-7
-1.513662E-1	-4.212413E-7
-1.493767E-1	-4.150559E-7
-1.473790E-1	-4.089784E-7
-1.453827E-1	-4.028564E-7
-1.433556E-1	-3.967733E-7
-1.413618E-1	-3.906433E-7
