Voltage (V)	Current (A)
-5.000788E-1	-1.569384E-6
-4.980845E-1	-1.561541E-6
-4.960577E-1	-1.553487E-6
-4.940638E-1	-1.545900E-6
-4.920673E-1	-1.538109E-6
-4.900726E-1	-1.530546E-6
-4.880796E-1	-1.522788E-6
-4.860184E-1	-1.514917E-6
-4.840211E-1	-1.507365E-6
-4.820249E-1	-1.499622E-6
-4.800321E-1	-1.491970E-6
-4.780337E-1	-1.484013E-6
-4.760062E-1	-1.476206E-6
-4.740138E-1	-1.468693E-6
-4.720186E-1	-1.461081E-6
-4.700259E-1	-1.453426E-6
-4.680305E-1	-1.445882E-6
-4.660360E-1	-1.438404E-6
-4.640073E-1	-1.430659E-6
-4.619807E-1	-1.422800E-6
-4.599856E-1	-1.415121E-6
-4.579554E-1	-1.407458E-6
-4.559634E-1	-1.399942E-6
-4.539702E-1	-1.392513E-6
-4.519745E-1	-1.385022E-6
-4.499798E-1	-1.377171E-6
-4.479811E-1	-1.369910E-6
-4.459881E-1	-1.362526E-6
-4.439599E-1	-1.354859E-6
-4.419658E-1	-1.347262E-6
-4.399692E-1	-1.339796E-6
-4.379742E-1	-1.332360E-6
-4.359129E-1	-1.324517E-6
-4.339197E-1	-1.317169E-6
-4.319236E-1	-1.309781E-6
-4.299289E-1	-1.302461E-6
-4.279367E-1	-1.294972E-6
-4.259081E-1	-1.287413E-6
-4.239106E-1	-1.279980E-6
-4.219157E-1	-1.272600E-6
-4.199211E-1	-1.265073E-6
-4.179280E-1	-1.257755E-6
-4.159336E-1	-1.250433E-6
-4.139017E-1	-1.242832E-6
-4.118759E-1	-1.235535E-6
-4.098788E-1	-1.228199E-6
-4.078508E-1	-1.220926E-6
-4.058540E-1	-1.213466E-6
-4.038611E-1	-1.206188E-6
-4.018689E-1	-1.199010E-6
-3.998739E-1	-1.191579E-6
-3.978785E-1	-1.184446E-6
-3.958839E-1	-1.177199E-6
-3.938546E-1	-1.169734E-6
-3.918622E-1	-1.162506E-6
-3.898663E-1	-1.155362E-6
-3.878716E-1	-1.148165E-6
-3.858116E-1	-1.140612E-6
-3.838176E-1	-1.133380E-6
-3.818230E-1	-1.126229E-6
-3.798273E-1	-1.119169E-6
-3.778312E-1	-1.111792E-6
-3.758042E-1	-1.104697E-6
-3.738089E-1	-1.097731E-6
-3.718127E-1	-1.090543E-6
-3.698184E-1	-1.083429E-6
-3.678227E-1	-1.076304E-6
-3.658314E-1	-1.069282E-6
-3.638026E-1	-1.062001E-6
-3.617726E-1	-1.054839E-6
-3.597774E-1	-1.047828E-6
-3.577850E-1	-1.040673E-6
