Voltage (V)	Current (A)
4.999797E-1	1.753086E-6
4.979506E-1	1.744838E-6
4.959576E-1	1.736259E-6
4.939635E-1	1.727776E-6
4.919685E-1	1.719515E-6
4.899736E-1	1.711701E-6
4.879797E-1	1.703464E-6
4.859193E-1	1.695000E-6
4.839255E-1	1.686848E-6
4.819278E-1	1.678427E-6
4.798998E-1	1.670608E-6
4.779074E-1	1.661734E-6
4.759117E-1	1.653413E-6
4.739165E-1	1.645226E-6
4.719234E-1	1.637236E-6
4.699325E-1	1.629036E-6
4.679035E-1	1.620602E-6
4.659081E-1	1.612637E-6
4.639135E-1	1.604471E-6
4.618844E-1	1.596382E-6
4.598588E-1	1.588000E-6
4.578663E-1	1.579822E-6
4.558695E-1	1.571997E-6
4.538750E-1	1.563744E-6
4.518845E-1	1.555364E-6
4.498563E-1	1.547533E-6
4.478567E-1	1.539046E-6
4.458635E-1	1.530969E-6
4.438717E-1	1.523214E-6
4.418769E-1	1.515330E-6
4.398794E-1	1.507072E-6
4.378533E-1	1.498769E-6
4.358263E-1	1.490572E-6
4.338324E-1	1.482733E-6
4.318373E-1	1.474477E-6
4.298062E-1	1.466674E-6
4.278099E-1	1.458576E-6
4.258215E-1	1.450371E-6
4.238251E-1	1.442142E-6
4.218303E-1	1.434457E-6
4.198023E-1	1.426419E-6
4.178099E-1	1.418423E-6
4.158166E-1	1.410424E-6
4.138154E-1	1.402380E-6
4.117566E-1	1.393948E-6
4.097619E-1	1.386072E-6
4.077680E-1	1.378455E-6
4.057688E-1	1.370535E-6
4.037766E-1	1.362438E-6
4.017831E-1	1.354639E-6
3.997556E-1	1.346488E-6
3.977645E-1	1.338465E-6
3.957672E-1	1.330548E-6
3.937732E-1	1.322766E-6
3.917794E-1	1.314920E-6
3.897513E-1	1.307148E-6
3.877569E-1	1.299279E-6
3.857295E-1	1.291293E-6
3.837365E-1	1.283261E-6
3.817093E-1	1.275280E-6
3.797142E-1	1.267604E-6
3.777195E-1	1.259786E-6
3.757248E-1	1.252081E-6
3.737287E-1	1.244424E-6
3.717362E-1	1.236656E-6
3.697050E-1	1.228771E-6
3.677119E-1	1.221067E-6
3.657193E-1	1.213144E-6
3.637249E-1	1.205364E-6
3.616631E-1	1.197350E-6
3.596669E-1	1.189776E-6
3.576752E-1	1.182109E-6
3.556804E-1	1.174211E-6
3.536842E-1	1.166808E-6
3.516555E-1	1.159171E-6
3.496595E-1	1.151406E-6
3.476692E-1	1.143714E-6
3.456737E-1	1.136154E-6
3.436795E-1	1.128428E-6
3.416834E-1	1.120869E-6
3.396562E-1	1.113099E-6
3.376624E-1	1.105397E-6
3.356331E-1	1.097676E-6
3.336054E-1	1.090034E-6
3.316129E-1	1.082322E-6
3.296222E-1	1.074857E-6
3.276228E-1	1.067017E-6
3.256281E-1	1.059637E-6
3.236346E-1	1.052142E-6
3.216087E-1	1.044422E-6
3.196139E-1	1.037127E-6
3.176180E-1	1.029358E-6
