Voltage (V)	Current (A)
-5.000812E-1	-1.592670E-6
-4.980860E-1	-1.585273E-6
-4.960593E-1	-1.577688E-6
-4.940646E-1	-1.570071E-6
-4.920699E-1	-1.562417E-6
-4.900753E-1	-1.555088E-6
-4.880824E-1	-1.547576E-6
-4.860197E-1	-1.539537E-6
-4.840229E-1	-1.532240E-6
-4.820289E-1	-1.524597E-6
-4.800348E-1	-1.517246E-6
-4.780377E-1	-1.509860E-6
-4.760085E-1	-1.502256E-6
-4.740154E-1	-1.494987E-6
-4.720219E-1	-1.487298E-6
-4.700285E-1	-1.479913E-6
-4.680335E-1	-1.472257E-6
-4.660392E-1	-1.464619E-6
-4.640094E-1	-1.457339E-6
-4.619832E-1	-1.449637E-6
-4.599884E-1	-1.442326E-6
-4.579595E-1	-1.434928E-6
-4.559650E-1	-1.427434E-6
-4.539720E-1	-1.420156E-6
-4.519770E-1	-1.412625E-6
-4.499809E-1	-1.405412E-6
-4.479845E-1	-1.397949E-6
-4.459899E-1	-1.390633E-6
-4.439621E-1	-1.383427E-6
-4.419688E-1	-1.375791E-6
-4.399708E-1	-1.368617E-6
-4.379773E-1	-1.361314E-6
-4.359162E-1	-1.353610E-6
-4.339229E-1	-1.346334E-6
-4.319261E-1	-1.339148E-6
-4.299315E-1	-1.332025E-6
-4.279365E-1	-1.324489E-6
-4.259101E-1	-1.317050E-6
-4.239122E-1	-1.309863E-6
-4.219174E-1	-1.302753E-6
-4.199232E-1	-1.295527E-6
-4.179304E-1	-1.288508E-6
-4.159362E-1	-1.281123E-6
-4.139056E-1	-1.273676E-6
-4.118768E-1	-1.266370E-6
-4.098804E-1	-1.259162E-6
-4.078525E-1	-1.251962E-6
-4.058570E-1	-1.244912E-6
-4.038634E-1	-1.237734E-6
-4.018705E-1	-1.230246E-6
-3.998751E-1	-1.223203E-6
-3.978803E-1	-1.215931E-6
-3.958847E-1	-1.208939E-6
-3.938556E-1	-1.201585E-6
-3.918652E-1	-1.194540E-6
-3.898687E-1	-1.187400E-6
-3.878746E-1	-1.180362E-6
-3.858120E-1	-1.173090E-6
-3.838208E-1	-1.165888E-6
-3.818243E-1	-1.158875E-6
-3.798277E-1	-1.151689E-6
-3.778334E-1	-1.144891E-6
-3.758052E-1	-1.137475E-6
-3.738123E-1	-1.130330E-6
-3.718134E-1	-1.123274E-6
-3.698209E-1	-1.116465E-6
-3.678250E-1	-1.109583E-6
-3.658331E-1	-1.102579E-6
-3.638049E-1	-1.095269E-6
-3.617736E-1	-1.088298E-6
-3.597808E-1	-1.081201E-6
-3.577875E-1	-1.074282E-6
-3.557584E-1	-1.067190E-6
-3.537612E-1	-1.060016E-6
-3.517681E-1	-1.053173E-6
-3.497746E-1	-1.046217E-6
-3.477804E-1	-1.039289E-6
-3.457814E-1	-1.032430E-6
-3.437536E-1	-1.025304E-6
-3.417565E-1	-1.018400E-6
-3.397644E-1	-1.011590E-6
-3.377707E-1	-1.004733E-6
-3.357488E-1	-9.975636E-7
-3.337543E-1	-9.907765E-7
-3.317625E-1	-9.838983E-7
-3.297693E-1	-9.771376E-7
-3.277704E-1	-9.703538E-7
-3.257430E-1	-9.634095E-7
-3.237503E-1	-9.565742E-7
-3.217538E-1	-9.497985E-7
-3.197574E-1	-9.429556E-7
-3.177634E-1	-9.359971E-7
-3.157707E-1	-9.294728E-7
-3.137411E-1	-9.226688E-7
-3.117121E-1	-9.154866E-7
-3.097151E-1	-9.088187E-7
-3.077201E-1	-9.020789E-7
-3.056938E-1	-8.953767E-7
-3.036985E-1	-8.886537E-7
-3.017007E-1	-8.819022E-7
-2.997048E-1	-8.751864E-7
-2.977142E-1	-8.684854E-7
-2.957184E-1	-8.618766E-7
-2.936868E-1	-8.551403E-7
-2.916931E-1	-8.483808E-7
-2.896983E-1	-8.417311E-7
-2.877027E-1	-8.351014E-7
-2.856392E-1	-8.281559E-7
-2.836443E-1	-8.217383E-7
-2.816498E-1	-8.150685E-7
-2.796561E-1	-8.084121E-7
-2.776603E-1	-8.017143E-7
-2.756301E-1	-7.952215E-7
-2.736340E-1	-7.885826E-7
-2.716414E-1	-7.821512E-7
-2.696453E-1	-7.754933E-7
-2.676474E-1	-7.689871E-7
-2.656562E-1	-7.626301E-7
-2.636294E-1	-7.558974E-7
-2.616002E-1	-7.493541E-7
-2.596041E-1	-7.427959E-7
-2.576088E-1	-7.364118E-7
-2.555819E-1	-7.297437E-7
-2.535864E-1	-7.232850E-7
-2.515914E-1	-7.169370E-7
-2.495964E-1	-7.104700E-7
-2.476027E-1	-7.041086E-7
-2.456084E-1	-6.977062E-7
-2.435792E-1	-6.912917E-7
-2.415840E-1	-6.848747E-7
-2.395889E-1	-6.785077E-7
-2.375952E-1	-6.721154E-7
-2.355323E-1	-6.657085E-7
-2.335332E-1	-6.592092E-7
-2.315383E-1	-6.528440E-7
-2.295444E-1	-6.466252E-7
-2.275538E-1	-6.403559E-7
-2.255240E-1	-6.338900E-7
-2.235266E-1	-6.276237E-7
-2.215323E-1	-6.213597E-7
-2.195366E-1	-6.151843E-7
-2.175436E-1	-6.089435E-7
-2.155479E-1	-6.027325E-7
-2.135517E-1	-5.963995E-7
-2.114926E-1	-5.899572E-7
-2.094960E-1	-5.837798E-7
-2.074991E-1	-5.775029E-7
-2.054698E-1	-5.713141E-7
-2.034731E-1	-5.650735E-7
-2.014810E-1	-5.590034E-7
-1.994835E-1	-5.528215E-7
-1.974910E-1	-5.467335E-7
-1.954976E-1	-5.405900E-7
-1.934686E-1	-5.343912E-7
-1.914751E-1	-5.281186E-7
-1.894784E-1	-5.222099E-7
-1.874843E-1	-5.161648E-7
-1.854208E-1	-5.097791E-7
-1.834290E-1	-5.038654E-7
-1.814301E-1	-4.979740E-7
-1.794374E-1	-4.918319E-7
-1.774399E-1	-4.858002E-7
-1.754130E-1	-4.798086E-7
-1.734196E-1	-4.738194E-7
-1.714208E-1	-4.678236E-7
-1.694284E-1	-4.618979E-7
-1.674328E-1	-4.559785E-7
-1.654367E-1	-4.500551E-7
-1.634387E-1	-4.441225E-7
-1.613797E-1	-4.380347E-7
-1.593868E-1	-4.321012E-7
-1.573924E-1	-4.262428E-7
-1.553602E-1	-4.202641E-7
-1.533651E-1	-4.144610E-7
-1.513678E-1	-4.085620E-7
-1.493772E-1	-4.027581E-7
-1.473812E-1	-3.970189E-7
-1.453830E-1	-3.911411E-7
-1.433558E-1	-3.853211E-7
-1.413649E-1	-3.795677E-7
-1.393664E-1	-3.737318E-7
-1.373691E-1	-3.680528E-7
-1.353071E-1	-3.621342E-7
-1.333132E-1	-3.564062E-7
-1.313139E-1	-3.506886E-7
-1.293173E-1	-3.450829E-7
-1.273248E-1	-3.393890E-7
-1.253305E-1	-3.336538E-7
-1.233027E-1	-3.279443E-7
-1.213064E-1	-3.223326E-7
-1.193132E-1	-3.167017E-7
-1.173169E-1	-3.110822E-7
-1.153245E-1	-3.054740E-7
-1.133271E-1	-2.999379E-7
-1.112657E-1	-2.941949E-7
-1.092706E-1	-2.886670E-7
-1.072791E-1	-2.831216E-7
-1.052496E-1	-2.774761E-7
-1.032513E-1	-2.719754E-7
-1.012583E-1	-2.664845E-7
-9.926208E-2	-2.610005E-7
-9.726588E-2	-2.554849E-7
-9.527097E-2	-2.499989E-7
-9.324243E-2	-2.445514E-7
-9.125021E-2	-2.390477E-7
-8.925389E-2	-2.336390E-7
-8.726095E-2	-2.282548E-7
-8.519492E-2	-2.226283E-7
-8.320050E-2	-2.172276E-7
-8.120756E-2	-2.118721E-7
-7.921408E-2	-2.065303E-7
-7.721209E-2	-2.011845E-7
-7.522295E-2	-1.958220E-7
-7.319488E-2	-1.904138E-7
-7.119849E-2	-1.851223E-7
-6.920274E-2	-1.797953E-7
-6.720483E-2	-1.744853E-7
-6.521260E-2	-1.691947E-7
-6.321658E-2	-1.639265E-7
-6.115375E-2	-1.585102E-7
-5.915797E-2	-1.532533E-7
-5.716434E-2	-1.479975E-7
-5.513850E-2	-1.426799E-7
-5.314199E-2	-1.374334E-7
-5.114868E-2	-1.322091E-7
-4.915265E-2	-1.270098E-7
-4.715939E-2	-1.217928E-7
-4.516238E-2	-1.165895E-7
-4.312742E-2	-1.112998E-7
-4.113895E-2	-1.061465E-7
-3.914415E-2	-1.009573E-7
-3.715272E-2	-9.579293E-8
-3.508752E-2	-9.045367E-8
-3.309258E-2	-8.526467E-8
-3.109662E-2	-8.011523E-8
-2.910111E-2	-7.495589E-8
-2.710634E-2	-6.979562E-8
-2.510970E-2	-6.464408E-8
-2.308171E-2	-5.941384E-8
-2.108735E-2	-5.428089E-8
-1.909399E-2	-4.912177E-8
-1.709394E-2	-4.397041E-8
-1.510035E-2	-3.882663E-8
-1.310398E-2	-3.366736E-8
-1.104648E-2	-2.835013E-8
-9.045764E-3	-2.319042E-8
-7.053501E-3	-1.805350E-8
-5.025733E-3	-1.281298E-8
-3.030205E-3	-7.652585E-9
-1.036183E-3	-2.481758E-9
9.517972E-4	2.703100E-9
2.951279E-3	7.842429E-9
4.977133E-3	1.310896E-8
6.969246E-3	1.829475E-8
8.967888E-3	2.348817E-8
1.096119E-2	2.868599E-8
1.295606E-2	3.388856E-8
1.501596E-2	3.927667E-8
1.701394E-2	4.450893E-8
1.900993E-2	4.974381E-8
2.100153E-2	5.498483E-8
2.302839E-2	6.032612E-8
2.502026E-2	6.559198E-8
2.702044E-2	7.088609E-8
2.901646E-2	7.617681E-8
3.101193E-2	8.147163E-8
3.299990E-2	8.676810E-8
3.503481E-2	9.219983E-8
3.702961E-2	9.754481E-8
3.905634E-2	1.029963E-7
4.108205E-2	1.084407E-7
4.307890E-2	1.138476E-7
4.507551E-2	1.192284E-7
4.706367E-2	1.246184E-7
4.906183E-2	1.300515E-7
5.105529E-2	1.355179E-7
5.308193E-2	1.410564E-7
5.507935E-2	1.465322E-7
5.707081E-2	1.520625E-7
5.906457E-2	1.575244E-7
6.106164E-2	1.630704E-7
6.312560E-2	1.688029E-7
6.511763E-2	1.743905E-7
6.711040E-2	1.799253E-7
6.910825E-2	1.855517E-7
7.113753E-2	1.912449E-7
7.313084E-2	1.968370E-7
7.512383E-2	2.024646E-7
7.711913E-2	2.081535E-7
7.911326E-2	2.138529E-7
8.110826E-2	2.195343E-7
8.313906E-2	2.253258E-7
8.513080E-2	2.310949E-7
8.712813E-2	2.368677E-7
8.919125E-2	2.427481E-7
9.118368E-2	2.485410E-7
9.317404E-2	2.543289E-7
9.517320E-2	2.601921E-7
9.716933E-2	2.660581E-7
9.916281E-2	2.719024E-7
1.011894E-1	2.778824E-7
1.031849E-1	2.837978E-7
1.051813E-1	2.896946E-7
1.071712E-1	2.956122E-7
1.091678E-1	3.015386E-7
1.111586E-1	3.075164E-7
1.132258E-1	3.136815E-7
1.152177E-1	3.196855E-7
1.172128E-1	3.256081E-7
1.192413E-1	3.318324E-7
1.212367E-1	3.379172E-7
1.232302E-1	3.439455E-7
1.252231E-1	3.500011E-7
1.272170E-1	3.561221E-7
1.292128E-1	3.622117E-7
1.312422E-1	3.685033E-7
1.332368E-1	3.746526E-7
1.352282E-1	3.808157E-7
1.372272E-1	3.870315E-7
1.392919E-1	3.933525E-7
1.412873E-1	3.996868E-7
1.432803E-1	4.058837E-7
1.452743E-1	4.121161E-7
1.472698E-1	4.183300E-7
1.492980E-1	4.247637E-7
1.512938E-1	4.310949E-7
1.532866E-1	4.372751E-7
1.552834E-1	4.436950E-7
1.572774E-1	4.499700E-7
1.592695E-1	4.563824E-7
1.612968E-1	4.628847E-7
1.633229E-1	4.694300E-7
1.653244E-1	4.758402E-7
1.673526E-1	4.823709E-7
1.693464E-1	4.886384E-7
1.713405E-1	4.950232E-7
1.733399E-1	5.015498E-7
1.753312E-1	5.080490E-7
1.773271E-1	5.145234E-7
1.793546E-1	5.211276E-7
1.813471E-1	5.276245E-7
1.833433E-1	5.341961E-7
1.853364E-1	5.407107E-7
1.873320E-1	5.473976E-7
1.893909E-1	5.541982E-7
1.913888E-1	5.606418E-7
1.933825E-1	5.672015E-7
1.953768E-1	5.739533E-7
1.974021E-1	5.805804E-7
1.993980E-1	5.873276E-7
2.013954E-1	5.939550E-7
2.033848E-1	6.006033E-7
2.053824E-1	6.073493E-7
2.073794E-1	6.140300E-7
2.094073E-1	6.208845E-7
2.114022E-1	6.275829E-7
2.134280E-1	6.344553E-7
2.154575E-1	6.413029E-7
2.174500E-1	6.478957E-7
2.194474E-1	6.547464E-7
2.214424E-1	6.615232E-7
2.234349E-1	6.682799E-7
2.254318E-1	6.750857E-7
2.274603E-1	6.820696E-7
2.294526E-1	6.887689E-7
2.314472E-1	6.956805E-7
2.334426E-1	7.023784E-7
2.354378E-1	7.093015E-7
2.374309E-1	7.163281E-7
2.394928E-1	7.234659E-7
2.414903E-1	7.304297E-7
2.434831E-1	7.374169E-7
2.455135E-1	7.444085E-7
2.475068E-1	7.513073E-7
2.495003E-1	7.582542E-7
2.514962E-1	7.651814E-7
2.534903E-1	7.721512E-7
2.554834E-1	7.792283E-7
2.575108E-1	7.861894E-7
2.595064E-1	7.932987E-7
2.615037E-1	8.003303E-7
2.635610E-1	8.075600E-7
2.655558E-1	8.146524E-7
2.675484E-1	8.216946E-7
2.695447E-1	8.288841E-7
2.715351E-1	8.358058E-7
2.735356E-1	8.429440E-7
2.755625E-1	8.501703E-7
2.775609E-1	8.573384E-7
2.795558E-1	8.644066E-7
2.815479E-1	8.714544E-7
2.835410E-1	8.786669E-7
2.855382E-1	8.857540E-7
2.875665E-1	8.929346E-7
2.895933E-1	9.002729E-7
2.915871E-1	9.076010E-7
2.936189E-1	9.149103E-7
2.956119E-1	9.220547E-7
2.976057E-1	9.293215E-7
2.995999E-1	9.363975E-7
3.015927E-1	9.437479E-7
3.035914E-1	9.509441E-7
3.056192E-1	9.584561E-7
3.076148E-1	9.658414E-7
3.096080E-1	9.732221E-7
3.116041E-1	9.802783E-7
3.136681E-1	9.882257E-7
3.156609E-1	9.954426E-7
3.176527E-1	1.002657E-6
3.196501E-1	1.010027E-6
3.216445E-1	1.017326E-6
3.236710E-1	1.024871E-6
3.256652E-1	1.032258E-6
3.276599E-1	1.039603E-6
3.296574E-1	1.046950E-6
3.316133E-1	1.054159E-6
3.336074E-1	1.061270E-6
3.356337E-1	1.068943E-6
3.376272E-1	1.076444E-6
3.396564E-1	1.084085E-6
3.416843E-1	1.091631E-6
3.436795E-1	1.099100E-6
3.456749E-1	1.106461E-6
3.476708E-1	1.114047E-6
3.496618E-1	1.121547E-6
3.516567E-1	1.129021E-6
3.536831E-1	1.136596E-6
3.556819E-1	1.144195E-6
3.576756E-1	1.151586E-6
3.596686E-1	1.159235E-6
3.616637E-1	1.166731E-6
3.637264E-1	1.174307E-6
3.657207E-1	1.181874E-6
3.677115E-1	1.189487E-6
3.697051E-1	1.197206E-6
3.717356E-1	1.204797E-6
3.737281E-1	1.212317E-6
3.757246E-1	1.219826E-6
3.777169E-1	1.227256E-6
3.797134E-1	1.235147E-6
3.817091E-1	1.242743E-6
3.837362E-1	1.250590E-6
3.857307E-1	1.258383E-6
3.877231E-1	1.265805E-6
3.897515E-1	1.273421E-6
3.917795E-1	1.281378E-6
3.937728E-1	1.289224E-6
3.957677E-1	1.296569E-6
3.977627E-1	1.304565E-6
3.997571E-1	1.312284E-6
4.017840E-1	1.319705E-6
4.037763E-1	1.327466E-6
4.057707E-1	1.335129E-6
4.077670E-1	1.342941E-6
4.097614E-1	1.350554E-6
4.117556E-1	1.358257E-6
4.138150E-1	1.366541E-6
4.158162E-1	1.374323E-6
4.178084E-1	1.382134E-6
4.198024E-1	1.389860E-6
4.218301E-1	1.397681E-6
4.238245E-1	1.405402E-6
4.258211E-1	1.413327E-6
4.278116E-1	1.421060E-6
4.298071E-1	1.429061E-6
4.318363E-1	1.436993E-6
4.338313E-1	1.444739E-6
4.358264E-1	1.452397E-6
4.378191E-1	1.460473E-6
4.398800E-1	1.468508E-6
4.418767E-1	1.476938E-6
4.438725E-1	1.484265E-6
4.458656E-1	1.492306E-6
4.478592E-1	1.500080E-6
4.498561E-1	1.507801E-6
4.518842E-1	1.515905E-6
4.538758E-1	1.523771E-6
4.558710E-1	1.531428E-6
4.578660E-1	1.539884E-6
4.598592E-1	1.547792E-6
4.618861E-1	1.556093E-6
4.639151E-1	1.564006E-6
4.659095E-1	1.572023E-6
4.679047E-1	1.579965E-6
4.699331E-1	1.588221E-6
4.719253E-1	1.595695E-6
4.739181E-1	1.603810E-6
4.759142E-1	1.611849E-6
4.779063E-1	1.619855E-6
4.798999E-1	1.627936E-6
4.819292E-1	1.636407E-6
4.839252E-1	1.644382E-6
4.859200E-1	1.652122E-6
4.879127E-1	1.660205E-6
4.899752E-1	1.668576E-6
4.919699E-1	1.676785E-6
4.939664E-1	1.684733E-6
4.959586E-1	1.692641E-6
4.979531E-1	1.700948E-6
4.999793E-1	1.709080E-6
