Voltage (V)	Current (A)
-5.000805E-1	-1.606743E-6
-4.980868E-1	-1.599477E-6
-4.960606E-1	-1.591922E-6
-4.940661E-1	-1.584697E-6
-4.920691E-1	-1.577277E-6
-4.900742E-1	-1.570065E-6
-4.880817E-1	-1.562519E-6
-4.860201E-1	-1.554975E-6
-4.840233E-1	-1.547470E-6
-4.820274E-1	-1.540222E-6
-4.800360E-1	-1.532782E-6
-4.780376E-1	-1.525539E-6
-4.760088E-1	-1.518190E-6
-4.740160E-1	-1.510703E-6
-4.720216E-1	-1.503139E-6
-4.700297E-1	-1.496171E-6
-4.680354E-1	-1.489285E-6
-4.660377E-1	-1.481614E-6
-4.640091E-1	-1.474039E-6
-4.619830E-1	-1.466895E-6
-4.599883E-1	-1.459681E-6
-4.579600E-1	-1.452241E-6
-4.559654E-1	-1.445222E-6
-4.539716E-1	-1.437468E-6
-4.519781E-1	-1.430601E-6
-4.499812E-1	-1.423172E-6
-4.479850E-1	-1.416069E-6
-4.459906E-1	-1.408781E-6
-4.439620E-1	-1.401284E-6
-4.419688E-1	-1.394407E-6
-4.399716E-1	-1.386811E-6
-4.379786E-1	-1.379991E-6
-4.359165E-1	-1.372463E-6
-4.339230E-1	-1.365257E-6
-4.319258E-1	-1.357977E-6
-4.299309E-1	-1.350885E-6
-4.279374E-1	-1.343533E-6
-4.259095E-1	-1.336329E-6
-4.239130E-1	-1.329257E-6
-4.219172E-1	-1.322121E-6
-4.199247E-1	-1.314747E-6
-4.179301E-1	-1.308065E-6
-4.159356E-1	-1.300869E-6
-4.139054E-1	-1.293594E-6
-4.118748E-1	-1.286435E-6
-4.098808E-1	-1.279069E-6
-4.078525E-1	-1.271955E-6
-4.058577E-1	-1.264997E-6
-4.038635E-1	-1.257944E-6
-4.018714E-1	-1.250899E-6
-3.998763E-1	-1.243821E-6
-3.978823E-1	-1.236721E-6
-3.958867E-1	-1.229714E-6
-3.938570E-1	-1.222476E-6
-3.918644E-1	-1.215443E-6
-3.898687E-1	-1.208445E-6
-3.878749E-1	-1.201362E-6
-3.858114E-1	-1.193977E-6
-3.838208E-1	-1.187100E-6
-3.818250E-1	-1.179994E-6
-3.798267E-1	-1.172893E-6
-3.778346E-1	-1.165845E-6
-3.758070E-1	-1.158847E-6
-3.738130E-1	-1.152014E-6
-3.718160E-1	-1.144935E-6
-3.698221E-1	-1.137982E-6
-3.678254E-1	-1.130948E-6
-3.658333E-1	-1.124120E-6
-3.638059E-1	-1.117019E-6
-3.617744E-1	-1.110117E-6
-3.597828E-1	-1.103206E-6
-3.577870E-1	-1.096251E-6
-3.557589E-1	-1.089172E-6
-3.537621E-1	-1.082516E-6
-3.517686E-1	-1.075525E-6
-3.497753E-1	-1.068530E-6
-3.477810E-1	-1.061859E-6
-3.457817E-1	-1.054827E-6
-3.437544E-1	-1.048044E-6
-3.417585E-1	-1.041047E-6
-3.397651E-1	-1.034260E-6
-3.377704E-1	-1.027326E-6
