Voltage (V)	Current (A)
4.999814E-1	1.813053E-6
4.979524E-1	1.804716E-6
4.959609E-1	1.796205E-6
4.939674E-1	1.787686E-6
4.919700E-1	1.779505E-6
4.899771E-1	1.771087E-6
4.879809E-1	1.763125E-6
4.859214E-1	1.754400E-6
4.839272E-1	1.746307E-6
4.819293E-1	1.738255E-6
4.799016E-1	1.729587E-6
4.779088E-1	1.721325E-6
4.759157E-1	1.713040E-6
4.739194E-1	1.704934E-6
4.719264E-1	1.696585E-6
4.699342E-1	1.688185E-6
4.679060E-1	1.679991E-6
4.659096E-1	1.672145E-6
4.639159E-1	1.663802E-6
4.618866E-1	1.655440E-6
4.598597E-1	1.647328E-6
4.578648E-1	1.639079E-6
4.558699E-1	1.630821E-6
4.538772E-1	1.622835E-6
4.518841E-1	1.614361E-6
4.498565E-1	1.606009E-6
4.478587E-1	1.598181E-6
4.458651E-1	1.590004E-6
4.438740E-1	1.582014E-6
4.418769E-1	1.573641E-6
4.398799E-1	1.565864E-6
4.378527E-1	1.557499E-6
4.358276E-1	1.549230E-6
4.338325E-1	1.541041E-6
4.318372E-1	1.532815E-6
4.298091E-1	1.524610E-6
4.278117E-1	1.516445E-6
4.258220E-1	1.508640E-6
4.238260E-1	1.500542E-6
4.218318E-1	1.492424E-6
4.198016E-1	1.484282E-6
4.178089E-1	1.476295E-6
4.158159E-1	1.468235E-6
4.138183E-1	1.460205E-6
4.117571E-1	1.452127E-6
4.097626E-1	1.443758E-6
4.077695E-1	1.435590E-6
4.057712E-1	1.427852E-6
4.037766E-1	1.419695E-6
4.017846E-1	1.411809E-6
3.997573E-1	1.403826E-6
3.977650E-1	1.395995E-6
3.957690E-1	1.387973E-6
3.937743E-1	1.379967E-6
3.917813E-1	1.372082E-6
3.897536E-1	1.363767E-6
3.877586E-1	1.355979E-6
3.857309E-1	1.348164E-6
3.837374E-1	1.340126E-6
3.817106E-1	1.332106E-6
3.797140E-1	1.324312E-6
3.777198E-1	1.316115E-6
3.757254E-1	1.308248E-6
3.737314E-1	1.300364E-6
3.717370E-1	1.292504E-6
3.697061E-1	1.284359E-6
3.677151E-1	1.276648E-6
3.657230E-1	1.268637E-6
3.637259E-1	1.261012E-6
3.616647E-1	1.252656E-6
3.596680E-1	1.244849E-6
3.576768E-1	1.237210E-6
3.556829E-1	1.229358E-6
3.536853E-1	1.221536E-6
3.516566E-1	1.213821E-6
3.496628E-1	1.206062E-6
3.476718E-1	1.198310E-6
3.456755E-1	1.190359E-6
3.436784E-1	1.182478E-6
3.416838E-1	1.174743E-6
3.396566E-1	1.166986E-6
3.376633E-1	1.159327E-6
3.356344E-1	1.151326E-6
3.336075E-1	1.143354E-6
3.316151E-1	1.135740E-6
3.296222E-1	1.127995E-6
3.276247E-1	1.120583E-6
3.256306E-1	1.112682E-6
3.236350E-1	1.105110E-6
3.216092E-1	1.097116E-6
3.196153E-1	1.089402E-6
3.176193E-1	1.081725E-6
3.156268E-1	1.074071E-6
3.136331E-1	1.066604E-6
3.115702E-1	1.058834E-6
3.095739E-1	1.050997E-6
3.075815E-1	1.043267E-6
3.055848E-1	1.035743E-6
3.035571E-1	1.028159E-6
3.015619E-1	1.020483E-6
2.995675E-1	1.012859E-6
2.975730E-1	1.005572E-6
2.956164E-1	9.981794E-7
2.936215E-1	9.904256E-7
2.915910E-1	9.827590E-7
2.895972E-1	9.749230E-7
2.876053E-1	9.676947E-7
2.855408E-1	9.597038E-7
2.835449E-1	9.523998E-7
2.815486E-1	9.448013E-7
2.795576E-1	9.373003E-7
2.775625E-1	9.298031E-7
2.755651E-1	9.223104E-7
2.735368E-1	9.149716E-7
2.715374E-1	9.075727E-7
2.695473E-1	9.000138E-7
2.675503E-1	8.926726E-7
2.655577E-1	8.854618E-7
2.635628E-1	8.779560E-7
2.615043E-1	8.701949E-7
2.595100E-1	8.627911E-7
2.575125E-1	8.555222E-7
2.554855E-1	8.478592E-7
2.534936E-1	8.404299E-7
2.514987E-1	8.332133E-7
2.494996E-1	8.258808E-7
2.475079E-1	8.185647E-7
2.455153E-1	8.113186E-7
2.434868E-1	8.038313E-7
2.414916E-1	7.965318E-7
2.394948E-1	7.892114E-7
2.375001E-1	7.818385E-7
2.354378E-1	7.744202E-7
2.334436E-1	7.672129E-7
2.314481E-1	7.598317E-7
2.294552E-1	7.526336E-7
2.274609E-1	7.455027E-7
2.254331E-1	7.380519E-7
2.234371E-1	7.308187E-7
2.214428E-1	7.236316E-7
2.194512E-1	7.163941E-7
2.174510E-1	7.092372E-7
2.154584E-1	7.020154E-7
2.134310E-1	6.947802E-7
2.114028E-1	6.875092E-7
2.094088E-1	6.801984E-7
2.073796E-1	6.730943E-7
2.053837E-1	6.659382E-7
2.033853E-1	6.590392E-7
2.013955E-1	6.518395E-7
1.994008E-1	6.446697E-7
1.974036E-1	6.375752E-7
1.953777E-1	6.304675E-7
1.933828E-1	6.233361E-7
1.913916E-1	6.164926E-7
1.893925E-1	6.094117E-7
1.874005E-1	6.023839E-7
1.853388E-1	5.950671E-7
1.833455E-1	5.880377E-7
1.813473E-1	5.811893E-7
1.793554E-1	5.740999E-7
1.773288E-1	5.671926E-7
1.753333E-1	5.602401E-7
1.733396E-1	5.533859E-7
1.713422E-1	5.464478E-7
1.693477E-1	5.395049E-7
1.673546E-1	5.325722E-7
1.653249E-1	5.256150E-7
1.633265E-1	5.186339E-7
1.612988E-1	5.117127E-7
1.592707E-1	5.047627E-7
1.572787E-1	4.978773E-7
1.552837E-1	4.912067E-7
1.532892E-1	4.843698E-7
1.512957E-1	4.775615E-7
1.492988E-1	4.707552E-7
1.472707E-1	4.639201E-7
1.452767E-1	4.570828E-7
1.432817E-1	4.503180E-7
1.412888E-1	4.436014E-7
1.392927E-1	4.368982E-7
1.372954E-1	4.302548E-7
1.352289E-1	4.232706E-7
1.332391E-1	4.165474E-7
1.312446E-1	4.098624E-7
1.292138E-1	4.031401E-7
1.272186E-1	3.965226E-7
1.252232E-1	3.899237E-7
1.232343E-1	3.831648E-7
1.212380E-1	3.766590E-7
1.192424E-1	3.701383E-7
1.172165E-1	3.634306E-7
1.152193E-1	3.568628E-7
1.132276E-1	3.503842E-7
1.111603E-1	3.436848E-7
1.091705E-1	3.371750E-7
1.071715E-1	3.305817E-7
1.051829E-1	3.241208E-7
1.031860E-1	3.176510E-7
1.011898E-1	3.112092E-7
9.916322E-2	3.046443E-7
9.716866E-2	2.981951E-7
9.517335E-2	2.917860E-7
9.317555E-2	2.853913E-7
9.118421E-2	2.790325E-7
8.919142E-2	2.725755E-7
8.716387E-2	2.661208E-7
8.513078E-2	2.596725E-7
8.313999E-2	2.533535E-7
8.111050E-2	2.469507E-7
7.911504E-2	2.406481E-7
7.711962E-2	2.343418E-7
7.512598E-2	2.280114E-7
7.313205E-2	2.218138E-7
7.113676E-2	2.155255E-7
6.910711E-2	2.092220E-7
6.711096E-2	2.029842E-7
6.511777E-2	1.967470E-7
6.312551E-2	1.905969E-7
6.106173E-2	1.841501E-7
5.906559E-2	1.780054E-7
5.706985E-2	1.718308E-7
5.507959E-2	1.656836E-7
5.308357E-2	1.595608E-7
5.105544E-2	1.533458E-7
4.906330E-2	1.472345E-7
4.706493E-2	1.411453E-7
4.507596E-2	1.350737E-7
4.308008E-2	1.290034E-7
4.108301E-2	1.229377E-7
3.905571E-2	1.167966E-7
3.706193E-2	1.107616E-7
3.503448E-2	1.046261E-7
3.300034E-2	9.848189E-8
3.101065E-2	9.249207E-8
2.901551E-2	8.650797E-8
2.702047E-2	8.052085E-8
2.502058E-2	7.452183E-8
2.302988E-2	6.856541E-8
2.100234E-2	6.249682E-8
1.900769E-2	5.655992E-8
1.701374E-2	5.061513E-8
1.501627E-2	4.468123E-8
1.302289E-2	3.874917E-8
1.096112E-2	3.263520E-8
8.968248E-3	2.671091E-8
6.969265E-3	2.079645E-8
4.977481E-3	1.490299E-8
2.949528E-3	8.901422E-9
9.518833E-4	3.003305E-9
-1.037609E-3	-2.912800E-9
-3.030964E-3	-8.759439E-9
-5.025747E-3	-1.464427E-8
-7.054104E-3	-2.061591E-8
-9.046038E-3	-2.648678E-8
-1.104543E-2	-3.237384E-8
-1.303860E-2	-3.823862E-8
-1.510146E-2	-4.431311E-8
-1.709524E-2	-5.017071E-8
-1.909462E-2	-5.605902E-8
-2.108705E-2	-6.192172E-8
-2.308127E-2	-6.777849E-8
-2.510987E-2	-7.374704E-8
-2.710691E-2	-7.963047E-8
-2.910236E-2	-8.549390E-8
-3.109653E-2	-9.136611E-8
-3.309410E-2	-9.724979E-8
-3.508905E-2	-1.031115E-7
-3.708534E-2	-1.089958E-7
-3.914541E-2	-1.150554E-7
-4.113996E-2	-1.209633E-7
-4.312954E-2	-1.268222E-7
-4.516476E-2	-1.328453E-7
-4.716055E-2	-1.387319E-7
-4.915388E-2	-1.445941E-7
-5.114876E-2	-1.505087E-7
-5.314325E-2	-1.564440E-7
-5.513873E-2	-1.623830E-7
-5.716443E-2	-1.683708E-7
-5.915921E-2	-1.743167E-7
-6.115340E-2	-1.802707E-7
-6.321751E-2	-1.863700E-7
-6.521260E-2	-1.923114E-7
-6.720645E-2	-1.982624E-7
-6.920278E-2	-2.042236E-7
-7.119985E-2	-2.102079E-7
-7.319618E-2	-2.161885E-7
-7.522520E-2	-2.222903E-7
-7.721442E-2	-2.282656E-7
-7.921652E-2	-2.342576E-7
-8.121028E-2	-2.402770E-7
-8.320209E-2	-2.462665E-7
-8.519641E-2	-2.522874E-7
-8.719441E-2	-2.583375E-7
-8.925660E-2	-2.645984E-7
-9.125043E-2	-2.706466E-7
-9.324427E-2	-2.767034E-7
-9.527194E-2	-2.829099E-7
-9.726787E-2	-2.889850E-7
-9.926588E-2	-2.950408E-7
-1.012609E-1	-3.011467E-7
-1.032542E-1	-3.072627E-7
-1.052538E-1	-3.133613E-7
-1.072814E-1	-3.196486E-7
-1.092717E-1	-3.257576E-7
-1.112676E-1	-3.319584E-7
-1.133299E-1	-3.382501E-7
-1.153264E-1	-3.444594E-7
-1.173184E-1	-3.506529E-7
-1.193148E-1	-3.568397E-7
-1.213081E-1	-3.630300E-7
-1.233051E-1	-3.692043E-7
-1.253322E-1	-3.755886E-7
-1.273256E-1	-3.817972E-7
-1.293180E-1	-3.879679E-7
-1.313162E-1	-3.942376E-7
-1.333154E-1	-4.005809E-7
-1.353093E-1	-4.068365E-7
-1.373036E-1	-4.130583E-7
-1.393686E-1	-4.196513E-7
-1.413660E-1	-4.259464E-7
-1.433572E-1	-4.322704E-7
-1.453844E-1	-4.386639E-7
-1.473822E-1	-4.450255E-7
-1.493782E-1	-4.514183E-7
-1.513709E-1	-4.576907E-7
-1.533669E-1	-4.640569E-7
-1.553627E-1	-4.704326E-7
-1.573944E-1	-4.769888E-7
-1.593887E-1	-4.832725E-7
-1.613815E-1	-4.897801E-7
-1.634423E-1	-4.964567E-7
-1.654386E-1	-5.028381E-7
-1.674346E-1	-5.091809E-7
-1.694314E-1	-5.156479E-7
-1.714248E-1	-5.220903E-7
-1.734225E-1	-5.286317E-7
-1.754158E-1	-5.350867E-7
-1.774418E-1	-5.416919E-7
-1.794393E-1	-5.482141E-7
-1.814341E-1	-5.547342E-7
-1.834307E-1	-5.612134E-7
-1.854243E-1	-5.678393E-7
-1.874192E-1	-5.743131E-7
-1.894790E-1	-5.810516E-7
-1.914776E-1	-5.876913E-7
-1.934722E-1	-5.942927E-7
-1.954980E-1	-6.009200E-7
-1.974936E-1	-6.074812E-7
-1.994842E-1	-6.140992E-7
-2.014835E-1	-6.207054E-7
-2.034765E-1	-6.273823E-7
-2.054704E-1	-6.338956E-7
-2.075011E-1	-6.408102E-7
-2.094988E-1	-6.473709E-7
-2.114951E-1	-6.541386E-7
-2.135530E-1	-6.609365E-7
-2.155512E-1	-6.676721E-7
-2.175458E-1	-6.742490E-7
-2.195413E-1	-6.809249E-7
-2.215355E-1	-6.876930E-7
-2.235320E-1	-6.943491E-7
-2.255277E-1	-7.011697E-7
-2.275559E-1	-7.079270E-7
-2.295491E-1	-7.147772E-7
-2.315411E-1	-7.215231E-7
-2.335361E-1	-7.283213E-7
-2.355366E-1	-7.351271E-7
-2.375324E-1	-7.419633E-7
-2.395929E-1	-7.488344E-7
-2.415884E-1	-7.556533E-7
-2.435843E-1	-7.624449E-7
-2.456127E-1	-7.694969E-7
-2.476069E-1	-7.764294E-7
-2.496013E-1	-7.831254E-7
-2.515969E-1	-7.900296E-7
-2.535902E-1	-7.968081E-7
-2.555852E-1	-8.037117E-7
-2.576131E-1	-8.108757E-7
-2.596078E-1	-8.176821E-7
-2.616056E-1	-8.245104E-7
-2.636329E-1	-8.315322E-7
-2.656605E-1	-8.387590E-7
