Voltage (V)	Current (A)
-5.001178E-1	-9.597021E-7
-4.981181E-1	-9.538807E-7
-4.960936E-1	-9.477290E-7
-4.940918E-1	-9.416554E-7
-4.921058E-1	-9.356126E-7
-4.901091E-1	-9.297056E-7
-4.881218E-1	-9.237956E-7
-4.860505E-1	-9.175217E-7
-4.840603E-1	-9.115884E-7
-4.820608E-1	-9.056753E-7
-4.800691E-1	-8.997993E-7
-4.780722E-1	-8.938140E-7
-4.760451E-1	-8.877686E-7
-4.740447E-1	-8.820213E-7
-4.720530E-1	-8.761514E-7
-4.700529E-1	-8.702893E-7
-4.680755E-1	-8.645295E-7
-4.660717E-1	-8.586895E-7
-4.640398E-1	-8.528760E-7
-4.620207E-1	-8.470297E-7
-4.600221E-1	-8.412505E-7
-4.579889E-1	-8.354397E-7
-4.559969E-1	-8.297848E-7
-4.539990E-1	-8.240813E-7
-4.520091E-1	-8.183727E-7
-4.500107E-1	-8.128213E-7
-4.480069E-1	-8.071034E-7
-4.460183E-1	-8.015797E-7
-4.439943E-1	-7.958625E-7
-4.419969E-1	-7.901289E-7
-4.400007E-1	-7.846110E-7
-4.379998E-1	-7.790736E-7
-4.359442E-1	-7.732810E-7
-4.339517E-1	-7.677115E-7
-4.319572E-1	-7.621820E-7
-4.299588E-1	-7.566606E-7
-4.279731E-1	-7.512319E-7
-4.259353E-1	-7.456788E-7
-4.239404E-1	-7.402207E-7
-4.219476E-1	-7.348140E-7
-4.199570E-1	-7.294643E-7
-4.179559E-1	-7.239473E-7
-4.159628E-1	-7.185841E-7
-4.139228E-1	-7.131227E-7
-4.119022E-1	-7.077934E-7
-4.099084E-1	-7.023566E-7
-4.078728E-1	-6.969901E-7
-4.058861E-1	-6.916495E-7
-4.038874E-1	-6.863840E-7
-4.018977E-1	-6.811232E-7
-3.998987E-1	-6.759128E-7
-3.979013E-1	-6.706520E-7
-3.959031E-1	-6.654217E-7
-3.938828E-1	-6.601272E-7
-3.918943E-1	-6.550169E-7
-3.898914E-1	-6.499021E-7
-3.878955E-1	-6.446604E-7
-3.858352E-1	-6.393911E-7
-3.838427E-1	-6.342690E-7
-3.818518E-1	-6.291924E-7
-3.798415E-1	-6.240922E-7
-3.778573E-1	-6.190116E-7
-3.758250E-1	-6.138932E-7
-3.738337E-1	-6.088700E-7
-3.718374E-1	-6.038077E-7
-3.698426E-1	-5.988053E-7
-3.678425E-1	-5.937737E-7
-3.658610E-1	-5.888666E-7
-3.638210E-1	-5.837951E-7
-3.617956E-1	-5.787814E-7
-3.597995E-1	-5.738101E-7
-3.578095E-1	-5.689634E-7
-3.557896E-1	-5.640034E-7
-3.537832E-1	-5.591334E-7
-3.517856E-1	-5.542755E-7
-3.498003E-1	-5.494102E-7
-3.477984E-1	-5.446444E-7
-3.458036E-1	-5.398312E-7
-3.437760E-1	-5.349028E-7
-3.417697E-1	-5.301327E-7
-3.397917E-1	-5.254362E-7
-3.377841E-1	-5.207192E-7
-3.357237E-1	-5.157690E-7
-3.337379E-1	-5.110322E-7
-3.317402E-1	-5.063108E-7
-3.297488E-1	-5.017354E-7
-3.277470E-1	-4.971222E-7
-3.257188E-1	-4.923323E-7
-3.237248E-1	-4.877448E-7
-3.217317E-1	-4.831230E-7
-3.197339E-1	-4.784879E-7
-3.177425E-1	-4.739671E-7
-3.157555E-1	-4.693658E-7
-3.137170E-1	-4.647644E-7
-3.116817E-1	-4.601637E-7
-3.097014E-1	-4.556726E-7
-3.077013E-1	-4.511989E-7
-3.056676E-1	-4.466692E-7
-3.036759E-1	-4.421817E-7
-3.016783E-1	-4.376832E-7
-2.996776E-1	-4.332906E-7
-2.976953E-1	-4.288518E-7
-2.956858E-1	-4.245151E-7
-2.936604E-1	-4.200827E-7
-2.916739E-1	-4.157383E-7
-2.896771E-1	-4.113828E-7
-2.876779E-1	-4.070423E-7
-2.856279E-1	-4.025514E-7
-2.836265E-1	-3.983345E-7
-2.816340E-1	-3.940455E-7
-2.796438E-1	-3.897620E-7
-2.776457E-1	-3.855156E-7
-2.756108E-1	-3.812599E-7
-2.736139E-1	-3.769772E-7
-2.716270E-1	-3.728458E-7
-2.696251E-1	-3.686534E-7
-2.676250E-1	-3.644808E-7
-2.656356E-1	-3.603471E-7
-2.636117E-1	-3.561410E-7
-2.615802E-1	-3.520145E-7
-2.595777E-1	-3.479364E-7
-2.575876E-1	-3.438435E-7
-2.555546E-1	-3.398010E-7
-2.535673E-1	-3.357457E-7
-2.515697E-1	-3.317337E-7
-2.495799E-1	-3.277939E-7
-2.475867E-1	-3.237750E-7
-2.455897E-1	-3.198082E-7
-2.435684E-1	-3.158259E-7
-2.415654E-1	-3.118855E-7
-2.395690E-1	-3.079886E-7
-2.375805E-1	-3.041523E-7
-2.355166E-1	-3.001419E-7
-2.335206E-1	-2.962492E-7
-2.315135E-1	-2.924625E-7
-2.295313E-1	-2.886209E-7
-2.275264E-1	-2.848234E-7
-2.255040E-1	-2.809851E-7
-2.235092E-1	-2.772151E-7
-2.215073E-1	-2.734847E-7
-2.195211E-1	-2.697728E-7
-2.175253E-1	-2.660661E-7
-2.155369E-1	-2.623871E-7
-2.135321E-1	-2.587380E-7
-2.114756E-1	-2.549579E-7
-2.094790E-1	-2.513960E-7
-2.074805E-1	-2.477683E-7
-2.054432E-1	-2.440936E-7
-2.034563E-1	-2.405988E-7
-2.014657E-1	-2.370350E-7
-1.994651E-1	-2.334630E-7
-1.974825E-1	-2.299545E-7
-1.954797E-1	-2.265034E-7
-1.934558E-1	-2.229482E-7
-1.914580E-1	-2.195139E-7
-1.894681E-1	-2.160825E-7
-1.874696E-1	-2.126764E-7
-1.854042E-1	-2.092450E-7
-1.834213E-1	-2.058806E-7
-1.814144E-1	-2.024797E-7
-1.794212E-1	-1.991619E-7
-1.774317E-1	-1.958232E-7
-1.753895E-1	-1.925035E-7
-1.734040E-1	-1.892609E-7
-1.714056E-1	-1.860009E-7
-1.694112E-1	-1.827940E-7
-1.674166E-1	-1.795928E-7
-1.654249E-1	-1.764278E-7
-1.634354E-1	-1.732885E-7
-1.613622E-1	-1.700483E-7
-1.593802E-1	-1.669515E-7
-1.573839E-1	-1.638659E-7
-1.553499E-1	-1.607256E-7
-1.533531E-1	-1.576989E-7
-1.513651E-1	-1.546703E-7
-1.493638E-1	-1.516543E-7
-1.473693E-1	-1.487329E-7
-1.453688E-1	-1.457388E-7
-1.433451E-1	-1.427818E-7
-1.413588E-1	-1.399209E-7
-1.393438E-1	-1.370386E-7
-1.373554E-1	-1.341687E-7
-1.352935E-1	-1.312160E-7
-1.333014E-1	-1.284536E-7
-1.312936E-1	-1.256345E-7
-1.293049E-1	-1.228446E-7
-1.273097E-1	-1.201017E-7
-1.253259E-1	-1.174487E-7
-1.232993E-1	-1.147104E-7
-1.212974E-1	-1.120785E-7
-1.193021E-1	-1.094204E-7
-1.172992E-1	-1.068190E-7
-1.153155E-1	-1.042063E-7
-1.133152E-1	-1.016507E-7
-1.112547E-1	-9.901487E-8
-1.092553E-1	-9.653455E-8
-1.072692E-1	-9.406063E-8
-1.052427E-1	-9.153064E-8
-1.032449E-1	-8.913964E-8
-1.012478E-1	-8.674026E-8
-9.925174E-2	-8.434026E-8
-9.725949E-2	-8.200936E-8
-9.526020E-2	-7.966667E-8
-9.323401E-2	-7.736148E-8
-9.123447E-2	-7.508263E-8
-8.925036E-2	-7.288160E-8
-8.725150E-2	-7.064966E-8
-8.519056E-2	-6.837809E-8
-8.319341E-2	-6.628103E-8
-8.119475E-2	-6.410445E-8
-7.919687E-2	-6.200730E-8
-7.720180E-2	-5.995670E-8
-7.521271E-2	-5.790893E-8
-7.319256E-2	-5.581326E-8
-7.119641E-2	-5.388658E-8
-6.920747E-2	-5.187167E-8
-6.719282E-2	-4.996470E-8
-6.520703E-2	-4.804174E-8
-6.320617E-2	-4.618531E-8
-6.115003E-2	-4.425788E-8
-5.915678E-2	-4.246187E-8
-5.716201E-2	-4.065726E-8
-5.514295E-2	-3.887961E-8
-5.313938E-2	-3.715281E-8
-5.115155E-2	-3.542938E-8
-4.914257E-2	-3.375848E-8
-4.716750E-2	-3.210327E-8
-4.516364E-2	-3.048582E-8
-4.312810E-2	-2.883619E-8
-4.112813E-2	-2.725158E-8
-3.913466E-2	-2.574028E-8
-3.714263E-2	-2.421668E-8
-3.508655E-2	-2.263037E-8
-3.308832E-2	-2.120634E-8
