Voltage (V)	Current (A)
9.999678E-1	1.397330E-6
9.959496E-1	1.382865E-6
9.919499E-1	1.368956E-6
9.879687E-1	1.354862E-6
9.838971E-1	1.340686E-6
9.799252E-1	1.326722E-6
9.758854E-1	1.312440E-6
9.719118E-1	1.298550E-6
9.678900E-1	1.284876E-6
9.638952E-1	1.271003E-6
9.598395E-1	1.257291E-6
9.558439E-1	1.243603E-6
9.518740E-1	1.230187E-6
9.478326E-1	1.216888E-6
9.438530E-1	1.203743E-6
9.398580E-1	1.190447E-6
9.358162E-1	1.177186E-6
9.318166E-1	1.164120E-6
9.277913E-1	1.150869E-6
9.238110E-1	1.137772E-6
9.198120E-1	1.124914E-6
9.157875E-1	1.112327E-6
9.117306E-1	1.099532E-6
9.077507E-1	1.086940E-6
9.037526E-1	1.074272E-6
8.997461E-1	1.061666E-6
8.957447E-1	1.049149E-6
8.917695E-1	1.036712E-6
8.877373E-1	1.024586E-6
8.837100E-1	1.012037E-6
8.796893E-1	1.000185E-6
8.757331E-1	9.880262E-7
8.717495E-1	9.766217E-7
8.677320E-1	9.646450E-7
8.637378E-1	9.530178E-7
8.596812E-1	9.408686E-7
8.556929E-1	9.294925E-7
8.516678E-1	9.178541E-7
8.476759E-1	9.061260E-7
8.436927E-1	8.947619E-7
8.396745E-1	8.834482E-7
8.356470E-1	8.721351E-7
8.316205E-1	8.608730E-7
8.276446E-1	8.498912E-7
8.236480E-1	8.392091E-7
8.196316E-1	8.282337E-7
8.156310E-1	8.172148E-7
8.115916E-1	8.066100E-7
8.075905E-1	7.960272E-7
8.035690E-1	7.855031E-7
7.995803E-1	7.750377E-7
7.956001E-1	7.645125E-7
7.915668E-1	7.541300E-7
7.875691E-1	7.440082E-7
7.835241E-1	7.337830E-7
7.795355E-1	7.238544E-7
7.755379E-1	7.140797E-7
7.715164E-1	7.039781E-7
7.675448E-1	6.939720E-7
7.635520E-1	6.843793E-7
7.594762E-1	6.746145E-7
7.554681E-1	6.649950E-7
7.514672E-1	6.558472E-7
7.474837E-1	6.465301E-7
7.434564E-1	6.371649E-7
7.394807E-1	6.277467E-7
7.354275E-1	6.184277E-7
7.314332E-1	6.093793E-7
7.274532E-1	6.005021E-7
7.234293E-1	5.916147E-7
7.194426E-1	5.831652E-7
7.154487E-1	5.744924E-7
7.113879E-1	5.657907E-7
7.073587E-1	5.571946E-7
7.033753E-1	5.488137E-7
6.993821E-1	5.404095E-7
6.953692E-1	5.321709E-7
6.913713E-1	5.240319E-7
6.873816E-1	5.159318E-7
6.833250E-1	5.075945E-7
6.793357E-1	4.996263E-7
6.753086E-1	4.917790E-7
6.713289E-1	4.843623E-7
6.673436E-1	4.766672E-7
6.633187E-1	4.687391E-7
6.592620E-1	4.611556E-7
6.552737E-1	4.537956E-7
6.512800E-1	4.465002E-7
6.472609E-1	4.391363E-7
6.432825E-1	4.320829E-7
6.392887E-1	4.249630E-7
6.352248E-1	4.183101E-7
6.312463E-1	4.112869E-7
6.272134E-1	4.044849E-7
6.232280E-1	3.977979E-7
6.192371E-1	3.911388E-7
6.152192E-1	3.845862E-7
6.111638E-1	3.777492E-7
6.071717E-1	3.713830E-7
6.031879E-1	3.653311E-7
5.991591E-1	3.588049E-7
5.951698E-1	3.526888E-7
5.911832E-1	3.467161E-7
5.871624E-1	3.405810E-7
5.831318E-1	3.346049E-7
5.791123E-1	3.290124E-7
5.751200E-1	3.233035E-7
5.711302E-1	3.176312E-7
5.671196E-1	3.120042E-7
5.631250E-1	3.065866E-7
5.590637E-1	3.010652E-7
5.550922E-1	2.956861E-7
5.510633E-1	2.901687E-7
5.470767E-1	2.852562E-7
5.430893E-1	2.800542E-7
5.390536E-1	2.749767E-7
5.350385E-1	2.698956E-7
5.310238E-1	2.650246E-7
5.270330E-1	2.605476E-7
5.230345E-1	2.558700E-7
5.190191E-1	2.511943E-7
5.150269E-1	2.466048E-7
5.109661E-1	2.420963E-7
5.069786E-1	2.376299E-7
5.029669E-1	2.332323E-7
4.989737E-1	2.287270E-7
4.949780E-1	2.247841E-7
4.909556E-1	2.205910E-7
4.869684E-1	2.162486E-7
4.829161E-1	2.122571E-7
4.789205E-1	2.083073E-7
4.749314E-1	2.044366E-7
4.709161E-1	2.007853E-7
4.669283E-1	1.970524E-7
4.629290E-1	1.933522E-7
4.588795E-1	1.896669E-7
4.548542E-1	1.860257E-7
4.508792E-1	1.825700E-7
4.468869E-1	1.788537E-7
4.428563E-1	1.755075E-7
4.388750E-1	1.721711E-7
4.348081E-1	1.688725E-7
4.308273E-1	1.658853E-7
4.268333E-1	1.626899E-7
4.228207E-1	1.595654E-7
4.188295E-1	1.565136E-7
