Voltage (V)	Current (A)
-1.000080E+0	-2.158079E-6
-9.960954E-1	-2.139981E-6
-9.920591E-1	-2.121758E-6
-9.880732E-1	-2.103775E-6
-9.840153E-1	-2.086055E-6
-9.800246E-1	-2.068174E-6
-9.760346E-1	-2.050101E-6
-9.720163E-1	-2.032338E-6
-9.680238E-1	-2.014938E-6
-9.640399E-1	-1.997722E-6
-9.599702E-1	-1.979389E-6
-9.559871E-1	-1.962091E-6
-9.519655E-1	-1.944693E-6
-9.479706E-1	-1.927321E-6
-9.439908E-1	-1.910245E-6
-9.399668E-1	-1.893096E-6
-9.359363E-1	-1.875432E-6
-9.319203E-1	-1.858372E-6
-9.279364E-1	-1.840928E-6
-9.239365E-1	-1.824177E-6
-9.199187E-1	-1.807277E-6
-5.724579E-2	-1.790174E-6
-9.118778E-1	-1.772931E-6
-9.078879E-1	-1.756226E-6
-9.038702E-1	-1.739471E-6
-8.998780E-1	-1.723201E-6
-8.958894E-1	-1.706286E-6
-8.918678E-1	-1.689800E-6
-8.878654E-1	-1.673085E-6
-8.838245E-1	-1.656899E-6
-8.798301E-1	-1.640424E-6
-8.758314E-1	-1.624551E-6
-8.718149E-1	-1.607803E-6
-8.678324E-1	-1.591541E-6
-8.638411E-1	-1.575657E-6
-8.597801E-1	-1.559515E-6
-8.557859E-1	-1.543786E-6
-8.517782E-1	-1.527816E-6
-8.477742E-1	-1.511936E-6
-8.437806E-1	-1.496166E-6
-8.397674E-1	-1.480388E-6
-8.357468E-1	-1.464953E-6
-8.317249E-1	-1.449196E-6
-8.277216E-1	-1.433822E-6
-8.237368E-1	-1.418348E-6
-8.197201E-1	-1.403212E-6
-8.157193E-1	-1.387955E-6
-8.116666E-1	-1.372478E-6
-8.076817E-1	-1.357596E-6
-8.036739E-1	-1.342530E-6
-7.996807E-1	-1.327744E-6
-7.956822E-1	-1.312888E-6
-7.917055E-1	-1.298157E-6
-7.876679E-1	-1.283229E-6
-7.836034E-1	-1.268535E-6
-7.796192E-1	-1.253968E-6
-7.756412E-1	-1.239524E-6
-7.716144E-1	-1.225034E-6
-7.676249E-1	-1.210515E-6
-7.636364E-1	-1.196525E-6
-7.595732E-1	-1.182120E-6
-7.555918E-1	-1.168003E-6
-7.515735E-1	-1.154015E-6
-7.475797E-1	-1.140019E-6
-7.435845E-1	-1.126319E-6
-7.395644E-1	-1.112475E-6
-7.355452E-1	-1.098806E-6
-7.315159E-1	-1.085293E-6
-7.275299E-1	-1.071720E-6
-7.235359E-1	-1.058148E-6
-7.195298E-1	-1.044819E-6
-7.155250E-1	-1.031576E-6
-7.114792E-1	-1.018565E-6
-7.074763E-1	-1.005352E-6
-7.035385E-1	-9.923220E-7
-6.995056E-1	-9.794477E-7
-6.955179E-1	-9.666352E-7
-6.915193E-1	-9.540007E-7
-6.875073E-1	-9.413283E-7
-6.834431E-1	-9.285610E-7
-6.794618E-1	-9.160836E-7
-6.754667E-1	-9.037614E-7
-6.714419E-1	-8.914708E-7
-6.674527E-1	-8.794545E-7
-6.634721E-1	-8.674339E-7
-6.594207E-1	-8.553341E-7
-6.554205E-1	-8.433972E-7
-6.513978E-1	-8.314370E-7
-6.474065E-1	-8.198259E-7
-6.434135E-1	-8.080325E-7
-6.394017E-1	-7.970388E-7
-6.353759E-1	-7.854747E-7
-6.313423E-1	-7.737768E-7
-6.273487E-1	-7.624880E-7
-6.233682E-1	-7.514138E-7
-6.193421E-1	-7.403806E-7
-6.153468E-1	-7.293617E-7
-6.112983E-1	-7.183172E-7
-6.073073E-1	-7.076380E-7
-6.033177E-1	-6.969762E-7
-5.992938E-1	-6.863256E-7
-5.953012E-1	-6.759359E-7
-5.913193E-1	-6.654845E-7
-5.873041E-1	-6.551325E-7
-5.832361E-1	-6.447523E-7
-5.792433E-1	-6.346572E-7
-5.752659E-1	-6.247402E-7
-5.712406E-1	-6.147896E-7
-5.672426E-1	-6.049284E-7
-5.632552E-1	-5.953406E-7
-5.591888E-1	-5.854877E-7
-5.551985E-1	-5.759644E-7
-5.511910E-1	-5.664714E-7
-5.471907E-1	-5.571821E-7
-5.431915E-1	-5.480274E-7
-5.391794E-1	-5.387723E-7
-5.351571E-1	-5.296260E-7
-5.311426E-1	-5.206858E-7
-5.271357E-1	-5.118279E-7
-5.231634E-1	-5.030806E-7
-5.191223E-1	-4.943133E-7
-5.151429E-1	-4.858478E-7
-5.110953E-1	-4.772761E-7
-5.070970E-1	-4.689493E-7
-5.031123E-1	-4.607330E-7
-4.990782E-1	-4.524030E-7
-4.951033E-1	-4.443820E-7
-4.910992E-1	-4.363640E-7
-4.870818E-1	-4.283892E-7
-4.830298E-1	-4.204822E-7
-4.790318E-1	-4.128167E-7
-4.750459E-1	-4.052364E-7
-4.710619E-1	-3.976880E-7
-4.670237E-1	-3.901863E-7
-4.630480E-1	-3.828881E-7
-4.589821E-1	-3.755110E-7
-4.549986E-1	-3.684237E-7
-4.509741E-1	-3.612665E-7
-4.469842E-1	-3.543145E-7
-4.429935E-1	-3.474210E-7
-4.389753E-1	-3.406393E-7
-4.349450E-1	-3.338178E-7
-4.309196E-1	-3.271233E-7
-4.269356E-1	-3.206676E-7
-4.229437E-1	-3.142167E-7
-4.189261E-1	-3.077965E-7
-4.149201E-1	-3.015523E-7
-4.108706E-1	-2.952771E-7
-4.068827E-1	-2.891887E-7
-4.028890E-1	-2.832101E-7
-3.988790E-1	-2.771822E-7
-3.948759E-1	-2.713816E-7
-3.908952E-1	-2.656854E-7
-3.868587E-1	-2.598880E-7
-3.828222E-1	-2.542673E-7
-3.788201E-1	-2.487453E-7
-3.748300E-1	-2.433366E-7
-3.708367E-1	-2.379834E-7
-3.668125E-1	-2.327013E-7
-3.628275E-1	-2.274969E-7
-3.587695E-1	-2.222822E-7
-3.547790E-1	-2.172634E-7
-3.507552E-1	-2.122221E-7
-3.467723E-1	-2.073707E-7
-3.427755E-1	-2.025793E-7
-3.387535E-1	-1.978440E-7
-3.347454E-1	-1.931234E-7
-3.307106E-1	-1.885124E-7
-3.267153E-1	-1.839969E-7
-3.227313E-1	-1.796022E-7
-3.187104E-1	-1.751421E-7
-3.147184E-1	-1.708790E-7
-3.106603E-1	-1.665704E-7
-3.066730E-1	-1.624256E-7
-3.026713E-1	-1.584009E-7
-2.986571E-1	-1.542904E-7
-2.946751E-1	-1.504000E-7
-2.906783E-1	-1.464714E-7
-2.866551E-1	-1.426010E-7
-2.826414E-1	-1.388174E-7
-2.786221E-1	-1.351052E-7
-2.746176E-1	-1.314688E-7
-2.706201E-1	-1.278687E-7
-2.665997E-1	-1.243810E-7
-2.626175E-1	-1.208938E-7
-2.585671E-1	-1.174410E-7
-2.545801E-1	-1.140830E-7
-2.505573E-1	-1.108242E-7
-2.465553E-1	-1.075763E-7
-2.425709E-1	-1.044333E-7
-2.385783E-1	-1.013609E-7
-2.345168E-1	-9.821654E-8
-2.304956E-1	-9.522684E-8
-2.265101E-1	-9.228425E-8
-2.225215E-1	-8.946675E-8
-2.184989E-1	-8.655712E-8
-2.145098E-1	-8.378238E-8
-2.104585E-1	-8.109534E-8
-2.064567E-1	-7.837422E-8
-2.024684E-1	-7.577803E-8
-1.984401E-1	-7.316877E-8
-1.944476E-1	-7.064790E-8
-1.904693E-1	-6.814512E-8
-1.864032E-1	-6.569265E-8
-1.824240E-1	-6.324877E-8
-1.784101E-1	-6.089654E-8
-1.744036E-1	-5.868076E-8
-1.704231E-1	-5.641834E-8
-1.663969E-1	-5.417887E-8
-1.623915E-1	-5.204843E-8
-1.583419E-1	-4.992638E-8
-1.543575E-1	-4.783559E-8
-1.503324E-1	-4.586730E-8
-1.463439E-1	-4.391836E-8
-1.423610E-1	-4.199626E-8
-1.383708E-1	-4.010423E-8
-1.343058E-1	-3.830460E-8
-1.302821E-1	-3.646448E-8
-1.262887E-1	-3.475170E-8
-1.223178E-1	-3.308853E-8
-1.182865E-1	-3.138196E-8
-1.142922E-1	-2.978238E-8
-1.102427E-1	-2.821070E-8
-1.062583E-1	-2.669523E-8
-1.022608E-1	-2.517781E-8
-9.822871E-2	-2.377760E-8
-9.424041E-2	-2.233633E-8
-9.025119E-2	-2.100629E-8
-8.620205E-2	-1.969875E-8
-8.221111E-2	-1.845440E-8
-7.818647E-2	-1.719194E-8
-7.419746E-2	-1.599277E-8
-7.020620E-2	-1.487088E-8
-6.617542E-2	-1.371253E-8
-6.218486E-2	-1.265049E-8
-5.813736E-2	-1.161850E-8
-5.415047E-2	-1.059043E-8
-5.014864E-2	-9.629177E-9
-4.613302E-2	-8.677975E-9
-4.215210E-2	-7.773165E-9
-3.816111E-2	-6.915048E-9
-3.409544E-2	-6.077381E-9
-3.007130E-2	-5.238528E-9
-2.608560E-2	-4.427557E-9
-2.209174E-2	-3.674909E-9
-1.806505E-2	-2.899142E-9
-1.407393E-2	-2.145402E-9
-1.001778E-2	-1.434828E-9
-6.026119E-3	-6.595546E-10
-2.055859E-3	2.682505E-11
1.967121E-3	7.652660E-10
5.954728E-3	1.409899E-9
9.942515E-3	2.170759E-9
1.400446E-2	2.880583E-9
1.803469E-2	3.627364E-9
2.202063E-2	4.409634E-9
2.600356E-2	5.176943E-9
3.001492E-2	5.948020E-9
3.401935E-2	6.814389E-9
3.800610E-2	7.663729E-9
4.205472E-2	8.557213E-9
4.605531E-2	9.509155E-9
5.006780E-2	1.048963E-8
5.405906E-2	1.149154E-8
5.805547E-2	1.255724E-8
6.207602E-2	1.364587E-8
6.612739E-2	1.477317E-8
7.012699E-2	1.597886E-8
7.410009E-2	1.714369E-8
7.812482E-2	1.836039E-8
8.211200E-2	1.967289E-8
8.610865E-2	2.097308E-8
9.016591E-2	2.237498E-8
9.414374E-2	2.383197E-8
9.817251E-2	2.529173E-8
1.021701E-1	2.675509E-8
1.061437E-1	2.826796E-8
1.101667E-1	2.985738E-8
1.142347E-1	3.153015E-8
1.182126E-1	3.325157E-8
1.222152E-1	3.494740E-8
1.262328E-1	3.670423E-8
1.302219E-1	3.845872E-8
1.342127E-1	4.035325E-8
1.382356E-1	4.223878E-8
1.422472E-1	4.408998E-8
1.462830E-1	4.610282E-8
1.502616E-1	4.810540E-8
1.542584E-1	5.016859E-8
1.582818E-1	5.224139E-8
1.622556E-1	5.439866E-8
1.663220E-1	5.659622E-8
1.703091E-1	5.887478E-8
1.743412E-1	6.114362E-8
1.783304E-1	6.345121E-8
1.823155E-1	6.574863E-8
1.863239E-1	6.824084E-8
1.903650E-1	7.065400E-8
1.943776E-1	7.317897E-8
1.983714E-1	7.569941E-8
2.023522E-1	7.826658E-8
2.063759E-1	8.086394E-8
2.103782E-1	8.353018E-8
2.144255E-1	8.637472E-8
2.184165E-1	8.909129E-8
2.224342E-1	9.195267E-8
2.264257E-1	9.480947E-8
2.304196E-1	9.770185E-8
2.344385E-1	1.006430E-7
2.384164E-1	1.037328E-7
2.424875E-1	1.068368E-7
2.464655E-1	1.098489E-7
2.504654E-1	1.129866E-7
2.544831E-1	1.161998E-7
2.584673E-1	1.194686E-7
2.624711E-1	1.228112E-7
2.665117E-1	1.261708E-7
2.705352E-1	1.296676E-7
2.745271E-1	1.330596E-7
2.785200E-1	1.365835E-7
2.825382E-1	1.401823E-7
2.865180E-1	1.437952E-7
2.905873E-1	1.475244E-7
2.945717E-1	1.512752E-7
2.985539E-1	1.551015E-7
3.025941E-1	1.589016E-7
3.065788E-1	1.627780E-7
3.105515E-1	1.667180E-7
3.146189E-1	1.708090E-7
3.186375E-1	1.749692E-7
3.226247E-1	1.792218E-7
3.266260E-1	1.833909E-7
3.306288E-1	1.876526E-7
3.346312E-1	1.920033E-7
3.386762E-1	1.964488E-7
3.426755E-1	2.008174E-7
3.466554E-1	2.054199E-7
3.506818E-1	2.099917E-7
3.546849E-1	2.146699E-7
3.586577E-1	2.193589E-7
3.626722E-1	2.241628E-7
3.667407E-1	2.291107E-7
3.707334E-1	2.340166E-7
3.747160E-1	2.391505E-7
3.787425E-1	2.441606E-7
3.827386E-1	2.493649E-7
3.867106E-1	2.544232E-7
3.907640E-1	2.598009E-7
3.947692E-1	2.650782E-7
3.987814E-1	2.704388E-7
4.027810E-1	2.759233E-7
4.067662E-1	2.814771E-7
4.107762E-1	2.872059E-7
4.148512E-1	2.928597E-7
4.188299E-1	2.987609E-7
4.228125E-1	3.045072E-7
4.268364E-1	3.105537E-7
4.308256E-1	3.165314E-7
4.348252E-1	3.225530E-7
4.388670E-1	3.287805E-7
4.428670E-1	3.350270E-7
4.468844E-1	3.413164E-7
4.508709E-1	3.477362E-7
4.548685E-1	3.541429E-7
4.588841E-1	3.607006E-7
4.628913E-1	3.672764E-7
4.669147E-1	3.740880E-7
4.709192E-1	3.808790E-7
4.749468E-1	3.877347E-7
4.789426E-1	3.945838E-7
4.829175E-1	4.015649E-7
4.869464E-1	4.087090E-7
4.909562E-1	4.160040E-7
4.949934E-1	4.232442E-7
4.989814E-1	4.304402E-7
5.029727E-1	4.378500E-7
5.069800E-1	4.455657E-7
5.109720E-1	4.528888E-7
5.150462E-1	4.607394E-7
5.190232E-1	4.684285E-7
5.230383E-1	4.763835E-7
5.270357E-1	4.842109E-7
5.310247E-1	4.920840E-7
5.350433E-1	5.001952E-7
5.390694E-1	5.083104E-7
5.430827E-1	5.166531E-7
5.470818E-1	5.250188E-7
5.510629E-1	5.333743E-7
5.550860E-1	5.418567E-7
5.590872E-1	5.502875E-7
5.630679E-1	5.588243E-7
5.671315E-1	5.677584E-7
5.711527E-1	5.766070E-7
5.751388E-1	5.854018E-7
5.791249E-1	5.943481E-7
5.831372E-1	6.033715E-7
5.871358E-1	6.124876E-7
5.911928E-1	6.217222E-7
5.951891E-1	6.309336E-7
5.991757E-1	6.402651E-7
6.031851E-1	6.497806E-7
6.071753E-1	6.593198E-7
6.111676E-1	6.688642E-7
6.152364E-1	6.787512E-7
6.192518E-1	6.885312E-7
6.232457E-1	6.984034E-7
6.272268E-1	7.083397E-7
6.312478E-1	7.184468E-7
6.352332E-1	7.285016E-7
6.392822E-1	7.387042E-7
6.432900E-1	7.489704E-7
6.472639E-1	7.591780E-7
6.513028E-1	7.697606E-7
6.552837E-1	7.802420E-7
6.592733E-1	7.907132E-7
6.633026E-1	8.014622E-7
6.673644E-1	8.124032E-7
6.713340E-1	8.231860E-7
6.753337E-1	8.340441E-7
6.793554E-1	8.450407E-7
6.833419E-1	8.560881E-7
6.873373E-1	8.673027E-7
6.913863E-1	8.786944E-7
6.953822E-1	8.899536E-7
6.994062E-1	9.014487E-7
7.033817E-1	9.127252E-7
7.073861E-1	9.242448E-7
7.113988E-1	9.359900E-7
7.154512E-1	9.478983E-7
7.194521E-1	9.596113E-7
7.234359E-1	9.714383E-7
7.274612E-1	9.834599E-7
7.314510E-1	9.954563E-7
7.354441E-1	1.007600E-6
7.394857E-1	1.019898E-6
7.432162E-1	1.031562E-6
7.458211E-1	1.039672E-6
7.514509E-1	1.056772E-6
7.554461E-1	1.069248E-6
7.594610E-1	1.081931E-6
7.634603E-1	1.094603E-6
7.675108E-1	1.107482E-6
7.714998E-1	1.120289E-6
7.755234E-1	1.133151E-6
7.795145E-1	1.146232E-6
7.834983E-1	1.159194E-6
7.875208E-1	1.172308E-6
7.915502E-1	1.185545E-6
7.955585E-1	1.198804E-6
7.995435E-1	1.212239E-6
8.035346E-1	1.225585E-6
8.075540E-1	1.239251E-6
8.115546E-1	1.252915E-6
8.156217E-1	1.266872E-6
8.195922E-1	1.280500E-6
8.236194E-1	1.294225E-6
8.275995E-1	1.308129E-6
8.316060E-1	1.322204E-6
8.356301E-1	1.336331E-6
8.396422E-1	1.350864E-6
8.436698E-1	1.364875E-6
8.474084E-1	1.379233E-6
8.516449E-1	1.393449E-6
8.556790E-1	1.407717E-6
8.596618E-1	1.421924E-6
8.636331E-1	1.436687E-6
8.676962E-1	1.451561E-6
8.717213E-1	1.466522E-6
8.757110E-1	1.481286E-6
8.797110E-1	1.496194E-6
8.837292E-1	1.511074E-6
8.877136E-1	1.526243E-6
8.917497E-1	1.541093E-6
8.957564E-1	1.556285E-6
8.997266E-1	1.571291E-6
9.037651E-1	1.586933E-6
9.077735E-1	1.602253E-6
9.117450E-1	1.617766E-6
9.157702E-1	1.633073E-6
9.198115E-1	1.648953E-6
9.238167E-1	1.664676E-6
9.277645E-1	1.680250E-6
9.318298E-1	1.696181E-6
9.358093E-1	1.711937E-6
9.398817E-1	1.728021E-6
9.438691E-1	1.744047E-6
9.478354E-1	1.760038E-6
9.518508E-1	1.775615E-6
9.558467E-1	1.791858E-6
9.598380E-1	1.808412E-6
9.638680E-1	1.824680E-6
9.678878E-1	1.841210E-6
9.719082E-1	1.857512E-6
9.758998E-1	1.873985E-6
9.799138E-1	1.890353E-6
9.839004E-1	1.907007E-6
9.878924E-1	1.923805E-6
9.919487E-1	1.940714E-6
9.959360E-1	1.957790E-6
9.999704E-1	1.974703E-6
