Voltage (V)	Current (A)
9.999721E-1	1.678831E-6
9.959459E-1	1.662862E-6
9.919480E-1	1.647151E-6
9.879618E-1	1.631644E-6
9.839104E-1	1.615793E-6
9.799315E-1	1.600144E-6
9.758950E-1	1.584593E-6
9.719115E-1	1.569405E-6
9.678880E-1	1.553877E-6
9.638920E-1	1.538736E-6
9.598361E-1	1.523303E-6
9.558519E-1	1.508123E-6
9.518616E-1	1.493235E-6
9.478460E-1	1.478136E-6
9.438584E-1	1.463268E-6
9.398609E-1	1.448514E-6
9.358081E-1	1.433413E-6
9.318150E-1	1.418932E-6
9.277933E-1	1.404343E-6
9.238130E-1	1.389677E-6
9.198219E-1	1.375445E-6
9.157988E-1	1.360909E-6
9.117408E-1	1.346272E-6
9.077528E-1	1.332140E-6
9.037696E-1	1.318018E-6
8.997386E-1	1.303760E-6
8.957520E-1	1.289901E-6
8.917701E-1	1.275940E-6
8.877447E-1	1.262142E-6
8.837290E-1	1.248128E-6
8.797089E-1	1.234470E-6
8.757188E-1	1.220905E-6
8.717191E-1	1.207290E-6
8.677028E-1	1.193822E-6
8.637141E-1	1.180472E-6
8.596649E-1	1.166976E-6
8.556734E-1	1.153847E-6
8.516385E-1	1.140589E-6
8.474069E-1	1.127590E-6
8.436653E-1	1.114665E-6
8.396468E-1	1.101629E-6
8.356261E-1	1.088644E-6
8.316044E-1	1.075980E-6
8.276041E-1	1.063353E-6
8.236212E-1	1.050875E-6
8.196077E-1	1.038238E-6
8.156166E-1	1.025858E-6
8.115554E-1	1.013390E-6
8.075700E-1	1.000972E-6
8.035788E-1	9.888108E-7
7.995859E-1	9.768963E-7
7.956038E-1	9.649661E-7
7.915881E-1	9.530449E-7
7.875890E-1	9.412410E-7
7.835370E-1	9.292692E-7
7.795554E-1	9.176420E-7
7.755575E-1	9.061658E-7
7.715333E-1	8.945141E-7
7.675441E-1	8.831817E-7
7.635525E-1	8.718490E-7
7.594966E-1	8.605551E-7
7.554710E-1	8.493461E-7
7.514839E-1	8.383836E-7
7.474970E-1	8.272683E-7
7.434718E-1	8.163947E-7
7.394876E-1	8.055787E-7
7.354404E-1	7.947169E-7
7.314456E-1	7.841614E-7
7.274640E-1	7.735377E-7
7.234269E-1	7.630632E-7
7.194414E-1	7.527481E-7
7.154510E-1	7.423999E-7
7.114003E-1	7.320136E-7
7.073723E-1	7.218773E-7
7.033833E-1	7.118041E-7
6.993961E-1	7.018900E-7
6.953799E-1	6.920021E-7
6.913817E-1	6.822442E-7
6.873853E-1	6.726037E-7
6.833355E-1	6.628720E-7
6.793471E-1	6.534295E-7
6.753216E-1	6.439487E-7
6.713442E-1	6.345751E-7
6.673504E-1	6.255090E-7
6.633243E-1	6.161952E-7
6.592695E-1	6.070376E-7
6.552814E-1	5.979263E-7
6.512890E-1	5.890900E-7
6.472726E-1	5.802203E-7
6.432894E-1	5.714710E-7
6.392996E-1	5.627448E-7
6.352246E-1	5.541046E-7
6.312450E-1	5.456741E-7
6.272226E-1	5.370787E-7
6.232399E-1	5.288636E-7
6.192434E-1	5.206624E-7
6.152217E-1	5.123784E-7
6.111608E-1	5.042218E-7
6.071709E-1	4.962806E-7
6.031865E-1	4.884369E-7
5.991651E-1	4.806697E-7
5.951747E-1	4.729617E-7
5.911931E-1	4.654767E-7
5.871653E-1	4.577993E-7
5.831428E-1	4.503457E-7
5.791190E-1	4.427565E-7
5.751330E-1	4.353143E-7
5.711436E-1	4.284179E-7
5.671208E-1	4.212145E-7
5.631247E-1	4.142205E-7
5.590729E-1	4.072265E-7
5.550860E-1	4.002836E-7
5.510693E-1	3.934521E-7
5.470763E-1	3.867306E-7
5.430812E-1	3.801362E-7
5.390642E-1	3.735651E-7
5.350352E-1	3.670960E-7
5.310198E-1	3.606544E-7
5.270288E-1	3.543962E-7
5.230440E-1	3.482215E-7
5.190229E-1	3.420980E-7
5.150307E-1	3.360109E-7
5.109761E-1	3.300138E-7
5.069941E-1	3.241652E-7
5.029641E-1	3.181807E-7
4.989799E-1	3.124837E-7
4.949873E-1	3.069334E-7
4.909581E-1	3.012924E-7
4.869770E-1	2.958188E-7
4.829137E-1	2.903032E-7
4.789256E-1	2.849294E-7
4.749416E-1	2.796245E-7
4.709152E-1	2.745087E-7
4.669257E-1	2.693847E-7
4.629369E-1	2.643119E-7
4.588872E-1	2.592865E-7
4.548629E-1	2.543599E-7
4.508786E-1	2.495320E-7
4.468852E-1	2.448243E-7
4.428677E-1	2.401188E-7
4.388767E-1	2.355442E-7
4.348202E-1	2.310006E-7
4.308280E-1	2.264941E-7
4.268503E-1	2.220135E-7
4.228159E-1	2.177821E-7
4.188205E-1	2.134470E-7
4.148399E-1	2.092907E-7
4.107724E-1	2.049657E-7
4.067502E-1	2.008801E-7
4.027673E-1	1.969622E-7
3.987899E-1	1.929344E-7
3.947586E-1	1.890753E-7
3.907726E-1	1.852038E-7
3.867883E-1	1.814874E-7
3.827248E-1	1.778052E-7
3.787304E-1	1.741731E-7
3.747252E-1	1.705429E-7
3.707336E-1	1.670645E-7
3.667345E-1	1.635326E-7
3.627068E-1	1.599975E-7
3.586577E-1	1.565525E-7
3.546744E-1	1.532453E-7
3.506746E-1	1.499571E-7
3.466606E-1	1.464980E-7
3.426661E-1	1.434244E-7
3.386717E-1	1.403005E-7
3.346322E-1	1.371636E-7
3.306358E-1	1.340966E-7
3.266144E-1	1.310515E-7
3.226261E-1	1.280536E-7
3.186373E-1	1.252334E-7
3.146145E-1	1.224302E-7
3.105513E-1	1.194271E-7
3.065679E-1	1.166668E-7
3.025826E-1	1.139381E-7
2.985593E-1	1.111666E-7
2.945724E-1	1.085221E-7
2.905746E-1	1.059629E-7
2.865573E-1	1.032907E-7
2.825325E-1	1.006363E-7
2.785062E-1	9.809516E-8
2.745191E-1	9.558924E-8
2.705252E-1	9.316071E-8
2.665187E-1	9.076176E-8
2.625207E-1	8.838385E-8
2.584663E-1	8.599586E-8
2.544742E-1	8.369374E-8
2.504503E-1	8.144886E-8
2.464707E-1	7.923070E-8
2.424838E-1	7.701642E-8
2.384629E-1	7.484458E-8
2.344324E-1	7.267130E-8
2.304091E-1	7.050294E-8
2.264218E-1	6.841594E-8
2.224360E-1	6.634196E-8
2.184158E-1	6.438115E-8
2.144144E-1	6.243767E-8
2.103676E-1	6.052066E-8
2.063832E-1	5.862607E-8
2.023492E-1	5.670971E-8
1.983568E-1	5.486870E-8
1.943745E-1	5.302832E-8
1.903582E-1	5.114810E-8
1.863303E-1	4.935557E-8
1.823217E-1	4.756603E-8
1.783243E-1	4.595217E-8
1.743338E-1	4.426657E-8
1.703153E-1	4.255625E-8
1.663234E-1	4.101595E-8
1.623366E-1	3.944205E-8
1.582810E-1	3.783530E-8
1.542572E-1	3.633409E-8
1.502661E-1	3.495637E-8
1.462744E-1	3.348481E-8
1.422535E-1	3.197148E-8
1.382612E-1	3.058344E-8
1.342047E-1	2.919964E-8
1.302176E-1	2.785828E-8
1.262289E-1	2.654890E-8
1.222164E-1	2.527121E-8
1.182263E-1	2.404426E-8
1.142355E-1	2.283834E-8
1.101764E-1	2.163480E-8
1.061582E-1	2.048053E-8
1.021701E-1	1.935535E-8
9.818382E-2	1.826644E-8
9.414169E-2	1.717991E-8
9.016208E-2	1.614610E-8
8.610576E-2	1.513519E-8
8.212116E-2	1.411923E-8
7.813867E-2	1.320323E-8
7.409784E-2	1.227134E-8
7.012461E-2	1.142213E-8
6.613234E-2	1.058204E-8
6.210928E-2	9.727574E-9
5.805293E-2	8.944188E-9
5.405962E-2	8.175620E-9
5.007416E-2	7.492940E-9
4.605241E-2	6.739668E-9
4.206035E-2	6.091388E-9
3.806902E-2	5.463854E-9
3.401301E-2	4.821441E-9
3.002796E-2	4.213422E-9
2.600405E-2	3.661469E-9
2.201618E-2	3.099498E-9
1.803360E-2	2.565222E-9
1.401342E-2	2.062496E-9
9.947434E-3	1.503958E-9
5.951874E-3	1.012543E-9
1.972816E-3	5.299291E-10
-2.042211E-3	-1.155293E-11
-6.033804E-3	-4.828418E-10
-1.002489E-2	-9.664189E-10
-1.407761E-2	-1.485993E-9
-1.806803E-2	-1.996264E-9
-2.209278E-2	-2.542740E-9
-2.608311E-2	-3.055608E-9
-3.007390E-2	-3.594294E-9
-3.410367E-2	-4.137249E-9
-3.808839E-2	-4.710544E-9
-4.214179E-2	-5.299670E-9
-4.613473E-2	-5.907422E-9
-5.015255E-2	-6.534933E-9
-5.413456E-2	-7.134676E-9
-5.814269E-2	-7.793451E-9
-6.210835E-2	-8.465267E-9
-6.617449E-2	-9.138938E-9
-7.020205E-2	-9.865252E-9
-7.419586E-2	-1.061824E-8
-7.818095E-2	-1.133966E-8
-8.220554E-2	-1.215524E-8
-8.619352E-2	-1.293062E-8
-9.025690E-2	-1.376560E-8
-9.423338E-2	-1.461480E-8
-9.823005E-2	-1.548470E-8
-1.022530E-1	-1.639078E-8
-1.062426E-1	-1.732096E-8
-1.102270E-1	-1.828266E-8
-1.142949E-1	-1.925343E-8
-1.182880E-1	-2.023469E-8
-1.223078E-1	-2.122423E-8
-1.262905E-1	-2.227779E-8
-1.302821E-1	-2.338448E-8
-1.343017E-1	-2.445080E-8
-1.382906E-1	-2.561243E-8
-1.423503E-1	-2.677579E-8
-1.463451E-1	-2.793508E-8
-1.503283E-1	-2.915629E-8
-1.543624E-1	-3.037525E-8
-1.583466E-1	-3.165599E-8
-1.623373E-1	-3.291309E-8
-1.663943E-1	-3.426229E-8
-1.704260E-1	-3.558869E-8
-1.744139E-1	-3.700213E-8
-1.783908E-1	-3.838216E-8
-1.824236E-1	-3.985121E-8
-1.864015E-1	-4.121567E-8
-1.904683E-1	-4.273290E-8
-1.944536E-1	-4.427573E-8
-1.984434E-1	-4.578221E-8
-2.024677E-1	-4.734175E-8
-2.064513E-1	-4.895525E-8
-2.104475E-1	-5.058608E-8
-2.145050E-1	-5.228077E-8
-2.184924E-1	-5.398548E-8
