! Date:	06-Nov-25
!Time:	02:11
! User Name:	Aditya Kumar
! Sample Name:	Gr-CrSBr-Gr
! Sample ID:	SHCBS2
! Current Source:	Keithley 2400
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Tcryo (K)	Tsample (K)	Hx (T)	Hy (T)	Hz (T)	|H|	phi	theta	L1_Ch1	L1_Ch2	L2_Ch1	L2_Ch2	L3_Ch1	L3_Ch2	L4_Ch1	L4_Ch2	L5_ Ch1	L5_Ch2
06-Nov-25	02:16:21	19.9994	0.0000	-0.000010	3.428580	0.000000	3.428580	84.0000	90.0000	1.999514E-1	7.157730E-7	7.251100E-9	1.150270E-11	-2.000266E-1	7.548042E-7	-6.115279E-9	2.352980E-11	2.992419E+7	2.624618E-3	
06-Nov-25	02:18:07	19.9988	0.0000	-0.000000	3.428580	0.000000	3.428580	84.0000	90.0000	1.999515E-1	7.076232E-7	7.268319E-9	1.556835E-11	-2.000251E-1	6.144376E-7	-6.125903E-9	1.683442E-11	2.986188E+7	2.422466E-3	
06-Nov-25	02:20:02	20.0000	0.0000	-0.000010	3.200030	0.000000	3.200030	84.0000	90.0000	1.999509E-1	7.638174E-7	7.282368E-9	1.276952E-11	-2.000270E-1	6.299891E-7	-6.159420E-9	1.465262E-11	2.975630E+7	2.043551E-3	
06-Nov-25	02:21:56	19.9990	0.0000	-0.000010	2.971540	0.000000	2.971540	84.0000	90.0000	1.999507E-1	8.221845E-7	7.285793E-9	1.437079E-11	-2.000262E-1	6.769879E-7	-6.161778E-9	1.419185E-11	2.974343E+7	2.127748E-3	
06-Nov-25	02:23:50	20.0011	0.0000	-0.000010	2.742940	0.000000	2.742940	84.0000	90.0000	1.999515E-1	7.790163E-7	7.295422E-9	1.525636E-11	-2.000257E-1	6.219172E-7	-6.124829E-9	1.706439E-11	2.980400E+7	2.411860E-3	
06-Nov-25	02:25:45	20.0001	0.0000	-0.000000	2.514410	0.000000	2.514410	84.0000	90.0000	1.999510E-1	7.417666E-7	7.289750E-9	1.210831E-11	-2.000267E-1	6.508283E-7	-6.020725E-9	9.829874E-12	3.004985E+7	1.651671E-3	
06-Nov-25	02:27:39	19.9999	0.0000	-0.000010	2.285820	0.000000	2.285820	84.0000	90.0000	1.999516E-1	1.027859E-6	7.200605E-9	1.769416E-11	-2.000255E-1	8.462561E-7	-5.609779E-9	1.203865E-11	3.122288E+7	2.325679E-3	
06-Nov-25	02:29:33	19.9992	0.0000	-0.000010	2.057230	0.000000	2.057230	84.0000	90.0000	1.999504E-1	7.673582E-7	6.786407E-9	1.574072E-11	-2.000269E-1	5.247783E-7	-5.004408E-9	1.060889E-11	3.392279E+7	2.237988E-3	
06-Nov-25	02:31:27	19.9997	0.0000	-0.000010	1.828600	0.000000	1.828600	84.0000	90.0000	1.999519E-1	9.204701E-7	5.906796E-9	1.439073E-11	-2.000251E-1	6.604723E-7	-4.593190E-9	1.140356E-11	3.809309E+7	2.460555E-3	
06-Nov-25	02:33:22	20.0003	0.0000	-0.000010	1.599980	0.000000	1.599980	84.0000	90.0000	1.999513E-1	7.109702E-7	4.784663E-9	7.374304E-12	-2.000266E-1	8.528773E-7	-4.334558E-9	8.384403E-12	4.386097E+7	1.731986E-3	
06-Nov-25	02:35:16	20.0001	0.0000	-0.000010	1.371530	0.000000	1.371530	84.0000	90.0000	1.999516E-1	6.928148E-7	4.034948E-9	9.100780E-12	-2.000249E-1	6.563912E-7	-4.154054E-9	9.982982E-12	4.884312E+7	2.333787E-3	
06-Nov-25	02:37:10	19.9997	0.0000	-0.000010	1.142960	0.000000	1.142960	84.0000	90.0000	1.999522E-1	9.045434E-7	3.680353E-9	5.715681E-12	-2.000251E-1	4.001704E-7	-4.018923E-9	9.525004E-12	5.194999E+7	1.982758E-3	
06-Nov-25	02:39:04	19.9993	0.0000	-0.000000	0.914320	0.000000	0.914320	84.0000	90.0000	1.999528E-1	6.568844E-7	3.513795E-9	1.045601E-11	-2.000243E-1	6.469576E-7	-3.880345E-9	1.080016E-11	5.409379E+7	2.877991E-3	
06-Nov-25	02:40:59	20.0005	0.0000	-0.000010	0.685720	0.000000	0.685720	84.0000	90.0000	1.999522E-1	7.728911E-7	3.313622E-9	1.429613E-11	-2.000249E-1	6.970559E-7	-3.721561E-9	1.114706E-11	5.685383E+7	3.620240E-3	
06-Nov-25	02:42:54	19.9997	0.0000	-0.000010	0.457180	0.000000	0.457180	84.0000	90.0000	1.999521E-1	7.709907E-7	3.082519E-9	1.136829E-11	-2.000241E-1	7.837916E-7	-3.547874E-9	1.331935E-11	6.032467E+7	3.727292E-3	
06-Nov-25	02:44:48	19.9999	0.0000	-0.000000	0.228560	0.000000	0.228560	84.0000	90.0000	1.999513E-1	7.899476E-7	2.778800E-9	1.094246E-11	-2.000261E-1	4.971594E-7	-3.383227E-9	1.237386E-11	6.491004E+7	3.787090E-3	
06-Nov-25	02:46:42	19.9996	0.0000	-0.000010	-0.000150	0.000000	0.000150	84.0000	90.0000	1.999519E-1	6.332281E-7	2.520029E-9	8.360931E-12	-2.000248E-1	7.652599E-7	-3.280326E-9	1.282475E-11	6.895729E+7	3.655976E-3	
06-Nov-25	02:48:37	19.9999	0.0000	-0.000010	-0.228490	0.000000	0.228490	84.0000	90.0000	1.999520E-1	6.235829E-7	2.574286E-9	8.897496E-12	-2.000253E-1	6.232487E-7	-3.319058E-9	1.152332E-11	6.786933E+7	3.468181E-3	
06-Nov-25	02:50:31	19.9994	0.0000	-0.000010	-0.457050	0.000000	0.457050	84.0000	90.0000	1.999521E-1	8.353294E-7	2.858699E-9	1.396523E-11	-2.000237E-1	6.249067E-7	-3.473125E-9	1.259218E-11	6.316913E+7	4.197924E-3	
06-Nov-25	02:52:25	20.0000	0.0000	-0.000010	-0.685680	0.000000	0.685680	84.0000	90.0000	1.999530E-1	7.840003E-7	3.163798E-9	9.635051E-12	-2.000236E-1	5.396251E-7	-3.635201E-9	1.074682E-11	5.882874E+7	3.001084E-3	
06-Nov-25	02:54:19	20.0009	0.0000	-0.000000	-0.914250	0.000000	0.914250	84.0000	90.0000	1.999531E-1	7.218096E-7	3.425345E-9	1.190245E-11	-2.000238E-1	5.952245E-7	-3.814058E-9	1.300353E-11	5.524998E+7	3.443628E-3	
06-Nov-25	02:56:13	20.0003	0.0000	-0.000010	-1.142900	0.000000	1.142900	84.0000	90.0000	1.999523E-1	6.892529E-7	3.628524E-9	8.323360E-12	-2.000247E-1	6.927234E-7	-3.973163E-9	8.659692E-12	5.261688E+7	2.237571E-3	
06-Nov-25	02:58:08	19.9997	0.0000	-0.000000	-1.371540	0.000000	1.371540	84.0000	90.0000	1.999521E-1	7.641512E-7	4.005619E-9	7.637253E-12	-2.000260E-1	8.436062E-7	-4.131471E-9	1.047316E-11	4.915494E+7	2.229682E-3	
06-Nov-25	03:00:02	20.0003	0.0000	-0.000010	-1.599860	0.000000	1.599860	84.0000	90.0000	1.999521E-1	7.268483E-7	4.797075E-9	8.743704E-12	-2.000260E-1	8.559862E-7	-4.312786E-9	1.038381E-11	4.390606E+7	2.103607E-3	
06-Nov-25	03:01:57	19.9996	0.0000	-0.000010	-1.828400	0.000000	1.828400	84.0000	90.0000	1.999530E-1	7.371442E-7	5.932827E-9	1.177743E-11	-2.000246E-1	4.564906E-7	-4.606148E-9	1.120033E-11	3.795222E+7	2.183249E-3	
06-Nov-25	03:03:51	20.0000	0.0000	-0.000010	-2.057130	0.000000	2.057130	84.0000	90.0000	1.999535E-1	5.978338E-7	6.838595E-9	1.395742E-11	-2.000243E-1	7.084652E-7	-5.038356E-9	1.065786E-11	3.367682E+7	2.075790E-3	
06-Nov-25	03:05:45	19.9998	0.0000	-0.000010	-2.285680	0.000000	2.285680	84.0000	90.0000	1.999524E-1	7.417840E-7	7.296968E-9	1.503693E-11	-2.000247E-1	6.834843E-7	-5.669578E-9	1.057261E-11	3.084685E+7	1.978610E-3	
06-Nov-25	03:07:40	20.0006	0.0000	-0.000010	-2.514200	0.000000	2.514200	84.0000	90.0000	1.999520E-1	7.154099E-7	7.391375E-9	1.281878E-11	-2.000246E-1	6.896748E-7	-6.137883E-9	1.005828E-11	2.956383E+7	1.694445E-3	
06-Nov-25	03:09:35	20.0001	0.0000	-0.000000	-2.742940	0.000000	2.742940	84.0000	90.0000	1.999525E-1	5.996367E-7	7.427328E-9	1.255034E-11	-2.000253E-1	7.438899E-7	-6.225196E-9	2.082094E-11	2.929699E+7	2.447689E-3	
06-Nov-25	03:11:30	20.0013	0.0000	-0.000000	-2.971470	0.000000	2.971470	84.0000	90.0000	1.999519E-1	8.217496E-7	7.454758E-9	1.553568E-11	-2.000252E-1	8.019133E-7	-6.293206E-9	1.387327E-11	2.909355E+7	2.143209E-3	
06-Nov-25	03:13:26	19.9999	0.0000	-0.000010	-3.199840	0.000000	3.199840	84.0000	90.0000	1.999526E-1	7.257610E-7	7.473167E-9	1.546933E-11	-2.000249E-1	6.399830E-7	-6.317121E-9	1.432970E-11	2.900428E+7	2.164285E-3	
06-Nov-25	03:15:25	19.9998	0.0000	-0.000010	-3.428440	0.000000	3.428440	84.0000	90.0000	1.999533E-1	8.515324E-7	7.481758E-9	1.303252E-11	-2.000243E-1	8.408701E-7	-6.330796E-9	1.483523E-11	2.895754E+7	2.021798E-3	
06-Nov-25	03:17:11	20.0006	0.0000	-0.000010	-3.428460	0.000000	3.428460	84.0000	90.0000	1.999529E-1	5.007522E-7	7.479646E-9	1.597951E-11	-2.000255E-1	6.400322E-7	-6.337287E-9	1.949125E-11	2.894842E+7	2.570047E-3	
06-Nov-25	03:19:05	20.0002	0.0000	-0.000010	-3.199880	0.000000	3.199880	84.0000	90.0000	1.999514E-1	8.767355E-7	7.463755E-9	1.975712E-11	-2.000256E-1	7.769247E-7	-6.311368E-9	1.966250E-11	2.903619E+7	2.865787E-3	
06-Nov-25	03:20:59	19.9998	0.0000	-0.000010	-2.971480	0.000000	2.971480	84.0000	90.0000	1.999525E-1	7.059403E-7	7.431441E-9	1.617994E-11	-2.000245E-1	6.803323E-7	-6.254341E-9	1.418396E-11	2.922574E+7	2.222112E-3	
06-Nov-25	03:22:53	20.0006	0.0000	-0.000010	-2.742960	0.000000	2.742960	84.0000	90.0000	1.999531E-1	9.216072E-7	7.424530E-9	1.245364E-11	-2.000250E-1	4.615457E-7	-6.214954E-9	2.306457E-11	2.932501E+7	2.607531E-3	
06-Nov-25	03:24:48	20.0011	0.0000	-0.000000	-2.514210	0.000000	2.514210	84.0000	90.0000	1.999528E-1	8.105739E-7	7.391507E-9	1.934112E-11	-2.000253E-1	6.250458E-7	-6.140990E-9	8.867495E-12	2.955686E+7	2.088098E-3	
06-Nov-25	03:26:42	19.9997	0.0000	-0.000010	-2.285690	0.000000	2.285690	84.0000	90.0000	1.999516E-1	6.601831E-7	7.290487E-9	1.630635E-11	-2.000250E-1	7.729725E-7	-5.686977E-9	1.240240E-11	3.082086E+7	2.215783E-3	
06-Nov-25	03:28:36	20.0004	0.0000	-0.000000	-2.057130	0.000000	2.057130	84.0000	90.0000	1.999525E-1	7.686539E-7	6.857257E-9	1.299713E-11	-2.000244E-1	5.999897E-7	-5.054838E-9	1.733895E-11	3.357738E+7	2.550083E-3	
06-Nov-25	03:30:30	19.9990	0.0000	-0.000000	-1.828400	0.000000	1.828400	84.0000	90.0000	1.999533E-1	5.435180E-7	5.963417E-9	1.083062E-11	-2.000243E-1	5.837713E-7	-4.646900E-9	8.699834E-12	3.769705E+7	1.843523E-3	
06-Nov-25	03:32:25	19.9996	0.0000	-0.000000	-1.599860	0.000000	1.599860	84.0000	90.0000	1.999527E-1	6.389442E-7	4.812625E-9	9.300154E-12	-2.000242E-1	7.591319E-7	-4.361204E-9	1.212677E-11	4.359978E+7	2.339153E-3	
06-Nov-25	03:34:19	20.0001	0.0000	-0.000010	-1.371520	0.000000	1.371520	84.0000	90.0000	1.999543E-1	8.018062E-7	4.061411E-9	8.212084E-12	-2.000234E-1	6.309588E-7	-4.189713E-9	1.089080E-11	4.847553E+7	2.318768E-3	
06-Nov-25	03:36:13	19.9996	0.0000	-0.000010	-1.142880	0.000000	1.142880	84.0000	90.0000	1.999531E-1	9.193715E-7	3.707178E-9	6.518648E-12	-2.000235E-1	7.123914E-7	-4.050506E-9	1.205234E-11	5.155876E+7	2.397963E-3	
06-Nov-25	03:38:08	20.0006	0.0000	-0.000010	-0.914230	0.000000	0.914230	84.0000	90.0000	1.999533E-1	6.647137E-7	3.513300E-9	9.345332E-12	-2.000234E-1	6.155178E-7	-3.903511E-9	1.092416E-11	5.392839E+7	2.736113E-3	
06-Nov-25	03:40:02	20.0001	0.0000	-0.000000	-0.685660	0.000000	0.685660	84.0000	90.0000	1.999542E-1	7.768042E-7	3.326613E-9	1.070497E-11	-2.000230E-1	7.942505E-7	-3.743601E-9	1.395168E-11	5.657215E+7	3.491325E-3	
06-Nov-25	03:41:56	20.0003	0.0000	-0.000000	-0.457040	0.000000	0.457040	84.0000	90.0000	1.999540E-1	7.858235E-7	3.076552E-9	1.551636E-11	-2.000231E-1	6.668515E-7	-3.571284E-9	1.182174E-11	6.016650E+7	4.115962E-3	
06-Nov-25	03:43:50	20.0005	0.0000	-0.000010	-0.228480	0.000000	0.228480	84.0000	90.0000	1.999534E-1	8.680622E-7	2.777907E-9	7.397024E-12	-2.000236E-1	4.874487E-7	-3.387068E-9	1.349182E-11	6.487893E+7	3.391699E-3	
06-Nov-25	03:45:44	19.9998	0.0000	-0.000000	-0.000160	0.000000	0.000160	84.0000	90.0000	1.999530E-1	6.746173E-7	2.523242E-9	9.024430E-12	-2.000240E-1	5.483837E-7	-3.281141E-9	2.049213E-11	6.890948E+7	5.088277E-3	
06-Nov-25	03:47:39	20.0005	0.0000	-0.000000	0.228550	0.000000	0.228550	84.0000	90.0000	1.999538E-1	7.590471E-7	2.565780E-9	1.244481E-11	-2.000234E-1	6.209292E-7	-3.331850E-9	9.706285E-12	6.781997E+7	3.759382E-3	
06-Nov-25	03:49:33	20.0006	0.0000	-0.000010	0.457140	0.000000	0.457140	84.0000	90.0000	1.999539E-1	7.243518E-7	2.879273E-9	8.684601E-12	-2.000238E-1	4.732474E-7	-3.482352E-9	1.159481E-11	6.287352E+7	3.190767E-3	
