! Date:	07-Nov-25
!Time:	09:24
! User Name:	Aditya Kumar
! Sample Name:	Gr-CrSBr-Gr
! Sample ID:	SHCBS2
! Current Source:	Keithley 2400
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Tcryo (K)	Tsample (K)	Hx (T)	Hy (T)	Hz (T)	|H|	phi	theta	L1_Ch1	L1_Ch2	L2_Ch1	L2_Ch2	L3_Ch1	L3_Ch2	L4_Ch1	L4_Ch2	L5_ Ch1	L5_Ch2
07-Nov-25	09:29:39	40.0017	0.0000	-0.000010	3.428560	0.000000	3.428560	84.0000	90.0000	1.999516E-1	6.133187E-7	3.392529E-8	4.221261E-11	-2.000288E-1	6.904305E-7	-3.256372E-8	3.106212E-11	6.015737E+6	1.105317E-3	
07-Nov-25	09:31:25	40.0000	0.0000	-0.000010	3.428570	0.000000	3.428570	84.0000	90.0000	1.999515E-1	6.175448E-7	3.396241E-8	4.628351E-11	-2.000279E-1	6.079875E-7	-3.256039E-8	2.022916E-11	6.012668E+6	1.002912E-3	
07-Nov-25	09:33:19	40.0001	0.0000	-0.000010	3.200010	0.000000	3.200010	84.0000	90.0000	1.999515E-1	6.017314E-7	3.378510E-8	4.815522E-11	-2.000278E-1	5.640255E-7	-3.238306E-8	2.404737E-11	6.044890E+6	1.094113E-3	
07-Nov-25	09:35:13	39.9998	0.0000	-0.000010	2.971520	0.000000	2.971520	84.0000	90.0000	1.999527E-1	5.948034E-7	3.357056E-8	5.517318E-11	-2.000271E-1	6.393901E-7	-3.218457E-8	2.555003E-11	6.082869E+6	1.230719E-3	
07-Nov-25	09:37:08	39.9997	0.0000	-0.000010	2.742940	0.000000	2.742940	84.0000	90.0000	1.999522E-1	4.806812E-7	3.341708E-8	4.638975E-11	-2.000271E-1	5.074584E-7	-3.195940E-8	2.663540E-11	6.118092E+6	1.119465E-3	
07-Nov-25	09:39:02	40.0006	0.0000	-0.000010	2.514400	0.000000	2.514400	84.0000	90.0000	1.999523E-1	7.849330E-7	3.309317E-8	5.347134E-11	-2.000258E-1	7.484898E-7	-3.162796E-8	2.721821E-11	6.180023E+6	1.250560E-3	
07-Nov-25	09:40:56	39.9994	0.0000	-0.000000	2.285820	0.000000	2.285820	84.0000	90.0000	1.999520E-1	8.545150E-7	3.278449E-8	5.271775E-11	-2.000274E-1	6.045980E-7	-3.105108E-8	3.360623E-11	6.265777E+6	1.355934E-3	
07-Nov-25	09:42:50	40.0005	0.0000	-0.000010	2.057210	0.000000	2.057210	84.0000	90.0000	1.999529E-1	6.311206E-7	3.210584E-8	4.176871E-11	-2.000267E-1	6.134545E-7	-2.935482E-8	1.944335E-11	6.507897E+6	9.990668E-4	
07-Nov-25	09:44:44	39.9996	0.0000	-0.000010	1.828600	0.000000	1.828600	84.0000	90.0000	1.999526E-1	7.818496E-7	3.003007E-8	4.082104E-11	-2.000267E-1	6.791345E-7	-2.762467E-8	1.613074E-11	6.937493E+6	9.914602E-4	
07-Nov-25	09:46:38	40.0003	0.0000	-0.000010	1.599970	0.000000	1.599970	84.0000	90.0000	1.999532E-1	7.756848E-7	2.889164E-8	3.407094E-11	-2.000262E-1	5.311903E-7	-2.663593E-8	1.977005E-11	7.203259E+6	9.728938E-4	
07-Nov-25	09:48:32	39.9994	0.0000	-0.000010	1.371520	0.000000	1.371520	84.0000	90.0000	1.999537E-1	8.146807E-7	2.287108E-8	1.861093E-11	-2.000256E-1	7.110826E-7	-2.531267E-8	2.428551E-11	8.301124E+6	8.940823E-4	
07-Nov-25	09:50:27	40.0004	0.0000	-0.000010	1.142950	0.000000	1.142950	84.0000	90.0000	1.999522E-1	6.038575E-7	2.059399E-8	1.301000E-11	-2.000269E-1	4.991837E-7	-2.437249E-8	1.470528E-11	8.895049E+6	6.191119E-4	
