! Date:	13-Nov-25
!Time:	10:37
! User Name:	Aditya Kumar
! Sample Name:	Gr-CrSBr-Gr
! Sample ID:	SHCBS2
! Current Source:	Keithley 2400
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Tcryo (K)	Tsample (K)	Hx (T)	Hy (T)	Hz (T)	|H|	phi	theta	L1_Ch1	L1_Ch2	L2_Ch1	L2_Ch2	L3_Ch1	L3_Ch2	L4_Ch1	L4_Ch2	L5_ Ch1	L5_Ch2
13-Nov-25	10:42:43	7.5732	0.0000	-0.000010	3.428570	0.000000	3.428570	84.0000	90.0000	9.999620E-1	7.043443E-7	9.320557E-8	1.614947E-10	-1.000060E+0	6.707575E-7	-6.988833E-8	1.396831E-10	1.226301E+7	1.847340E-3	
13-Nov-25	10:44:29	7.5093	0.0000	-0.000010	3.428580	0.000000	3.428580	84.0000	90.0000	9.999619E-1	1.000506E-6	9.192111E-8	1.205362E-10	-1.000061E+0	8.041106E-7	-6.845224E-8	1.201300E-10	1.247104E+7	1.501564E-3	
13-Nov-25	10:46:20	7.4438	0.0000	-0.000010	3.276250	0.000000	3.276250	84.0000	90.0000	9.999617E-1	7.975449E-7	9.094770E-8	1.787669E-10	-1.000060E+0	7.671807E-7	-6.772368E-8	9.796430E-11	1.260481E+7	1.744835E-3	
13-Nov-25	10:48:10	7.4421	0.0000	-0.000010	3.123840	0.000000	3.123840	84.0000	90.0000	9.999618E-1	1.003603E-6	9.069574E-8	1.306742E-10	-1.000061E+0	6.574548E-7	-6.763420E-8	1.394802E-10	1.263199E+7	1.707105E-3	
13-Nov-25	10:50:00	7.4410	0.0000	-0.000010	2.971560	0.000000	2.971560	84.0000	90.0000	9.999614E-1	7.678904E-7	9.031915E-8	9.712964E-11	-1.000061E+0	7.224385E-7	-6.732515E-8	1.352704E-10	1.268693E+7	1.474950E-3	
13-Nov-25	10:51:50	7.4492	0.0000	-0.000010	2.819200	0.000000	2.819200	84.0000	90.0000	9.999611E-1	9.339245E-7	9.051991E-8	1.051636E-10	-1.000060E+0	9.017981E-7	-6.737139E-8	1.322109E-10	1.266708E+7	1.504323E-3	
13-Nov-25	10:53:40	7.4437	0.0000	-0.000010	2.666840	0.000000	2.666840	84.0000	90.0000	9.999625E-1	1.071182E-6	9.007282E-8	1.234986E-10	-1.000060E+0	7.273395E-7	-6.705132E-8	1.282530E-10	1.272893E+7	1.603145E-3	
13-Nov-25	10:55:32	7.4359	0.0000	-0.000010	2.514440	0.000000	2.514440	84.0000	90.0000	9.999616E-1	1.064573E-6	9.018319E-8	1.243160E-10	-1.000061E+0	7.271441E-7	-6.711487E-8	1.454800E-10	1.271486E+7	1.716086E-3	
13-Nov-25	10:57:22	7.4586	0.0000	-0.000010	2.361940	0.000000	2.361940	84.0000	90.0000	9.999622E-1	9.635572E-7	8.955125E-8	1.518612E-10	-1.000060E+0	6.848052E-7	-6.682499E-8	1.352797E-10	1.278981E+7	1.837043E-3	
13-Nov-25	10:59:12	7.4499	0.0000	-0.000000	2.209610	0.000000	2.209610	84.0000	90.0000	9.999618E-1	1.069013E-6	8.632015E-8	1.438889E-10	-1.000060E+0	5.887700E-7	-6.495534E-8	1.353654E-10	1.322105E+7	1.846827E-3	
13-Nov-25	11:01:02	7.4495	0.0000	-0.000000	2.057240	0.000000	2.057240	84.0000	90.0000	9.999611E-1	8.114409E-7	8.143291E-8	1.370113E-10	-1.000060E+0	6.210716E-7	-6.169829E-8	8.560852E-11	1.397334E+7	1.556072E-3	
13-Nov-25	11:02:52	7.4632	0.0000	-0.000010	1.904870	0.000000	1.904870	84.0000	90.0000	9.999609E-1	9.124249E-7	7.649490E-8	1.517724E-10	-1.000059E+0	7.429331E-7	-5.752482E-8	5.328908E-11	1.492333E+7	1.530912E-3	
13-Nov-25	11:04:43	7.4688	0.0000	-0.000010	1.752440	0.000000	1.752440	84.0000	90.0000	9.999615E-1	7.494716E-7	7.126212E-8	1.311753E-10	-1.000059E+0	6.538424E-7	-5.296731E-8	6.745986E-11	1.609941E+7	1.599640E-3	
13-Nov-25	11:06:33	7.4739	0.0000	-0.000000	1.599990	0.000000	1.599990	84.0000	90.0000	9.999615E-1	9.049181E-7	6.545917E-8	1.252873E-10	-1.000058E+0	6.329329E-7	-4.820426E-8	8.318354E-11	1.759598E+7	1.834875E-3	
13-Nov-25	11:08:23	7.4764	0.0000	-0.000000	1.447710	0.000000	1.447710	84.0000	90.0000	9.999618E-1	9.475201E-7	5.968891E-8	7.442171E-11	-1.000058E+0	7.922412E-7	-4.382629E-8	8.345152E-11	1.932102E+7	1.525991E-3	
13-Nov-25	11:10:13	7.4838	0.0000	-0.000010	1.295340	0.000000	1.295340	84.0000	90.0000	9.999603E-1	1.038057E-6	5.368002E-8	7.721266E-11	-1.000059E+0	5.472386E-7	-3.945019E-8	6.434057E-11	2.147551E+7	1.520742E-3	
13-Nov-25	11:12:04	7.4875	0.0000	-0.000000	1.142960	0.000000	1.142960	84.0000	90.0000	9.999605E-1	9.392351E-7	4.845187E-8	8.074592E-11	-1.000058E+0	6.451635E-7	-3.548279E-8	1.056257E-10	2.382829E+7	2.221229E-3	
13-Nov-25	11:13:54	7.4821	0.0000	-0.000010	0.990520	0.000000	0.990520	84.0000	90.0000	9.999603E-1	9.441145E-7	4.332277E-8	6.011690E-11	-1.000058E+0	8.335279E-7	-3.135840E-8	4.525837E-11	2.678075E+7	1.411891E-3	
13-Nov-25	11:15:44	7.4689	0.0000	-0.000000	0.838110	0.000000	0.838110	84.0000	90.0000	9.999612E-1	8.165909E-7	3.860870E-8	9.575669E-11	-1.000057E+0	5.814432E-7	-2.783568E-8	9.010271E-11	3.010063E+7	2.797917E-3	
13-Nov-25	11:17:34	7.4687	0.0000	-0.000000	0.685720	0.000000	0.685720	84.0000	90.0000	9.999594E-1	9.972102E-7	3.426165E-8	7.660079E-11	-1.000058E+0	7.430925E-7	-2.490632E-8	5.419920E-11	3.380236E+7	2.211526E-3	
