! Date:	20-Nov-25
!Time:	16:59
! User Name:	Aditya Kumar
! Sample Name:	Gr-CrSBr-Gr
! Sample ID:	SHCBS2
! Current Source:	Keithley 2400
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Tcryo (K)	Tsample (K)	Hx (T)	Hy (T)	Hz (T)	|H|	phi	theta	L1_Ch1	L1_Ch2	L2_Ch1	L2_Ch2	L3_Ch1	L3_Ch2	L4_Ch1	L4_Ch2	L5_ Ch1	L5_Ch2
20-Nov-25	17:01:20	99.9987	0.0000	-0.000000	3.428660	0.000000	3.428660	84.0000	90.0000	1.999655E-1	8.035135E-7	3.437785E-7	2.181616E-11	-2.000404E-1	6.821532E-7	-3.033446E-7	2.449405E-11	6.181296E+5	7.527733E-5	
20-Nov-25	17:03:02	100.0009	0.0000	-0.000000	3.428660	0.000000	3.428660	84.0000	90.0000	1.999657E-1	6.568494E-7	3.439307E-7	3.180496E-11	-2.000395E-1	7.744194E-7	-3.034381E-7	2.701354E-11	6.178937E+5	9.443591E-5	
20-Nov-25	17:04:56	99.9981	0.0000	-0.000000	3.200110	0.000000	3.200110	84.0000	90.0000	1.999657E-1	6.726462E-7	3.421162E-7	3.041298E-11	-2.000392E-1	5.896311E-7	-3.017089E-7	3.116401E-11	6.212943E+5	9.879806E-5	
20-Nov-25	17:06:50	99.9990	0.0000	-0.000000	2.971600	0.000000	2.971600	84.0000	90.0000	1.999663E-1	7.013974E-7	3.401802E-7	3.285550E-11	-2.000384E-1	6.982499E-7	-2.998907E-7	3.088252E-11	6.249381E+5	1.030787E-4	
20-Nov-25	17:08:46	100.0016	0.0000	-0.000000	2.742990	0.000000	2.742990	84.0000	90.0000	1.999669E-1	1.026823E-6	3.379441E-7	2.408151E-11	-2.000381E-1	5.853154E-7	-2.978500E-7	3.608554E-11	6.291423E+5	9.866321E-5	
20-Nov-25	17:10:41	99.9997	0.0000	-0.000000	2.514460	0.000000	2.514460	84.0000	90.0000	1.999670E-1	6.752177E-7	3.354604E-7	2.456819E-11	-2.000374E-1	6.166831E-7	-2.955002E-7	3.411782E-11	6.339610E+5	9.624030E-5	
20-Nov-25	17:12:36	100.0022	0.0000	-0.000000	2.285870	0.000000	2.285870	84.0000	90.0000	1.999663E-1	7.463856E-7	3.326172E-7	3.481084E-11	-2.000385E-1	6.664152E-7	-2.928395E-7	4.025339E-11	6.395404E+5	1.235470E-4	
20-Nov-25	17:14:31	99.9994	0.0000	-0.000000	2.057260	0.000000	2.057260	84.0000	90.0000	1.999661E-1	7.577525E-7	3.291889E-7	4.295810E-11	-2.000382E-1	6.148861E-7	-2.896780E-7	3.215800E-11	6.463494E+5	1.248084E-4	
20-Nov-25	17:16:26	100.0002	0.0000	-0.000000	1.828640	0.000000	1.828640	84.0000	90.0000	1.999656E-1	7.168646E-7	3.251256E-7	3.278395E-11	-2.000383E-1	7.582563E-7	-2.859705E-7	3.469205E-11	6.545679E+5	1.141058E-4	
20-Nov-25	17:18:21	99.9969	0.0000	-0.000000	1.600010	0.000000	1.600010	84.0000	90.0000	1.999664E-1	1.019368E-6	3.200150E-7	3.568664E-11	-2.000368E-1	6.408123E-7	-2.812185E-7	3.331220E-11	6.653044E+5	1.189126E-4	
20-Nov-25	17:20:16	99.9999	0.0000	-0.000000	1.371550	0.000000	1.371550	84.0000	90.0000	1.999655E-1	9.729169E-7	3.126726E-7	3.237199E-11	-2.000381E-1	7.601700E-7	-2.745865E-7	4.278876E-11	6.811366E+5	1.323183E-4	
20-Nov-25	17:22:11	99.9998	0.0000	-0.000000	1.142980	0.000000	1.142980	84.0000	90.0000	1.999647E-1	1.283358E-6	2.886730E-7	3.934394E-11	-2.000351E-1	7.919384E-7	-2.528642E-7	4.065922E-11	7.386378E+5	1.529217E-4	
20-Nov-25	17:24:05	100.0011	0.0000	-0.000000	0.914350	0.000000	0.914350	84.0000	90.0000	1.999643E-1	9.447532E-7	2.396180E-7	5.790286E-11	-2.000335E-1	7.118187E-7	-2.101285E-7	7.644612E-11	8.893851E+5	3.028630E-4	
20-Nov-25	17:26:00	99.9991	0.0000	-0.000000	0.685740	0.000000	0.685740	84.0000	90.0000	1.999624E-1	9.558287E-7	1.972010E-7	3.573876E-11	-2.000317E-1	4.601605E-7	-1.745960E-7	6.220292E-11	1.075840E+6	2.669679E-4	
20-Nov-25	17:27:54	100.0037	0.0000	-0.000000	0.457200	0.000000	0.457200	84.0000	90.0000	1.999600E-1	7.811165E-7	1.627626E-7	4.441936E-11	-2.000306E-1	6.750094E-7	-1.464205E-7	7.002225E-11	1.293701E+6	3.737823E-4	
20-Nov-25	17:29:49	100.0002	0.0000	-0.000000	0.228590	0.000000	0.228590	84.0000	90.0000	1.999598E-1	7.861249E-7	1.395023E-7	3.290416E-11	-2.000291E-1	6.142852E-7	-1.277346E-7	8.393721E-11	1.496757E+6	4.407213E-4	
20-Nov-25	17:31:43	100.0021	0.0000	-0.000000	-0.000140	0.000000	0.000140	84.0000	90.0000	1.999596E-1	8.693747E-7	1.307065E-7	5.171029E-11	-2.000291E-1	7.347109E-7	-1.208995E-7	7.090702E-11	1.589742E+6	4.913489E-4	
20-Nov-25	17:33:38	99.9993	0.0000	-0.000000	-0.228470	0.000000	0.228470	84.0000	90.0000	1.999598E-1	8.801475E-7	1.387113E-7	4.853034E-11	-2.000295E-1	7.316758E-7	-1.271235E-7	8.454893E-11	1.504654E+6	5.046385E-4	
20-Nov-25	17:35:33	99.9988	0.0000	-0.000000	-0.457040	0.000000	0.457040	84.0000	90.0000	1.999611E-1	1.387395E-6	1.618070E-7	4.608441E-11	-2.000300E-1	8.262870E-7	-1.455763E-7	9.412521E-11	1.301278E+6	4.616737E-4	
