! Date:	21-Nov-25
!Time:	18:18
! User Name:	Aditya Kumar
! Sample Name:	Gr-CrSBr-Gr
! Sample ID:	SHCBS2
! Current Source:	Keithley 2400
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Tcryo (K)	Tsample (K)	Hx (T)	Hy (T)	Hz (T)	|H|	phi	theta	L1_Ch1	L1_Ch2	L2_Ch1	L2_Ch2	L3_Ch1	L3_Ch2	L4_Ch1	L4_Ch2	L5_ Ch1	L5_Ch2
21-Nov-25	18:22:57	119.9041	0.0000	-0.000010	3.428530	0.000000	3.428530	84.0000	90.0000	9.998128E-2	6.355682E-7	2.434151E-7	2.662829E-11	-1.000587E-1	4.968999E-7	-2.266898E-7	1.578830E-11	4.255220E+5	9.588913E-5	
21-Nov-25	18:24:42	120.0181	0.0000	-0.000010	3.428530	0.000000	3.428530	84.0000	90.0000	9.998063E-2	3.793197E-7	2.434869E-7	1.828972E-11	-1.000578E-1	4.922915E-7	-2.267205E-7	1.978629E-11	4.254260E+5	8.533428E-5	
21-Nov-25	18:26:35	119.9712	0.0000	-0.000010	3.199990	0.000700	3.199990	84.0000	90.0000	9.998185E-2	5.761461E-7	2.421312E-7	2.393217E-11	-1.000575E-1	5.927626E-7	-2.253553E-7	2.458716E-11	4.279040E+5	1.096311E-4	
21-Nov-25	18:28:28	119.9220	0.0000	-0.000010	2.971500	0.000000	2.971500	84.0000	90.0000	9.998190E-2	5.588230E-7	2.406420E-7	2.252259E-11	-1.000568E-1	7.294882E-7	-2.239538E-7	1.717413E-11	4.305650E+5	9.188386E-5	
21-Nov-25	18:30:21	119.8955	0.0000	-0.000010	2.742910	0.000000	2.742910	84.0000	90.0000	9.998131E-2	5.139506E-7	2.390841E-7	1.914310E-11	-1.000579E-1	5.609759E-7	-2.223796E-7	1.982314E-11	4.334886E+5	8.981411E-5	
21-Nov-25	18:32:15	119.9110	0.0000	-0.000010	2.514370	0.000000	2.514370	84.0000	90.0000	9.998107E-2	4.996739E-7	2.372874E-7	3.535033E-11	-1.000575E-1	6.810570E-7	-2.205920E-7	2.603516E-11	4.368804E+5	1.399673E-4	
21-Nov-25	18:34:08	119.9433	0.0000	-0.000010	2.285780	0.000000	2.285780	84.0000	90.0000	9.998231E-2	5.045228E-7	2.352675E-7	1.783826E-11	-1.000576E-1	6.400641E-7	-2.186476E-7	1.991067E-11	4.406989E+5	8.888477E-5	
21-Nov-25	18:36:01	119.9789	0.0000	-0.000010	2.057180	0.000000	2.057180	84.0000	90.0000	9.998058E-2	4.911242E-7	2.329859E-7	1.649224E-11	-1.000579E-1	3.865009E-7	-2.164078E-7	1.916753E-11	4.451297E+5	8.373813E-5	
21-Nov-25	18:37:54	120.0329	0.0000	-0.000010	1.828570	0.000700	1.828570	84.0000	90.0000	9.998182E-2	6.805396E-7	2.304165E-7	2.262533E-11	-1.000572E-1	4.937206E-7	-2.138197E-7	1.614439E-11	4.502988E+5	9.314290E-5	
21-Nov-25	18:39:48	120.0472	0.0000	-0.000010	1.599940	0.000000	1.599940	84.0000	90.0000	9.998159E-2	5.404132E-7	2.272669E-7	2.028305E-11	-1.000566E-1	5.519119E-7	-2.107123E-7	1.573978E-11	4.567299E+5	8.770841E-5	
